Date,Open,High,Low,Close,Volume
2014-04-07,13.7,13.81,13.43,13.76,196082.0
2014-04-04,14.12,14.25,13.64,13.78,156926.0
2014-04-03,14.64,14.65,13.73,14.09,217285.0
2014-04-02,14.61,14.78,14.42,14.69,151621.0
2014-04-01,14.15,14.7,14.05,14.62,128338.0
2014-03-31,13.92,14.28,13.92,14.09,130297.0
2014-03-28,14.05,14.33,13.79,13.87,72415.0
2014-03-27,14.35,14.44,14.0,14.04,81153.0
2014-03-26,14.75,14.81,14.31,14.31,93805.0
2014-03-25,14.78,14.96,14.51,14.63,67704.0
2014-03-24,14.71,14.89,14.54,14.7,130953.0
2014-03-21,15.04,15.04,14.65,14.69,263525.0
2014-03-20,14.73,15.07,14.73,14.96,92762.0
2014-03-19,14.84,14.84,14.63,14.8,102717.0
2014-03-18,14.57,14.96,14.57,14.96,86123.0
2014-03-17,14.63,14.75,14.41,14.57,131064.0
2014-03-14,14.38,14.6,14.38,14.58,90873.0
2014-03-13,14.85,14.85,14.38,14.47,120286.0
2014-03-12,14.55,14.81,14.35,14.79,329374.0
2014-03-11,14.54,14.67,14.41,14.61,174764.0
2014-03-10,14.38,14.54,14.3,14.51,79970.0
2014-03-07,14.41,14.61,14.28,14.43,81474.0
2014-03-06,14.21,14.4,14.01,14.29,82724.0
2014-03-05,14.27,14.27,14.12,14.2,79114.0
2014-03-04,13.85,14.71,13.84,14.35,240526.0
2014-03-03,13.53,13.73,13.31,13.66,86016.0
2014-02-28,13.54,13.83,13.54,13.7,142347.0
2014-02-27,13.38,13.54,13.19,13.51,58794.0
2014-02-26,13.21,13.43,13.2,13.4,52974.0
2014-02-25,13.24,13.31,13.09,13.19,55798.0
2014-02-24,13.19,13.49,13.19,13.27,141232.0
2014-02-21,13.23,13.31,13.11,13.18,115059.0
2014-02-20,13.11,13.24,12.94,13.16,66751.0
2014-02-19,13.35,13.38,12.69,13.07,113888.0
2014-02-18,13.41,13.86,13.25,13.41,85443.0
2014-02-14,13.54,13.54,13.09,13.44,64343.0
2014-02-13,13.14,13.58,13.14,13.55,58300.0
2014-02-12,13.14,13.34,12.99,13.29,77639.0
2014-02-11,13.05,13.21,12.83,13.14,110118.0
2014-02-10,13.17,13.17,12.78,13.07,89581.0
2014-02-07,13.18,13.35,12.92,13.21,106699.0
2014-02-06,12.97,13.25,12.96,13.15,116441.0
2014-02-05,13.14,13.22,12.8,12.94,111897.0
2014-02-04,13.09,13.41,13.08,13.23,149633.0
2014-02-03,13.43,14.0,12.97,13.05,200169.0
2014-01-31,13.53,13.97,13.44,13.48,280478.0
2014-01-30,13.84,13.96,13.65,13.84,166263.0
2014-01-29,13.96,14.14,13.28,13.73,156740.0
2014-01-28,14.34,14.34,14.06,14.17,184900.0
2014-01-27,14.66,14.68,14.27,14.28,156269.0
2014-01-24,14.82,14.89,14.51,14.66,204897.0
2014-01-23,14.86,14.96,14.69,14.94,110009.0
2014-01-22,14.92,15.02,14.87,14.98,317980.0
2014-01-21,14.71,14.96,14.67,14.92,156597.0
2014-01-17,14.78,14.82,14.57,14.62,65367.0
2014-01-16,14.58,14.86,14.57,14.82,83937.0
2014-01-15,14.69,14.83,14.6,14.65,94465.0
2014-01-14,14.53,14.75,14.51,14.66,83512.0
2014-01-13,14.58,14.73,14.43,14.5,115086.0
2014-01-10,14.64,14.73,14.5,14.64,108632.0
2014-01-09,14.59,14.75,14.45,14.61,186887.0
2014-01-08,14.55,14.55,14.28,14.52,187253.0
2014-01-07,14.58,14.71,14.52,14.61,172355.0
2014-01-06,14.9,15.03,14.46,14.5,245206.0
2014-01-03,15.57,15.94,14.86,14.91,723715.0
2014-01-02,13.82,14.26,13.75,14.24,227421.0
2013-12-31,14.5,14.54,14.29,14.33,108513.0
2013-12-30,14.52,14.71,14.36,14.47,71513.0
2013-12-27,14.68,14.69,14.49,14.55,88652.0
2013-12-26,14.48,14.69,14.2,14.65,156875.0
2013-12-24,14.17,14.49,14.0,14.44,88911.0
2013-12-23,13.81,14.2,13.81,14.19,152804.0
2013-12-20,13.27,13.78,13.16,13.77,552395.0
2013-12-19,13.45,13.45,13.23,13.23,79011.0
2013-12-18,13.33,13.49,13.16,13.47,124112.0
2013-12-17,13.47,13.47,13.21,13.3,84777.0
2013-12-16,13.34,13.58,13.28,13.48,88342.0
2013-12-13,13.29,13.33,13.09,13.3,56422.0
2013-12-12,13.17,13.3,13.03,13.25,63402.0
2013-12-11,13.41,13.42,13.04,13.16,74586.0
2013-12-10,13.6,13.69,13.27,13.39,103594.0
2013-12-09,13.72,13.79,13.46,13.66,86179.0
2013-12-06,13.73,13.83,13.63,13.71,57589.0
2013-12-05,13.47,13.64,13.44,13.56,35959.0
2013-12-04,13.9,13.94,13.39,13.51,89897.0
2013-12-03,13.99,14.27,13.92,13.96,133513.0
2013-12-02,14.12,14.17,13.83,13.95,182824.0
2013-11-29,14.09,14.33,13.96,14.22,95920.0
2013-11-27,13.84,14.08,13.76,14.04,78588.0
2013-11-26,13.87,14.01,13.79,13.84,128503.0
2013-11-25,13.74,14.0,13.67,13.83,156738.0
2013-11-22,13.41,13.8,13.41,13.74,172651.0
2013-11-21,13.1,13.47,12.87,13.39,78333.0
2013-11-20,12.92,13.12,12.87,13.05,151497.0
2013-11-19,13.02,13.19,12.82,12.9,63447.0
2013-11-18,13.04,13.26,12.93,13.09,60722.0
2013-11-15,12.99,13.05,12.83,12.99,64210.0
2013-11-14,13.14,13.18,12.99,13.01,59877.0
2013-11-13,12.89,13.14,12.81,13.12,92876.0
2013-11-12,12.79,13.06,12.73,13.02,50115.0
2013-11-11,12.85,13.0,12.75,12.83,196973.0
2013-11-08,12.63,12.97,12.63,12.91,118051.0
2013-11-07,12.93,13.11,12.6,12.64,50852.0
2013-11-06,13.02,13.09,12.82,12.84,39158.0
2013-11-05,13.13,13.26,12.95,12.96,83294.0
2013-11-04,12.99,13.21,12.95,13.17,147264.0
2013-11-01,12.74,13.01,12.56,12.97,181718.0
2013-10-31,12.94,13.02,12.75,12.76,209482.0
2013-10-30,13.28,13.33,12.91,12.95,138988.0
2013-10-29,13.07,13.37,13.07,13.29,97948.0
2013-10-28,12.91,13.1,12.78,13.07,121456.0
2013-10-25,12.99,13.02,12.86,12.94,108690.0
2013-10-24,13.09,13.1,12.81,12.94,175747.0
2013-10-23,13.0,13.17,12.97,13.05,143379.0
2013-10-22,12.87,13.16,12.84,13.06,136719.0
2013-10-21,12.87,13.0,12.76,12.82,241023.0
2013-10-18,12.73,12.91,12.58,12.89,257704.0
2013-10-17,12.49,12.62,12.04,12.6,113394.0
2013-10-16,12.33,12.62,12.26,12.58,112594.0
2013-10-15,12.21,12.41,12.21,12.27,360433.0
2013-10-14,12.15,12.35,12.04,12.28,188952.0
2013-10-11,11.94,12.21,11.93,12.2,167604.0
2013-10-10,11.82,12.08,11.8,12.02,219207.0
2013-10-09,11.72,11.78,11.64,11.67,198989.0
2013-10-08,11.88,11.95,11.66,11.68,199775.0
2013-10-07,11.87,11.98,11.8,11.86,238808.0
2013-10-04,11.85,12.02,11.85,11.96,202860.0
2013-10-03,12.04,12.1,11.88,11.88,264597.0
2013-10-02,12.76,13.13,11.8,12.1,838534.0
2013-10-01,13.59,13.75,13.53,13.68,203291.0
2013-09-30,13.41,13.65,13.4,13.57,211823.0
2013-09-27,13.37,13.72,13.25,13.6,97772.0
2013-09-26,13.56,13.61,13.27,13.49,77186.0
2013-09-25,13.74,13.88,13.54,13.56,72062.0
2013-09-24,13.7,13.81,13.47,13.74,107047.0
2013-09-23,13.84,13.89,13.55,13.7,78591.0
2013-09-20,13.79,13.93,13.68,13.86,398138.0
2013-09-19,13.74,13.82,13.58,13.79,47568.0
2013-09-18,13.6,13.91,13.39,13.69,72608.0
2013-09-17,13.52,13.72,13.48,13.64,88569.0
2013-09-16,13.71,13.78,13.27,13.55,138468.0
2013-09-13,13.12,13.56,13.09,13.51,174190.0
2013-09-12,12.89,13.14,12.79,13.13,102573.0
2013-09-11,12.8,13.0,12.68,12.86,92743.0
2013-09-10,12.97,13.0,12.64,12.85,113894.0
2013-09-09,12.57,12.9,12.45,12.88,77607.0
2013-09-06,12.55,12.58,12.12,12.56,111391.0
2013-09-05,12.35,12.51,12.31,12.46,160799.0
2013-09-04,12.49,12.58,12.31,12.36,70346.0
2013-09-03,12.38,12.57,12.31,12.5,98993.0
