Date,Open,High,Low,Close,Volume
2014-04-07,7.47,7.76,7.41,7.7,11139358.0
2014-04-04,8.07,8.09,7.5,7.5,15917509.0
2014-04-03,8.04,8.21,7.91,8.01,11086325.0
2014-04-02,8.08,8.09,7.96,8.07,11951420.0
2014-04-01,7.93,8.06,7.9,8.03,15760829.0
2014-03-31,7.84,7.94,7.81,7.88,8814020.0
2014-03-28,7.68,7.88,7.61,7.7,15007736.0
2014-03-27,7.55,7.75,7.52,7.69,7060447.0
2014-03-26,7.83,7.84,7.53,7.57,9058666.0
2014-03-25,7.72,7.86,7.7,7.78,3746524.0
2014-03-24,7.68,7.75,7.6,7.68,10642347.0
2014-03-21,7.95,7.96,7.64,7.67,11741559.0
2014-03-20,7.68,7.94,7.66,7.93,6318752.0
2014-03-19,7.78,7.89,7.66,7.7,4510689.0
2014-03-18,7.68,7.77,7.62,7.76,7303903.0
2014-03-17,7.72,7.75,7.59,7.6,6280605.0
2014-03-14,7.46,7.72,7.44,7.66,7291921.0
2014-03-13,7.39,7.52,7.36,7.5,12718526.0
2014-03-12,7.23,7.37,7.19,7.31,10654591.0
2014-03-11,7.3,7.42,7.2,7.23,9750623.0
2014-03-10,7.29,7.45,7.19,7.23,10022150.0
2014-03-07,7.55,7.58,7.31,7.35,8974893.0
2014-03-06,7.52,7.54,7.36,7.5,6832291.0
2014-03-05,7.32,7.53,7.29,7.52,15051614.0
2014-03-04,7.17,7.43,7.11,7.33,13200716.0
2014-03-03,7.2,7.24,7.08,7.09,14287390.0
2014-02-28,7.02,7.22,6.98,7.08,10856836.0
2014-02-27,6.97,7.18,6.95,7.0,13802773.0
2014-02-26,6.7,7.04,6.7,7.01,20857566.0
2014-02-25,6.85,6.94,6.51,6.66,25966288.0
2014-02-24,6.66,7.08,6.44,7.03,76442007.0
2014-02-21,5.99,5.99,5.77,5.81,5459372.0
2014-02-20,5.91,5.99,5.76,5.96,6273301.0
2014-02-19,5.88,6.04,5.85,5.93,5274399.0
2014-02-18,5.9,5.98,5.87,5.93,3902872.0
2014-02-14,5.93,5.98,5.87,5.88,3783257.0
2014-02-13,5.81,5.96,5.76,5.91,5600183.0
2014-02-12,5.56,5.89,5.55,5.83,6319462.0
2014-02-11,5.57,5.73,5.54,5.67,5544663.0
2014-02-10,5.57,5.6,5.52,5.59,3276457.0
2014-02-07,5.56,5.62,5.5,5.56,6149473.0
2014-02-06,5.45,5.56,5.39,5.5,5715392.0
2014-02-05,5.38,5.48,5.35,5.41,6216225.0
2014-02-04,5.21,5.42,5.21,5.4,11500666.0
2014-02-03,5.31,5.44,5.13,5.16,8848159.0
2014-01-31,5.2,5.48,5.16,5.33,8731903.0
2014-01-30,5.31,5.34,5.19,5.27,10367820.0
2014-01-29,4.97,5.37,4.97,5.35,37559265.0
2014-01-28,4.84,4.89,4.7,4.89,12636782.0
2014-01-27,4.73,4.93,4.7,4.9,13470712.0
2014-01-24,4.62,4.67,4.56,4.62,6990905.0
2014-01-23,4.8,4.81,4.67,4.68,6371239.0
2014-01-22,4.88,4.88,4.66,4.76,6638591.0
2014-01-21,5.0,5.02,4.74,4.81,10671799.0
2014-01-17,4.95,5.04,4.92,4.98,9613338.0
2014-01-16,4.95,4.96,4.81,4.84,4954768.0
2014-01-15,4.95,4.96,4.86,4.94,4843946.0
2014-01-14,4.89,4.96,4.87,4.89,6528690.0
2014-01-13,4.6,4.84,4.55,4.82,14643387.0
2014-01-10,4.58,4.64,4.5,4.51,10290119.0
2014-01-09,4.71,4.79,4.53,4.55,10903220.0
2014-01-08,4.86,4.89,4.71,4.76,9226140.0
2014-01-07,4.85,4.93,4.81,4.84,3890016.0
2014-01-06,4.89,4.91,4.77,4.85,3875726.0
2014-01-03,4.93,4.95,4.84,4.85,5907684.0
2014-01-02,5.13,5.15,4.82,4.85,13953801.0
2013-12-31,5.23,5.23,5.12,5.16,4095559.0
2013-12-30,5.16,5.22,5.16,5.2,1912357.0
2013-12-27,5.19,5.21,5.11,5.16,3069024.0
2013-12-26,5.3,5.34,5.16,5.17,3780523.0
2013-12-24,5.19,5.32,5.17,5.26,2889520.0
2013-12-23,5.05,5.19,5.01,5.17,6515028.0
2013-12-20,4.9,4.98,4.9,4.95,6325334.0
2013-12-19,5.0,5.01,4.8,4.87,8020549.0
2013-12-18,5.07,5.07,4.94,5.03,4353755.0
2013-12-17,5.02,5.09,4.98,5.04,3530324.0
2013-12-16,5.08,5.12,5.03,5.04,2336824.0
2013-12-13,5.02,5.08,4.94,5.04,4381223.0
2013-12-12,5.15,5.17,5.02,5.03,3229408.0
2013-12-11,5.24,5.28,5.09,5.11,4141784.0
2013-12-10,5.36,5.39,5.24,5.25,3917330.0
2013-12-09,5.26,5.37,5.23,5.37,2992890.0
2013-12-06,5.34,5.35,5.2,5.22,3174921.0
2013-12-05,5.26,5.34,5.21,5.31,3160623.0
2013-12-04,5.17,5.29,5.17,5.26,2997334.0
2013-12-03,5.26,5.32,5.18,5.21,3246902.0
2013-12-02,5.25,5.3,5.18,5.27,3702952.0
2013-11-29,5.27,5.29,5.21,5.28,2385683.0
2013-11-27,5.15,5.27,5.12,5.23,2444457.0
2013-11-26,5.17,5.2,5.1,5.14,3033875.0
2013-11-25,5.12,5.2,5.1,5.18,2650030.0
2013-11-22,5.1,5.14,5.09,5.12,2210463.0
2013-11-21,4.97,5.1,4.93,5.09,3073202.0
2013-11-20,4.95,4.99,4.92,4.93,2450115.0
2013-11-19,5.0,5.03,4.9,4.92,3725742.0
2013-11-18,5.15,5.15,4.99,5.01,3051699.0
2013-11-15,5.11,5.15,5.03,5.13,3804755.0
2013-11-14,5.12,5.16,5.06,5.13,2556821.0
2013-11-13,5.06,5.14,5.04,5.14,2575300.0
