Date,Open,High,Low,Close,Volume
2014-04-07,64.64,65.83,64.27,64.84,902586.0
2014-04-04,64.26,65.25,63.67,64.51,829130.0
2014-04-03,63.38,63.52,62.35,63.0,712705.0
2014-04-02,63.92,64.48,63.52,63.79,626526.0
2014-04-01,62.76,63.67,62.52,63.14,624816.0
2014-03-31,63.38,64.55,62.39,62.62,599393.0
2014-03-28,62.99,64.17,62.42,63.5,627840.0
2014-03-27,62.05,63.3,62.02,63.22,796210.0
2014-03-26,65.58,65.58,62.44,62.51,950039.0
2014-03-25,64.21,65.54,64.04,64.77,660105.0
2014-03-24,67.41,67.6,63.71,63.98,1375266.0
2014-03-21,69.98,70.87,68.33,68.38,1624183.0
2014-03-20,67.78,69.83,67.27,69.19,731216.0
2014-03-19,69.56,70.41,68.28,68.5,1085932.0
2014-03-18,69.71,71.39,69.16,70.5,791419.0
2014-03-17,71.57,72.23,70.53,70.63,931719.0
2014-03-14,72.3,72.9,71.08,71.19,973036.0
2014-03-13,70.49,72.57,69.73,71.94,1100965.0
2014-03-12,69.7,70.56,69.31,70.5,850954.0
2014-03-11,69.32,69.8,67.81,68.72,649317.0
2014-03-10,68.38,69.05,67.61,68.81,693216.0
2014-03-07,69.01,69.27,67.4,68.77,733200.0
2014-03-06,69.19,70.24,68.91,70.06,683678.0
2014-03-05,69.1,69.85,68.29,69.01,630535.0
2014-03-04,68.39,69.5,67.68,69.03,646451.0
2014-03-03,69.75,70.44,68.41,68.87,873143.0
2014-02-28,68.57,69.35,68.01,68.71,841767.0
2014-02-27,67.84,69.08,67.41,68.39,762610.0
2014-02-26,67.02,68.94,66.8,67.82,1009558.0
2014-02-25,67.25,68.05,65.84,66.8,1189391.0
2014-02-24,68.02,69.48,67.55,68.0,994103.0
2014-02-21,67.95,68.04,66.16,67.11,1466445.0
2014-02-20,65.67,67.89,65.28,67.83,879475.0
2014-02-19,66.74,67.63,65.44,65.75,976092.0
2014-02-18,67.36,67.7,66.0,67.32,1172434.0
2014-02-14,67.08,68.94,65.26,66.81,1478927.0
2014-02-13,63.21,66.08,63.21,65.89,963481.0
2014-02-12,64.58,64.9,62.8,63.23,1472135.0
2014-02-11,63.63,65.95,63.24,65.2,1524758.0
2014-02-10,62.47,63.67,62.0,62.54,1475322.0
2014-02-07,59.22,61.7,58.92,61.55,1232008.0
2014-02-06,59.31,59.91,58.62,58.89,1306574.0
2014-02-05,57.8,59.26,56.8,58.87,1856938.0
2014-02-04,54.71,56.8,54.21,56.73,1060805.0
2014-02-03,56.69,56.99,54.77,54.85,1393724.0
2014-01-31,54.24,56.25,53.49,55.94,1228154.0
2014-01-30,54.0,54.33,53.02,53.65,1034060.0
2014-01-29,56.2,56.52,54.56,55.63,1166747.0
2014-01-28,54.37,55.37,53.27,55.21,1076572.0
2014-01-27,56.04,56.05,54.2,54.37,980771.0
2014-01-24,56.72,57.52,54.92,55.99,995432.0
2014-01-23,55.64,56.74,55.25,56.05,818138.0
2014-01-22,56.28,56.49,54.31,54.84,821591.0
2014-01-21,54.64,56.23,53.71,56.1,1406786.0
2014-01-17,53.5,55.02,53.4,53.61,1100122.0
2014-01-16,53.2,53.46,52.44,53.2,570032.0
2014-01-15,51.26,52.7,51.01,52.65,631255.0
2014-01-14,51.43,53.15,50.87,51.27,1128187.0
2014-01-13,51.31,51.44,50.03,51.39,685821.0
2014-01-10,48.96,51.12,48.51,50.93,956900.0
2014-01-09,48.34,48.69,48.03,48.22,545545.0
2014-01-08,48.52,48.81,47.73,48.44,685546.0
2014-01-07,48.51,49.11,47.91,49.07,619678.0
2014-01-06,49.25,49.45,48.74,49.06,812145.0
2014-01-03,49.38,49.79,48.6,49.05,968536.0
2014-01-02,47.1,49.25,47.02,49.04,1173962.0
2013-12-31,44.8,46.19,44.29,46.07,728314.0
2013-12-30,46.19,46.51,45.01,45.1,786078.0
2013-12-27,46.28,46.77,45.94,46.72,471753.0
2013-12-26,46.11,46.95,45.45,46.02,451256.0
2013-12-24,44.24,45.94,44.16,45.82,340051.0
2013-12-23,44.07,44.31,43.6,44.26,561036.0
2013-12-20,43.72,44.18,43.42,44.06,1692318.0
2013-12-19,43.97,44.23,43.43,43.54,877218.0
2013-12-18,45.54,46.29,44.66,44.85,836097.0
2013-12-17,45.45,46.08,45.0,45.49,527820.0
2013-12-16,45.45,46.2,45.23,45.72,644524.0
2013-12-13,45.57,45.89,44.94,45.32,447140.0
