Date,Open,High,Low,Close,Volume
2014-04-07,11.17,11.5,10.93,11.12,1357307.0
2014-04-04,11.51,11.66,11.14,11.17,2462422.0
2014-04-03,11.59,11.82,11.45,11.5,1396353.0
2014-04-02,11.41,11.77,11.12,11.61,2076352.0
2014-04-01,10.74,11.46,10.74,11.34,1945787.0
2014-03-31,10.75,10.88,10.68,10.75,879019.0
2014-03-28,10.67,10.93,10.64,10.73,1037976.0
2014-03-27,10.37,10.7,10.28,10.69,969151.0
2014-03-26,10.75,11.0,10.33,10.35,891396.0
2014-03-25,10.5,10.78,10.4,10.6,670679.0
2014-03-24,10.34,10.61,10.28,10.47,699014.0
2014-03-21,10.7,10.7,10.23,10.3,1252720.0
2014-03-20,10.7,10.72,10.45,10.61,646031.0
2014-03-19,10.73,10.94,10.55,10.7,1784835.0
2014-03-18,9.87,10.8,9.85,10.56,2255565.0
2014-03-17,9.98,10.05,9.82,9.91,579981.0
2014-03-14,9.7,9.97,9.56,9.89,658175.0
2014-03-13,9.99,10.0,9.72,9.79,793187.0
2014-03-12,9.94,10.05,9.74,9.97,669901.0
2014-03-11,9.9,10.2,9.76,9.98,1306501.0
2014-03-10,9.66,9.94,9.58,9.87,1032319.0
2014-03-07,9.48,9.67,9.18,9.66,833081.0
2014-03-06,9.5,9.51,9.32,9.41,436799.0
2014-03-05,9.38,9.49,9.28,9.48,553843.0
2014-03-04,9.29,9.5,9.29,9.42,888706.0
2014-03-03,9.12,9.28,8.95,9.18,709077.0
2014-02-28,9.36,9.59,9.17,9.22,497923.0
2014-02-27,9.45,9.53,9.27,9.32,455668.0
2014-02-26,9.35,9.54,9.35,9.46,449512.0
2014-02-25,9.34,9.4,9.12,9.37,567524.0
2014-02-24,9.35,9.51,9.31,9.36,809537.0
2014-02-21,9.57,9.59,9.28,9.35,1109139.0
2014-02-20,9.07,9.39,9.07,9.37,717814.0
2014-02-19,9.25,9.38,9.04,9.07,826601.0
2014-02-18,9.0,9.36,8.85,9.32,951216.0
2014-02-14,8.97,9.12,8.81,9.11,798814.0
2014-02-13,8.83,9.03,8.75,8.95,616579.0
2014-02-12,8.82,9.04,8.82,8.88,669044.0
2014-02-11,8.77,8.9,8.77,8.84,531375.0
2014-02-10,8.79,8.89,8.74,8.77,651121.0
2014-02-07,8.88,8.91,8.72,8.83,681365.0
2014-02-06,8.87,8.98,8.84,8.87,511755.0
2014-02-05,8.96,8.96,8.65,8.85,1068376.0
2014-02-04,9.1,9.15,8.96,9.0,997909.0
2014-02-03,8.9,8.99,8.65,8.76,1111492.0
2014-01-31,8.78,9.0,8.74,8.91,1203357.0
2014-01-30,9.12,9.2,8.9,8.93,1085050.0
2014-01-29,8.8,9.17,8.7,9.02,1838539.0
2014-01-28,9.25,9.56,8.76,8.89,4523508.0
2014-01-27,9.11,9.73,8.96,9.58,2705691.0
2014-01-24,9.09,9.17,8.95,8.99,1265063.0
2014-01-23,9.0,9.25,8.94,9.15,2085167.0
2014-01-22,8.48,8.64,8.41,8.62,469694.0
2014-01-21,8.55,8.65,8.43,8.49,551831.0
2014-01-17,8.59,8.71,8.51,8.52,572742.0
2014-01-16,8.65,8.67,8.5,8.57,548467.0
2014-01-15,8.67,8.84,8.61,8.7,674313.0
2014-01-14,8.5,8.72,8.41,8.69,786280.0
2014-01-13,8.68,8.81,8.38,8.44,1151080.0
2014-01-10,8.71,8.74,8.56,8.69,1558316.0
2014-01-09,9.1,9.15,8.65,8.74,1246878.0
2014-01-08,9.12,9.17,8.99,9.05,981033.0
2014-01-07,9.22,9.26,9.03,9.12,1775660.0
2014-01-06,9.55,9.61,9.1,9.2,2133879.0
2014-01-03,9.58,9.7,9.56,9.6,352429.0
2014-01-02,9.4,9.59,9.26,9.56,502671.0
2013-12-31,9.64,9.73,9.45,9.47,588962.0
2013-12-30,9.52,9.81,9.48,9.66,644320.0
2013-12-27,9.6,9.65,9.38,9.57,567683.0
2013-12-26,9.58,9.66,9.51,9.56,402821.0
2013-12-24,9.54,9.65,9.46,9.56,339650.0
2013-12-23,9.61,9.66,9.46,9.56,679635.0
2013-12-20,9.37,9.68,9.31,9.61,1497478.0
2013-12-19,9.2,9.38,9.1,9.32,2023936.0
2013-12-18,9.48,9.53,9.06,9.23,1260935.0
2013-12-17,9.53,9.66,9.41,9.49,1218975.0
2013-12-16,9.58,9.77,9.49,9.5,1538856.0
2013-12-13,9.61,9.79,9.44,9.54,1371652.0
2013-12-12,9.98,10.07,9.57,9.57,1492830.0
2013-12-11,9.76,10.11,9.68,10.0,3499568.0
2013-12-10,9.25,10.57,9.25,9.58,11749263.0
2013-12-09,8.57,8.67,8.47,8.53,354475.0
2013-12-06,8.64,8.65,8.51,8.58,377899.0
2013-12-05,8.4,8.61,8.4,8.56,430299.0
2013-12-04,8.38,8.52,8.25,8.43,408856.0
2013-12-03,8.5,8.65,8.39,8.44,530375.0
2013-12-02,8.57,8.64,8.47,8.52,388022.0
2013-11-29,8.71,8.73,8.56,8.59,279947.0
2013-11-27,8.62,8.68,8.51,8.65,413805.0
2013-11-26,8.51,8.7,8.48,8.65,288031.0
2013-11-25,8.66,8.73,8.5,8.53,267446.0
2013-11-22,8.74,8.83,8.54,8.63,505671.0
2013-11-21,8.38,8.74,8.31,8.73,914608.0
2013-11-20,8.33,8.37,8.18,8.35,604640.0
2013-11-19,8.35,8.46,8.26,8.28,555629.0
2013-11-18,8.55,8.63,8.34,8.37,533860.0
2013-11-15,8.68,8.71,8.51,8.55,546718.0
2013-11-14,8.97,8.98,8.63,8.69,353490.0
2013-11-13,8.72,9.04,8.69,8.99,754817.0
2013-11-12,8.34,8.83,8.28,8.79,1097972.0
2013-11-11,8.42,8.46,8.29,8.35,749319.0
2013-11-08,8.17,8.48,8.17,8.46,454922.0
2013-11-07,8.54,8.6,8.15,8.18,893313.0
2013-11-06,8.72,8.72,8.43,8.53,413069.0
2013-11-05,8.54,8.7,8.4,8.64,529740.0
2013-11-04,8.73,8.74,8.51,8.58,865760.0
2013-11-01,8.79,8.88,8.69,8.73,655614.0
2013-10-31,8.63,8.84,8.63,8.74,642928.0
2013-10-30,8.74,8.83,8.59,8.65,751422.0
2013-10-29,8.48,8.71,8.48,8.71,949718.0
2013-10-28,8.55,8.73,8.38,8.46,2089611.0
2013-10-25,8.72,8.8,8.55,8.55,816541.0
2013-10-24,8.9,9.0,8.65,8.71,938309.0
2013-10-23,9.1,9.18,8.88,8.94,1097808.0
2013-10-22,9.29,9.31,9.01,9.2,1134860.0
2013-10-21,9.48,9.54,9.16,9.28,1109968.0
2013-10-18,9.74,9.75,9.34,9.48,1585853.0
2013-10-17,9.43,9.65,9.31,9.6,1049288.0
2013-10-16,9.45,9.6,9.36,9.54,763812.0
2013-10-15,9.61,9.63,9.32,9.39,1478083.0
2013-10-14,9.18,9.72,9.12,9.61,903147.0
2013-10-11,9.43,9.52,9.26,9.31,966955.0
2013-10-10,9.19,9.5,9.14,9.44,808788.0
2013-10-09,9.11,9.15,8.86,9.05,873323.0
2013-10-08,9.24,9.4,8.94,9.03,982392.0
2013-10-07,9.25,9.35,9.15,9.21,498053.0
2013-10-04,9.29,9.44,9.24,9.36,412962.0
2013-10-03,9.52,9.57,9.12,9.32,651325.0
2013-10-02,9.59,9.67,9.4,9.55,729675.0
2013-10-01,9.45,9.69,9.35,9.68,1647376.0
2013-09-30,9.0,9.48,8.91,9.4,1511567.0
2013-09-27,9.01,9.21,9.01,9.17,494459.0
2013-09-26,9.15,9.16,8.97,9.06,790445.0
2013-09-25,9.29,9.4,9.1,9.14,756113.0
2013-09-24,8.89,9.4,8.85,9.25,1981105.0
2013-09-23,8.9,8.94,8.77,8.89,872138.0
2013-09-20,8.91,9.24,8.87,8.91,1669513.0
2013-09-19,8.68,8.83,8.64,8.83,576072.0
2013-09-18,8.56,8.67,8.38,8.64,448142.0
2013-09-17,8.43,8.53,8.39,8.53,341394.0
2013-09-16,8.57,8.61,8.4,8.43,530617.0
2013-09-13,8.49,8.56,8.38,8.46,587064.0
2013-09-12,8.79,8.84,8.43,8.45,1175188.0
2013-09-11,9.06,9.15,8.79,8.8,808023.0
2013-09-10,8.97,9.17,8.93,9.12,743788.0
2013-09-09,8.86,8.94,8.78,8.94,576165.0
2013-09-06,9.06,9.07,8.61,8.84,1012542.0
2013-09-05,8.78,9.02,8.78,8.98,1677845.0
2013-09-04,8.28,8.76,8.28,8.75,1488456.0
2013-09-03,8.29,8.48,8.19,8.3,463543.0
2013-08-30,8.32,8.35,8.12,8.16,754096.0
2013-08-29,8.33,8.49,8.27,8.34,405505.0
2013-08-28,8.01,8.32,7.95,8.3,825404.0
2013-08-27,8.51,8.51,7.99,8.04,947166.0
2013-08-26,8.43,8.69,8.3,8.61,761156.0
2013-08-23,8.5,8.53,8.4,8.44,268814.0
2013-08-22,8.46,8.63,8.28,8.47,567504.0
2013-08-21,8.51,8.56,8.4,8.42,653833.0
2013-08-20,8.5,8.63,8.45,8.57,658639.0
2013-08-19,8.76,8.94,8.48,8.49,920564.0
2013-08-16,8.54,8.81,8.54,8.73,1083650.0
2013-08-15,8.79,8.79,8.57,8.59,850314.0
2013-08-14,8.87,8.96,8.85,8.89,804931.0
2013-08-13,8.79,8.92,8.77,8.9,3364325.0
