Date,Open,High,Low,Close,Volume
2014-04-07,63.74,64.52,62.29,62.72,87469.0
2014-04-04,65.67,65.82,63.35,63.95,92201.0
2014-04-03,64.94,65.16,64.26,65.02,61322.0
2014-04-02,63.9,65.17,63.14,65.09,69825.0
2014-04-01,63.55,64.34,63.18,63.56,136524.0
2014-03-31,63.52,64.02,62.97,63.7,107730.0
2014-03-28,63.49,64.98,62.8,62.97,90768.0
2014-03-27,63.43,63.81,62.04,63.53,95101.0
2014-03-26,65.2,65.2,63.22,63.32,88250.0
2014-03-25,65.59,66.26,64.43,64.54,96019.0
2014-03-24,66.19,66.66,64.34,65.19,70924.0
2014-03-21,66.01,67.25,65.29,65.98,96693.0
2014-03-20,65.21,65.99,65.14,65.54,43420.0
2014-03-19,66.25,66.25,65.16,65.39,57463.0
2014-03-18,66.04,66.44,65.49,66.1,57064.0
2014-03-17,64.87,66.12,64.87,65.83,58520.0
2014-03-14,64.8,65.29,64.22,64.5,50772.0
2014-03-13,65.66,65.66,64.46,64.86,98922.0
2014-03-12,64.59,65.34,64.26,65.22,54015.0
2014-03-11,66.81,66.81,64.32,65.11,98739.0
2014-03-10,67.03,67.17,66.03,66.64,84869.0
2014-03-07,67.25,68.07,66.18,67.13,81604.0
2014-03-06,65.75,67.0,65.3,66.71,83787.0
2014-03-05,64.68,65.7,64.11,65.68,78645.0
2014-03-04,64.35,65.94,63.51,64.6,144728.0
2014-03-03,63.67,64.53,62.63,63.48,112456.0
2014-02-28,65.05,65.5,63.9,64.25,152805.0
2014-02-27,64.95,66.13,64.42,64.84,98766.0
2014-02-26,64.78,66.0,64.4,64.82,59545.0
2014-02-25,64.36,64.84,63.84,64.51,75798.0
2014-02-24,63.39,65.1,63.21,64.3,117498.0
2014-02-21,62.98,63.6,62.54,63.06,229344.0
2014-02-20,62.5,62.9,62.35,62.66,95663.0
2014-02-19,63.65,63.65,61.99,62.38,79764.0
2014-02-18,63.36,63.99,63.17,63.65,63640.0
2014-02-14,63.79,64.33,62.79,62.98,280382.0
2014-02-13,62.51,64.03,62.14,63.79,79802.0
2014-02-12,64.05,65.27,62.29,62.87,115758.0
2014-02-11,61.22,62.81,60.83,61.63,113509.0
2014-02-10,61.41,61.5,59.81,61.1,156099.0
2014-02-07,61.26,61.65,59.97,61.31,146611.0
2014-02-06,61.35,61.69,57.12,61.11,224952.0
2014-02-05,63.17,63.25,62.14,62.44,68821.0
2014-02-04,62.45,63.88,61.37,63.26,104358.0
2014-02-03,64.81,64.89,61.74,62.38,100630.0
2014-01-31,64.89,65.9,63.59,64.84,80415.0
2014-01-30,65.72,66.98,64.81,65.94,83354.0
2014-01-29,65.75,66.69,64.86,64.96,57337.0
2014-01-28,66.24,66.66,65.53,66.43,72906.0
2014-01-27,66.94,67.48,65.56,66.32,52074.0
2014-01-24,67.68,67.74,66.13,66.87,52605.0
2014-01-23,69.19,69.19,68.02,68.11,45465.0
2014-01-22,69.58,69.71,69.04,69.36,45736.0
2014-01-21,69.58,69.87,68.64,69.59,59291.0
2014-01-17,69.39,69.98,68.24,68.92,81843.0
2014-01-16,69.64,69.82,69.01,69.35,38242.0
2014-01-15,68.73,69.56,68.53,69.55,71146.0
2014-01-14,67.5,68.62,67.05,68.36,44060.0
2014-01-13,68.6,68.97,66.96,67.42,83522.0
2014-01-10,69.85,70.21,68.42,68.82,90948.0
2014-01-09,69.41,69.87,68.94,69.68,83414.0
2014-01-08,69.56,69.87,68.78,69.46,78710.0
2014-01-07,68.74,69.87,68.11,69.46,74883.0
2014-01-06,69.49,69.92,68.33,68.35,96261.0
2014-01-03,69.45,69.89,68.59,69.36,127696.0
2014-01-02,70.68,70.9,69.55,69.63,113665.0
2013-12-31,70.87,71.25,70.58,70.75,75958.0
2013-12-30,70.77,71.0,70.29,70.75,104451.0
2013-12-27,70.55,70.95,70.24,70.59,79315.0
2013-12-26,69.95,71.06,69.5,70.24,179155.0
2013-12-24,68.28,70.07,67.81,69.52,61460.0
