Date,Open,High,Low,Close,Volume
2014-04-07,72.19,72.57,70.58,70.77,1317276.0
2014-04-04,73.65,73.78,72.29,72.38,1158601.0
2014-04-03,73.65,74.28,73.2,73.42,969547.0
2014-04-02,72.8,73.83,72.74,73.5,1871143.0
2014-04-01,72.01,72.93,71.69,72.9,1572296.0
2014-03-31,72.25,72.6,71.31,71.57,1592801.0
2014-03-28,71.55,72.57,71.4,72.1,1475464.0
2014-03-27,71.32,71.72,70.66,71.41,1857332.0
2014-03-26,71.86,72.31,71.09,71.21,1318368.0
2014-03-25,73.4,73.72,71.57,71.67,1902930.0
2014-03-24,74.1,74.41,72.57,73.29,1845386.0
2014-03-21,73.47,74.03,72.86,72.97,3068067.0
2014-03-20,72.38,73.08,72.3,72.77,991936.0
2014-03-19,73.12,73.8,72.17,72.66,1037883.0
2014-03-18,74.93,74.93,73.1,73.25,1516443.0
2014-03-17,72.99,74.14,72.83,74.09,1977661.0
2014-03-14,72.16,73.32,72.16,72.67,2090828.0
2014-03-13,72.36,72.57,72.03,72.3,1212459.0
2014-03-12,73.03,73.03,71.97,72.38,1330392.0
2014-03-11,72.33,72.61,71.78,72.25,1456390.0
2014-03-10,71.86,72.5,71.66,72.36,1265227.0
2014-03-07,72.14,72.26,71.19,72.05,1768737.0
2014-03-06,71.97,72.08,71.2,71.75,1339033.0
2014-03-05,73.49,73.49,71.65,71.95,1879094.0
2014-03-04,72.63,73.28,72.4,72.45,1653293.0
2014-03-03,72.91,72.91,71.48,72.29,1648705.0
2014-02-28,73.83,73.9,71.57,72.8,4216313.0
2014-02-27,72.23,72.53,71.45,72.31,3011543.0
2014-02-26,70.84,72.0,69.99,71.69,4623176.0
2014-02-25,69.63,70.41,68.71,70.04,2541818.0
2014-02-24,67.65,69.49,67.41,69.27,2977063.0
2014-02-21,68.18,68.45,67.39,67.45,2336902.0
2014-02-20,67.98,68.64,67.26,67.65,2287130.0
2014-02-19,68.43,68.63,67.76,67.8,2250286.0
2014-02-18,69.37,69.46,68.32,68.32,2242053.0
2014-02-14,69.26,69.75,69.04,69.42,1905577.0
2014-02-13,70.18,70.18,69.15,69.58,1317307.0
2014-02-12,70.87,70.89,68.93,69.16,1419106.0
2014-02-11,69.28,70.0,69.23,69.53,1676907.0
2014-02-10,70.58,70.58,68.9,69.13,1631223.0
2014-02-07,69.02,69.6,68.32,69.36,1690569.0
2014-02-06,66.45,69.36,66.32,69.31,3025804.0
2014-02-05,65.68,66.44,65.15,66.29,4672724.0
2014-02-04,66.35,66.75,65.71,65.78,2445274.0
2014-02-03,68.0,68.2,65.87,65.93,3053333.0
2014-01-31,67.02,68.44,67.0,67.91,2284831.0
2014-01-30,68.04,68.19,67.56,67.96,1789168.0
2014-01-29,67.5,68.12,67.23,67.66,2616150.0
2014-01-28,68.39,69.04,67.63,67.77,2627332.0
2014-01-27,67.76,68.93,67.47,68.28,2878174.0
2014-01-24,67.84,68.63,67.71,67.83,2560702.0
2014-01-23,69.04,69.07,67.85,68.49,2734455.0
2014-01-22,71.33,71.34,69.21,69.26,2977829.0
2014-01-21,71.69,71.83,70.04,70.42,2503324.0
2014-01-17,72.05,72.05,71.22,71.39,1759417.0
2014-01-16,73.61,73.61,71.87,72.08,1645987.0
2014-01-15,73.17,73.55,72.5,72.77,1477966.0
2014-01-14,73.54,73.8,72.97,73.2,1043274.0
