Date,Open,High,Low,Close,Volume
2014-04-07,23.67,23.9,23.25,23.35,132466.0
2014-04-04,24.83,24.83,23.58,23.75,163756.0
2014-04-03,24.7,24.86,24.42,24.64,79633.0
2014-04-02,24.41,24.79,24.17,24.66,100587.0
2014-04-01,24.01,24.58,23.7,24.43,146833.0
2014-03-31,24.18,24.24,23.86,23.96,177809.0
2014-03-28,23.66,24.5,23.66,24.12,189410.0
2014-03-27,23.81,23.95,23.57,23.7,85981.0
2014-03-26,24.5,24.63,23.8,23.8,212624.0
2014-03-25,24.26,24.78,24.21,24.26,106321.0
2014-03-24,24.5,24.75,23.92,24.19,106915.0
2014-03-21,24.12,24.75,24.04,24.39,170091.0
2014-03-20,23.61,24.34,23.49,24.01,169097.0
2014-03-19,23.5,24.11,23.5,23.59,84227.0
2014-03-18,23.18,23.62,23.18,23.5,89400.0
2014-03-17,23.16,23.48,23.16,23.23,86661.0
2014-03-14,23.14,23.26,22.88,23.1,109228.0
2014-03-13,23.63,23.73,22.96,23.28,148246.0
2014-03-12,23.39,23.7,23.39,23.62,123514.0
2014-03-11,23.97,24.0,23.44,23.54,139583.0
2014-03-10,23.97,23.97,23.6,23.88,196423.0
2014-03-07,24.1,24.23,23.84,24.09,118628.0
2014-03-06,24.05,24.05,23.71,23.92,119117.0
2014-03-05,23.99,24.06,23.76,24.02,130199.0
2014-03-04,24.0,24.44,23.86,24.09,263963.0
2014-03-03,23.28,23.72,23.07,23.67,233638.0
2014-02-28,23.25,23.87,23.25,23.47,214304.0
2014-02-27,22.96,23.22,22.83,23.2,128207.0
2014-02-26,23.16,23.24,22.91,23.1,117890.0
2014-02-25,23.1,23.36,22.8,23.09,128757.0
2014-02-24,22.84,23.28,22.83,23.17,98783.0
2014-02-21,22.9,23.06,22.58,22.88,132522.0
2014-02-20,22.6,22.92,22.5,22.81,84175.0
2014-02-19,22.3,22.66,22.3,22.5,254353.0
2014-02-18,21.92,22.24,21.69,22.2,137578.0
2014-02-14,21.77,22.13,21.59,21.95,105251.0
2014-02-13,21.43,21.83,21.27,21.73,89474.0
2014-02-12,21.74,22.09,21.45,21.55,258178.0
2014-02-11,21.21,22.03,21.21,21.75,168922.0
2014-02-10,21.85,22.07,21.1,21.28,523740.0
2014-02-07,22.87,23.02,21.42,21.84,358857.0
2014-02-06,22.01,24.88,21.01,23.36,445881.0
2014-02-05,22.4,22.63,22.04,22.46,92631.0
2014-02-04,22.51,22.78,22.1,22.51,191940.0
2014-02-03,23.11,23.18,22.22,22.45,195440.0
2014-01-31,22.99,23.39,22.69,23.1,140817.0
2014-01-30,24.16,24.16,23.31,23.39,222933.0
2014-01-29,23.7,24.19,23.4,24.01,195768.0
2014-01-28,24.41,24.48,23.76,24.05,148939.0
2014-01-27,24.87,24.87,24.33,24.37,67644.0
2014-01-24,25.5,25.5,24.83,24.86,89926.0
2014-01-23,25.68,25.73,25.35,25.66,58809.0
2014-01-22,25.41,25.94,25.14,25.74,87153.0
2014-01-21,25.46,25.57,24.98,25.4,117713.0
2014-01-17,26.02,26.24,24.97,25.25,112897.0
2014-01-16,26.15,26.35,25.93,26.13,41632.0
2014-01-15,26.2,26.39,26.18,26.31,86692.0
2014-01-14,25.95,26.4,25.88,26.16,56528.0
2014-01-13,26.09,26.53,25.41,25.67,156781.0
2014-01-10,26.35,26.45,25.93,25.96,51676.0
2014-01-09,26.28,26.72,25.79,26.3,221698.0
2014-01-08,26.04,26.48,25.91,26.1,192583.0
2014-01-07,26.0,26.29,25.92,26.12,216749.0
2014-01-06,26.43,26.54,25.82,25.91,172725.0
2014-01-03,26.12,26.62,25.81,26.38,131303.0
2014-01-02,26.83,26.83,25.79,26.1,111124.0
2013-12-31,26.48,27.34,26.33,27.02,106673.0
2013-12-30,26.11,26.55,25.96,26.4,49400.0
2013-12-27,26.62,26.62,25.94,26.18,69128.0
2013-12-26,26.56,26.86,26.43,26.47,43496.0
2013-12-24,25.89,26.87,25.89,26.42,48399.0
2013-12-23,25.82,26.17,25.52,25.94,122040.0
2013-12-20,25.3,25.96,24.89,25.79,328589.0
2013-12-19,25.54,25.88,25.11,25.34,95630.0
2013-12-18,25.4,25.71,25.2,25.52,132746.0
2013-12-17,25.28,25.38,25.15,25.3,80881.0
2013-12-16,25.03,25.36,25.03,25.36,66628.0
2013-12-13,25.24,25.39,24.92,24.97,91876.0
2013-12-12,24.9,25.26,24.77,25.1,55339.0
2013-12-11,25.19,25.4,24.54,24.85,95597.0
2013-12-10,25.34,25.49,24.89,25.07,62384.0
2013-12-09,25.24,25.71,24.96,25.34,85548.0
2013-12-06,25.36,25.54,25.15,25.22,73487.0
2013-12-05,25.03,25.49,24.89,25.18,41738.0
2013-12-04,25.3,25.48,24.98,25.07,63086.0
2013-12-03,25.72,26.0,25.25,25.38,118195.0
2013-12-02,25.8,25.9,25.77,25.83,115501.0
2013-11-29,25.93,25.97,25.31,25.83,32161.0
2013-11-27,25.52,25.75,25.4,25.74,59131.0
2013-11-26,25.19,25.59,25.11,25.42,83401.0
2013-11-25,25.2,25.42,24.96,25.14,63149.0
2013-11-22,24.81,25.15,24.78,25.12,55084.0
2013-11-21,24.25,24.91,23.9,24.73,82737.0
2013-11-20,24.16,24.26,23.8,24.11,78951.0
2013-11-19,23.99,24.53,23.91,24.08,114941.0
2013-11-18,23.91,24.41,23.84,23.96,101103.0
2013-11-15,23.51,23.98,23.42,23.88,92644.0
2013-11-14,23.33,23.62,23.07,23.55,60989.0
2013-11-13,23.58,23.58,23.22,23.4,74318.0
2013-11-12,23.49,23.91,23.39,23.69,101169.0
2013-11-11,23.57,23.98,23.44,23.64,138609.0
2013-11-08,22.86,23.7,22.85,23.55,127062.0
2013-11-07,24.77,24.77,22.45,23.05,326070.0
2013-11-06,25.1,25.3,24.95,25.19,40666.0
2013-11-05,25.33,25.47,24.9,24.99,63026.0
2013-11-04,25.46,25.46,25.28,25.42,170392.0
2013-11-01,26.16,26.17,25.12,25.3,150744.0
2013-10-31,26.18,26.54,26.11,26.25,97250.0
2013-10-30,26.48,26.55,26.1,26.2,66673.0
2013-10-29,26.63,26.78,26.35,26.42,60968.0
2013-10-28,26.33,26.71,26.16,26.58,65109.0
2013-10-25,26.26,26.35,25.97,26.33,48675.0
2013-10-24,26.06,26.36,26.02,26.18,54828.0
2013-10-23,25.82,26.1,25.68,26.01,60057.0
2013-10-22,25.62,26.16,25.44,25.91,65446.0
2013-10-21,25.59,25.81,25.49,25.57,109076.0
2013-10-18,25.59,25.69,25.23,25.56,97230.0
2013-10-17,24.99,25.46,24.99,25.36,101478.0
2013-10-16,25.33,25.37,24.86,25.06,48826.0
2013-10-15,25.19,25.28,25.03,25.08,80020.0
2013-10-14,24.81,25.21,24.73,25.2,196646.0
2013-10-11,24.17,25.23,24.06,25.03,58590.0
2013-10-10,24.01,24.45,23.74,24.3,31378.0
2013-10-09,23.77,24.04,23.62,23.66,76073.0
2013-10-08,23.74,23.85,23.59,23.75,79284.0
2013-10-07,23.59,23.95,23.41,23.7,68966.0
2013-10-04,23.47,23.89,23.47,23.88,198125.0
2013-10-03,23.9,24.0,23.42,23.51,109609.0
2013-10-02,24.13,24.19,23.86,23.99,79453.0
2013-10-01,24.13,24.32,23.89,24.32,78226.0
2013-09-30,23.92,24.33,23.85,24.21,118488.0
2013-09-27,24.25,24.43,24.11,24.25,92932.0
2013-09-26,24.5,24.76,24.33,24.47,69565.0
2013-09-25,24.47,24.62,24.32,24.51,73075.0
2013-09-24,24.14,24.59,23.93,24.41,154109.0
2013-09-23,24.07,24.28,23.75,24.2,116941.0
2013-09-20,24.0,24.26,23.95,24.1,434518.0
2013-09-19,24.0,24.0,23.63,23.96,81658.0
2013-09-18,24.11,24.31,23.92,23.99,95854.0
2013-09-17,23.75,24.2,23.75,24.17,60179.0
2013-09-16,24.32,24.39,23.75,23.8,63764.0
2013-09-13,24.17,24.44,23.91,24.04,102084.0
2013-09-12,23.96,24.25,23.82,24.04,55449.0
2013-09-11,24.26,24.26,23.88,23.97,37736.0
2013-09-10,24.23,24.74,23.94,24.33,59204.0
2013-09-09,23.28,24.05,23.28,24.03,58532.0
2013-09-06,23.15,23.4,22.9,23.2,37777.0
2013-09-05,22.58,23.21,22.54,23.09,34506.0
2013-09-04,22.63,22.89,22.47,22.65,41809.0
2013-09-03,22.8,23.09,22.27,22.66,88270.0
2013-08-30,22.84,22.84,22.4,22.49,72910.0
2013-08-29,22.48,22.99,22.48,22.94,42149.0
2013-08-28,22.56,22.73,22.4,22.5,36634.0
2013-08-27,23.0,23.35,22.53,22.6,83462.0
2013-08-26,23.48,23.78,23.29,23.36,58487.0
2013-08-23,22.96,23.58,22.91,23.48,69519.0
2013-08-22,22.96,23.08,22.43,22.96,46697.0
2013-08-21,23.16,23.26,22.69,22.79,54436.0
2013-08-20,23.18,23.38,23.12,23.26,52685.0
2013-08-19,23.35,23.55,23.18,23.18,97243.0
2013-08-16,23.5,23.6,23.29,23.41,89352.0
2013-08-15,23.46,23.72,23.34,23.51,105642.0
2013-08-14,23.81,24.07,23.72,23.74,79925.0
2013-08-13,23.5,23.89,23.42,23.88,142176.0
2013-08-12,22.87,23.53,22.77,23.4,116426.0
2013-08-09,23.34,23.37,22.95,23.1,101862.0
2013-08-08,23.05,23.42,23.05,23.34,118803.0
2013-08-07,22.61,22.94,22.6,22.84,161314.0
2013-08-06,22.67,22.78,22.52,22.74,109815.0
2013-08-05,22.77,22.97,22.77,22.82,122449.0
2013-08-02,22.9,22.99,22.49,22.84,174484.0
2013-08-01,23.29,24.02,22.04,22.99,339013.0
2013-07-31,22.91,23.35,22.58,23.11,270099.0
2013-07-30,23.0,23.36,22.49,22.89,284149.0
2013-07-29,22.91,23.34,22.87,22.97,177879.0
2013-07-26,23.86,24.0,23.05,23.07,90521.0
2013-07-25,23.78,24.28,23.68,24.09,136088.0
2013-07-24,24.1,24.15,23.87,23.9,65372.0
2013-07-23,24.15,24.25,24.03,24.08,153956.0
2013-07-22,24.03,24.25,23.93,24.16,100744.0
2013-07-19,24.15,24.26,23.84,24.21,88668.0
2013-07-18,24.04,24.28,23.93,24.19,95204.0
2013-07-17,24.42,24.42,23.87,24.04,105713.0
2013-07-16,24.42,24.62,23.91,24.31,144780.0
