Date,Open,High,Low,Close,Volume
2014-04-07,19.7,20.1,19.63,19.87,1874280.0
2014-04-04,20.19,20.28,19.64,19.79,1337796.0
2014-04-03,20.05,20.43,20.01,20.16,2894268.0
2014-04-02,19.97,20.27,19.89,20.11,1359690.0
2014-04-01,19.72,20.09,19.17,19.88,2669498.0
2014-03-31,19.34,19.75,19.18,19.71,1408625.0
2014-03-28,19.29,19.56,19.11,19.15,1117357.0
2014-03-27,19.28,19.52,19.06,19.25,1268372.0
2014-03-26,19.58,19.78,19.12,19.31,1776825.0
2014-03-25,19.76,19.98,19.33,19.46,1974299.0
2014-03-24,19.75,19.82,19.29,19.62,1891905.0
2014-03-21,20.07,20.11,19.7,19.71,1836134.0
2014-03-20,19.71,20.12,19.54,19.94,859317.0
2014-03-19,20.03,20.2,19.67,19.74,2471569.0
2014-03-18,19.82,20.09,19.71,20.01,1759257.0
2014-03-17,19.94,20.24,19.67,19.77,1594088.0
2014-03-14,19.92,20.16,19.72,19.89,1643351.0
2014-03-13,20.4,20.5,19.85,20.01,2355571.0
2014-03-12,20.01,20.32,19.86,20.3,1440379.0
2014-03-11,20.22,20.35,19.96,20.06,1398928.0
2014-03-10,20.42,20.51,20.06,20.21,1353303.0
2014-03-07,20.51,20.7,20.18,20.43,2447288.0
2014-03-06,21.05,21.07,20.28,20.43,2201168.0
2014-03-05,21.32,21.38,20.93,20.99,2110665.0
2014-03-04,22.03,22.26,21.31,21.33,4230933.0
2014-03-03,22.05,22.37,21.67,21.76,4513313.0
2014-02-28,20.63,22.76,20.45,22.28,5441795.0
2014-02-27,20.95,21.05,20.51,20.65,2641314.0
2014-02-26,20.75,21.14,20.67,21.11,2258792.0
2014-02-25,19.85,21.19,19.85,20.66,5370107.0
2014-02-24,20.99,21.12,19.66,19.85,3434306.0
2014-02-21,20.92,21.03,20.8,21.0,1459961.0
2014-02-20,20.5,21.04,20.45,20.89,1321227.0
2014-02-19,20.22,20.55,20.11,20.5,1599641.0
2014-02-18,19.94,20.35,19.75,20.22,1103434.0
2014-02-14,20.14,20.15,19.88,19.96,857228.0
2014-02-13,20.16,20.32,20.04,20.12,886426.0
2014-02-12,19.87,20.47,19.86,20.33,2670307.0
2014-02-11,20.13,20.25,19.85,19.89,1397319.0
2014-02-10,20.09,20.35,20.06,20.09,1549400.0
2014-02-07,19.86,20.12,19.78,19.99,1439663.0
2014-02-06,19.71,19.96,19.64,19.83,1300533.0
2014-02-05,19.69,19.85,19.59,19.69,1528373.0
2014-02-04,19.6,19.9,19.57,19.8,2164908.0
2014-02-03,19.65,19.8,19.39,19.51,3826669.0
2014-01-31,19.56,19.99,19.3,19.72,2623792.0
2014-01-30,19.69,19.93,19.5,19.78,2265259.0
2014-01-29,19.71,19.83,19.33,19.48,2502665.0
2014-01-28,19.56,19.91,19.38,19.85,1871219.0
2014-01-27,19.94,19.99,19.24,19.5,2289152.0
2014-01-24,20.03,20.09,19.79,19.93,1737845.0
2014-01-23,20.9,21.04,19.89,20.01,5071889.0
2014-01-22,20.74,21.07,20.53,20.89,1476676.0
2014-01-21,20.62,21.01,20.6,20.76,2496761.0
2014-01-17,20.37,20.62,20.31,20.54,1888961.0
2014-01-16,20.2,20.52,20.02,20.4,2932854.0
2014-01-15,20.0,20.12,19.61,20.11,7104006.0
2014-01-14,19.85,20.01,19.75,19.79,3991121.0
2014-01-13,19.92,20.2,19.72,19.79,2942835.0
2014-01-10,19.63,20.0,19.55,19.92,3791030.0
2014-01-09,19.56,19.92,19.48,19.54,4109386.0
2014-01-08,17.84,20.29,17.79,19.53,15193011.0
2014-01-07,17.85,17.99,17.68,17.85,1450648.0
