Date,Open,High,Low,Close,Volume
2014-04-07,77.4,77.81,76.33,76.59,251824.0
2014-04-04,78.2,78.78,76.32,77.4,222301.0
2014-04-03,77.91,78.29,77.07,77.86,152710.0
2014-04-02,78.77,79.52,77.86,78.05,379122.0
2014-04-01,78.81,79.67,78.01,78.83,232109.0
2014-03-31,77.23,79.59,76.81,78.49,426357.0
2014-03-28,76.07,77.01,75.96,76.66,171546.0
2014-03-27,76.76,77.19,75.87,76.13,135876.0
2014-03-26,77.22,77.95,76.03,76.76,246911.0
2014-03-25,77.07,77.61,76.47,77.15,172047.0
2014-03-24,77.73,78.03,75.79,76.8,295204.0
2014-03-21,77.79,78.21,77.22,77.41,360197.0
2014-03-20,76.9,77.58,76.83,77.52,153684.0
2014-03-19,78.96,79.52,76.8,77.24,260605.0
2014-03-18,77.88,79.28,77.67,78.96,353196.0
2014-03-17,77.42,78.65,77.42,77.73,262214.0
2014-03-14,76.49,77.48,76.26,77.09,234179.0
2014-03-13,77.05,77.79,76.16,76.65,271651.0
2014-03-12,73.29,76.89,73.21,76.7,528514.0
2014-03-11,75.5,75.91,73.38,73.65,270577.0
2014-03-10,75.79,76.03,75.04,75.6,167758.0
2014-03-07,75.87,76.19,75.04,75.8,310322.0
2014-03-06,76.4,76.52,75.06,75.44,303193.0
2014-03-05,76.73,77.04,75.79,76.23,235797.0
2014-03-04,76.0,77.37,75.3,76.55,352287.0
2014-03-03,76.15,76.61,74.29,75.11,330690.0
2014-02-28,77.55,78.0,76.53,76.84,254864.0
2014-02-27,77.32,77.55,76.91,77.42,211717.0
2014-02-26,75.88,78.53,75.03,77.25,609116.0
2014-02-25,74.99,76.12,73.11,75.03,907166.0
2014-02-24,72.93,73.64,72.02,72.23,353130.0
2014-02-21,75.08,75.15,72.59,72.72,299911.0
2014-02-20,73.83,74.93,73.31,74.68,231498.0
2014-02-19,74.12,74.39,72.98,73.58,255378.0
2014-02-18,74.25,75.35,73.82,74.61,225914.0
2014-02-14,72.72,74.51,72.51,74.02,215235.0
2014-02-13,71.56,73.0,71.21,72.66,252630.0
2014-02-12,71.9,72.35,71.52,71.97,238670.0
2014-02-11,72.48,72.62,71.52,72.0,190314.0
2014-02-10,71.96,72.85,71.36,72.69,251531.0
2014-02-07,70.61,72.09,70.61,71.85,289198.0
2014-02-06,70.96,72.1,70.36,70.6,204508.0
2014-02-05,71.53,71.66,70.45,70.55,232446.0
2014-02-04,72.03,72.96,71.62,71.94,169555.0
2014-02-03,74.25,75.09,71.33,71.97,263212.0
2014-01-31,72.16,75.53,71.57,74.35,454035.0
2014-01-30,72.8,73.65,71.94,73.07,186811.0
2014-01-29,72.84,73.87,71.58,72.3,201714.0
2014-01-28,73.2,73.86,72.45,73.36,247138.0
2014-01-27,75.05,75.35,73.15,73.24,196608.0
2014-01-24,75.65,76.28,74.27,74.63,255094.0
2014-01-23,75.86,76.86,75.29,76.36,202931.0
2014-01-22,76.77,77.09,76.38,76.38,137840.0
2014-01-21,73.43,76.56,73.27,76.48,293582.0
2014-01-17,72.83,72.83,72.02,72.71,173172.0
2014-01-16,73.53,73.96,72.81,73.16,179192.0
2014-01-15,73.38,73.53,72.12,72.75,166419.0
2014-01-14,73.21,73.83,72.81,73.34,100095.0
2014-01-13,74.04,74.95,72.44,72.69,201665.0
2014-01-10,73.91,74.32,73.29,74.03,163684.0
2014-01-09,72.12,73.77,71.17,73.63,274374.0
2014-01-08,73.29,73.86,71.27,72.04,189707.0
2014-01-07,72.75,73.97,72.75,73.29,228642.0
2014-01-06,73.8,73.91,72.22,72.31,239560.0
2014-01-03,72.02,73.86,71.93,73.33,315708.0
2014-01-02,72.33,72.33,71.71,72.0,273876.0
2013-12-31,72.34,73.0,72.02,72.33,236370.0
2013-12-30,72.52,72.94,71.81,72.44,197279.0
2013-12-27,72.4,72.62,71.38,72.33,119401.0
2013-12-26,71.64,72.19,70.88,72.04,139677.0
2013-12-24,70.8,71.8,70.57,71.43,143817.0
2013-12-23,70.01,70.62,69.26,70.52,257920.0
2013-12-20,69.99,70.53,69.11,69.43,442699.0
2013-12-19,70.91,71.56,70.0,70.05,288852.0
2013-12-18,68.23,71.67,68.0,71.26,457108.0
2013-12-17,69.0,70.99,65.8,68.42,527057.0
2013-12-16,70.24,71.34,69.36,70.75,367608.0
2013-12-13,68.55,69.85,67.91,69.0,196822.0
2013-12-12,67.37,68.53,67.22,68.22,173386.0
2013-12-11,67.91,68.25,67.33,67.71,128681.0
2013-12-10,69.24,69.82,67.35,67.87,190693.0
2013-12-09,67.89,69.93,67.89,69.49,212218.0
2013-12-06,66.9,68.05,66.61,67.63,163792.0
2013-12-05,67.12,67.17,65.81,66.35,236947.0
2013-12-04,67.24,68.48,66.61,67.13,187949.0
2013-12-03,67.02,68.52,67.02,67.66,382269.0
2013-12-02,68.52,68.55,66.97,67.24,192894.0
