Date,Open,High,Low,Close,Volume
2014-04-07,53.12,53.81,53.1,53.6,52747.0
2014-04-04,54.57,54.57,53.26,53.34,62673.0
2014-04-03,53.92,54.6,53.61,54.34,29716.0
2014-04-02,54.14,54.38,53.82,54.09,31492.0
2014-04-01,53.87,54.35,53.68,54.0,70215.0
2014-03-31,53.51,54.24,53.25,53.85,131090.0
2014-03-28,53.5,53.72,53.38,53.48,98806.0
2014-03-27,53.45,53.87,53.04,53.44,61511.0
2014-03-26,53.78,54.0,53.07,53.4,63042.0
2014-03-25,53.99,54.09,53.5,53.59,34772.0
2014-03-24,53.64,54.16,53.5,53.64,55641.0
2014-03-21,53.75,53.75,53.47,53.5,124401.0
2014-03-20,53.5,53.65,53.41,53.5,40577.0
2014-03-19,53.55,53.86,53.5,53.5,30099.0
2014-03-18,53.67,53.95,53.53,53.7,38029.0
2014-03-17,53.81,54.15,53.51,53.68,34687.0
2014-03-14,53.25,53.87,53.25,53.63,29576.0
2014-03-13,53.99,53.99,53.45,53.5,79546.0
2014-03-12,54.33,54.38,53.5,53.82,55734.0
2014-03-11,55.29,55.29,54.18,54.35,37209.0
2014-03-10,55.08,55.88,54.79,55.29,48708.0
2014-03-07,55.54,55.67,55.0,55.24,29651.0
2014-03-06,55.65,55.66,55.36,55.39,22507.0
2014-03-05,55.53,55.67,55.09,55.35,32360.0
2014-03-04,55.71,56.09,55.01,55.73,113743.0
2014-03-03,55.46,55.5,54.48,55.02,36606.0
2014-02-28,55.64,56.02,55.59,55.83,37392.0
2014-02-27,55.47,55.58,54.99,55.48,26023.0
2014-02-26,56.03,56.25,55.7,56.05,30116.0
2014-02-25,56.32,56.5,55.62,55.96,35923.0
2014-02-24,56.18,56.33,55.91,56.17,176683.0
2014-02-21,56.03,56.04,55.8,55.92,45333.0
2014-02-20,55.09,56.04,55.04,55.74,23661.0
2014-02-19,55.62,56.08,55.06,55.11,30160.0
2014-02-18,56.0,56.72,55.8,55.84,59520.0
2014-02-14,55.87,55.99,55.5,55.77,53005.0
2014-02-13,54.95,56.2,54.92,55.83,56157.0
2014-02-12,55.02,55.4,54.57,55.05,64104.0
2014-02-11,54.27,55.26,54.09,54.95,78625.0
2014-02-10,54.55,54.55,53.55,54.15,27685.0
2014-02-07,54.16,54.42,53.69,54.32,63339.0
2014-02-06,54.1,54.28,53.54,53.86,40129.0
2014-02-05,53.53,54.28,53.52,53.79,34494.0
2014-02-04,53.58,54.21,53.5,53.91,272545.0
2014-02-03,54.21,54.41,53.02,53.44,58553.0
