Date,Open,High,Low,Close,Volume
2014-04-07,17.0,17.3,16.75,17.15,841924.0
2014-04-04,17.46,17.48,16.78,17.05,1216950.0
2014-04-03,17.61,17.61,17.1,17.3,328472.0
2014-04-02,17.41,17.6,17.21,17.56,666170.0
2014-04-01,17.13,17.41,17.1,17.38,532047.0
2014-03-31,16.87,17.24,16.78,17.06,593479.0
2014-03-28,17.07,17.28,16.75,16.8,359111.0
2014-03-27,17.17,17.35,16.94,17.06,461527.0
2014-03-26,17.6,17.76,17.06,17.23,605400.0
2014-03-25,17.76,17.78,17.28,17.44,643051.0
2014-03-24,17.64,17.65,17.0,17.13,891057.0
2014-03-21,17.71,17.84,17.48,17.56,1143984.0
2014-03-20,17.15,17.61,17.12,17.55,630435.0
2014-03-19,17.01,17.2,16.85,17.15,590856.0
2014-03-18,16.64,17.03,16.57,17.01,462414.0
2014-03-17,16.66,16.84,16.46,16.64,340151.0
2014-03-14,16.59,16.89,16.33,16.58,477706.0
2014-03-13,17.23,17.34,16.6,16.66,600971.0
2014-03-12,16.91,17.15,16.87,17.12,608191.0
2014-03-11,17.29,17.55,16.85,17.08,593689.0
2014-03-10,17.4,17.64,17.24,17.25,587442.0
2014-03-07,17.66,17.66,17.37,17.43,290335.0
2014-03-06,17.55,17.63,17.39,17.51,346412.0
2014-03-05,17.66,17.7,17.46,17.58,322121.0
2014-03-04,17.39,17.89,17.38,17.75,956071.0
2014-03-03,17.27,17.29,16.82,17.14,364254.0
2014-02-28,17.42,17.57,17.33,17.41,592581.0
2014-02-27,17.02,17.36,17.02,17.36,515409.0
2014-02-26,16.87,17.17,16.8,17.11,309090.0
2014-02-25,16.95,17.03,16.78,16.82,419459.0
2014-02-24,16.68,17.06,16.62,16.97,647489.0
2014-02-21,16.91,16.98,16.51,16.67,646262.0
2014-02-20,16.27,16.87,16.25,16.79,901321.0
2014-02-19,15.88,16.26,15.28,16.25,1074854.0
2014-02-18,15.89,16.06,15.8,15.98,723274.0
2014-02-14,15.88,15.97,15.77,15.86,358292.0
2014-02-13,15.6,15.95,15.6,15.87,373674.0
2014-02-12,15.57,15.84,15.57,15.73,461816.0
2014-02-11,15.86,16.06,15.59,15.61,962782.0
2014-02-10,16.05,16.05,15.72,15.89,371500.0
2014-02-07,16.02,16.16,15.9,16.1,481925.0
2014-02-06,15.7,15.98,15.7,15.94,620544.0
2014-02-05,15.85,16.16,15.39,15.66,446588.0
2014-02-04,15.53,15.96,14.99,15.9,822268.0
2014-02-03,16.04,16.26,15.25,15.41,1115668.0
2014-01-31,15.84,16.11,15.76,16.03,653358.0
