Date,Open,High,Low,Close,Volume
2014-04-07,87.83,88.47,87.23,87.4,1249347.0
2014-04-04,90.58,90.78,87.03,88.14,2976690.0
2014-04-03,90.16,90.56,89.97,90.15,1503684.0
2014-04-02,91.38,91.39,89.48,89.98,2146319.0
2014-04-01,90.93,91.66,90.76,91.14,1917276.0
2014-03-31,92.67,93.03,90.72,90.96,1755718.0
2014-03-28,93.59,93.9,91.97,92.25,786072.0
2014-03-27,90.49,93.58,90.16,93.26,6283084.0
2014-03-26,90.81,91.09,90.16,90.37,788163.0
2014-03-25,91.71,91.95,89.95,90.54,946050.0
2014-03-24,92.23,92.49,90.19,91.39,793129.0
2014-03-21,93.88,94.25,91.78,91.89,1041100.0
2014-03-20,93.21,94.35,93.16,93.51,657951.0
2014-03-19,94.97,95.05,93.04,93.74,779369.0
2014-03-18,94.4,95.69,94.21,94.72,505351.0
2014-03-17,94.98,95.3,94.45,94.51,494151.0
2014-03-14,94.45,96.12,94.03,94.96,606903.0
2014-03-13,95.67,96.07,94.4,94.87,723969.0
2014-03-12,94.43,95.5,94.24,95.2,730427.0
2014-03-11,95.25,96.24,94.55,94.99,1032517.0
2014-03-10,94.97,95.54,93.97,94.56,737395.0
2014-03-07,96.19,96.22,94.77,95.08,758468.0
2014-03-06,95.2,95.77,94.91,95.53,632913.0
2014-03-05,96.01,96.01,94.48,95.24,1155644.0
2014-03-04,96.15,96.42,94.73,95.81,1359932.0
2014-03-03,94.06,95.73,94.05,95.18,1096555.0
2014-02-28,95.21,96.42,94.13,95.17,1090846.0
2014-02-27,93.68,96.02,93.24,94.89,1273409.0
2014-02-26,94.0,95.3,92.0,92.79,2724320.0
2014-02-25,96.36,96.38,94.93,95.34,1818948.0
2014-02-24,97.17,98.29,95.87,95.9,1885891.0
2014-02-21,99.46,99.64,97.08,97.24,1220683.0
2014-02-20,98.37,99.53,97.78,99.21,1664791.0
2014-02-19,96.61,97.81,96.0,97.69,747233.0
2014-02-18,96.89,96.91,96.21,96.6,505395.0
2014-02-14,94.77,96.41,94.77,96.36,747287.0
2014-02-13,93.44,95.66,93.44,95.14,858893.0
2014-02-12,94.75,94.92,93.53,94.17,986608.0
2014-02-11,93.44,95.17,93.04,94.73,989362.0
2014-02-10,92.64,93.2,91.86,93.17,881288.0
2014-02-07,91.29,93.13,89.82,92.91,1605226.0
2014-02-06,92.26,93.49,91.08,92.0,753920.0
2014-02-05,91.75,91.99,90.82,91.72,847472.0
2014-02-04,92.2,92.74,90.06,91.62,1596547.0
2014-02-03,92.86,93.28,91.31,91.99,1632137.0
2014-01-31,91.08,93.79,90.18,92.75,856896.0
2014-01-30,91.01,92.58,90.58,92.29,1098470.0
2014-01-29,89.43,91.01,89.04,90.57,1245146.0
2014-01-28,89.6,90.46,89.54,89.93,1190505.0
2014-01-27,89.95,90.79,88.81,89.6,1562915.0
2014-01-24,92.68,92.72,89.9,89.95,1813085.0
2014-01-23,91.37,92.78,90.5,92.78,2028340.0
2014-01-22,90.72,92.55,90.69,91.47,1691741.0
2014-01-21,90.54,90.82,89.69,90.65,803697.0
2014-01-17,90.47,90.83,89.91,90.01,934893.0
2014-01-16,90.64,90.86,89.98,90.72,927528.0
2014-01-15,90.91,91.38,90.25,90.67,1952754.0
2014-01-14,89.24,90.73,88.96,90.57,1402772.0
2014-01-13,88.15,89.13,87.59,89.12,1573309.0
2014-01-10,88.28,88.47,87.42,88.32,1850567.0
2014-01-09,89.35,89.39,87.67,87.84,906730.0
2014-01-08,88.54,89.34,88.01,89.04,1932872.0
2014-01-07,88.0,88.93,87.66,88.56,658321.0
2014-01-06,88.24,88.25,87.29,87.82,761494.0
2014-01-03,88.4,88.99,87.78,87.81,524517.0
2014-01-02,89.2,89.69,87.66,88.42,1314064.0
2013-12-31,89.63,90.0,89.39,89.84,495016.0
2013-12-30,88.11,89.44,87.95,89.34,706379.0
2013-12-27,88.35,88.71,87.62,88.1,675157.0
2013-12-26,88.33,88.71,86.68,88.26,630358.0
2013-12-24,87.47,88.45,87.4,88.14,402973.0
2013-12-23,87.05,87.99,86.89,87.57,851790.0
2013-12-20,87.34,87.62,86.3,87.06,1953711.0
2013-12-19,86.88,87.45,86.31,87.21,1302961.0
2013-12-18,85.26,86.22,84.71,85.87,1159396.0
2013-12-17,85.47,85.67,84.7,84.99,1111893.0
2013-12-16,86.81,87.14,84.99,85.45,1823342.0
2013-12-13,86.91,87.77,86.56,87.54,822116.0
2013-12-12,86.54,87.31,85.96,86.48,921904.0
2013-12-11,86.97,87.46,86.35,86.76,1122208.0
2013-12-10,86.95,87.7,86.69,86.9,754660.0
2013-12-09,87.29,87.52,86.57,87.32,808626.0
2013-12-06,87.56,88.12,86.4,87.11,1215947.0
2013-12-05,85.71,86.7,85.26,86.29,1629036.0
2013-12-04,85.0,86.0,84.56,85.98,1356708.0
2013-12-03,85.81,85.97,84.86,85.42,875809.0
2013-12-02,84.97,86.38,84.68,85.93,1336447.0
2013-11-29,85.78,85.99,85.03,85.17,344714.0
2013-11-27,85.38,85.78,84.81,85.59,647628.0
