Date,Open,High,Low,Close,Volume
2014-04-07,71.2,71.38,70.05,70.43,5544862.0
2014-04-04,73.55,73.89,71.32,71.55,5854273.0
2014-04-03,73.86,74.34,72.82,73.09,3582727.0
2014-04-02,74.35,74.37,73.24,73.67,4152217.0
2014-04-01,73.64,74.98,73.41,74.01,4370890.0
2014-03-31,73.9,74.4,73.17,73.38,3860877.0
2014-03-28,73.29,74.06,73.05,73.7,3291375.0
2014-03-27,73.07,73.96,72.69,73.4,6337829.0
2014-03-26,74.93,74.99,73.52,73.54,4185559.0
2014-03-25,76.44,76.51,74.29,74.61,5284079.0
2014-03-24,76.9,77.11,75.21,75.77,5009362.0
2014-03-21,78.21,78.64,76.62,76.71,9018452.0
2014-03-20,76.29,77.13,75.6,76.96,6925738.0
2014-03-19,75.0,77.33,74.82,75.91,12491570.0
2014-03-18,74.35,74.84,74.05,74.6,2998760.0
2014-03-17,74.81,74.99,73.82,74.18,5509947.0
2014-03-14,74.09,74.89,74.02,74.27,4481301.0
2014-03-13,75.84,76.42,74.03,74.43,5690391.0
2014-03-12,74.55,75.66,74.5,75.63,5225431.0
2014-03-11,73.99,75.41,73.85,75.03,9184375.0
2014-03-10,73.25,73.64,72.79,73.56,4324388.0
2014-03-07,72.99,73.1,72.21,73.07,4204686.0
2014-03-06,71.83,73.34,71.77,72.69,6890524.0
2014-03-05,71.99,72.09,70.88,71.3,4891705.0
2014-03-04,71.43,71.96,71.05,71.66,6127552.0
2014-03-03,70.01,70.73,70.0,70.47,6152499.0
2014-02-28,71.54,71.93,70.5,70.96,11232753.0
2014-02-27,71.62,72.24,71.43,72.19,5649224.0
2014-02-26,70.8,72.22,69.95,71.78,9578268.0
2014-02-25,72.5,72.66,70.55,70.55,9320623.0
2014-02-24,72.66,72.88,72.02,72.56,5976635.0
2014-02-21,73.78,73.86,72.52,72.56,5649129.0
2014-02-20,73.4,73.71,72.48,73.55,4276516.0
2014-02-19,73.84,74.28,73.23,73.32,4901050.0
2014-02-18,74.99,75.0,73.94,73.97,5483873.0
2014-02-14,74.35,75.09,74.01,75.03,4133219.0
2014-02-13,73.56,74.69,73.39,74.69,4238628.0
2014-02-12,74.49,75.06,73.7,73.91,4986526.0
2014-02-11,74.87,75.19,73.79,74.5,8082926.0
2014-02-10,74.31,75.18,74.31,74.8,6474195.0
2014-02-07,73.61,74.49,72.69,74.04,7376385.0
2014-02-06,70.66,72.8,70.56,72.36,6909857.0
2014-02-05,70.09,70.74,69.61,70.49,5484164.0
2014-02-04,70.0,71.2,69.37,70.65,10533118.0
2014-02-03,71.0,71.51,68.67,68.97,10176926.0
2014-01-31,70.89,71.94,70.87,71.12,6143528.0
2014-01-30,72.28,72.43,71.31,71.91,7590799.0
2014-01-29,73.5,73.66,71.46,71.56,8001038.0
2014-01-28,74.57,74.8,73.67,73.89,5551948.0
2014-01-27,75.23,75.23,74.02,74.21,9106015.0
2014-01-24,74.73,76.16,74.11,74.98,16609214.0
2014-01-23,73.48,73.73,71.68,73.39,15225606.0
2014-01-22,73.95,74.2,73.54,73.6,6994865.0
2014-01-21,75.05,75.07,73.26,73.65,9388636.0
2014-01-17,75.0,75.46,74.67,74.9,6503910.0
2014-01-16,75.82,76.2,75.13,75.29,4555462.0
2014-01-15,75.54,76.33,75.41,76.19,4360782.0
2014-01-14,75.12,76.36,74.75,75.46,9334104.0
2014-01-13,77.38,77.39,74.76,75.12,7365143.0
2014-01-10,77.56,77.99,76.95,77.67,3237975.0
2014-01-09,78.07,78.1,76.8,77.6,4185138.0
2014-01-08,77.28,78.15,77.19,78.03,5095288.0
2014-01-07,76.65,77.41,76.47,77.21,4090199.0
2014-01-06,76.9,77.35,76.01,76.17,5302450.0
2014-01-03,77.3,77.77,76.94,76.95,3272813.0
2014-01-02,78.07,78.27,77.0,77.17,4264011.0
2013-12-31,78.43,78.78,78.01,78.39,3008120.0
2013-12-30,78.79,78.83,77.86,78.55,2367243.0
2013-12-27,79.29,79.3,78.46,78.57,2253064.0
2013-12-26,78.73,79.02,78.44,78.88,2195669.0
2013-12-24,78.1,78.75,77.95,78.57,1948306.0
2013-12-23,77.97,78.34,77.35,78.32,3812276.0
2013-12-20,77.52,77.98,77.24,77.66,6353700.0
2013-12-19,78.24,78.5,77.02,77.15,5703141.0
2013-12-18,76.41,77.69,76.1,77.68,5134128.0
2013-12-17,76.55,76.58,75.91,76.09,3504450.0
