Date,Open,High,Low,Close,Volume
2014-04-07,33.18,33.2,32.35,32.83,174951.0
2014-04-04,34.07,34.1,32.76,33.3,151544.0
2014-04-03,34.26,34.74,33.85,33.87,115253.0
2014-04-02,35.2,35.5,33.92,34.34,241437.0
2014-04-01,34.58,35.27,34.58,35.25,137117.0
2014-03-31,34.39,34.78,33.88,34.48,188665.0
2014-03-28,34.1,34.64,33.89,34.27,106047.0
2014-03-27,33.93,34.19,33.3,34.11,194435.0
2014-03-26,34.61,34.61,33.69,33.94,123842.0
2014-03-25,34.09,34.5,33.95,34.32,119992.0
2014-03-24,35.47,35.47,33.81,34.0,222866.0
2014-03-21,34.53,35.67,34.34,35.51,389025.0
2014-03-20,34.74,34.74,33.0,34.21,354436.0
2014-03-19,35.0,35.37,34.72,34.92,203289.0
2014-03-18,34.72,35.39,34.72,35.13,160941.0
2014-03-17,35.0,35.38,34.54,34.64,120124.0
2014-03-14,34.98,35.57,34.76,34.86,147592.0
2014-03-13,35.59,35.71,35.0,35.16,82519.0
2014-03-12,35.46,35.69,35.13,35.51,89332.0
2014-03-11,36.15,36.15,35.28,35.58,127991.0
2014-03-10,35.81,36.21,35.68,36.16,131441.0
2014-03-07,36.21,36.21,35.78,35.83,126128.0
2014-03-06,36.07,36.25,35.51,36.1,107602.0
2014-03-05,35.96,36.39,35.54,36.02,162488.0
2014-03-04,36.02,36.74,35.26,36.14,1008088.0
2014-03-03,35.47,35.86,35.26,35.71,286164.0
2014-02-28,34.93,35.29,34.75,35.28,150220.0
2014-02-27,34.79,34.95,34.4,34.87,98825.0
2014-02-26,34.92,35.01,34.53,34.88,146486.0
2014-02-25,34.61,35.03,34.54,34.87,97620.0
2014-02-24,34.49,34.71,34.3,34.66,131747.0
2014-02-21,34.35,34.52,34.07,34.39,128775.0
2014-02-20,34.03,34.44,34.0,34.17,121610.0
2014-02-19,33.86,34.36,33.64,33.99,272224.0
2014-02-18,33.85,34.03,33.43,33.99,123846.0
2014-02-14,34.33,34.34,33.66,33.69,119762.0
2014-02-13,33.54,34.58,33.33,34.33,163133.0
2014-02-12,33.05,33.76,32.93,33.68,184313.0
