Date,Open,High,Low,Close,Volume
2014-04-07,40.0,40.19,39.49,39.65,150906.0
2014-04-04,42.62,42.99,39.77,40.19,107335.0
2014-04-03,41.85,42.12,41.14,41.42,88112.0
2014-04-02,41.56,42.12,41.12,41.77,115605.0
2014-04-01,40.61,41.69,40.61,41.6,205435.0
2014-03-31,38.63,41.02,38.63,40.77,251620.0
2014-03-28,38.63,39.27,37.9,38.09,136441.0
2014-03-27,38.67,38.9,38.15,38.47,89573.0
2014-03-26,39.24,39.24,38.32,38.58,121559.0
2014-03-25,39.22,39.33,38.78,39.03,94651.0
2014-03-24,39.35,39.67,38.7,38.99,129443.0
2014-03-21,39.47,40.41,38.96,39.2,223874.0
2014-03-20,38.77,39.45,38.77,39.3,139365.0
2014-03-19,39.38,39.52,38.45,38.86,89172.0
2014-03-18,38.63,39.48,38.54,39.42,112027.0
2014-03-17,38.75,39.45,38.41,38.62,140049.0
2014-03-14,38.41,38.9,38.17,38.43,112558.0
2014-03-13,39.09,39.39,38.24,38.4,83341.0
2014-03-12,38.95,39.06,38.45,38.94,99910.0
2014-03-11,39.82,40.17,38.88,39.03,138815.0
2014-03-10,39.88,39.93,39.47,39.89,114675.0
2014-03-07,40.49,40.62,39.53,40.08,118948.0
2014-03-06,40.62,40.71,39.96,40.16,94906.0
2014-03-05,40.28,40.85,39.98,40.64,137435.0
2014-03-04,39.2,40.89,39.2,40.44,215195.0
2014-03-03,38.79,39.12,38.31,38.79,74486.0
2014-02-28,39.46,39.7,39.16,39.26,134899.0
2014-02-27,39.62,40.13,39.26,39.35,124333.0
2014-02-26,38.76,40.07,38.76,39.83,158350.0
2014-02-25,38.59,38.98,38.31,38.63,157184.0
2014-02-24,38.66,39.26,38.57,38.59,157537.0
2014-02-21,39.6,39.64,38.52,38.54,310608.0
2014-02-20,39.77,40.08,39.49,39.54,198522.0
2014-02-19,38.26,39.87,38.26,39.68,263865.0
2014-02-18,37.88,38.61,37.81,38.39,223573.0
2014-02-14,37.94,38.56,37.75,38.05,128167.0
2014-02-13,36.7,37.97,36.67,37.87,129667.0
2014-02-12,36.83,37.36,36.57,36.86,129558.0
2014-02-11,36.37,36.9,36.16,36.75,128586.0
2014-02-10,35.9,36.49,35.9,36.3,198329.0
2014-02-07,36.11,36.48,35.98,36.07,134253.0
2014-02-06,36.33,36.66,35.86,36.02,135769.0
2014-02-05,36.15,36.56,35.56,36.16,108067.0
2014-02-04,36.53,36.73,36.03,36.26,130798.0
2014-02-03,37.35,37.54,35.94,36.34,357378.0
2014-01-31,39.24,39.42,37.34,37.54,393576.0
2014-01-30,39.91,40.08,39.41,39.74,202211.0
2014-01-29,39.71,40.14,39.2,39.6,178452.0
