Date,Open,High,Low,Close,Volume
2014-04-07,40.0,41.4,39.0,40.45,1411658.0
2014-04-04,42.28,42.8,39.28,40.2,1757267.0
2014-04-03,44.05,44.6,41.13,41.81,2208886.0
2014-04-02,46.78,47.39,43.76,43.91,1535831.0
2014-04-01,45.71,47.67,45.69,46.79,1057040.0
2014-03-31,44.41,46.14,44.41,45.56,921349.0
2014-03-28,46.56,46.85,43.6,44.2,1214247.0
2014-03-27,45.79,46.86,44.95,46.22,796673.0
2014-03-26,47.25,47.99,45.41,45.97,963426.0
2014-03-25,48.5,49.22,45.8,46.97,1692735.0
2014-03-24,50.17,50.8,46.71,48.38,1497694.0
2014-03-21,53.56,53.98,50.0,50.19,1823614.0
2014-03-20,53.68,54.16,52.5,53.21,1013572.0
2014-03-19,53.82,55.46,53.15,53.57,1583165.0
2014-03-18,50.97,53.57,50.72,53.45,1088439.0
2014-03-17,50.78,51.96,50.23,50.79,867888.0
2014-03-14,50.0,51.42,49.06,50.29,655761.0
2014-03-13,52.32,52.41,49.42,50.02,1316775.0
2014-03-12,50.74,52.23,50.58,52.02,782874.0
2014-03-11,51.71,52.7,50.69,51.23,685337.0
2014-03-10,52.36,52.91,50.4,51.61,718461.0
2014-03-07,51.45,51.92,50.25,51.78,1306698.0
2014-03-06,53.48,53.69,51.2,51.29,1046485.0
2014-03-05,53.02,53.76,52.25,53.37,780380.0
2014-03-04,52.8,53.76,52.18,52.99,1227272.0
2014-03-03,51.78,52.48,51.01,52.27,1154306.0
2014-02-28,54.55,55.99,51.8,52.59,1293502.0
2014-02-27,53.97,55.63,53.02,55.14,1029379.0
2014-02-26,54.28,54.59,53.31,53.86,772590.0
2014-02-25,54.4,55.0,52.55,54.24,1265173.0
2014-02-24,52.16,54.45,52.12,54.33,1399911.0
2014-02-21,53.46,55.86,53.26,54.92,1347501.0
2014-02-20,51.63,53.54,51.15,53.22,1074594.0
2014-02-19,52.01,52.66,51.12,51.47,954361.0
2014-02-18,50.43,52.85,50.35,52.12,1290503.0
2014-02-14,50.56,51.51,49.08,50.12,929357.0
2014-02-13,49.35,51.13,49.22,51.05,981717.0
2014-02-12,47.74,51.97,45.6,50.49,4026294.0
2014-02-11,44.97,45.98,44.64,45.6,1049886.0
2014-02-10,44.02,44.94,43.54,44.83,804933.0
2014-02-07,41.83,43.99,41.75,43.93,576415.0
2014-02-06,42.75,43.13,41.51,41.65,849559.0
2014-02-05,43.83,44.23,41.7,42.7,1002888.0
2014-02-04,43.71,44.58,43.42,43.9,876674.0
2014-02-03,44.76,45.23,43.06,43.3,1538367.0
2014-01-31,45.5,45.99,44.82,44.86,860129.0
2014-01-30,45.89,46.95,44.98,46.21,1020260.0
2014-01-29,44.51,46.02,43.75,45.29,820973.0
2014-01-28,44.98,46.13,44.54,45.19,873093.0
2014-01-27,45.21,45.74,42.85,44.94,1036424.0
2014-01-24,46.91,46.98,45.31,45.45,1189518.0
2014-01-23,47.31,47.8,46.45,47.59,765645.0
2014-01-22,47.95,47.98,46.85,47.97,688414.0
2014-01-21,48.5,49.45,46.81,47.95,1047898.0
2014-01-17,47.0,48.36,46.46,47.95,1699017.0
2014-01-16,43.8,46.46,43.51,46.42,1360631.0
