Date,Open,High,Low,Close,Volume
2014-04-07,29.54,29.94,29.18,29.6,59481.0
2014-04-04,31.18,31.18,29.4,29.78,99245.0
2014-04-03,32.28,32.28,30.79,31.12,83091.0
2014-04-02,32.67,32.75,32.08,32.21,65824.0
2014-04-01,32.43,32.75,32.13,32.62,139079.0
2014-03-31,32.15,32.67,31.91,32.29,106779.0
2014-03-28,31.75,32.17,31.58,31.87,100575.0
2014-03-27,32.33,32.5,31.49,31.8,70657.0
2014-03-26,30.29,33.35,30.29,32.31,104289.0
2014-03-25,33.55,33.79,32.6,32.8,156365.0
2014-03-24,33.38,33.99,32.98,33.27,237975.0
2014-03-21,33.32,33.79,32.86,33.45,407094.0
2014-03-20,32.18,33.46,31.88,33.06,76932.0
2014-03-19,33.07,33.08,31.75,32.32,131479.0
2014-03-18,32.0,33.75,30.21,33.21,208346.0
2014-03-17,29.5,32.03,29.46,31.98,261229.0
2014-03-14,28.39,29.07,28.18,29.07,79599.0
2014-03-13,29.02,29.34,28.3,28.59,75679.0
2014-03-12,28.22,29.48,28.22,28.85,100850.0
2014-03-11,27.96,28.63,27.43,28.48,109712.0
2014-03-10,27.75,28.14,27.44,28.01,59429.0
2014-03-07,28.5,28.5,27.47,28.07,64844.0
2014-03-06,28.69,28.69,27.88,28.34,71572.0
2014-03-05,28.12,28.61,27.83,28.52,74117.0
2014-03-04,27.03,28.66,27.03,28.24,152933.0
2014-03-03,26.26,26.93,25.95,26.79,112067.0
2014-02-28,26.53,26.95,26.07,26.43,103485.0
2014-02-27,25.99,26.66,25.99,26.52,65430.0
2014-02-26,26.02,26.48,25.26,26.21,63224.0
2014-02-25,26.18,26.85,25.49,25.92,69421.0
2014-02-24,26.56,27.24,26.21,26.24,149716.0
2014-02-21,27.0,27.43,26.52,26.56,173435.0
2014-02-20,26.0,26.98,25.98,26.9,33160.0
2014-02-19,25.59,26.45,25.59,26.01,72087.0
2014-02-18,25.75,26.07,24.9,25.8,52923.0
2014-02-14,25.94,25.94,25.55,25.72,34126.0
2014-02-13,24.88,25.94,24.88,25.92,33415.0
2014-02-12,24.67,25.21,24.67,25.2,45883.0
2014-02-11,24.45,25.0,24.45,24.7,66116.0
2014-02-10,24.29,24.56,24.03,24.52,55058.0
2014-02-07,23.78,24.48,23.62,24.4,80991.0
2014-02-06,23.78,23.95,23.47,23.75,64991.0
2014-02-05,23.98,24.08,23.32,23.79,65504.0
2014-02-04,24.54,24.54,23.95,24.2,57330.0
2014-02-03,25.05,25.3,23.66,24.23,97659.0
2014-01-31,24.41,25.31,24.13,25.1,83980.0
2014-01-30,24.28,25.31,24.21,24.84,62739.0
2014-01-29,23.8,24.32,23.63,24.12,71368.0
2014-01-28,24.39,24.39,23.78,23.96,63775.0
2014-01-27,24.15,25.0,23.69,24.45,75629.0
2014-01-24,24.25,24.42,23.54,24.16,46349.0
2014-01-23,24.63,24.78,24.19,24.47,104745.0
2014-01-22,24.93,24.96,24.45,24.82,37817.0
2014-01-21,24.83,24.92,24.6,24.83,41843.0
2014-01-17,24.03,24.9,23.94,24.75,77336.0
2014-01-16,23.99,24.45,23.9,24.09,32791.0
2014-01-15,24.07,24.63,24.06,24.1,55951.0
2014-01-14,23.48,24.26,23.4,24.07,56951.0
2014-01-13,23.83,24.05,23.02,23.36,74775.0
2014-01-10,24.32,24.32,23.77,23.98,85820.0
2014-01-09,24.38,24.4,23.49,24.3,88237.0
2014-01-08,24.17,24.61,24.01,24.27,109228.0
2014-01-07,24.48,24.9,24.05,24.26,66582.0
2014-01-06,24.86,25.07,24.17,24.46,85594.0
2014-01-03,24.47,25.01,24.01,24.88,64481.0
2014-01-02,25.6,25.6,24.13,24.46,72786.0
2013-12-31,25.38,25.83,25.02,25.67,95057.0
2013-12-30,25.51,25.86,25.31,25.38,90710.0
2013-12-27,25.43,25.63,24.7,25.6,75537.0
2013-12-26,26.0,26.0,25.24,25.32,68071.0
2013-12-24,25.7,26.0,25.28,25.84,38157.0
2013-12-23,25.62,26.0,25.29,25.59,92357.0
2013-12-20,24.02,25.73,23.81,25.32,260152.0
2013-12-19,23.84,24.55,23.59,23.9,179187.0
2013-12-18,23.44,23.83,22.84,23.77,128096.0
2013-12-17,24.26,24.26,23.37,23.48,126568.0
2013-12-16,24.01,24.38,23.22,24.19,128381.0
2013-12-13,23.88,24.37,23.01,23.91,91755.0
2013-12-12,23.24,24.22,23.1,23.74,85174.0
2013-12-11,22.97,23.47,22.53,23.24,205645.0
2013-12-10,23.39,23.84,22.74,23.03,193428.0
2013-12-09,24.2,24.37,23.33,23.49,168230.0
2013-12-06,23.67,24.77,23.23,24.18,184005.0
2013-12-05,22.86,23.84,22.35,23.34,113874.0
2013-12-04,23.33,24.12,22.19,22.92,109652.0
2013-12-03,23.02,24.06,23.02,23.48,132812.0
2013-12-02,25.03,25.03,23.17,23.2,128543.0
2013-11-29,24.63,25.44,24.46,24.98,61177.0
2013-11-27,24.25,24.79,23.76,24.42,86389.0
2013-11-26,23.56,24.85,23.36,24.17,122878.0
2013-11-25,23.88,24.49,23.5,23.59,80152.0
2013-11-22,24.18,24.54,23.49,23.83,60968.0
2013-11-21,23.59,24.34,23.32,24.2,51911.0
2013-11-20,23.35,24.0,23.21,23.37,54315.0
2013-11-19,24.05,24.41,22.92,23.31,156262.0
2013-11-18,24.25,24.58,23.98,24.15,60723.0
2013-11-15,25.2,25.2,24.12,24.23,87017.0
2013-11-14,26.62,26.65,25.17,25.24,44599.0
2013-11-13,25.86,26.67,25.86,26.6,49343.0
2013-11-12,25.98,26.74,25.76,26.22,88715.0
2013-11-11,26.81,27.02,25.48,26.02,96867.0
2013-11-08,26.28,27.0,26.28,26.8,72155.0
2013-11-07,26.75,26.8,25.86,26.25,136394.0
2013-11-06,26.09,26.67,25.76,26.54,87055.0
2013-11-05,24.73,25.96,24.07,25.83,73290.0
2013-11-04,23.37,25.33,23.31,24.94,137909.0
2013-11-01,27.25,27.28,22.51,23.61,313750.0
2013-10-31,28.43,28.89,27.7,27.73,178009.0
2013-10-30,28.79,29.15,28.03,28.37,130029.0
2013-10-29,27.85,28.81,27.84,28.69,157255.0
2013-10-28,27.5,27.85,27.25,27.72,94845.0
2013-10-25,27.79,27.86,26.91,27.54,72565.0
2013-10-24,27.13,27.84,27.0,27.68,64711.0
2013-10-23,26.94,27.46,26.94,27.12,57001.0
2013-10-22,27.15,27.55,26.33,27.02,65782.0
2013-10-21,26.72,27.54,26.5,26.89,90647.0
2013-10-18,26.81,26.88,25.7,26.75,133263.0
2013-10-17,26.02,26.63,25.96,26.36,107015.0
2013-10-16,26.06,26.59,25.66,26.14,109212.0
2013-10-15,26.31,26.5,25.93,26.16,82301.0
2013-10-14,26.21,26.92,26.21,26.5,74183.0
2013-10-11,25.56,26.71,25.56,26.48,121949.0
2013-10-10,25.07,25.9,25.0,25.67,136313.0
2013-10-09,25.19,25.25,24.6,24.69,151202.0
2013-10-08,25.04,25.64,25.02,25.14,274520.0
2013-10-07,24.31,25.49,24.25,25.11,63521.0
2013-10-04,24.58,25.18,24.07,24.69,97381.0
2013-10-03,24.4,24.72,23.75,24.67,117401.0
2013-10-02,24.44,25.18,24.29,24.57,87599.0
2013-10-01,23.88,24.9,23.88,24.8,203671.0
2013-09-30,23.43,24.36,23.43,24.1,209547.0
2013-09-27,23.29,24.0,23.29,23.96,102345.0
2013-09-26,22.84,23.46,22.68,23.45,164372.0
2013-09-25,21.45,22.95,21.2,22.7,180255.0
2013-09-24,21.74,21.97,21.03,21.46,120623.0
2013-09-23,20.49,22.04,20.08,21.86,154120.0
2013-09-20,20.2,21.0,19.89,20.48,445462.0
2013-09-19,19.96,20.25,19.14,20.1,81667.0
2013-09-18,19.1,19.85,18.87,19.81,245359.0
2013-09-17,19.05,19.6,18.57,19.05,72688.0
2013-09-16,18.63,19.01,18.26,18.95,162811.0
2013-09-13,18.52,18.95,18.52,18.87,43280.0
2013-09-12,18.07,18.57,18.07,18.4,71993.0
2013-09-11,17.93,18.1,17.48,18.07,24608.0
2013-09-10,17.77,17.95,17.43,17.92,49986.0
2013-09-09,17.38,17.7,17.13,17.59,38911.0
2013-09-06,17.5,17.68,17.0,17.33,26452.0
2013-09-05,17.7,17.82,17.25,17.36,23708.0
2013-09-04,17.87,18.0,17.4,17.62,41165.0
2013-09-03,17.5,18.0,17.25,17.82,55997.0
2013-08-30,18.48,18.65,17.06,17.15,84944.0
2013-08-29,17.96,18.69,17.96,18.55,41500.0
2013-08-28,17.85,18.24,17.79,17.98,28605.0
2013-08-27,18.16,18.47,17.75,17.8,35211.0
2013-08-26,18.8,19.0,18.47,18.52,32239.0
2013-08-23,18.62,18.93,18.43,18.79,23221.0
2013-08-22,18.15,18.72,18.15,18.61,23754.0
2013-08-21,18.28,18.49,18.01,18.08,25518.0
2013-08-20,18.15,18.78,17.64,18.52,38507.0
2013-08-19,18.27,18.66,18.07,18.15,55232.0
2013-08-16,18.6,19.13,18.09,18.22,75887.0
2013-08-15,18.72,19.22,18.54,18.71,43378.0
2013-08-14,19.16,19.21,18.79,18.97,23255.0
2013-08-13,20.02,20.02,19.02,19.11,39739.0
2013-08-12,20.04,20.26,19.73,20.0,71088.0
2013-08-09,19.82,20.02,19.58,19.77,15868.0
2013-08-08,20.1,20.18,19.76,19.96,46701.0
2013-08-07,19.71,20.18,19.64,19.99,35556.0
2013-08-06,19.49,19.98,19.47,19.75,36616.0
2013-08-05,19.37,19.75,19.02,19.64,67410.0
2013-08-02,19.26,19.64,19.14,19.3,35919.0
2013-08-01,19.51,19.61,18.91,19.52,48958.0
2013-07-31,19.54,19.68,19.12,19.27,51114.0
2013-07-30,20.1,20.25,19.25,19.39,56608.0
2013-07-29,19.81,20.15,19.65,19.92,44872.0
2013-07-26,20.4,20.4,19.66,19.81,65531.0
2013-07-25,20.83,21.0,20.55,20.69,79377.0
2013-07-24,20.84,20.91,20.41,20.83,86460.0
2013-07-23,20.25,20.87,20.12,20.63,59571.0
2013-07-22,19.93,20.27,19.58,20.19,41262.0
2013-07-19,19.4,19.98,19.32,19.85,52479.0
2013-07-18,19.41,19.56,19.03,19.47,50086.0
2013-07-17,19.27,19.79,19.15,19.26,56451.0
2013-07-16,19.24,19.75,19.07,19.34,61236.0
2013-07-15,18.75,19.25,18.75,19.25,47219.0
2013-07-12,19.11,19.25,18.63,18.67,54806.0
2013-07-11,19.0,19.3,18.88,19.16,83941.0
2013-07-10,18.59,18.86,18.42,18.75,69737.0
2013-07-09,18.25,18.61,17.97,18.52,57295.0
2013-07-08,17.84,18.18,17.75,18.16,59438.0
2013-07-05,17.74,17.84,17.51,17.82,41097.0
2013-07-03,17.23,17.57,17.0,17.34,23238.0
2013-07-02,17.55,17.75,17.13,17.33,43910.0
2013-07-01,16.76,17.64,16.76,17.61,70346.0
2013-06-28,16.94,17.12,16.65,16.68,792627.0
2013-06-27,16.8,17.14,16.8,17.06,29761.0
2013-06-26,17.19,17.19,16.57,16.59,41937.0
2013-06-25,16.77,17.1,16.5,17.01,82079.0
2013-06-24,16.43,16.81,16.29,16.56,52880.0
2013-06-21,17.0,17.04,16.2,16.45,235570.0
2013-06-20,16.5,17.03,16.5,16.91,50605.0
2013-06-19,17.22,17.28,16.65,16.85,43329.0
2013-06-18,16.68,17.29,16.59,17.19,32025.0
2013-06-17,17.05,17.3,16.1,16.58,100066.0
2013-06-14,17.12,17.12,16.71,16.78,29041.0
2013-06-13,16.8,17.5,16.8,17.21,57820.0
2013-06-12,17.14,17.14,16.56,16.84,36203.0
2013-06-11,17.21,17.48,16.9,16.91,61451.0
2013-06-10,17.52,17.57,17.05,17.56,28194.0
2013-06-07,17.64,17.64,17.26,17.36,42305.0
2013-06-06,17.28,17.5,16.67,17.42,58887.0
2013-06-05,17.53,17.6,17.15,17.32,44437.0
2013-06-04,17.61,17.9,17.1,17.61,90501.0
2013-06-03,16.82,17.63,16.59,17.61,131724.0
2013-05-31,16.78,16.94,16.54,16.64,70810.0
2013-05-30,16.12,17.01,15.88,16.99,52764.0
2013-05-29,17.05,17.46,15.75,16.09,62193.0
2013-05-28,17.76,17.78,17.16,17.27,88250.0
2013-05-24,17.23,17.58,17.16,17.51,24250.0
2013-05-23,16.81,17.43,16.69,17.4,24192.0
2013-05-22,17.78,17.91,16.87,16.95,56711.0
2013-05-21,17.6,17.81,17.13,17.81,27114.0
2013-05-20,17.34,17.81,17.28,17.65,41049.0
2013-05-17,17.28,17.5,17.09,17.48,48516.0
2013-05-16,17.35,17.42,17.1,17.18,35844.0
2013-05-15,17.46,17.66,17.32,17.48,24480.0
2013-05-14,17.25,17.5,17.22,17.48,44611.0
2013-05-13,17.23,17.23,16.86,17.19,39872.0
2013-05-10,17.2,17.22,16.96,17.22,15620.0
2013-05-09,17.11,17.24,16.74,17.11,67631.0
2013-05-08,17.0,17.1,16.85,17.02,78523.0
2013-05-07,16.84,17.05,16.39,17.0,59431.0
2013-05-06,16.28,17.1,16.22,16.85,88772.0
2013-05-03,16.44,16.61,16.03,16.25,62136.0
2013-05-02,15.54,16.48,15.24,15.95,60078.0
2013-05-01,16.35,16.41,15.3,15.37,137293.0
2013-04-30,16.15,16.63,16.07,16.39,67174.0
2013-04-29,16.18,16.33,16.02,16.09,57297.0
2013-04-26,15.97,16.28,15.67,16.03,54901.0
2013-04-25,15.85,16.28,15.57,16.02,57061.0
2013-04-24,15.9,15.91,15.52,15.83,39751.0
2013-04-23,15.55,15.95,15.4,15.94,77036.0
2013-04-22,15.48,15.54,14.85,15.4,117923.0
2013-04-19,14.85,15.44,14.73,15.43,49170.0
2013-04-18,14.6,15.2,14.44,14.8,49678.0
2013-04-17,14.85,15.47,14.34,14.58,45209.0
2013-04-16,15.47,15.47,14.72,15.07,51690.0
2013-04-15,16.49,16.5,15.01,15.23,54402.0
2013-04-12,15.43,16.72,15.22,16.69,120392.0
2013-04-11,15.58,15.69,15.17,15.58,34766.0
2013-04-10,14.74,15.69,14.68,15.64,68101.0
2013-04-09,14.61,14.85,14.41,14.63,25499.0
2013-04-08,14.73,14.76,13.85,14.53,87716.0

