Date,Open,High,Low,Close,Volume
2014-04-07,93.3,93.41,92.04,92.61,522205.0
2014-04-04,94.97,95.45,93.21,93.32,492175.0
2014-04-03,95.3,95.5,94.03,94.71,442889.0
2014-04-02,94.57,95.47,94.53,95.12,610954.0
2014-04-01,93.84,94.63,93.12,94.59,505883.0
2014-03-31,93.02,93.68,92.31,93.38,343382.0
2014-03-28,92.1,92.98,91.96,92.37,392492.0
2014-03-27,92.09,92.24,91.55,92.1,340301.0
2014-03-26,92.92,93.37,92.12,92.15,449720.0
2014-03-25,93.32,93.95,92.72,92.79,504294.0
2014-03-24,94.84,94.9,92.95,93.15,502385.0
2014-03-21,94.92,95.47,93.8,94.38,1067638.0
2014-03-20,94.09,94.79,94.03,94.32,701740.0
2014-03-19,94.96,95.24,94.08,94.54,468326.0
2014-03-18,95.39,95.48,94.85,95.13,436474.0
2014-03-17,95.38,95.8,94.9,95.14,522505.0
2014-03-14,94.52,95.55,94.41,95.08,805143.0
2014-03-13,94.97,95.57,94.34,94.69,1141396.0
2014-03-12,93.58,94.54,93.26,94.4,752030.0
2014-03-11,94.57,94.92,94.02,94.22,456391.0
2014-03-10,94.08,94.59,93.95,94.53,302739.0
2014-03-07,94.63,94.88,94.0,94.38,417956.0
2014-03-06,94.39,94.64,93.99,94.25,339708.0
2014-03-05,94.51,94.58,93.86,94.15,468722.0
2014-03-04,93.53,94.8,92.91,94.67,1105520.0
2014-03-03,94.01,94.19,92.51,93.48,636455.0
2014-02-28,93.93,94.6,93.71,94.41,868890.0
2014-02-27,93.84,94.24,93.63,93.91,421038.0
2014-02-26,93.93,94.45,93.71,93.99,752307.0
2014-02-25,93.12,94.46,93.12,93.93,648790.0
2014-02-24,93.42,94.21,93.04,93.26,856205.0
2014-02-21,93.42,94.48,92.98,93.02,1067647.0
2014-02-20,93.76,94.34,93.23,94.03,1094803.0
2014-02-19,95.19,95.8,93.64,93.77,1077036.0
2014-02-18,96.62,96.87,95.5,95.62,537349.0
2014-02-14,95.09,96.77,94.93,96.61,730748.0
2014-02-13,94.49,95.7,94.38,95.7,562934.0
2014-02-12,94.45,95.78,94.38,95.21,802727.0
2014-02-11,93.34,94.77,92.83,94.6,869220.0
2014-02-10,92.43,93.29,91.71,93.07,929334.0
2014-02-07,91.04,93.34,90.68,92.78,760936.0
2014-02-06,91.11,91.71,90.26,90.89,857000.0
2014-02-05,90.88,91.44,90.21,91.07,759740.0
2014-02-04,91.57,91.94,90.51,90.79,706144.0
2014-02-03,93.1,93.44,90.84,91.06,725303.0
2014-01-31,92.36,93.38,92.12,92.97,665109.0
2014-01-30,92.06,94.61,92.05,93.88,775310.0
2014-01-29,91.71,92.88,91.53,92.2,561778.0
2014-01-28,91.21,92.26,90.95,92.18,555112.0
2014-01-27,91.97,92.17,90.68,91.19,730754.0
2014-01-24,92.52,92.79,91.34,91.43,647158.0
2014-01-23,92.89,93.76,92.84,93.29,557785.0
2014-01-22,93.81,94.0,93.15,93.55,621438.0
2014-01-21,92.15,93.68,92.15,93.62,601989.0
2014-01-17,92.29,93.07,92.11,92.51,1176326.0
2014-01-16,93.07,93.56,92.43,92.75,308781.0
2014-01-15,93.2,93.66,92.82,92.98,390149.0
2014-01-14,91.69,93.25,91.48,93.01,596065.0
2014-01-13,93.0,93.59,91.27,91.47,677155.0
2014-01-10,93.34,93.94,93.04,93.42,428861.0
2014-01-09,93.82,93.82,93.1,93.36,576402.0
2014-01-08,92.56,93.47,91.91,93.38,677099.0
2014-01-07,91.91,93.13,91.76,92.78,402889.0
2014-01-06,92.73,93.0,91.32,91.7,701232.0
2014-01-03,92.89,93.16,92.25,92.57,436103.0
2014-01-02,93.59,93.61,92.42,92.78,525148.0
2013-12-31,94.28,94.36,93.48,94.01,382444.0
2013-12-30,94.5,94.66,93.82,94.0,390194.0
2013-12-27,92.51,94.78,92.22,94.19,928782.0
2013-12-26,92.16,92.49,91.63,92.17,345237.0
2013-12-24,91.49,92.24,91.17,92.19,185649.0
2013-12-23,90.92,91.33,90.2,91.29,388030.0
2013-12-20,89.82,90.71,89.0,90.56,1020746.0
2013-12-19,90.75,90.95,89.76,89.88,676291.0
2013-12-18,89.67,90.97,88.77,90.95,638034.0
2013-12-17,89.59,89.83,89.03,89.49,466770.0
2013-12-16,89.96,90.3,88.98,89.75,375222.0
2013-12-13,89.2,89.9,89.04,89.44,529968.0
2013-12-12,89.6,89.71,89.12,89.17,632324.0
2013-12-11,89.51,89.67,89.1,89.66,970887.0
2013-12-10,89.34,89.67,89.12,89.35,548521.0
2013-12-09,89.62,89.91,89.2,89.56,713039.0
2013-12-06,88.77,89.26,87.92,89.18,668738.0
2013-12-05,87.1,87.88,87.1,87.7,558371.0
2013-12-04,86.97,88.08,86.67,87.33,728147.0
2013-12-03,86.27,87.51,86.04,87.1,786777.0
2013-12-02,86.43,87.1,86.43,86.57,404329.0
2013-11-29,86.94,87.48,86.21,86.24,218464.0
2013-11-27,86.95,87.46,86.81,87.03,210931.0
2013-11-26,87.12,87.35,86.7,87.02,459828.0
2013-11-25,87.89,87.89,87.07,87.18,557880.0
2013-11-22,86.89,87.46,86.39,87.46,410005.0
2013-11-21,86.16,86.73,85.76,86.73,400818.0
2013-11-20,86.0,86.24,85.5,85.67,427659.0
