Date,Open,High,Low,Close,Volume
2014-04-07,74.4,74.7,73.3,73.92,318025.0
2014-04-04,76.42,76.89,74.48,74.5,307489.0
2014-04-03,76.71,76.99,75.55,75.98,607337.0
2014-04-02,76.38,77.08,76.05,76.54,284074.0
2014-04-01,75.04,76.6,75.01,76.55,466963.0
2014-03-31,74.03,75.27,73.81,74.67,451935.0
2014-03-28,73.78,74.99,73.26,73.86,288670.0
2014-03-27,73.65,74.25,73.18,73.46,307431.0
2014-03-26,74.4,74.78,73.67,73.94,374187.0
2014-03-25,74.02,74.79,73.76,74.0,383833.0
2014-03-24,74.79,74.79,73.1,73.58,558637.0
2014-03-21,75.99,75.99,73.93,74.73,820796.0
2014-03-20,74.01,74.26,73.36,74.06,284027.0
2014-03-19,73.95,74.69,73.46,74.17,237718.0
2014-03-18,73.8,74.43,73.48,74.02,558155.0
2014-03-17,73.1,74.4,72.88,73.78,338499.0
2014-03-14,73.11,73.37,72.65,73.1,456598.0
2014-03-13,73.42,74.0,72.92,73.17,759868.0
2014-03-12,73.45,73.65,72.73,73.23,753649.0
2014-03-11,74.0,74.22,73.46,73.75,565844.0
2014-03-10,73.29,74.13,73.11,73.98,736136.0
2014-03-07,73.01,73.72,72.27,73.41,529009.0
2014-03-06,71.94,73.15,71.8,72.85,639953.0
2014-03-05,71.16,71.99,70.89,71.67,478844.0
2014-03-04,70.94,72.11,70.34,71.31,711332.0
2014-03-03,70.0,70.88,69.82,70.19,974379.0
2014-02-28,70.37,71.59,69.85,70.46,625411.0
2014-02-27,68.8,70.35,68.56,70.25,701851.0
2014-02-26,68.84,69.49,68.56,68.8,364123.0
2014-02-25,67.67,68.66,67.49,68.54,711209.0
2014-02-24,67.36,67.74,67.22,67.46,698484.0
2014-02-21,68.38,68.38,67.22,67.35,758029.0
2014-02-20,68.2,69.84,67.82,68.36,444076.0
2014-02-19,69.44,69.84,68.26,68.33,541691.0
2014-02-18,70.09,70.94,69.65,69.8,332471.0
2014-02-14,69.0,70.1,69.0,69.82,544667.0
2014-02-13,69.09,69.6,68.58,68.99,927036.0
2014-02-12,70.43,70.83,69.17,69.51,912994.0
2014-02-11,70.07,71.69,69.81,70.48,1087752.0
2014-02-10,69.4,70.46,69.26,70.2,984417.0
2014-02-07,71.86,72.77,68.19,69.9,2098490.0
2014-02-06,69.99,72.0,69.68,71.86,1391171.0
2014-02-05,70.3,70.79,69.31,69.83,754297.0
2014-02-04,69.4,70.63,69.07,70.37,970085.0
2014-02-03,72.11,72.38,68.81,69.2,1028661.0
2014-01-31,71.92,72.29,71.31,71.94,976755.0
2014-01-30,72.89,73.23,72.41,72.6,920885.0
2014-01-29,74.4,74.52,71.77,72.45,1327631.0
2014-01-28,75.11,76.81,74.0,74.98,9936569.0
2014-01-27,75.29,77.31,74.51,75.19,2672945.0
2014-01-24,72.55,72.89,72.15,72.75,914651.0
2014-01-23,73.01,73.62,72.37,72.66,549218.0
2014-01-22,70.65,73.31,70.65,73.25,791264.0
2014-01-21,70.7,71.0,70.52,70.65,379751.0
2014-01-17,70.22,70.64,69.95,70.48,416175.0
2014-01-16,69.81,70.68,69.8,70.15,460495.0
2014-01-15,68.72,69.83,68.56,69.73,426989.0
2014-01-14,68.9,69.29,67.82,68.67,367720.0
2014-01-13,69.5,70.19,68.27,68.55,734061.0
2014-01-10,69.67,70.24,69.39,69.82,401594.0
2014-01-09,69.18,69.97,69.13,69.71,330719.0
2014-01-08,69.51,69.77,68.88,69.12,424387.0
2014-01-07,67.98,69.6,67.88,69.34,365796.0
2014-01-06,67.55,69.23,67.2,67.72,521850.0
2014-01-03,68.49,69.69,68.47,69.39,351879.0
2014-01-02,70.08,70.09,68.14,68.28,814001.0
2013-12-31,70.61,71.0,70.09,70.2,300420.0
2013-12-30,70.4,70.89,70.27,70.59,241723.0
2013-12-27,70.24,70.83,70.01,70.39,321949.0
2013-12-26,70.36,71.06,69.95,70.35,192722.0
2013-12-24,69.84,71.36,69.84,70.16,109907.0
2013-12-23,68.98,69.98,68.86,69.67,350065.0
2013-12-20,69.3,69.54,68.61,68.77,578140.0
2013-12-19,69.64,69.98,68.8,69.39,542654.0
2013-12-18,69.14,69.82,68.46,69.7,432858.0
2013-12-17,67.97,69.02,67.86,68.89,569768.0
2013-12-16,68.14,68.77,67.51,68.11,394293.0
2013-12-13,67.71,68.06,67.38,67.92,436073.0
2013-12-12,67.05,67.51,66.45,67.4,423043.0
2013-12-11,67.47,67.72,66.58,67.0,546458.0
2013-12-10,67.39,67.82,67.17,67.35,472197.0
2013-12-09,67.86,68.15,67.41,67.91,503162.0
2013-12-06,67.23,68.58,67.23,67.66,293216.0
2013-12-05,66.74,67.22,66.3,67.01,545078.0
2013-12-04,67.61,68.1,66.34,66.9,658709.0
2013-12-03,68.67,68.87,67.63,67.96,390142.0
2013-12-02,68.75,69.26,68.2,68.61,465716.0
2013-11-29,68.52,69.17,68.13,68.78,290498.0
2013-11-27,68.01,68.41,67.58,68.35,393148.0
2013-11-26,67.24,68.02,67.03,67.59,499134.0
2013-11-25,70.1,70.1,67.0,67.3,1299926.0
2013-11-22,72.95,73.94,69.4,70.19,1047065.0
2013-11-21,72.92,73.16,71.98,72.61,580993.0
2013-11-20,72.01,73.25,71.92,72.56,522625.0
2013-11-19,71.88,72.39,71.44,72.06,572865.0
2013-11-18,72.39,73.14,71.91,72.0,374315.0
2013-11-15,71.57,72.19,71.35,72.18,282936.0
2013-11-14,71.55,72.03,71.09,71.54,234639.0
