Date,Open,High,Low,Close,Volume
2014-04-07,123.56,124.03,121.24,122.0,493089.0
2014-04-04,128.62,129.41,123.21,123.59,487747.0
2014-04-03,128.36,129.9,126.72,128.3,221213.0
2014-04-02,129.88,130.17,128.17,128.5,268930.0
2014-04-01,128.95,129.64,127.02,129.22,383770.0
2014-03-31,126.94,129.18,126.55,128.78,294774.0
2014-03-28,126.17,128.64,125.11,125.99,233518.0
2014-03-27,127.99,127.99,125.11,125.6,490507.0
2014-03-26,130.27,131.15,127.35,127.75,355856.0
2014-03-25,131.28,131.28,128.0,129.37,352803.0
2014-03-24,132.19,133.21,129.8,130.42,479909.0
2014-03-21,132.7,135.0,130.04,131.53,1120259.0
2014-03-20,126.74,132.67,125.73,132.27,474892.0
2014-03-19,128.18,128.6,125.96,127.41,320044.0
2014-03-18,128.22,128.68,127.11,127.63,356453.0
2014-03-17,127.16,128.34,126.63,127.63,205203.0
2014-03-14,126.61,127.52,124.89,126.53,201943.0
2014-03-13,126.06,126.89,124.16,126.86,381581.0
2014-03-12,124.53,125.25,122.84,124.96,283649.0
2014-03-11,126.34,126.91,124.82,124.97,275332.0
2014-03-10,126.65,127.94,125.33,127.01,249812.0
2014-03-07,125.28,127.0,124.9,126.8,404233.0
2014-03-06,123.5,125.08,123.45,124.43,333165.0
2014-03-05,124.79,126.0,123.37,123.63,411809.0
2014-03-04,124.04,125.79,124.04,124.57,367734.0
2014-03-03,124.85,124.85,121.89,122.55,594435.0
2014-02-28,125.11,128.13,125.1,125.91,357153.0
2014-02-27,124.32,125.36,123.19,125.06,224274.0
2014-02-26,123.03,124.74,121.52,124.65,268537.0
2014-02-25,122.57,123.26,121.09,121.73,174300.0
2014-02-24,119.85,122.71,119.85,122.51,312962.0
2014-02-21,119.33,120.08,118.14,119.68,288792.0
2014-02-20,117.35,119.09,116.54,118.78,311680.0
2014-02-19,118.47,118.95,117.12,117.46,421098.0
2014-02-18,120.31,120.82,117.56,120.25,426118.0
2014-02-14,115.46,117.04,115.46,116.93,195835.0
2014-02-13,113.18,115.86,113.18,115.65,247111.0
2014-02-12,113.48,115.64,112.65,114.09,322253.0
2014-02-11,111.19,113.92,111.19,113.55,195634.0
2014-02-10,111.07,111.54,110.32,111.34,240062.0
2014-02-07,111.62,112.84,109.63,110.87,318927.0
2014-02-06,110.37,112.07,109.48,111.81,203294.0
2014-02-05,109.39,110.48,108.71,110.28,247121.0
2014-02-04,107.93,111.28,106.52,109.81,485493.0
2014-02-03,112.63,112.63,107.27,107.87,609258.0
2014-01-31,112.96,113.79,111.93,112.23,392747.0
2014-01-30,111.71,114.22,110.79,114.06,316043.0
2014-01-29,111.3,112.66,110.8,110.91,358268.0
2014-01-28,111.65,113.34,110.72,112.11,395045.0
2014-01-27,114.7,120.44,111.06,111.18,480841.0
2014-01-24,115.0,121.92,112.95,113.97,1094854.0
2014-01-23,110.84,110.84,108.58,110.26,483574.0
2014-01-22,106.32,111.7,105.14,111.57,581532.0
2014-01-21,104.73,106.46,104.73,106.09,217541.0
2014-01-17,103.19,104.54,102.39,104.02,197721.0
2014-01-16,103.47,104.23,102.42,103.33,261065.0
2014-01-15,103.9,104.55,103.33,103.78,181101.0
2014-01-14,102.86,103.38,101.65,103.27,247773.0
2014-01-13,103.2,103.51,101.76,102.13,189839.0
2014-01-10,104.1,104.1,102.42,103.45,219415.0
2014-01-09,102.86,104.21,101.8,103.81,267204.0
2014-01-08,103.29,105.34,102.12,102.79,527090.0
2014-01-07,104.04,105.21,102.6,103.27,326233.0
2014-01-06,104.57,104.98,102.85,103.05,187540.0
2014-01-03,103.65,104.44,102.53,104.11,249979.0
2014-01-02,104.01,105.67,103.04,103.23,278672.0
2013-12-31,105.18,105.98,104.5,104.86,137255.0
2013-12-30,104.95,105.5,104.32,104.9,185613.0
2013-12-27,104.73,105.72,104.56,105.04,139289.0
