Date,Open,High,Low,Close,Volume
2014-04-07,101.02,103.5,99.59,100.19,1151836.0
2014-04-04,105.94,108.4,100.9,102.22,834154.0
2014-04-03,107.81,108.92,104.53,104.99,1667268.0
2014-04-02,107.25,109.78,106.64,108.46,1246931.0
2014-04-01,103.71,106.96,103.71,106.48,1356660.0
2014-03-31,100.52,103.72,99.73,103.61,1634866.0
2014-03-28,103.36,104.03,98.67,99.52,1550572.0
2014-03-27,102.09,103.68,97.49,103.35,1456180.0
2014-03-26,103.42,104.76,101.33,102.07,1446584.0
2014-03-25,105.26,106.3,101.51,102.7,1275966.0
2014-03-24,110.29,111.86,102.63,104.9,2035346.0
2014-03-21,114.64,115.44,109.94,110.24,1159790.0
2014-03-20,114.18,115.32,112.71,114.64,640643.0
2014-03-19,114.58,116.72,113.24,114.1,820683.0
2014-03-18,112.33,114.43,112.0,114.26,724166.0
2014-03-17,112.0,114.84,111.5,112.18,686239.0
2014-03-14,109.33,112.09,108.56,111.24,655486.0
2014-03-13,112.51,112.88,109.0,109.81,1554251.0
2014-03-12,110.8,112.56,109.8,111.7,1140054.0
2014-03-11,109.61,113.5,109.51,111.71,838234.0
2014-03-10,109.46,110.0,107.21,109.83,1036270.0
2014-03-07,111.54,111.77,107.31,109.86,1239762.0
2014-03-06,115.47,115.68,110.53,110.77,1233218.0
2014-03-05,113.98,114.96,112.73,114.4,1527580.0
2014-03-04,111.86,112.81,109.65,112.63,1649075.0
2014-03-03,106.96,110.75,106.1,110.74,1348656.0
2014-02-28,117.96,120.0,106.72,107.92,2468247.0
2014-02-27,109.1,111.26,108.14,109.84,868827.0
2014-02-26,108.61,110.93,108.2,108.28,667731.0
2014-02-25,108.56,109.18,107.78,108.21,978420.0
2014-02-24,106.12,108.73,105.94,108.26,1111866.0
2014-02-21,103.71,105.69,102.77,105.37,687477.0
2014-02-20,103.39,104.66,103.0,103.69,747498.0
2014-02-19,102.65,105.37,101.3,103.34,1600097.0
2014-02-18,102.7,108.87,102.07,103.14,3184182.0
2014-02-14,102.23,103.27,100.54,100.8,866406.0
2014-02-13,102.28,102.62,100.79,102.18,894103.0
2014-02-12,102.71,105.35,102.26,102.72,775948.0
2014-02-11,101.17,103.67,100.87,102.37,962801.0
2014-02-10,98.99,101.13,98.79,100.98,635375.0
2014-02-07,96.24,99.17,96.13,98.68,660415.0
2014-02-06,96.6,97.2,95.6,96.27,706186.0
2014-02-05,95.68,97.53,94.78,96.44,790947.0
2014-02-04,94.48,96.57,91.8,96.16,1502434.0
2014-02-03,97.34,98.51,93.46,94.0,1067759.0
2014-01-31,97.1,98.86,96.75,97.34,513963.0
2014-01-30,97.03,99.48,96.48,98.48,556646.0
2014-01-29,96.43,97.34,95.55,96.16,455549.0
2014-01-28,96.0,97.17,95.3,96.99,638385.0
2014-01-27,98.01,98.26,92.73,95.24,1316883.0
2014-01-24,99.76,100.07,97.47,98.01,912282.0
2014-01-23,101.34,101.41,99.23,100.49,1229490.0
2014-01-22,100.11,101.82,99.38,101.51,1064192.0
2014-01-21,99.46,100.2,98.13,100.05,946900.0
2014-01-17,97.33,99.24,97.08,98.56,731909.0
2014-01-16,95.31,96.43,94.65,96.43,616509.0
2014-01-15,97.03,97.85,94.92,95.3,868789.0
2014-01-14,97.75,97.9,95.23,96.58,1100449.0
2014-01-13,94.33,97.22,93.65,95.49,1712738.0
2014-01-10,91.62,93.99,91.21,93.62,855540.0
2014-01-09,91.47,92.03,90.8,91.6,804788.0
2014-01-08,89.14,91.86,88.79,90.95,977686.0
2014-01-07,88.43,89.94,87.93,89.26,1108696.0
2014-01-06,91.27,92.1,90.02,90.43,954699.0
2014-01-03,89.44,92.31,89.2,91.2,926851.0
2014-01-02,89.7,89.95,88.15,89.09,1068609.0
2013-12-31,89.4,90.0,88.61,89.94,446423.0
2013-12-30,89.85,89.9,87.36,88.8,546575.0
2013-12-27,89.42,90.1,89.14,89.41,538955.0
2013-12-26,89.24,89.71,88.52,89.31,459331.0
2013-12-24,89.2,89.38,88.32,89.05,371414.0
2013-12-23,88.39,89.65,87.76,89.37,726888.0
2013-12-20,85.47,87.68,84.62,87.61,1390809.0
2013-12-19,84.62,85.79,84.1,85.57,804885.0
2013-12-18,84.81,85.05,83.26,85.04,432031.0
2013-12-17,85.25,86.1,84.35,84.73,1135245.0
2013-12-16,83.73,85.06,83.72,84.8,546752.0
2013-12-13,84.05,84.56,83.44,84.05,642517.0
2013-12-12,82.59,84.17,82.55,83.87,1163382.0
2013-12-11,84.42,84.42,82.52,82.68,1132767.0
2013-12-10,84.42,84.71,83.4,84.2,545110.0
2013-12-09,86.9,87.34,84.59,84.9,1133267.0
2013-12-06,85.45,86.92,84.74,86.49,1100294.0
2013-12-05,84.58,85.18,83.64,85.15,817093.0
2013-12-04,84.58,85.12,83.57,84.69,610279.0
2013-12-03,85.3,85.3,84.33,84.81,908050.0
2013-12-02,85.44,86.1,84.5,85.3,598785.0
2013-11-29,85.4,85.89,84.66,84.81,157197.0
2013-11-27,84.79,86.48,84.55,85.16,429135.0
2013-11-26,84.41,85.36,84.01,84.94,511624.0
2013-11-25,85.21,85.53,84.37,84.53,708536.0
2013-11-22,85.44,85.91,84.02,84.58,1856775.0
2013-11-21,86.93,87.65,84.96,85.13,1015526.0
2013-11-20,87.97,88.54,86.11,86.84,715416.0
2013-11-19,88.42,89.48,87.11,87.59,626023.0
2013-11-18,90.11,90.73,87.3,87.92,837659.0
2013-11-15,88.39,90.06,87.94,90.01,940270.0
2013-11-14,85.36,88.34,84.78,88.0,1941992.0
2013-11-13,84.58,86.36,83.64,85.34,1138912.0
2013-11-12,85.33,85.96,84.56,84.82,1056752.0
2013-11-11,84.12,86.18,83.42,85.23,2160807.0
2013-11-08,80.0,85.02,79.7,84.0,6638351.0
2013-11-07,73.1,73.58,70.64,71.31,976758.0
2013-11-06,75.03,75.25,71.56,73.04,727624.0
2013-11-05,73.69,75.61,73.33,74.56,875389.0
2013-11-04,72.86,73.87,72.44,73.75,555484.0
2013-11-01,72.07,73.24,71.89,72.87,418851.0
2013-10-31,72.1,72.58,70.75,71.75,406992.0
2013-10-30,73.01,73.5,71.62,71.96,488205.0
2013-10-29,72.66,73.29,72.13,73.05,621212.0
2013-10-28,74.12,74.13,72.05,72.56,646999.0
2013-10-25,73.97,74.5,72.95,74.33,386534.0
2013-10-24,73.21,74.76,73.04,73.61,356213.0
2013-10-23,72.41,73.35,71.4,73.0,500485.0
2013-10-22,73.04,73.99,72.57,72.99,555324.0
2013-10-21,72.36,73.05,72.0,72.74,602997.0
2013-10-18,71.98,72.34,71.46,72.18,377137.0
2013-10-17,70.97,71.58,70.37,71.51,499563.0
2013-10-16,68.74,71.56,68.74,71.05,648245.0
2013-10-15,69.39,69.9,68.07,68.3,525158.0
2013-10-14,69.44,69.98,67.7,69.62,730790.0
2013-10-11,69.59,69.66,68.95,69.55,615544.0
2013-10-10,69.33,70.24,68.51,69.49,461020.0
2013-10-09,69.25,69.63,67.4,68.88,519958.0
2013-10-08,70.34,70.85,68.28,69.04,792245.0
2013-10-07,71.24,72.04,69.93,70.14,448270.0
2013-10-04,71.66,72.33,71.23,71.43,391342.0
2013-10-03,70.89,72.17,70.2,71.28,628262.0
2013-10-02,70.57,73.94,70.44,71.0,1157973.0
2013-10-01,66.75,70.95,66.67,70.76,1695758.0
2013-09-30,66.28,67.48,65.93,66.88,518835.0
2013-09-27,67.1,68.05,66.86,66.89,389993.0
2013-09-26,65.92,67.8,65.59,67.19,532239.0
2013-09-25,66.09,66.46,65.38,65.73,243818.0
2013-09-24,66.48,67.35,65.75,65.98,411884.0
2013-09-23,67.38,67.73,65.9,66.67,374395.0
2013-09-20,68.2,68.34,66.84,67.62,1996984.0
2013-09-19,68.28,68.62,67.34,67.96,419462.0
2013-09-18,68.0,68.77,67.49,68.34,434382.0
2013-09-17,67.23,68.54,67.23,68.03,482387.0
2013-09-16,67.75,68.67,67.21,67.46,451279.0
2013-09-13,65.73,67.29,65.6,67.12,376471.0
2013-09-12,66.75,66.76,66.15,66.68,624505.0
2013-09-11,68.26,68.99,66.43,66.91,657042.0
2013-09-10,67.78,68.88,67.78,68.17,531384.0
2013-09-09,67.33,67.83,66.75,67.33,849175.0
2013-09-06,66.69,67.18,65.14,66.01,725583.0
2013-09-05,66.27,67.14,66.22,66.67,537302.0
2013-09-04,66.49,67.02,65.82,66.4,1012542.0
2013-09-03,67.27,67.9,65.63,66.58,1021101.0
2013-08-30,68.2,68.48,66.76,66.94,442430.0
2013-08-29,66.54,68.84,66.01,68.19,596406.0
2013-08-28,65.88,66.77,64.93,66.47,426711.0
2013-08-27,67.71,67.75,65.72,65.87,865126.0
2013-08-26,67.78,68.63,67.58,68.03,497519.0
2013-08-23,68.25,69.02,67.31,67.95,765775.0
2013-08-22,69.74,69.99,67.49,68.32,660360.0
2013-08-21,67.68,70.18,67.15,69.64,993881.0
2013-08-20,67.04,68.23,66.75,67.89,292129.0
2013-08-19,66.44,67.8,66.09,67.18,434008.0
2013-08-16,66.87,67.77,66.15,66.63,551702.0
2013-08-15,67.25,67.68,66.78,67.1,625501.0
2013-08-14,68.92,69.53,67.89,67.9,718028.0
2013-08-13,68.86,69.63,67.86,69.13,850899.0
2013-08-12,68.84,68.9,67.61,68.73,1035701.0
2013-08-09,72.76,72.76,67.06,69.08,2487697.0
2013-08-08,72.98,73.97,72.56,73.46,612426.0
2013-08-07,73.96,74.1,72.93,73.06,610190.0
2013-08-06,74.19,74.5,73.7,73.96,724756.0
2013-08-05,74.81,75.48,73.73,74.09,587207.0
2013-08-02,75.6,75.78,74.72,75.54,615465.0
2013-08-01,74.64,75.87,73.79,75.53,940485.0
2013-07-31,73.69,74.67,73.61,73.9,776298.0
2013-07-30,74.1,75.53,73.36,73.75,8254277.0
2013-07-29,73.72,74.31,72.94,73.42,484479.0
2013-07-26,72.07,73.54,71.18,73.48,572276.0
2013-07-25,71.51,72.31,70.84,71.95,358006.0
2013-07-24,70.95,72.84,69.52,71.9,863619.0
2013-07-23,70.25,70.45,69.18,69.31,562033.0
2013-07-22,70.94,71.02,69.77,70.14,460545.0
2013-07-19,70.97,72.05,70.21,71.23,619321.0
2013-07-18,70.0,70.96,69.69,70.87,430928.0
2013-07-17,68.65,70.0,68.36,69.63,471739.0
2013-07-16,70.0,70.0,68.56,68.98,459210.0
2013-07-15,69.5,69.99,68.36,69.73,653011.0
2013-07-12,69.43,69.7,68.25,69.13,615701.0
2013-07-11,68.86,69.66,68.52,69.21,550484.0
2013-07-10,68.09,68.67,67.44,68.21,598168.0
2013-07-09,68.75,68.87,67.61,67.81,584925.0
2013-07-08,67.66,69.03,67.15,68.63,617944.0
2013-07-05,66.15,67.67,65.73,67.05,528399.0
2013-07-03,66.78,66.99,65.69,65.88,703708.0
2013-07-02,66.95,67.92,66.64,67.53,446162.0
2013-07-01,66.62,68.0,66.41,67.16,777280.0
2013-06-28,66.03,66.34,65.15,66.15,1198742.0
2013-06-27,64.7,66.26,64.7,66.03,346756.0
2013-06-26,64.89,65.69,64.18,64.6,397875.0
2013-06-25,64.75,65.25,64.02,64.39,564134.0
2013-06-24,65.05,65.12,63.83,64.29,432609.0
2013-06-21,66.81,67.66,64.96,65.92,913876.0
2013-06-20,65.88,66.91,65.31,66.6,764413.0
2013-06-19,67.26,67.38,66.33,66.42,423941.0
2013-06-18,66.11,67.08,65.85,66.83,372380.0
2013-06-17,67.01,67.79,66.01,66.21,407462.0
2013-06-14,66.89,67.35,66.0,66.3,528906.0
2013-06-13,65.5,66.98,65.1,66.79,525072.0
2013-06-12,68.62,68.62,64.43,65.04,1034658.0
2013-06-11,62.22,65.92,61.93,65.42,1577610.0
2013-06-10,61.95,62.48,60.91,62.29,478360.0
2013-06-07,61.05,61.65,60.43,61.3,436682.0
