Date,Open,High,Low,Close,Volume
2014-04-07,59.8,60.75,57.67,59.11,849890.0
2014-04-04,61.89,62.47,59.05,59.94,967952.0
2014-04-03,65.0,65.35,61.19,61.68,978630.0
2014-04-02,66.5,66.69,64.2,64.76,601921.0
2014-04-01,65.91,66.53,64.92,66.08,466821.0
2014-03-31,65.89,67.7,64.52,65.09,600769.0
2014-03-28,64.01,65.86,63.9,64.87,778887.0
2014-03-27,66.0,66.1,62.71,63.67,1202703.0
2014-03-26,69.62,69.91,64.03,64.13,1233234.0
2014-03-25,67.62,69.47,67.0,69.13,956612.0
2014-03-24,71.06,71.16,66.6,66.98,1210486.0
2014-03-21,72.01,72.17,70.18,70.5,999545.0
2014-03-20,72.87,73.46,71.43,71.7,554660.0
2014-03-19,73.87,74.64,72.69,73.55,364176.0
2014-03-18,75.32,75.32,73.56,73.85,575561.0
2014-03-17,73.5,75.04,73.27,74.78,490542.0
2014-03-14,72.51,74.24,71.07,73.31,655863.0
2014-03-13,76.35,77.0,71.86,73.0,1143055.0
2014-03-12,75.03,76.5,74.53,76.48,675589.0
2014-03-11,77.4,79.75,76.02,76.27,732198.0
2014-03-10,78.81,79.96,76.6,77.01,788211.0
2014-03-07,83.51,84.0,79.29,80.29,1077603.0
2014-03-06,85.06,87.68,83.5,83.7,1101692.0
2014-03-05,86.0,86.98,84.58,85.56,524639.0
2014-03-04,86.0,86.84,85.05,85.85,678604.0
2014-03-03,81.99,86.81,81.78,85.17,1488918.0
2014-02-28,82.0,85.57,80.56,84.99,2188096.0
2014-02-27,75.25,78.86,74.93,78.77,1124245.0
2014-02-26,73.55,75.5,73.55,74.95,437389.0
2014-02-25,73.97,74.76,73.07,73.73,405842.0
2014-02-24,73.41,74.92,72.3,74.07,714285.0
2014-02-21,75.61,75.61,74.17,75.11,588271.0
2014-02-20,74.59,76.1,73.8,75.65,513846.0
2014-02-19,72.65,75.48,72.65,74.6,874782.0
2014-02-18,69.93,74.1,69.62,74.02,1199102.0
2014-02-14,70.28,71.0,69.58,70.1,361214.0
2014-02-13,68.0,71.05,68.0,70.51,569151.0
2014-02-12,68.61,69.05,68.05,68.57,486174.0
2014-02-11,68.5,70.91,67.66,68.61,1923556.0
2014-02-10,66.97,73.13,65.19,71.55,3052168.0
2014-02-07,71.28,72.38,69.8,71.52,1108486.0
2014-02-06,68.54,71.34,68.04,70.39,683368.0
2014-02-05,68.0,69.16,67.25,67.78,1028014.0
2014-02-04,69.0,70.59,67.6,68.61,1365083.0
2014-02-03,72.62,74.3,68.72,69.09,806934.0
2014-01-31,72.93,73.58,72.05,72.78,297644.0
2014-01-30,73.9,74.64,73.08,73.62,385790.0
2014-01-29,72.37,74.42,71.47,73.02,523407.0
2014-01-28,72.39,75.25,72.03,73.73,635241.0
2014-01-27,72.31,73.44,69.09,71.25,736946.0
2014-01-24,74.0,75.42,71.57,72.31,829580.0
2014-01-23,74.18,76.21,73.02,75.1,975767.0
2014-01-22,74.86,77.38,74.85,76.97,440580.0
2014-01-21,77.47,78.49,74.68,75.52,641852.0
2014-01-17,75.7,77.53,74.18,76.82,665064.0
2014-01-16,75.5,76.22,74.0,75.57,367067.0
2014-01-15,76.98,77.5,74.81,75.87,490050.0
