Date,Open,High,Low,Close,Volume
2014-04-07,21.84,22.26,21.31,21.52,596083.0
2014-04-04,21.93,22.43,21.7,22.01,862403.0
2014-04-03,22.96,22.96,22.54,22.68,435272.0
2014-04-02,23.12,23.24,22.66,22.98,716851.0
2014-04-01,22.78,23.17,22.78,23.12,1086116.0
2014-03-31,22.68,22.82,22.45,22.79,775559.0
2014-03-28,22.31,22.73,22.26,22.56,787444.0
2014-03-27,22.62,22.62,22.04,22.29,920121.0
2014-03-26,23.31,23.56,22.46,22.58,1351968.0
2014-03-25,22.3,23.51,22.3,23.23,3978375.0
2014-03-24,21.41,21.54,20.5,20.92,1317206.0
2014-03-21,21.75,21.91,21.26,21.27,750237.0
2014-03-20,21.48,21.95,21.48,21.59,810784.0
2014-03-19,22.28,22.32,21.38,21.6,709645.0
2014-03-18,22.1,22.36,22.1,22.31,355060.0
2014-03-17,21.9,22.34,21.88,22.06,699330.0
2014-03-14,21.47,22.02,21.19,21.8,928372.0
2014-03-13,21.5,21.68,20.67,20.88,617992.0
2014-03-12,20.56,21.46,20.55,21.46,787075.0
2014-03-11,20.82,21.38,20.53,20.64,677325.0
2014-03-10,20.65,20.85,20.5,20.76,520013.0
2014-03-07,20.53,20.82,20.36,20.8,714101.0
2014-03-06,20.16,20.4,20.14,20.37,467341.0
2014-03-05,19.96,20.1,19.73,20.06,741240.0
2014-03-04,19.79,20.23,19.73,20.04,1736830.0
2014-03-03,19.94,19.99,19.25,19.51,1041247.0
2014-02-28,20.31,20.75,20.27,20.38,607957.0
2014-02-27,19.65,20.33,19.64,20.28,600872.0
2014-02-26,19.79,19.94,19.66,19.75,450480.0
2014-02-25,19.82,20.0,19.66,19.71,569512.0
2014-02-24,19.6,19.93,19.54,19.85,759887.0
2014-02-21,19.47,19.66,19.36,19.54,581757.0
2014-02-20,19.25,19.45,19.18,19.4,576129.0
2014-02-19,18.9,19.35,18.9,19.16,885602.0
2014-02-18,18.83,19.08,18.67,18.98,1381669.0
2014-02-14,18.28,18.82,18.19,18.79,844625.0
2014-02-13,17.84,18.27,17.77,18.27,483311.0
2014-02-12,17.85,18.05,17.85,18.0,520707.0
2014-02-11,17.91,18.12,17.71,17.86,546677.0
2014-02-10,17.4,17.91,17.39,17.86,640361.0
2014-02-07,17.4,17.68,17.38,17.48,431669.0
2014-02-06,17.15,17.62,17.15,17.47,1078265.0
2014-02-05,17.36,17.48,16.94,17.16,1017350.0
2014-02-04,17.42,17.73,17.33,17.5,670631.0
2014-02-03,17.7,18.0,16.92,17.28,918579.0
2014-01-31,17.75,18.09,17.6,17.79,673844.0
2014-01-30,18.28,18.43,18.04,18.05,491910.0
2014-01-29,18.26,18.56,18.03,18.08,713069.0
2014-01-28,18.36,18.59,18.26,18.5,471290.0
2014-01-27,18.56,18.93,17.89,18.35,590928.0
2014-01-24,19.6,19.75,18.84,18.92,689527.0
2014-01-23,19.94,20.0,19.51,19.7,646886.0
2014-01-22,20.17,20.25,20.09,20.13,251167.0
2014-01-21,20.66,20.74,20.1,20.17,317366.0
2014-01-17,20.74,20.89,20.5,20.5,394292.0
2014-01-16,20.83,21.05,20.52,20.58,515250.0
2014-01-15,20.0,20.93,19.84,20.8,1169066.0
2014-01-14,19.69,19.98,19.6,19.94,462937.0
2014-01-13,19.79,20.14,19.48,19.6,383856.0
2014-01-10,19.58,20.1,19.5,19.88,1012355.0
2014-01-09,19.25,19.6,19.23,19.51,1050048.0
2014-01-08,20.0,20.08,18.88,19.19,1926877.0
2014-01-07,20.23,20.76,19.91,20.15,1523264.0
2014-01-06,19.97,20.18,18.96,19.25,1793158.0
2014-01-03,19.86,20.0,19.42,19.72,821914.0
2014-01-02,20.04,20.09,19.73,19.84,585376.0
2013-12-31,20.32,20.56,20.0,20.19,672481.0
2013-12-30,20.9,20.95,20.28,20.34,568500.0
2013-12-27,21.11,21.14,20.75,20.85,285604.0
2013-12-26,21.21,21.25,20.99,21.03,270929.0
2013-12-24,20.96,21.27,20.83,21.17,169193.0
2013-12-23,21.01,21.29,20.84,21.0,419799.0
2013-12-20,20.5,20.95,20.5,20.87,740195.0
2013-12-19,20.7,20.85,20.22,20.42,480551.0
2013-12-18,20.39,20.79,20.33,20.79,332289.0
2013-12-17,20.65,20.68,20.32,20.37,314379.0
2013-12-16,20.28,20.63,20.14,20.6,349587.0
2013-12-13,20.16,20.3,19.85,20.25,526096.0
2013-12-12,20.26,20.5,20.19,20.3,418720.0
2013-12-11,20.67,20.75,20.1,20.24,526991.0
2013-12-10,21.15,21.27,20.64,20.7,581583.0
2013-12-09,21.0,21.48,20.83,21.15,570115.0
2013-12-06,21.13,21.31,21.04,21.05,421448.0
2013-12-05,20.66,21.18,20.62,20.89,628795.0
2013-12-04,20.37,20.75,19.91,20.64,1037590.0
2013-12-03,19.59,19.92,19.48,19.69,909143.0
2013-12-02,19.94,20.1,19.67,19.71,484575.0
2013-11-29,19.98,20.1,19.76,19.79,163190.0
2013-11-27,20.12,20.14,19.88,20.0,397398.0
2013-11-26,19.95,20.28,19.95,20.13,451451.0
2013-11-25,20.19,20.26,19.75,19.89,366841.0
2013-11-22,19.95,20.19,19.79,20.09,306020.0
2013-11-21,19.37,19.97,19.34,19.88,391918.0
2013-11-20,19.37,19.65,19.26,19.34,261013.0
2013-11-19,19.52,19.66,19.3,19.35,334228.0
2013-11-18,19.76,19.9,19.42,19.47,308023.0
2013-11-15,19.61,19.82,19.54,19.68,324959.0
2013-11-14,19.29,19.81,19.11,19.6,444522.0
2013-11-13,18.84,19.37,18.72,19.35,343691.0
2013-11-12,19.07,19.15,18.96,19.1,269288.0
2013-11-11,19.0,19.18,18.9,19.07,237500.0
2013-11-08,18.68,19.17,18.68,19.0,441271.0
2013-11-07,19.39,19.49,18.64,18.73,516325.0
2013-11-06,19.44,19.66,19.26,19.32,403911.0
2013-11-05,19.04,19.43,18.83,19.4,602288.0
2013-11-04,19.34,19.47,19.06,19.07,544335.0
2013-11-01,19.25,19.5,19.12,19.21,555037.0
2013-10-31,19.09,19.47,18.98,19.3,389190.0
2013-10-30,19.29,19.3,19.04,19.11,360743.0
2013-10-29,18.9,19.28,18.9,19.24,452937.0
2013-10-28,19.0,19.3,18.86,18.94,426694.0
2013-10-25,18.75,19.07,18.64,19.02,595512.0
2013-10-24,18.36,18.72,18.28,18.68,540608.0
2013-10-23,18.09,18.31,17.8,18.3,470195.0
2013-10-22,17.98,18.41,16.75,18.26,2632412.0
2013-10-21,18.59,18.79,18.55,18.65,586002.0
2013-10-18,18.62,18.78,18.43,18.62,657384.0
2013-10-17,18.28,18.56,18.1,18.5,419228.0
2013-10-16,18.27,18.43,18.27,18.32,191857.0
2013-10-15,18.24,18.42,18.12,18.14,324212.0
2013-10-14,18.06,18.36,18.02,18.33,426539.0
2013-10-11,17.83,18.26,17.72,18.12,308068.0
2013-10-10,17.46,17.98,17.46,17.93,419602.0
2013-10-09,17.58,17.75,17.27,17.29,662237.0
2013-10-08,17.7,17.91,17.61,17.61,286340.0
2013-10-07,17.56,17.81,17.56,17.65,226304.0
2013-10-04,17.79,17.96,17.68,17.8,247239.0
2013-10-03,18.07,18.2,17.71,17.83,324495.0
2013-10-02,18.02,18.35,17.92,18.11,277448.0
2013-10-01,17.68,18.13,17.52,18.11,507301.0
2013-09-30,17.73,17.78,17.55,17.75,558137.0
2013-09-27,17.83,17.94,17.64,17.89,312543.0
2013-09-26,17.95,18.0,17.78,17.91,626065.0
2013-09-25,18.29,18.42,17.97,17.98,460517.0
2013-09-24,18.24,18.62,18.11,18.24,446928.0
2013-09-23,18.37,18.37,17.95,18.14,512974.0
2013-09-20,18.45,18.56,18.32,18.35,702970.0
2013-09-19,18.8,18.85,18.47,18.48,605944.0
