Date,Open,High,Low,Close,Volume
2014-04-07,112.62,113.25,111.92,112.29,340522.0
2014-04-04,114.65,114.74,112.49,112.58,391090.0
2014-04-03,114.17,114.29,113.58,114.24,354216.0
2014-04-02,113.79,114.01,113.06,113.75,338746.0
2014-04-01,113.95,113.95,112.89,113.74,291916.0
2014-03-31,112.55,113.69,112.03,113.62,472138.0
2014-03-28,112.19,112.67,111.79,111.99,385356.0
2014-03-27,112.29,112.51,111.73,112.15,244503.0
2014-03-26,113.26,113.76,111.96,111.96,319553.0
2014-03-25,113.01,113.02,112.08,112.92,508015.0
2014-03-24,114.25,114.4,112.33,112.42,720513.0
2014-03-21,115.01,115.52,113.9,114.37,683907.0
2014-03-20,115.07,115.96,114.3,114.38,323902.0
2014-03-19,115.35,115.85,114.79,115.33,480084.0
2014-03-18,115.23,115.76,114.53,115.38,301551.0
2014-03-17,115.83,116.17,114.99,115.16,341617.0
2014-03-14,115.71,116.12,114.97,115.09,296071.0
2014-03-13,116.25,116.26,115.13,115.61,476327.0
2014-03-12,115.96,116.22,115.54,115.77,327030.0
2014-03-11,116.72,116.84,115.92,116.29,249400.0
2014-03-10,117.55,117.75,116.46,116.7,321476.0
2014-03-07,117.02,117.93,116.8,117.7,345109.0
2014-03-06,115.88,116.95,115.51,116.78,381785.0
2014-03-05,115.64,115.89,114.47,115.77,454928.0
2014-03-04,115.05,115.46,114.42,115.39,468495.0
2014-03-03,113.31,114.23,113.0,114.11,527462.0
2014-02-28,113.2,114.48,112.44,114.0,578663.0
2014-02-27,113.75,113.83,112.48,112.98,509736.0
2014-02-26,114.55,115.05,113.23,113.46,456793.0
2014-02-25,115.26,115.74,114.34,114.49,329229.0
2014-02-24,114.87,116.12,114.72,115.22,447177.0
2014-02-21,116.27,116.82,114.64,114.65,414646.0
2014-02-20,115.68,116.42,115.18,115.99,320788.0
2014-02-19,115.77,116.24,115.18,115.5,314295.0
2014-02-18,116.87,117.0,116.02,116.36,331395.0
2014-02-14,115.13,117.13,115.04,116.87,351372.0
2014-02-13,115.47,116.5,115.08,115.75,712110.0
2014-02-12,116.02,116.39,115.57,115.71,459141.0
2014-02-11,115.62,117.0,115.31,115.69,594859.0
2014-02-10,115.92,116.16,115.14,116.05,560088.0
2014-02-07,115.0,116.82,115.0,116.33,475113.0
2014-02-06,113.28,115.54,111.75,114.76,1143482.0
2014-02-05,115.57,117.2,115.01,116.48,522016.0
2014-02-04,116.07,116.77,115.5,116.45,457090.0
2014-02-03,116.97,117.74,115.5,115.9,557793.0
2014-01-31,115.63,117.77,115.63,117.06,340025.0
2014-01-30,116.11,118.37,115.62,117.47,460875.0
2014-01-29,114.14,117.45,113.9,115.5,840328.0
2014-01-28,115.99,116.51,111.03,115.18,1587708.0
