Date,Open,High,Low,Close,Volume
2014-04-07,20.94,21.28,20.46,20.87,30158.0
2014-04-04,21.89,22.77,20.71,21.03,26080.0
2014-04-03,22.09,22.27,21.37,21.68,13166.0
2014-04-02,22.03,22.37,22.0,22.16,18192.0
2014-04-01,21.3,21.94,20.68,21.87,45955.0
2014-03-31,22.41,22.85,21.04,21.31,86754.0
2014-03-28,21.98,22.42,21.98,22.19,19163.0
2014-03-27,21.85,22.36,21.85,22.02,20852.0
2014-03-26,22.43,22.5,21.86,21.92,72997.0
2014-03-25,22.04,22.39,21.95,22.17,34256.0
2014-03-24,21.85,22.1,21.85,21.97,20245.0
2014-03-21,21.69,21.94,21.61,21.83,113101.0
2014-03-20,21.31,21.64,21.31,21.54,15099.0
2014-03-19,21.67,21.68,21.29,21.41,19519.0
2014-03-18,21.21,21.66,20.93,21.65,22641.0
2014-03-17,21.51,21.63,21.03,21.14,18561.0
2014-03-14,21.62,21.97,21.59,21.71,12052.0
2014-03-13,21.75,21.96,21.07,21.76,23616.0
2014-03-12,21.13,21.85,20.88,21.72,24276.0
2014-03-11,21.99,21.99,21.14,21.3,33121.0
2014-03-10,21.72,22.0,21.58,21.95,39950.0
2014-03-07,21.41,22.0,21.25,21.84,36669.0
2014-03-06,21.13,21.23,20.52,21.23,47638.0
2014-03-05,20.94,21.22,19.05,21.22,31546.0
2014-03-04,20.28,21.36,20.2,21.19,91055.0
2014-03-03,19.81,20.36,19.72,19.98,28374.0
2014-02-28,19.95,20.59,19.9,20.02,37652.0
2014-02-27,19.22,19.92,19.22,19.91,16874.0
2014-02-26,19.41,19.64,19.15,19.35,17864.0
2014-02-25,19.25,19.68,19.25,19.44,33743.0
2014-02-24,19.0,19.35,19.0,19.33,34310.0
2014-02-21,19.43,19.46,18.95,19.0,37901.0
2014-02-20,19.77,20.26,19.14,19.28,29531.0
2014-02-19,19.98,20.1,19.56,19.57,28470.0
2014-02-18,19.76,20.75,19.76,20.01,15441.0
2014-02-14,19.71,19.75,19.44,19.62,10474.0
2014-02-13,19.36,19.73,19.26,19.7,7329.0
2014-02-12,19.6,19.99,19.28,19.53,15759.0
2014-02-11,19.21,19.77,18.85,19.52,12830.0
2014-02-10,19.46,19.72,18.81,19.12,18481.0
2014-02-07,19.0,19.51,18.9,19.42,27212.0
2014-02-06,19.15,19.21,18.74,18.87,23740.0
2014-02-05,18.97,20.15,18.79,19.01,20726.0
2014-02-04,19.0,19.47,18.85,19.14,42513.0
2014-02-03,19.14,19.19,18.7,18.89,54816.0
2014-01-31,19.25,19.4,18.35,19.18,90426.0
2014-01-30,19.67,20.04,19.26,19.79,33820.0
2014-01-29,20.1,20.57,19.25,19.43,26348.0
2014-01-28,20.85,20.85,20.11,20.37,30547.0
2014-01-27,21.43,21.43,20.74,20.84,32395.0
2014-01-24,21.47,21.5,20.95,21.25,29230.0
2014-01-23,21.3,21.78,21.23,21.6,25893.0
2014-01-22,22.08,22.08,21.18,21.47,47274.0
2014-01-21,22.17,22.25,21.85,22.08,29751.0
2014-01-17,22.26,22.34,22.07,22.16,12600.0
2014-01-16,22.03,22.41,21.98,22.23,15683.0
2014-01-15,22.11,22.3,21.7,22.14,27754.0
2014-01-14,21.51,22.09,21.51,22.05,10805.0
2014-01-13,21.9,22.48,21.2,21.43,46853.0
2014-01-10,21.77,22.25,21.74,22.04,59912.0
2014-01-09,21.73,21.83,21.32,21.75,20516.0
2014-01-08,21.41,21.95,21.04,21.59,38441.0
2014-01-07,21.19,21.66,21.18,21.49,14318.0
2014-01-06,21.28,21.28,21.04,21.16,24851.0
2014-01-03,21.06,21.41,20.79,21.24,25124.0
2014-01-02,21.2,21.23,20.7,20.96,38608.0
2013-12-31,20.65,21.74,20.63,21.24,31353.0
2013-12-30,20.74,20.9,20.27,20.59,18964.0
2013-12-27,21.34,21.34,20.58,20.81,10739.0
2013-12-26,21.44,21.87,21.04,21.28,25566.0
2013-12-24,21.18,21.48,21.11,21.32,6370.0
2013-12-23,20.9,21.18,20.7,21.12,13481.0
2013-12-20,19.79,21.04,19.56,20.72,184928.0
2013-12-19,19.68,19.81,19.59,19.68,21694.0
2013-12-18,19.05,19.79,19.0,19.77,31141.0
2013-12-17,19.03,19.2,18.9,19.0,19522.0
2013-12-16,19.1,19.25,18.89,19.1,24503.0
2013-12-13,19.12,19.45,19.06,19.17,51255.0
2013-12-12,19.51,19.51,19.0,19.04,29949.0
2013-12-11,19.1,19.69,18.92,19.46,34418.0
2013-12-10,19.35,19.35,19.0,19.0,56826.0
2013-12-09,20.3,20.36,19.25,19.45,43291.0
2013-12-06,20.78,20.78,19.93,20.32,31573.0
2013-12-05,20.4,21.13,20.4,20.47,22937.0
2013-12-04,20.99,21.1,20.41,20.41,15145.0
2013-12-03,21.71,21.79,20.84,21.15,27278.0
2013-12-02,22.5,22.5,21.69,21.81,30439.0
2013-11-29,21.99,22.61,21.71,22.58,31704.0
2013-11-27,21.62,21.88,21.32,21.87,23233.0
2013-11-26,21.0,21.96,20.89,21.79,27868.0
2013-11-25,20.32,21.17,20.21,21.16,28665.0
2013-11-22,20.78,20.84,20.06,20.45,34895.0
2013-11-21,20.19,20.87,20.16,20.87,15345.0
2013-11-20,20.33,20.33,20.0,20.03,6527.0
2013-11-19,19.98,20.28,19.94,20.15,8806.0
2013-11-18,20.47,20.47,19.85,19.91,14806.0
2013-11-15,20.04,20.51,20.0,20.41,19887.0
2013-11-14,20.1,20.14,19.81,20.04,7022.0
2013-11-13,20.14,20.19,19.79,20.16,10133.0
2013-11-12,20.11,20.34,19.96,20.34,3726.0
2013-11-11,20.29,20.46,20.06,20.26,59683.0
2013-11-08,19.96,20.52,19.96,20.45,18155.0
2013-11-07,20.34,20.34,19.74,19.85,18538.0
2013-11-06,20.39,20.56,19.87,20.27,13095.0
2013-11-05,20.22,20.47,19.93,20.27,23155.0
2013-11-04,19.27,20.2,18.82,19.98,29798.0
2013-11-01,19.0,19.27,18.75,19.11,61551.0
2013-10-31,19.72,20.14,18.83,19.0,55942.0
2013-10-30,20.14,20.14,19.51,19.65,33000.0
2013-10-29,19.87,20.18,19.87,20.09,9319.0
2013-10-28,19.83,19.88,19.66,19.85,16239.0
2013-10-25,19.41,19.62,18.8,19.61,34765.0
2013-10-24,19.42,19.75,19.07,19.17,28241.0
2013-10-23,19.06,19.3,18.8,19.3,53831.0
2013-10-22,19.67,19.95,19.1,19.2,40407.0
2013-10-21,20.21,20.51,19.77,19.91,21946.0
2013-10-18,20.16,20.21,19.34,20.12,37310.0
2013-10-17,20.16,20.36,19.92,20.02,17049.0
2013-10-16,20.19,20.69,20.19,20.33,10757.0
2013-10-15,20.4,20.4,19.8,19.96,18259.0
2013-10-14,20.74,20.74,20.22,20.44,13764.0
2013-10-11,20.46,21.0,20.13,20.94,30824.0
2013-10-10,19.32,20.72,19.19,20.48,40607.0
2013-10-09,19.14,19.2,18.83,18.97,19729.0
2013-10-08,19.0,19.23,18.66,19.09,25956.0
2013-10-07,18.65,19.27,18.65,18.9,35608.0
2013-10-04,19.07,19.26,18.9,19.07,19202.0
2013-10-03,19.43,19.45,18.9,19.12,34131.0
2013-10-02,20.23,20.88,19.4,19.41,36919.0
2013-10-01,20.87,20.88,20.19,20.48,23632.0
2013-09-30,19.87,21.11,19.87,20.94,59508.0
2013-09-27,20.12,20.42,19.6,20.42,15887.0
2013-09-26,21.0,21.0,20.17,20.35,15326.0
2013-09-25,21.34,21.59,20.91,21.0,21676.0
2013-09-24,20.51,21.41,20.46,21.26,27007.0
2013-09-23,20.37,21.02,19.94,20.72,21517.0
2013-09-20,19.2,20.67,19.2,20.38,51484.0
2013-09-19,19.5,19.5,18.94,19.12,25814.0
2013-09-18,19.13,19.65,18.81,19.4,33348.0
2013-09-17,18.82,19.11,18.82,19.1,10700.0
2013-09-16,18.89,18.98,18.38,18.84,46546.0
