Date,Open,High,Low,Close,Volume
2014-04-07,45.15,45.15,44.03,44.59,48849.0
2014-04-04,46.68,46.68,44.92,45.45,69680.0
2014-04-03,46.7,47.11,46.43,46.59,47684.0
2014-04-02,46.0,46.84,45.9,46.8,41737.0
2014-04-01,46.44,46.55,45.84,46.04,72638.0
2014-03-31,45.78,46.46,45.75,46.25,77459.0
2014-03-28,45.56,46.13,45.35,45.75,44463.0
2014-03-27,46.82,46.82,45.37,45.66,59539.0
2014-03-26,47.62,47.75,46.4,46.68,81897.0
2014-03-25,47.4,47.51,46.82,47.21,42133.0
2014-03-24,47.18,47.43,46.8,47.33,64595.0
2014-03-21,46.5,47.27,46.5,47.18,127439.0
2014-03-20,45.82,46.79,45.71,46.08,147303.0
2014-03-19,47.8,47.8,45.15,45.67,136687.0
2014-03-18,46.6,48.03,46.51,48.0,110463.0
2014-03-17,46.12,46.9,45.77,46.74,153767.0
2014-03-14,45.48,46.36,45.29,46.0,159843.0
2014-03-13,44.5,45.7,43.95,45.5,175383.0
2014-03-12,43.56,44.54,43.08,44.27,188601.0
2014-03-11,44.05,44.25,43.37,43.9,172547.0
2014-03-10,44.22,44.5,44.0,44.2,104413.0
2014-03-07,44.5,45.08,44.21,44.5,35635.0
2014-03-06,44.5,44.95,44.14,44.43,49235.0
2014-03-05,43.91,44.63,43.19,44.44,63274.0
2014-03-04,44.43,45.55,44.17,44.21,121228.0
2014-03-03,43.98,44.64,43.69,44.1,75820.0
2014-02-28,44.24,44.84,43.37,44.22,69227.0
2014-02-27,44.18,44.42,43.85,44.26,57457.0
2014-02-26,44.25,44.38,43.83,44.23,59969.0
2014-02-25,44.28,44.63,43.71,44.25,53371.0
2014-02-24,44.39,45.22,43.77,44.14,99942.0
2014-02-21,44.36,44.58,42.67,44.12,303676.0
2014-02-20,50.14,50.14,44.02,44.3,203913.0
2014-02-19,50.2,50.63,49.54,49.97,47930.0
2014-02-18,51.28,51.92,50.0,50.37,112052.0
2014-02-14,51.14,51.27,50.41,51.06,56882.0
2014-02-13,50.56,51.36,50.3,51.09,69752.0
2014-02-12,49.02,50.61,49.02,50.58,58358.0
2014-02-11,47.62,49.04,47.48,48.82,45723.0
2014-02-10,48.29,48.29,47.25,47.68,59749.0
2014-02-07,48.54,48.56,47.74,48.18,48146.0
2014-02-06,47.46,49.23,47.17,48.43,52703.0
2014-02-05,47.24,47.56,46.73,47.23,31646.0
2014-02-04,47.82,47.93,47.03,47.36,48533.0
2014-02-03,49.01,50.14,47.45,47.73,66863.0
2014-01-31,48.97,49.84,48.77,49.01,75359.0
2014-01-30,50.09,50.23,49.37,49.51,66520.0
2014-01-29,49.9,50.15,49.45,49.49,45102.0
2014-01-28,50.08,50.34,49.53,50.01,87290.0
2014-01-27,51.29,51.36,49.63,49.96,102700.0
2014-01-24,51.8,52.2,50.77,51.3,99850.0
2014-01-23,51.98,52.01,51.33,51.78,32784.0
2014-01-22,51.65,52.32,51.58,52.09,36530.0
2014-01-21,52.54,52.61,51.29,51.45,57671.0
2014-01-17,51.78,52.38,51.6,51.94,37455.0
2014-01-16,51.96,52.22,51.18,51.7,50103.0
2014-01-15,51.5,51.96,51.3,51.61,73288.0
2014-01-14,50.26,52.05,49.91,51.24,80284.0
2014-01-13,50.35,50.55,49.06,49.71,73646.0
2014-01-10,48.25,51.39,47.64,50.0,237602.0
2014-01-09,47.53,48.25,47.25,48.16,54106.0
2014-01-08,47.61,47.67,46.9,47.48,46253.0
2014-01-07,47.75,48.15,47.19,47.78,52581.0
2014-01-06,48.5,48.5,47.25,47.69,30029.0
2014-01-03,48.35,48.61,47.85,48.36,30783.0
2014-01-02,48.9,48.95,48.18,48.37,47696.0
2013-12-31,49.09,49.43,48.86,49.19,62940.0
2013-12-30,48.51,49.18,48.11,49.01,73298.0
2013-12-27,48.23,48.63,47.29,48.25,78359.0
2013-12-26,47.65,48.65,47.15,48.0,68288.0
2013-12-24,47.91,48.17,46.36,47.29,155820.0
2013-12-23,56.57,56.57,44.23,47.71,529529.0
2013-12-20,56.0,56.78,54.88,56.32,113035.0
2013-12-19,57.06,57.3,56.11,56.2,11418.0
2013-12-18,55.66,57.45,54.52,57.3,31778.0
2013-12-17,55.95,56.97,55.41,55.42,23788.0
2013-12-16,56.44,57.28,56.11,56.89,18218.0
2013-12-13,55.71,56.58,55.18,56.16,33324.0
2013-12-12,56.03,56.5,55.51,55.74,29848.0
2013-12-11,56.41,57.08,55.8,55.95,25234.0
2013-12-10,56.93,57.65,55.82,56.37,40536.0
2013-12-09,57.64,57.67,56.7,57.47,29848.0
2013-12-06,57.45,58.03,56.35,57.79,17020.0
2013-12-05,56.72,57.3,56.1,56.87,14906.0
2013-12-04,57.47,57.88,56.14,57.38,25550.0
2013-12-03,57.0,58.12,57.0,57.86,39178.0
2013-12-02,58.96,58.96,56.95,57.52,24034.0
2013-11-29,60.13,60.13,58.96,59.16,10249.0
2013-11-27,60.01,60.58,59.01,59.74,29328.0
2013-11-26,58.93,60.38,58.86,59.81,25771.0
2013-11-25,58.5,59.26,58.31,59.01,20613.0
2013-11-22,58.12,58.64,57.45,58.24,27517.0
2013-11-21,57.03,58.25,57.03,57.95,34827.0
2013-11-20,57.0,57.27,56.23,56.62,16804.0
2013-11-19,57.89,58.25,56.44,56.9,24292.0
