Date,Open,High,Low,Close,Volume
2014-04-07,44.63,44.86,42.81,43.19,176791.0
2014-04-04,46.04,46.04,43.89,44.75,102955.0
2014-04-03,46.48,46.95,45.24,45.75,102872.0
2014-04-02,47.68,47.68,46.04,46.49,101582.0
2014-04-01,46.46,48.22,44.88,47.85,205565.0
2014-03-31,46.06,46.89,45.9,46.43,199486.0
2014-03-28,44.36,46.28,44.32,45.83,140347.0
2014-03-27,44.39,45.58,44.13,44.27,113713.0
2014-03-26,46.55,47.0,44.01,44.33,239403.0
2014-03-25,46.21,47.1,45.65,46.39,99252.0
2014-03-24,47.67,48.11,45.88,45.96,240771.0
2014-03-21,47.05,48.32,46.8,47.63,230217.0
2014-03-20,46.26,46.92,45.95,46.6,81694.0
2014-03-19,46.86,47.15,46.32,46.4,104401.0
2014-03-18,45.88,47.18,45.75,46.86,145840.0
2014-03-17,46.35,46.52,45.02,45.72,136810.0
2014-03-14,45.64,46.33,44.82,46.03,234404.0
2014-03-13,46.6,46.83,45.58,45.74,154114.0
2014-03-12,46.19,46.76,46.01,46.51,115321.0
2014-03-11,48.03,48.68,46.31,46.46,110202.0
2014-03-10,47.22,48.2,47.21,48.12,88460.0
2014-03-07,47.1,49.0,47.1,47.49,289915.0
2014-03-06,46.82,47.56,45.91,46.87,172765.0
2014-03-05,47.35,47.77,46.63,46.82,170913.0
2014-03-04,48.27,48.7,47.33,47.38,284382.0
2014-03-03,47.51,48.65,47.01,47.62,157677.0
2014-02-28,49.08,49.72,47.67,47.77,192193.0
2014-02-27,49.46,49.53,47.82,49.11,293726.0
2014-02-26,49.71,50.33,49.05,49.34,298441.0
2014-02-25,47.26,51.12,45.38,49.39,718927.0
2014-02-24,46.37,47.4,44.56,47.26,707753.0
2014-02-21,39.03,47.5,38.15,47.17,1699950.0
2014-02-20,33.75,34.52,33.56,34.21,333525.0
2014-02-19,34.5,34.62,33.61,33.65,205757.0
2014-02-18,34.55,35.01,34.13,34.61,272850.0
2014-02-14,35.89,35.89,34.36,34.4,363165.0
2014-02-13,35.28,36.19,35.05,35.94,222270.0
2014-02-12,35.51,36.44,35.32,35.59,170132.0
2014-02-11,35.35,36.12,34.72,35.5,221528.0
2014-02-10,36.03,36.28,34.8,35.21,164364.0
2014-02-07,35.57,36.21,35.34,36.11,264604.0
2014-02-06,34.11,35.57,34.08,35.44,225511.0
2014-02-05,34.1,34.71,33.82,34.37,274605.0
2014-02-04,34.33,34.87,33.78,34.18,263078.0
2014-02-03,34.75,35.21,33.51,34.07,326428.0
2014-01-31,35.06,35.81,34.89,34.96,402542.0
2014-01-30,35.93,36.16,35.0,35.43,413131.0
2014-01-29,36.73,36.9,35.5,35.74,336727.0
2014-01-28,36.11,37.37,35.78,37.01,218574.0
