Date,Open,High,Low,Close,Volume
2014-04-07,56.06,56.43,54.43,54.96,3444867.0
2014-04-04,57.75,58.35,56.01,56.06,4256364.0
2014-04-03,57.27,57.53,56.51,57.39,2625516.0
2014-04-02,57.03,57.4,56.29,57.16,2980906.0
2014-04-01,56.68,57.62,56.4,57.0,3069572.0
2014-03-31,55.19,56.67,54.62,56.16,2227402.0
2014-03-28,54.96,55.92,54.56,54.92,2008761.0
2014-03-27,56.22,56.3,54.46,54.81,3485257.0
2014-03-26,55.4,56.75,55.4,55.55,4493239.0
2014-03-25,53.24,55.73,53.02,55.13,4556173.0
2014-03-24,53.53,53.71,52.15,53.0,3426664.0
2014-03-21,53.93,54.74,53.11,53.49,6306691.0
2014-03-20,51.75,53.66,51.52,53.1,3513919.0
2014-03-19,51.72,52.56,51.35,51.67,3186439.0
2014-03-18,50.53,52.02,50.45,51.93,3275046.0
2014-03-17,50.32,51.83,50.3,50.72,3093045.0
2014-03-14,49.61,50.77,49.61,50.15,2066776.0
2014-03-13,50.68,50.95,49.54,49.77,3383913.0
2014-03-12,49.56,51.0,49.43,50.75,2910786.0
2014-03-11,50.41,50.81,49.36,49.88,3179881.0
2014-03-10,49.47,50.73,49.35,50.14,3593687.0
2014-03-07,50.3,50.62,48.6,49.29,5123783.0
2014-03-06,52.55,52.55,49.53,50.1,6315797.0
2014-03-05,52.93,53.44,52.31,52.56,2590654.0
2014-03-04,52.67,53.37,52.48,53.18,3123188.0
2014-03-03,51.75,52.41,51.34,52.29,2555246.0
2014-02-28,52.0,52.67,51.32,52.19,4163198.0
2014-02-27,51.69,52.03,51.04,51.92,2033656.0
2014-02-26,50.8,52.48,50.58,51.73,2697314.0
2014-02-25,51.51,51.51,50.36,50.69,1962640.0
2014-02-24,50.93,51.68,50.5,51.16,2698614.0
2014-02-21,51.55,51.8,50.74,50.75,3686941.0
2014-02-20,49.1,50.36,49.03,50.02,3000532.0
2014-02-19,49.65,49.92,49.01,49.03,2391573.0
2014-02-18,50.51,50.97,49.7,49.71,2940435.0
2014-02-14,49.45,50.42,49.43,50.14,2691975.0
2014-02-13,49.11,50.0,48.71,49.6,3320259.0
2014-02-12,49.73,50.27,49.17,49.21,3547855.0
2014-02-11,49.81,50.0,49.29,49.37,2919719.0
2014-02-10,49.52,50.06,48.94,49.89,3161575.0
2014-02-07,49.49,50.17,48.89,49.52,3577313.0
2014-02-06,48.69,49.71,48.69,49.19,3545460.0
2014-02-05,49.77,50.47,48.21,49.11,6074526.0
2014-02-04,51.18,51.5,49.3,49.99,4807999.0
2014-02-03,53.01,53.41,50.53,51.09,4608675.0
2014-01-31,52.5,53.32,52.12,52.86,3404043.0
2014-01-30,53.65,54.28,52.94,53.1,4392779.0
2014-01-29,51.5,53.96,51.35,53.65,5863287.0
2014-01-28,53.72,54.6,50.5,51.52,17578701.0
2014-01-27,58.57,58.87,57.87,58.05,4243366.0
2014-01-24,60.41,60.44,58.46,58.57,3513286.0
2014-01-23,59.78,60.87,59.69,60.74,3985541.0
2014-01-22,61.61,62.05,60.93,61.0,3308094.0
2014-01-21,62.1,62.76,61.04,61.24,2869640.0
2014-01-17,60.35,61.39,59.7,61.2,3437043.0
2014-01-16,61.01,61.1,60.41,60.66,2212708.0
2014-01-15,60.38,61.32,60.21,60.84,2682905.0
2014-01-14,59.0,60.5,58.56,60.33,3112586.0
2014-01-13,58.65,60.16,58.39,58.54,3506620.0
2014-01-10,58.35,58.68,57.7,58.39,2044459.0
2014-01-09,59.7,59.71,57.56,58.01,3896666.0
2014-01-08,58.78,60.8,58.71,59.63,4520188.0
2014-01-07,57.08,59.16,56.82,58.8,4676360.0
2014-01-06,56.74,57.57,56.55,56.95,3258094.0
2014-01-03,55.61,57.14,55.31,56.82,3049357.0
2014-01-02,55.93,55.93,55.08,55.41,3023543.0
2013-12-31,56.75,57.07,55.66,56.16,2138346.0
2013-12-30,55.04,57.06,55.04,56.53,2031938.0
2013-12-27,56.27,56.64,55.46,55.66,2358250.0
2013-12-26,56.01,56.18,55.33,56.02,1636983.0
2013-12-24,55.6,56.43,55.6,55.94,1008329.0
2013-12-23,55.98,56.15,55.12,56.01,3891557.0
2013-12-20,52.65,56.04,52.65,55.66,10018958.0
2013-12-19,52.6,52.84,51.86,52.49,2773552.0
2013-12-18,52.87,52.93,51.44,52.65,4859191.0
2013-12-17,51.6,53.64,51.43,52.95,5239589.0
2013-12-16,50.4,51.86,50.22,51.34,3095914.0
2013-12-13,50.84,50.84,49.45,50.0,2713118.0
2013-12-12,49.75,50.09,49.25,49.41,2426878.0
2013-12-11,50.89,51.0,49.43,49.57,2591749.0
2013-12-10,50.5,51.38,50.07,50.94,1716585.0
2013-12-09,51.5,51.73,50.65,50.71,2424629.0
2013-12-06,50.6,51.45,50.4,51.42,2657792.0
2013-12-05,49.97,50.65,49.76,49.84,2806586.0
2013-12-04,49.41,50.85,49.36,49.96,3491733.0
2013-12-03,49.84,49.84,48.66,49.64,3119380.0
2013-12-02,49.03,50.55,49.03,49.84,3086675.0
2013-11-29,49.0,49.4,48.62,49.04,1405624.0
2013-11-27,49.05,49.46,48.53,49.02,2125800.0
2013-11-26,48.75,48.98,48.05,48.8,2829684.0
2013-11-25,48.29,49.39,48.29,48.46,2669874.0
2013-11-22,48.39,48.47,47.69,48.34,2711719.0
2013-11-21,48.24,48.35,47.25,48.23,2593463.0
2013-11-20,48.18,48.48,47.57,47.72,2740702.0
2013-11-19,48.35,48.68,47.63,47.85,3854221.0
2013-11-18,49.33,49.4,48.35,48.5,2739479.0
2013-11-15,50.1,50.22,48.43,48.94,4219382.0
2013-11-14,48.29,50.15,48.29,50.1,4035013.0
2013-11-13,47.75,48.77,47.54,48.77,2614123.0
2013-11-12,47.62,48.21,47.51,47.81,2613562.0
2013-11-11,48.21,48.25,47.52,47.9,2615329.0
2013-11-08,47.15,48.2,47.15,48.18,3412783.0
2013-11-07,48.44,48.57,46.99,47.05,4108362.0
2013-11-06,48.86,48.97,48.1,48.47,3062577.0
2013-11-05,49.17,49.25,47.95,48.47,3798313.0
2013-11-04,49.45,49.77,48.94,49.26,3662522.0
2013-11-01,48.71,49.42,48.3,49.2,4463031.0
2013-10-31,49.14,50.66,48.54,48.69,4945442.0
2013-10-30,48.77,49.85,48.68,49.5,3561698.0
2013-10-29,48.8,50.3,47.59,48.25,8328905.0
2013-10-28,49.9,50.2,49.5,49.85,4292255.0
2013-10-25,48.8,49.81,48.5,49.8,4305902.0
2013-10-24,48.0,48.75,47.6,48.56,4962615.0
2013-10-23,48.88,48.98,47.88,48.08,5438552.0
2013-10-22,50.42,50.42,49.09,49.14,5328476.0
2013-10-21,49.8,50.55,49.24,50.49,5307333.0
2013-10-18,48.58,50.04,47.83,50.04,6733377.0
2013-10-17,47.97,48.63,47.65,48.46,2718220.0
2013-10-16,47.51,48.02,47.01,48.02,3175834.0
2013-10-15,46.99,47.55,46.52,46.98,2862894.0
2013-10-14,46.0,47.42,45.96,47.33,3369450.0
2013-10-11,45.75,46.55,45.41,46.27,2264445.0
2013-10-10,45.26,46.08,45.13,46.04,3028816.0
2013-10-09,44.87,45.3,44.16,44.88,3821180.0
2013-10-08,46.05,46.61,44.74,44.79,4678660.0
2013-10-07,45.33,45.59,44.96,45.16,2090477.0
2013-10-04,45.56,45.94,44.57,45.87,4059778.0
2013-10-03,45.75,46.03,45.26,45.56,4126900.0
2013-10-02,44.95,46.0,44.54,45.95,4297460.0
2013-10-01,43.69,44.71,43.52,44.7,2808664.0
2013-09-30,43.4,44.48,42.73,43.76,4924494.0
2013-09-27,42.8,43.58,42.52,43.51,2890859.0
2013-09-26,43.93,43.99,42.83,43.14,3442521.0
2013-09-25,41.97,43.89,41.8,43.87,7279232.0
2013-09-24,40.86,41.94,40.7,41.8,3073002.0
2013-09-23,41.26,41.46,40.53,40.94,2836601.0
2013-09-20,41.29,41.61,41.07,41.4,4746726.0
2013-09-19,41.8,42.08,41.33,41.36,3132745.0
2013-09-18,41.41,41.66,41.01,41.64,3273264.0
2013-09-17,41.04,41.39,40.65,41.26,3393520.0
2013-09-16,40.89,41.25,40.49,40.94,3667972.0
2013-09-13,39.98,40.28,39.77,40.25,2132127.0
2013-09-12,40.45,40.8,40.02,40.13,2697197.0
2013-09-11,41.22,41.42,40.2,40.59,3164579.0
2013-09-10,40.5,41.87,40.4,41.07,5173649.0
2013-09-09,39.45,40.46,39.1,40.16,3429878.0
