Date,Open,High,Low,Close,Volume
2014-04-07,35.6,36.47,35.1,35.72,3544654.0
2014-04-04,37.99,38.15,35.77,35.9,3838952.0
2014-04-03,37.58,38.3,37.44,37.67,2066564.0
2014-04-02,37.73,37.82,37.13,37.58,2693996.0
2014-04-01,37.52,37.83,36.94,37.61,3787234.0
2014-03-31,37.32,37.98,37.3,37.52,2785048.0
2014-03-28,37.14,37.24,36.78,36.94,1812796.0
2014-03-27,37.42,37.44,36.54,36.91,2440143.0
2014-03-26,37.88,38.2,36.67,36.74,3192969.0
2014-03-25,37.81,38.26,37.58,37.72,1975840.0
2014-03-24,37.84,38.16,37.04,37.38,3035209.0
2014-03-21,39.22,39.33,37.48,37.55,5640475.0
2014-03-20,37.69,39.34,37.6,39.27,4667520.0
2014-03-19,37.42,38.14,37.31,37.69,2169628.0
2014-03-18,37.2,37.59,36.88,37.49,1714287.0
2014-03-17,36.82,37.08,36.68,36.88,1963417.0
2014-03-14,36.6,37.05,36.6,36.68,2514402.0
2014-03-13,37.43,37.69,36.52,36.83,3270414.0
2014-03-12,36.22,37.48,36.05,37.32,4157962.0
2014-03-11,36.65,36.77,36.03,36.23,2538653.0
2014-03-10,36.43,36.95,36.12,36.5,1871986.0
2014-03-07,37.22,37.24,36.41,36.65,2843498.0
2014-03-06,37.03,37.32,36.83,37.0,3119122.0
2014-03-05,36.83,36.96,36.54,36.8,2752521.0
2014-03-04,36.62,36.98,36.08,36.75,5712677.0
2014-03-03,35.31,36.3,34.86,36.2,5168855.0
2014-02-28,34.84,35.98,34.83,35.46,5197808.0
2014-02-27,34.88,35.13,34.5,34.95,3528286.0
2014-02-26,33.7,35.05,33.7,35.02,4803711.0
2014-02-25,34.49,34.6,33.58,33.76,4152612.0
2014-02-24,33.7,34.45,33.3,34.4,7786308.0
2014-02-21,33.44,33.44,32.69,32.72,3552614.0
2014-02-20,32.0,33.4,31.9,33.32,8262415.0
2014-02-19,31.68,31.8,31.27,31.32,2468019.0
2014-02-18,32.14,32.14,31.57,31.8,2682262.0
2014-02-14,32.1,32.2,31.83,32.0,1813355.0
2014-02-13,31.99,32.19,31.75,32.11,2927643.0
2014-02-12,31.31,32.14,31.3,32.12,3846157.0
2014-02-11,30.81,31.58,30.66,31.09,3382245.0
2014-02-10,30.57,31.06,30.5,30.7,2131702.0
2014-02-07,30.41,30.69,30.34,30.47,1617969.0
2014-02-06,30.11,30.73,30.0,30.26,2566549.0
2014-02-05,29.53,30.14,29.25,29.86,2348289.0
2014-02-04,29.76,29.84,29.34,29.71,2782035.0
2014-02-03,30.15,30.29,29.28,29.57,4866445.0
2014-01-31,30.21,30.68,30.2,30.25,1936671.0
2014-01-30,30.64,30.69,30.15,30.56,1865349.0
2014-01-29,29.95,30.28,29.61,30.14,4446423.0
2014-01-28,29.51,30.11,29.02,30.05,6464453.0
2014-01-27,30.98,31.16,30.22,30.38,3038835.0
2014-01-24,31.27,31.35,30.66,30.77,3002899.0
2014-01-23,31.55,31.67,31.02,31.43,3103281.0
2014-01-22,31.37,31.69,31.32,31.59,4008836.0
2014-01-21,30.61,31.32,30.56,31.22,6948187.0
2014-01-17,31.55,31.8,30.27,30.53,13657239.0
2014-01-16,29.11,29.15,28.38,28.62,6670100.0
2014-01-15,29.14,29.3,28.9,29.11,2792672.0
2014-01-14,28.64,29.17,28.61,28.92,2492653.0
2014-01-13,28.38,29.21,28.14,28.44,4978289.0
2014-01-10,27.66,27.84,27.4,27.75,1956470.0
2014-01-09,28.06,28.06,27.53,27.72,2920379.0
2014-01-08,27.95,28.04,27.76,27.92,2729946.0
2014-01-07,27.65,28.0,27.61,27.79,1799073.0
2014-01-06,27.87,27.93,27.35,27.63,2180925.0
2014-01-03,27.4,27.75,27.4,27.72,1974176.0
2014-01-02,28.3,28.34,27.2,27.4,3534856.0
2013-12-31,28.29,28.64,28.22,28.56,1593922.0
2013-12-30,27.89,28.38,27.86,28.32,1573235.0
2013-12-27,27.96,28.09,27.78,27.85,1479420.0
2013-12-26,28.23,28.42,27.77,27.92,1774993.0
2013-12-24,27.94,28.37,27.9,28.08,1287835.0
2013-12-23,28.0,28.21,27.85,27.86,2338160.0
2013-12-20,27.56,27.96,27.47,27.68,4205955.0
2013-12-19,27.99,28.09,27.44,27.47,2503183.0
2013-12-18,28.35,28.44,27.61,27.97,2642349.0
2013-12-17,27.75,28.61,27.67,28.41,3262546.0
2013-12-16,27.41,27.87,27.41,27.67,2249862.0
2013-12-13,27.69,27.76,27.28,27.32,2170695.0
2013-12-12,27.85,28.13,27.63,27.73,1609335.0
2013-12-11,28.34,28.56,27.84,27.87,1930421.0
2013-12-10,28.41,28.5,28.06,28.24,1863603.0
2013-12-09,27.69,28.54,27.49,28.43,3125687.0
2013-12-06,28.48,28.48,27.46,27.5,3264586.0
2013-12-05,27.8,28.31,27.7,28.15,2782692.0
2013-12-04,27.4,27.74,27.19,27.63,2590232.0
2013-12-03,27.11,27.64,27.05,27.58,2986785.0
2013-12-02,26.59,27.37,26.43,27.18,3089203.0
2013-11-29,26.63,26.78,26.51,26.59,865943.0
2013-11-27,26.44,26.65,26.3,26.61,1741805.0
2013-11-26,26.47,26.7,26.33,26.48,2227565.0
2013-11-25,26.59,26.75,26.22,26.72,1693429.0
2013-11-22,26.27,26.65,26.27,26.51,1881003.0
2013-11-21,25.8,26.67,25.67,26.57,3682302.0
2013-11-20,25.12,25.89,25.11,25.67,3073870.0
2013-11-19,25.68,25.8,25.05,25.12,2420941.0
2013-11-18,26.0,26.0,25.29,25.33,2616101.0
2013-11-15,26.07,26.2,25.88,25.93,1644606.0
2013-11-14,26.03,26.25,25.94,26.07,1889980.0
2013-11-13,25.53,26.07,25.44,26.01,2516345.0
2013-11-12,24.98,25.76,24.97,25.56,3430419.0
2013-11-11,25.21,25.28,24.88,25.15,1973941.0
2013-11-08,25.28,25.41,25.0,25.35,2034382.0
2013-11-07,26.13,26.2,25.21,25.25,3472405.0
2013-11-06,26.0,26.2,25.78,26.18,2207029.0
2013-11-05,25.68,26.01,25.46,25.81,1783556.0
2013-11-04,26.14,26.15,25.77,25.81,2259068.0
2013-11-01,25.86,26.13,25.82,25.97,4626465.0
2013-10-31,26.3,26.3,25.6,25.8,7206675.0
2013-10-30,24.62,24.74,24.27,24.48,4003436.0
2013-10-29,24.42,24.64,24.36,24.6,2396731.0
2013-10-28,24.07,24.38,24.02,24.24,3165379.0
2013-10-25,23.85,24.0,23.74,23.86,2421922.0
2013-10-24,23.6,23.86,23.42,23.71,4276441.0
2013-10-23,24.92,24.94,23.27,23.84,7190165.0
2013-10-22,25.63,25.7,25.08,25.3,2396905.0
2013-10-21,25.0,25.61,24.98,25.6,2538570.0
2013-10-18,24.71,24.94,24.31,24.92,2740318.0
2013-10-17,25.07,25.08,24.54,24.6,4074459.0
2013-10-16,25.07,25.24,24.92,25.19,2041791.0
2013-10-15,25.18,25.3,24.81,24.85,1965787.0
2013-10-14,24.82,25.27,24.76,25.21,1701342.0
2013-10-11,25.0,25.16,24.88,25.05,1898146.0
2013-10-10,24.95,25.23,24.95,25.08,2241426.0
2013-10-09,24.9,24.95,24.54,24.7,1968640.0
2013-10-08,25.14,25.44,24.69,24.87,2148164.0
2013-10-07,25.38,25.66,25.12,25.29,1574251.0
2013-10-04,25.04,25.85,24.94,25.64,2479685.0
2013-10-03,25.1,25.31,24.65,24.92,2039010.0
2013-10-02,25.3,25.68,25.08,25.19,2122367.0
2013-10-01,24.93,25.61,24.85,25.56,3184754.0
2013-09-30,24.47,25.07,24.26,24.84,2202049.0
2013-09-27,24.86,25.15,24.55,24.77,2441077.0
2013-09-26,25.15,25.41,24.86,25.01,2333951.0
2013-09-25,25.57,25.62,24.88,25.12,3927466.0
2013-09-24,25.85,26.12,25.57,25.83,2381609.0
2013-09-23,26.15,26.3,25.63,25.86,3084567.0
