Date,Open,High,Low,Close,Volume
2014-04-07,61.0,61.85,57.23,58.52,1201917.0
2014-04-04,63.26,63.49,59.04,61.16,1415009.0
2014-04-03,63.5,63.68,60.88,62.62,1291665.0
2014-04-02,62.74,63.38,62.07,63.32,908820.0
2014-04-01,60.25,62.77,60.17,62.72,1262646.0
2014-03-31,58.54,60.56,58.22,60.02,1369496.0
2014-03-28,59.7,60.97,58.06,58.2,1069294.0
2014-03-27,58.71,60.36,58.31,59.38,817739.0
2014-03-26,60.33,60.95,58.86,58.86,720647.0
2014-03-25,59.63,61.35,58.86,59.64,931801.0
2014-03-24,60.59,60.99,58.03,59.2,1165989.0
2014-03-21,61.54,62.23,60.36,60.49,750811.0
2014-03-20,61.0,62.4,60.28,61.48,628584.0
2014-03-19,62.36,62.72,60.64,61.02,827804.0
2014-03-18,61.91,62.72,61.51,62.13,773813.0
2014-03-17,61.99,62.73,61.47,61.72,1075911.0
2014-03-14,59.24,62.1,59.11,61.41,1154163.0
2014-03-13,59.82,60.24,58.6,59.53,1137610.0
2014-03-12,61.29,61.52,58.59,59.42,2783550.0
2014-03-11,64.11,64.19,61.53,62.15,1145599.0
2014-03-10,64.65,64.98,63.91,64.09,631510.0
2014-03-07,64.08,65.1,64.08,64.54,1020271.0
2014-03-06,64.96,65.16,63.32,63.68,1025795.0
2014-03-05,65.41,65.9,64.43,64.9,829301.0
2014-03-04,63.51,65.64,63.5,65.37,1500496.0
2014-03-03,64.28,64.46,62.22,63.03,1655606.0
2014-02-28,65.47,66.7,64.16,65.04,1163088.0
2014-02-27,66.23,66.8,64.6,65.72,837782.0
2014-02-26,65.32,67.11,65.08,66.23,1158679.0
2014-02-25,64.42,65.99,63.92,65.23,1892491.0
2014-02-24,62.66,64.59,62.4,63.84,1641613.0
2014-02-21,62.61,64.15,62.12,62.27,1718510.0
2014-02-20,62.81,63.32,61.22,62.1,1577843.0
2014-02-19,65.24,66.5,63.01,63.05,1471873.0
2014-02-18,63.6,65.5,63.49,65.15,2182700.0
2014-02-14,62.62,63.43,61.17,62.3,1261954.0
2014-02-13,60.11,62.76,58.85,62.67,1968013.0
2014-02-12,57.39,61.15,57.39,60.73,2108697.0
2014-02-11,56.84,57.44,56.11,57.03,1196630.0
2014-02-10,58.13,58.48,56.31,56.66,1082106.0
2014-02-07,56.52,58.76,56.48,58.13,2011880.0
2014-02-06,54.58,56.66,54.57,56.11,1115373.0
2014-02-05,55.3,55.54,53.06,54.67,1686609.0
