Date,Open,High,Low,Close,Volume
2014-04-07,86.95,87.05,84.47,85.04,113565.0
2014-04-04,89.86,89.86,86.12,87.08,115637.0
2014-04-03,91.33,91.33,88.35,89.06,72407.0
2014-04-02,90.87,91.37,89.9,90.95,91260.0
2014-04-01,90.36,91.39,89.38,90.86,118321.0
2014-03-31,88.25,90.54,88.25,89.9,58079.0
2014-03-28,88.13,90.0,87.52,87.91,58860.0
2014-03-27,88.5,88.85,87.09,88.19,87346.0
2014-03-26,89.81,90.82,88.64,88.67,108681.0
2014-03-25,90.06,90.92,88.62,89.46,92897.0
2014-03-24,91.19,91.73,88.28,89.62,89365.0
2014-03-21,92.34,92.74,90.65,90.8,110896.0
2014-03-20,91.72,93.02,91.0,91.72,102109.0
2014-03-19,93.45,94.19,91.01,92.05,58330.0
2014-03-18,91.39,93.86,91.39,93.45,92644.0
2014-03-17,91.97,92.52,90.64,91.37,89050.0
2014-03-14,91.23,92.2,90.74,90.92,103492.0
2014-03-13,92.92,93.56,90.98,91.51,87560.0
2014-03-12,92.45,93.87,92.08,92.4,107644.0
2014-03-11,94.24,94.47,92.26,93.27,116853.0
2014-03-10,95.55,96.28,94.06,94.32,155496.0
2014-03-07,96.63,97.16,95.55,95.99,94833.0
2014-03-06,96.74,96.74,95.84,96.06,111733.0
2014-03-05,96.83,97.07,95.87,96.15,118082.0
2014-03-04,95.01,97.23,94.84,96.77,151914.0
2014-03-03,93.27,94.29,91.99,93.53,106398.0
2014-02-28,95.0,95.88,93.87,94.36,71400.0
2014-02-27,94.37,95.31,94.02,95.16,105133.0
2014-02-26,94.22,95.14,93.61,94.43,89935.0
2014-02-25,93.36,94.28,92.71,94.14,121889.0
2014-02-24,92.47,93.87,91.84,93.05,101001.0
2014-02-21,91.37,92.58,90.61,92.03,123543.0
2014-02-20,89.0,91.5,88.12,90.88,110678.0
2014-02-19,89.64,90.37,88.15,88.63,131777.0
2014-02-18,89.99,91.07,89.39,89.89,186876.0
2014-02-14,91.97,91.97,89.13,89.34,167589.0
2014-02-13,85.0,92.68,85.0,91.57,213760.0
2014-02-12,82.88,84.17,82.88,83.84,119644.0
2014-02-11,82.2,83.36,82.08,82.55,110300.0
2014-02-10,82.34,82.35,80.5,82.21,102732.0
2014-02-07,83.08,83.25,81.78,82.34,93519.0
2014-02-06,80.84,83.21,80.84,82.96,133173.0
2014-02-05,81.07,81.65,79.14,80.83,104669.0
2014-02-04,81.98,82.46,81.09,81.46,73137.0
2014-02-03,84.16,84.93,81.21,81.32,140877.0
2014-01-31,84.27,85.2,83.2,84.25,101223.0
2014-01-30,85.77,86.45,84.63,85.67,125380.0
2014-01-29,84.75,85.75,82.82,85.31,175000.0
2014-01-28,85.2,85.66,84.79,85.15,78010.0
2014-01-27,87.4,88.06,84.83,85.08,124375.0
2014-01-24,90.43,90.44,86.93,87.34,94037.0
2014-01-23,91.38,91.49,90.26,91.13,83287.0
2014-01-22,90.99,91.87,90.75,91.46,74002.0
2014-01-21,91.41,91.77,90.2,90.99,102114.0
2014-01-17,90.96,91.86,90.36,91.18,63680.0
2014-01-16,93.07,93.09,90.92,91.5,115970.0
2014-01-15,92.49,93.45,91.84,92.46,69627.0
2014-01-14,91.34,92.99,90.85,92.71,80652.0
2014-01-13,92.33,92.79,90.95,91.53,67571.0
2014-01-10,91.67,92.88,90.96,92.79,94269.0
2014-01-09,91.8,91.8,90.1,91.54,140348.0
2014-01-08,91.9,92.01,91.05,91.7,51664.0
2014-01-07,91.84,92.85,91.26,91.94,125659.0
2014-01-06,92.08,92.27,90.7,91.3,94608.0
2014-01-03,90.28,92.38,90.13,91.93,134808.0
2014-01-02,90.66,91.29,89.42,90.13,106496.0
2013-12-31,91.63,92.36,90.74,90.95,45712.0
2013-12-30,91.87,91.94,91.0,91.45,66477.0
2013-12-27,91.0,91.88,90.93,91.7,65368.0
2013-12-26,91.85,91.9,91.07,91.26,54779.0
2013-12-24,91.22,91.95,90.82,91.51,49981.0
2013-12-23,91.77,92.0,90.3,91.18,56982.0
2013-12-20,89.37,91.4,89.05,91.09,171797.0
2013-12-19,90.05,90.63,88.94,89.39,78376.0
2013-12-18,88.88,90.11,87.86,89.82,87005.0
2013-12-17,88.64,88.9,87.78,88.55,72306.0
2013-12-16,87.54,89.34,86.72,88.92,128487.0
2013-12-13,87.62,89.12,86.95,87.38,70336.0
2013-12-12,87.19,88.61,86.09,87.57,116487.0
2013-12-11,89.91,90.31,86.8,87.38,119236.0
2013-12-10,89.68,90.27,89.31,89.5,89284.0
2013-12-09,90.1,90.16,89.03,89.61,103005.0
2013-12-06,88.56,90.18,88.35,89.94,80346.0
2013-12-05,88.11,88.82,87.82,88.11,35657.0
2013-12-04,89.34,89.77,87.59,88.62,107324.0
2013-12-03,89.58,89.92,88.64,89.41,171954.0
2013-12-02,88.61,89.73,88.59,89.48,158656.0
2013-11-29,89.19,89.99,87.97,88.37,50500.0
2013-11-27,87.71,88.96,86.58,88.68,100988.0
2013-11-26,87.58,87.96,86.0,87.39,50876.0
2013-11-25,87.75,87.95,86.49,87.41,98357.0
2013-11-22,87.62,87.73,86.94,87.27,64664.0
2013-11-21,86.18,87.52,85.98,87.33,64083.0
2013-11-20,85.78,86.32,84.69,85.76,89549.0
2013-11-19,86.35,86.44,84.91,85.68,113288.0
2013-11-18,87.05,87.05,85.74,86.05,91531.0
2013-11-15,86.57,86.86,85.71,86.47,51110.0
2013-11-14,86.65,87.21,85.68,86.71,47440.0
2013-11-13,85.35,86.9,85.35,86.85,59128.0
2013-11-12,85.21,86.19,85.16,85.89,60181.0
2013-11-11,85.5,86.6,85.34,85.62,75540.0
2013-11-08,84.42,86.27,84.03,85.9,51820.0
2013-11-07,85.67,86.64,84.22,84.47,69393.0
2013-11-06,86.03,87.03,85.47,85.86,68706.0
2013-11-05,85.01,85.97,84.13,85.36,62607.0
2013-11-04,84.79,85.66,83.21,85.49,60883.0
2013-11-01,85.56,86.21,83.91,84.76,87026.0
2013-10-31,85.85,86.78,85.61,85.84,79005.0
2013-10-30,87.54,87.54,85.91,86.18,63359.0
2013-10-29,86.98,88.97,86.67,87.25,59206.0
2013-10-28,86.96,87.59,86.49,87.09,83481.0
2013-10-25,87.72,88.21,86.39,87.18,121666.0
2013-10-24,87.05,88.72,86.44,87.87,113533.0
2013-10-23,87.08,87.96,86.3,86.77,65427.0
2013-10-22,88.07,88.4,87.35,87.86,85362.0
2013-10-21,85.5,88.76,85.5,87.98,106831.0
2013-10-18,84.25,87.2,83.56,87.02,154023.0
2013-10-17,83.96,85.33,81.39,83.42,163794.0
2013-10-16,84.35,85.3,83.52,83.83,110522.0
2013-10-15,83.44,83.87,82.92,83.57,137786.0
2013-10-14,83.54,84.2,83.35,83.83,86406.0
2013-10-11,82.47,83.84,81.19,83.75,83801.0
2013-10-10,80.02,82.59,79.65,82.34,237524.0
2013-10-09,79.15,79.83,78.53,78.98,105248.0
2013-10-08,78.91,80.1,78.91,79.06,79283.0
2013-10-07,79.8,80.05,78.01,78.96,114871.0
2013-10-04,79.56,80.82,79.56,80.25,39182.0
2013-10-03,81.0,81.26,79.21,79.56,54496.0
2013-10-02,81.3,82.16,80.5,81.43,111250.0
2013-10-01,80.33,82.17,79.93,82.12,95142.0
2013-09-30,79.22,80.67,78.62,80.1,137364.0
2013-09-27,79.42,80.2,79.34,79.75,40294.0
2013-09-26,79.58,80.22,79.15,79.99,58039.0
2013-09-25,79.82,80.41,79.32,79.61,89315.0
2013-09-24,79.23,80.21,79.14,79.91,104287.0
2013-09-23,78.96,79.71,78.19,79.29,58455.0
2013-09-20,78.56,79.42,78.43,79.18,189106.0
2013-09-19,79.24,79.3,78.25,78.54,50753.0
2013-09-18,79.0,79.42,78.05,79.06,102320.0
2013-09-17,76.76,79.01,76.58,78.69,131276.0
2013-09-16,76.76,77.38,75.42,76.52,85900.0
2013-09-13,75.07,76.49,74.73,76.14,132270.0
