Date,Open,High,Low,Close,Volume
2014-04-07,6.1,6.82,6.07,6.19,27690.0
2014-04-04,6.6,6.6,6.08,6.13,63500.0
2014-04-03,6.95,6.95,6.5,6.52,27206.0
2014-04-02,6.92,7.0,6.83,6.94,18881.0
2014-04-01,6.69,6.94,6.69,6.87,21772.0
2014-03-31,6.56,6.96,6.56,6.69,71912.0
2014-03-28,6.75,6.84,6.5,6.56,54370.0
2014-03-27,6.64,6.85,6.64,6.76,21761.0
2014-03-26,7.08,7.08,6.62,6.63,47040.0
2014-03-25,7.0,7.04,6.98,6.99,30180.0
2014-03-24,7.13,7.13,6.98,6.99,44244.0
2014-03-21,7.12,7.27,7.03,7.08,66976.0
2014-03-20,6.96,7.12,6.89,7.07,17254.0
2014-03-19,7.05,7.12,6.96,6.98,35841.0
2014-03-18,6.99,7.12,6.99,7.08,25543.0
2014-03-17,7.12,7.13,6.95,7.01,26184.0
2014-03-14,6.91,7.06,6.9,7.06,45451.0
2014-03-13,7.11,7.11,6.95,6.96,58002.0
2014-03-12,7.0,7.11,6.95,7.04,53489.0
2014-03-11,7.35,7.37,6.88,7.01,70091.0
2014-03-10,7.34,7.47,7.2,7.38,56104.0
2014-03-07,7.24,7.48,7.07,7.33,76533.0
2014-03-06,7.26,7.35,7.06,7.17,104961.0
2014-03-05,7.5,7.5,7.12,7.21,76952.0
2014-03-04,7.4,7.91,7.4,7.55,95889.0
2014-03-03,7.26,7.37,7.03,7.28,55007.0
2014-02-28,7.49,7.49,7.27,7.32,39948.0
2014-02-27,7.44,7.54,7.33,7.46,54993.0
2014-02-26,7.37,7.54,7.3,7.49,20674.0
2014-02-25,7.56,7.78,7.31,7.34,65611.0
2014-02-24,7.87,7.98,7.5,7.55,59958.0
2014-02-21,8.0,8.0,7.87,7.9,53323.0
2014-02-20,7.8,8.0,7.8,7.97,59543.0
2014-02-19,7.92,7.96,7.74,7.75,34034.0
2014-02-18,7.98,8.06,7.92,7.98,68664.0
2014-02-14,7.99,8.0,7.74,7.98,106529.0
2014-02-13,7.49,7.99,7.49,7.96,60402.0
2014-02-12,7.75,7.8,7.52,7.58,94819.0
2014-02-11,8.49,8.49,7.65,7.78,120044.0
2014-02-10,7.84,8.24,7.51,8.18,122997.0
2014-02-07,7.5,8.0,7.5,7.92,126482.0
