Date,Open,High,Low,Close,Volume
2014-04-07,62.8,63.37,60.89,60.97,783911.0
2014-04-04,65.02,65.12,62.81,63.01,446665.0
2014-04-03,65.36,65.87,64.47,65.04,384359.0
2014-04-02,66.62,66.62,65.0,65.48,344537.0
2014-04-01,64.97,66.31,64.51,66.26,336896.0
2014-03-31,64.41,65.12,64.4,64.94,292690.0
2014-03-28,63.79,64.88,63.76,63.92,213194.0
2014-03-27,65.44,65.44,63.65,63.82,228645.0
2014-03-26,66.73,66.73,65.27,65.3,324259.0
2014-03-25,65.64,66.19,65.18,66.12,396452.0
2014-03-24,65.38,66.06,64.5,65.12,260747.0
2014-03-21,66.99,67.08,65.02,65.08,1035237.0
2014-03-20,64.67,66.91,64.45,66.85,343233.0
2014-03-19,64.45,65.63,64.0,64.81,251015.0
2014-03-18,64.64,64.78,64.19,64.42,222813.0
2014-03-17,64.31,65.2,63.99,64.4,194902.0
2014-03-14,63.19,64.53,63.19,63.97,276444.0
2014-03-13,64.73,64.92,63.1,63.55,372119.0
2014-03-12,64.34,65.38,64.21,64.74,310648.0
2014-03-11,64.74,65.01,64.06,64.71,227094.0
2014-03-10,64.7,65.31,64.27,64.81,200144.0
2014-03-07,64.15,65.16,64.15,64.65,245611.0
2014-03-06,63.71,64.25,63.49,63.99,451572.0
2014-03-05,63.06,63.44,62.54,63.43,267668.0
2014-03-04,62.87,63.92,62.56,63.18,511815.0
2014-03-03,62.04,62.26,61.48,62.02,409968.0
2014-02-28,62.37,63.88,62.27,62.95,728804.0
2014-02-27,61.34,62.69,60.82,62.25,352705.0
2014-02-26,60.53,61.58,59.83,61.49,485053.0
2014-02-25,60.23,60.64,59.89,60.35,435404.0
2014-02-24,59.15,60.52,59.15,59.98,520437.0
2014-02-21,59.55,60.2,59.21,59.92,426425.0
2014-02-20,59.0,59.51,58.62,59.19,327958.0
2014-02-19,59.75,60.21,58.73,58.88,468953.0
2014-02-18,59.65,60.36,59.29,60.23,367752.0
2014-02-14,59.29,59.8,58.92,59.61,291136.0
2014-02-13,57.91,59.37,57.91,59.27,210494.0
2014-02-12,59.05,59.72,58.26,58.58,237926.0
2014-02-11,58.14,59.05,57.82,58.85,293876.0
2014-02-10,57.85,58.16,57.12,58.1,236715.0
2014-02-07,57.83,58.05,57.01,57.75,327005.0
2014-02-06,57.44,57.87,57.11,57.67,368119.0
2014-02-05,57.57,58.24,57.06,57.27,331699.0
2014-02-04,57.12,58.5,56.45,57.76,772751.0
2014-02-03,59.43,59.88,56.95,57.03,749598.0
2014-01-31,58.48,59.69,58.02,59.47,475299.0
2014-01-30,59.33,59.74,58.88,59.52,367022.0
2014-01-29,59.06,59.81,58.82,58.94,424198.0
2014-01-28,60.43,60.61,59.71,59.95,1105699.0
2014-01-27,60.25,60.45,59.43,59.51,832266.0
2014-01-24,60.67,60.79,59.9,60.25,1921766.0
2014-01-23,58.76,60.75,57.5,60.69,1972492.0
2014-01-22,63.76,63.99,63.22,63.52,436053.0
2014-01-21,62.82,63.67,62.31,63.4,518777.0
2014-01-17,63.1,63.1,62.1,62.38,606284.0
2014-01-16,63.16,63.78,62.51,63.09,408535.0
2014-01-15,62.76,63.7,62.48,63.34,399174.0
2014-01-14,62.37,62.91,62.09,62.42,383834.0
2014-01-13,62.61,63.28,61.82,62.25,562237.0
2014-01-10,62.55,63.55,62.55,63.02,479688.0
2014-01-09,62.39,62.82,62.15,62.62,472468.0
2014-01-08,61.44,62.17,61.1,61.94,651448.0
2014-01-07,60.54,61.51,60.54,61.26,404047.0
2014-01-06,60.78,61.99,60.25,60.25,400961.0
2014-01-03,61.23,61.71,60.51,60.67,510178.0
2014-01-02,62.23,62.46,61.23,61.35,460833.0
2013-12-31,61.4,62.25,61.23,62.2,479554.0
2013-12-30,61.25,61.62,60.88,61.19,448100.0
2013-12-27,61.76,61.95,61.2,61.3,210777.0
2013-12-26,61.76,61.79,61.11,61.47,361939.0
2013-12-24,61.45,62.21,61.21,61.65,215892.0
2013-12-23,61.27,61.61,60.88,61.5,524647.0
2013-12-20,59.86,61.06,59.5,60.78,2347307.0
2013-12-19,59.41,60.0,59.17,59.47,539077.0
2013-12-18,58.55,59.88,58.25,59.62,727457.0
2013-12-17,58.71,58.75,57.82,58.32,581563.0
2013-12-16,57.4,58.88,57.36,58.51,562650.0
2013-12-13,56.69,57.27,56.24,57.01,359317.0
2013-12-12,55.55,56.84,55.46,56.49,430166.0
2013-12-11,56.2,56.64,55.23,55.55,394166.0
2013-12-10,56.48,56.95,55.67,56.16,336892.0
2013-12-09,56.7,57.03,56.25,56.74,320853.0
2013-12-06,56.43,57.19,56.23,56.48,383142.0
2013-12-05,55.0,55.67,54.82,55.49,239834.0
2013-12-04,55.12,55.73,54.68,55.15,275003.0
2013-12-03,55.3,55.67,54.63,55.39,236749.0
2013-12-02,55.99,56.19,55.18,55.37,254631.0
2013-11-29,56.61,56.61,55.66,56.17,92573.0
2013-11-27,56.0,56.67,55.61,56.31,258692.0
2013-11-26,55.7,56.17,55.22,56.0,245966.0
2013-11-25,54.94,55.74,54.69,55.5,353010.0
2013-11-22,54.08,55.17,53.76,55.08,251872.0
2013-11-21,53.36,54.28,52.94,54.23,295180.0
2013-11-20,52.88,53.59,52.15,52.95,491810.0
2013-11-19,52.68,53.14,52.27,52.59,393639.0
2013-11-18,52.71,53.34,52.47,52.72,359527.0
2013-11-15,52.55,53.06,52.2,52.68,539289.0
2013-11-14,52.3,52.81,51.89,52.64,338679.0
2013-11-13,51.59,52.37,51.59,52.3,401948.0
2013-11-12,51.92,52.53,51.55,52.05,321992.0
2013-11-11,52.72,53.16,51.88,52.26,180342.0
2013-11-08,51.34,53.32,51.34,52.98,560075.0
2013-11-07,52.26,52.34,51.38,51.45,167966.0
2013-11-06,52.16,52.49,52.03,52.18,229953.0
2013-11-05,51.97,52.42,51.74,51.96,185262.0
2013-11-04,52.0,52.32,51.69,52.13,275136.0
2013-11-01,52.0,52.57,51.71,51.99,435526.0
2013-10-31,53.0,53.05,52.04,52.05,274340.0
2013-10-30,52.65,53.59,52.52,53.05,460227.0
