Date,Open,High,Low,Close,Volume
2014-04-07,61.62,62.49,60.9,61.11,604058.0
2014-04-04,62.76,62.86,61.41,61.57,262672.0
2014-04-03,62.73,62.8,61.39,62.05,732901.0
2014-04-02,61.74,62.65,61.07,62.59,335403.0
2014-04-01,60.68,62.04,60.53,61.85,362244.0
2014-03-31,59.49,61.16,59.24,60.96,390107.0
2014-03-28,57.62,59.56,57.56,59.11,286776.0
2014-03-27,57.23,57.74,56.69,57.37,181828.0
2014-03-26,58.51,58.54,56.94,57.34,162934.0
2014-03-25,57.85,58.33,57.34,58.08,141071.0
2014-03-24,57.33,58.26,56.6,57.57,194929.0
2014-03-21,57.92,58.64,57.17,57.36,497091.0
2014-03-20,57.31,58.2,57.31,57.83,105425.0
2014-03-19,58.28,58.28,57.12,57.42,135318.0
2014-03-18,57.55,58.64,57.02,58.14,190161.0
2014-03-17,56.96,57.79,56.56,57.37,578331.0
2014-03-14,55.82,56.59,55.42,56.54,304786.0
2014-03-13,56.76,57.42,55.28,55.82,186530.0
2014-03-12,56.2,56.81,55.52,56.61,135190.0
2014-03-11,57.6,57.6,56.28,56.57,163585.0
2014-03-10,57.42,57.78,56.93,57.66,134038.0
2014-03-07,57.6,57.73,57.07,57.54,161796.0
2014-03-06,57.64,57.94,57.33,57.49,201617.0
2014-03-05,57.55,57.98,57.06,57.52,198550.0
2014-03-04,57.09,57.78,56.38,57.54,251051.0
2014-03-03,57.07,57.66,55.72,56.43,169951.0
2014-02-28,57.05,58.04,56.34,57.6,214862.0
2014-02-27,56.82,57.75,56.26,56.98,169274.0
2014-02-26,58.92,59.37,56.78,56.95,280119.0
2014-02-25,58.26,59.38,56.92,57.5,296810.0
2014-02-24,58.37,58.92,57.99,58.25,226886.0
2014-02-21,58.85,58.98,57.74,58.38,170692.0
2014-02-20,58.42,58.81,57.67,58.8,210560.0
2014-02-19,58.27,59.6,58.16,58.35,170516.0
2014-02-18,61.71,61.99,58.23,58.59,231812.0
2014-02-14,56.38,60.12,56.38,58.78,615871.0
2014-02-13,55.02,56.33,55.0,56.2,372830.0
2014-02-12,55.27,55.81,55.03,55.22,186912.0
2014-02-11,55.7,56.04,54.89,55.29,406301.0
2014-02-10,53.73,56.39,53.5,55.7,441879.0
2014-02-07,53.05,53.99,53.05,53.9,194481.0
2014-02-06,51.63,52.99,51.29,52.93,261875.0
2014-02-05,50.99,51.55,50.34,51.51,206704.0
2014-02-04,51.0,51.47,50.21,51.27,268233.0
2014-02-03,54.06,54.61,50.68,50.83,393566.0
2014-01-31,52.5,54.49,52.03,53.92,410617.0
2014-01-30,52.63,53.38,52.28,53.31,172719.0
2014-01-29,51.89,52.65,51.65,52.28,178566.0
2014-01-28,52.32,52.37,51.79,52.2,120398.0
2014-01-27,54.09,54.14,52.45,52.49,198256.0
2014-01-24,54.18,54.56,53.7,53.91,233385.0
2014-01-23,54.86,55.36,54.27,54.64,139348.0
2014-01-22,54.86,55.32,54.44,54.99,151154.0
2014-01-21,54.68,54.85,54.31,54.69,163433.0
2014-01-17,54.65,54.82,54.13,54.3,123459.0
2014-01-16,54.55,54.98,53.57,54.65,136445.0
2014-01-15,52.33,54.59,52.33,54.51,229133.0
2014-01-14,51.91,52.29,51.76,52.24,207029.0
2014-01-13,52.18,52.39,51.65,51.9,194320.0
2014-01-10,51.7,52.59,51.39,52.43,211554.0
2014-01-09,51.26,51.74,50.91,51.66,116154.0
2014-01-08,50.98,51.4,50.75,51.07,192079.0
2014-01-07,50.55,51.21,50.38,51.07,103968.0
2014-01-06,51.24,51.53,50.15,50.32,277240.0
2014-01-03,51.05,51.59,50.73,50.91,138983.0
2014-01-02,51.65,51.65,50.68,50.88,187031.0
2013-12-31,51.3,51.82,51.12,51.6,119398.0
2013-12-30,51.22,51.5,50.98,51.25,91309.0
2013-12-27,51.01,51.5,50.75,51.2,83294.0
2013-12-26,51.03,51.04,50.53,51.0,122362.0
2013-12-24,50.24,50.89,50.24,50.76,26370.0
2013-12-23,50.86,50.9,49.93,50.21,199113.0
2013-12-20,49.7,50.56,49.67,50.5,253607.0
2013-12-19,49.7,50.05,49.08,49.67,163633.0
2013-12-18,49.89,49.9,49.04,49.73,217320.0
2013-12-17,49.47,49.98,49.06,49.83,119059.0
2013-12-16,49.38,49.7,48.98,49.34,141917.0
2013-12-13,49.28,49.72,48.72,49.39,130578.0
2013-12-12,50.1,50.44,48.35,49.12,312275.0
2013-12-11,51.98,52.05,50.0,50.01,177075.0
2013-12-10,52.07,52.42,51.4,51.87,128658.0
2013-12-09,52.24,52.38,51.59,52.07,100315.0
2013-12-06,51.95,52.99,51.57,52.36,158760.0
2013-12-05,50.94,51.8,50.77,51.7,143833.0
2013-12-04,51.26,51.65,50.78,51.1,96747.0
2013-12-03,51.46,51.65,50.64,51.34,195932.0
2013-12-02,51.7,52.15,51.3,51.73,101371.0
2013-11-29,52.07,52.3,51.77,51.84,43039.0
2013-11-27,52.45,52.78,51.71,52.02,148293.0
2013-11-26,52.51,52.84,51.94,52.26,123483.0
2013-11-25,53.12,53.19,52.35,52.54,71181.0
2013-11-22,52.77,53.07,52.23,52.87,66655.0
2013-11-21,52.0,52.85,51.86,52.71,67416.0
2013-11-20,52.34,52.55,51.46,51.74,77941.0
2013-11-19,53.23,53.23,52.13,52.37,70121.0
2013-11-18,54.19,54.32,53.07,53.28,82749.0
2013-11-15,53.51,54.14,53.13,53.94,98031.0
2013-11-14,52.78,53.45,52.64,53.45,91240.0
2013-11-13,52.88,52.99,51.89,52.91,119593.0
2013-11-12,52.62,53.17,52.41,53.01,92054.0
2013-11-11,52.51,52.85,52.28,52.62,86389.0
2013-11-08,51.65,52.38,51.52,52.38,100419.0
2013-11-07,51.79,51.84,51.35,51.48,105177.0
2013-11-06,51.91,52.05,51.33,51.72,123801.0
2013-11-05,51.87,51.93,51.3,51.59,132475.0
2013-11-04,52.25,52.25,51.58,51.89,92681.0
2013-11-01,52.28,52.38,51.35,51.86,150822.0
2013-10-31,51.71,52.3,51.58,51.91,154101.0
2013-10-30,52.49,52.93,51.54,51.61,108690.0
2013-10-29,52.93,53.51,51.97,52.24,292439.0
2013-10-28,50.66,51.03,50.24,51.03,187370.0
2013-10-25,50.52,50.61,49.85,50.57,99528.0
2013-10-24,50.39,50.46,49.84,50.36,196104.0
2013-10-23,50.45,50.64,49.82,50.17,104093.0
2013-10-22,50.75,50.88,50.27,50.64,74066.0
2013-10-21,50.58,50.77,50.17,50.52,109146.0
2013-10-18,50.1,50.59,49.77,50.56,128986.0
2013-10-17,49.33,50.34,49.11,50.27,129421.0
2013-10-16,49.37,49.6,49.1,49.47,79114.0
2013-10-15,49.56,49.56,48.78,48.96,246218.0
2013-10-14,49.75,49.94,49.15,49.57,203386.0
2013-10-11,49.63,50.04,49.38,49.9,128694.0
2013-10-10,49.61,50.2,49.39,49.63,182459.0
2013-10-09,49.77,49.77,49.09,49.31,379548.0
2013-10-08,50.12,50.46,49.75,49.79,115360.0
2013-10-07,50.37,50.67,50.12,50.24,81222.0
2013-10-04,50.58,51.07,50.33,50.9,63136.0
2013-10-03,51.03,51.27,50.13,50.56,187507.0
2013-10-02,51.5,51.61,50.91,51.27,83050.0
2013-10-01,49.84,51.77,49.55,51.7,257377.0
2013-09-30,49.91,50.38,49.49,49.91,201171.0
2013-09-27,50.42,50.74,50.33,50.36,66616.0
2013-09-26,50.26,50.73,50.26,50.64,111122.0
2013-09-25,49.96,50.74,49.76,50.26,94886.0
2013-09-24,49.8,50.52,48.85,49.94,123780.0
2013-09-23,49.83,50.0,49.49,49.69,102314.0
2013-09-20,50.4,50.71,49.77,49.84,237736.0
2013-09-19,50.54,50.65,50.16,50.27,56771.0
2013-09-18,50.38,50.67,49.97,50.59,65816.0
2013-09-17,50.25,50.7,50.18,50.51,57913.0
2013-09-16,50.13,50.49,49.8,50.25,157282.0
2013-09-13,49.87,50.05,49.44,49.72,171921.0
2013-09-12,50.47,50.56,49.69,49.91,119316.0
2013-09-11,50.39,50.71,49.84,50.56,142590.0
2013-09-10,50.05,50.71,50.0,50.49,149466.0
2013-09-09,49.75,50.36,49.68,50.0,148357.0
2013-09-06,50.33,50.34,49.61,49.7,159429.0
2013-09-05,50.0,50.6,49.64,50.21,284923.0
2013-09-04,49.36,50.21,49.18,50.08,208378.0
2013-09-03,49.65,50.28,48.97,49.41,347807.0
2013-08-30,49.83,49.99,49.11,49.16,260765.0
2013-08-29,49.68,50.08,49.41,49.92,121319.0
2013-08-28,49.35,49.99,49.25,49.78,154243.0
2013-08-27,49.23,49.79,48.71,49.25,323520.0
2013-08-26,49.11,49.95,49.0,49.64,223488.0
2013-08-23,50.22,50.33,48.85,49.15,255986.0
2013-08-22,50.73,50.85,49.1,50.15,146812.0
2013-08-21,51.78,52.18,50.43,50.47,106532.0
2013-08-20,51.87,52.04,51.4,51.83,116442.0
2013-08-19,52.26,52.26,51.53,51.81,214910.0
