Date,Open,High,Low,Close,Volume
2014-04-07,84.84,85.31,83.96,85.04,271440.0
2014-04-04,87.7,88.08,85.26,85.33,493414.0
2014-04-03,86.99,87.62,85.94,87.11,482680.0
2014-04-02,86.3,87.37,85.43,87.13,285937.0
2014-04-01,85.92,86.64,84.86,86.25,222159.0
2014-03-31,85.52,86.32,84.78,85.37,286541.0
2014-03-28,87.34,88.48,84.52,84.62,226043.0
2014-03-27,86.7,87.63,85.55,87.09,233327.0
2014-03-26,87.8,88.44,86.44,86.5,244749.0
2014-03-25,86.97,88.24,86.54,87.2,244764.0
2014-03-24,86.42,86.94,85.85,86.58,242704.0
2014-03-21,87.57,88.03,86.0,86.37,328343.0
2014-03-20,88.33,89.1,87.04,87.19,100505.0
2014-03-19,89.37,89.6,87.64,88.24,99514.0
2014-03-18,89.12,90.41,88.77,89.04,141534.0
2014-03-17,87.49,89.56,86.93,88.82,138441.0
2014-03-14,86.7,87.76,85.69,86.89,117277.0
2014-03-13,90.12,90.31,86.59,86.9,143702.0
2014-03-12,89.36,90.29,88.23,89.97,128844.0
2014-03-11,90.25,90.86,89.06,89.64,162461.0
2014-03-10,88.96,90.77,88.2,90.3,170218.0
2014-03-07,88.8,89.91,87.26,89.04,312099.0
2014-03-06,89.62,90.16,87.99,88.67,252568.0
2014-03-05,89.64,90.5,88.41,89.3,89311.0
2014-03-04,89.7,90.45,88.91,89.5,189821.0
2014-03-03,88.23,89.56,87.42,88.47,195696.0
2014-02-28,89.14,89.79,87.27,88.84,528044.0
2014-02-27,88.82,89.15,88.2,88.97,217959.0
2014-02-26,89.75,90.07,88.17,89.01,377833.0
2014-02-25,89.53,89.53,88.26,89.39,192651.0
2014-02-24,89.21,90.28,88.74,89.18,150220.0
2014-02-21,89.62,89.62,88.34,88.89,190564.0
2014-02-20,89.77,90.12,88.14,89.59,210772.0
2014-02-19,90.94,92.63,89.5,89.7,258337.0
2014-02-18,89.66,91.82,89.19,91.36,219687.0
2014-02-14,88.94,89.32,88.35,89.3,117607.0
2014-02-13,87.0,89.15,86.93,89.02,154106.0
2014-02-12,88.94,89.27,87.56,87.69,232887.0
2014-02-11,89.55,90.18,88.87,89.03,209569.0
2014-02-10,88.67,88.87,86.82,88.56,405732.0
2014-02-07,85.21,86.36,84.82,85.8,388382.0
2014-02-06,84.0,85.34,82.82,84.8,343490.0
2014-02-05,84.88,84.88,82.51,83.74,510248.0
2014-02-04,86.49,87.28,83.03,85.08,894138.0
2014-02-03,91.08,91.59,87.14,87.58,591858.0
2014-01-31,90.75,91.44,89.35,90.87,274030.0
2014-01-30,89.91,92.51,88.01,92.24,285428.0
2014-01-29,90.48,91.04,88.86,88.92,232517.0
2014-01-28,89.8,91.78,89.8,91.58,200723.0
2014-01-27,89.17,94.42,88.95,89.66,235618.0
2014-01-24,92.18,92.78,90.26,90.45,232368.0
2014-01-23,93.63,94.68,91.9,92.8,242559.0
2014-01-22,95.25,95.43,93.57,94.13,263217.0
2014-01-21,96.15,96.16,95.13,95.29,216651.0
2014-01-17,96.12,96.12,94.96,95.38,189443.0
2014-01-16,95.77,96.34,95.31,96.0,281664.0
2014-01-15,96.28,96.84,95.51,96.09,278089.0
2014-01-14,94.86,96.04,94.45,96.01,158518.0
