Date,Open,High,Low,Close,Volume
2014-04-07,34.99,34.99,34.2,34.27,779686.0
2014-04-04,35.87,36.53,34.69,35.11,846727.0
2014-04-03,35.9,36.34,35.85,36.14,507924.0
2014-04-02,35.83,35.84,35.48,35.8,459296.0
2014-04-01,35.96,36.34,35.7,35.86,726251.0
2014-03-31,35.41,36.2,35.05,35.81,672101.0
2014-03-28,34.66,35.42,34.46,35.15,507118.0
2014-03-27,34.84,35.08,34.41,34.66,420172.0
2014-03-26,35.3,35.44,34.77,34.77,444505.0
2014-03-25,35.41,35.84,34.58,35.02,610204.0
2014-03-24,36.12,36.4,34.55,35.33,708776.0
2014-03-21,36.43,36.6,35.89,36.0,525967.0
2014-03-20,36.28,36.62,36.01,36.33,358497.0
2014-03-19,36.57,37.26,36.37,36.47,757741.0
2014-03-18,35.49,37.75,35.49,36.71,1504447.0
2014-03-17,34.44,35.43,34.32,35.0,524502.0
2014-03-14,34.22,34.61,33.99,34.19,440339.0
2014-03-13,35.19,35.57,34.35,34.4,864138.0
2014-03-12,35.54,35.63,34.24,35.04,1450467.0
2014-03-11,36.79,37.0,35.8,35.82,457045.0
2014-03-10,36.68,37.04,36.1,36.79,662191.0
2014-03-07,36.62,37.13,36.25,36.84,529491.0
2014-03-06,36.22,36.63,36.07,36.34,406581.0
2014-03-05,36.49,36.52,36.06,36.22,721251.0
2014-03-04,36.71,37.57,36.37,37.23,680504.0
2014-03-03,36.81,37.24,36.18,36.24,740260.0
2014-02-28,37.38,38.02,36.86,37.14,1059377.0
2014-02-27,35.48,37.35,35.31,37.24,1041666.0
2014-02-26,35.58,35.9,35.2,35.6,647876.0
2014-02-25,35.87,36.06,35.2,35.5,492607.0
2014-02-24,35.85,36.22,35.71,35.98,397166.0
2014-02-21,36.62,36.87,35.69,35.73,644822.0
2014-02-20,36.16,36.67,35.9,36.45,673175.0
2014-02-19,36.03,36.5,35.65,35.7,561659.0
2014-02-18,36.17,36.47,35.79,36.24,526420.0
2014-02-14,36.05,36.27,35.76,36.02,305973.0
2014-02-13,35.81,36.25,35.64,36.03,429550.0
2014-02-12,35.13,36.52,35.13,35.92,921814.0
2014-02-11,34.42,35.34,34.39,35.18,449240.0
2014-02-10,34.58,34.88,34.3,34.45,732400.0
2014-02-07,34.44,34.9,34.31,34.65,637209.0
2014-02-06,35.02,35.3,34.42,34.45,953239.0
2014-02-05,33.15,35.79,33.15,34.95,1774825.0
2014-02-04,34.02,34.46,33.5,34.37,1236888.0
2014-02-03,34.94,35.18,33.64,33.8,827506.0
2014-01-31,34.11,35.15,34.09,34.94,701862.0
2014-01-30,34.84,35.15,34.46,34.96,547258.0
2014-01-29,34.58,35.18,34.42,34.53,432013.0
2014-01-28,34.48,34.87,34.27,34.84,728193.0
2014-01-27,34.44,35.28,34.18,34.37,496457.0
2014-01-24,35.57,35.75,34.53,34.94,851752.0
