Date,Open,High,Low,Close,Volume
2014-04-07,12.75,12.78,12.34,12.42,1904773.0
2014-04-04,13.27,13.28,12.82,12.83,1960286.0
2014-04-03,13.2,13.33,13.08,13.13,1544248.0
2014-04-02,13.3,13.33,13.13,13.25,1659134.0
2014-04-01,13.37,13.42,13.22,13.3,1801686.0
2014-03-31,13.0,13.37,12.99,13.23,1817207.0
2014-03-28,12.9,13.18,12.86,12.95,1269724.0
2014-03-27,12.93,13.05,12.82,12.94,1595928.0
2014-03-26,13.32,13.4,12.98,12.98,1817168.0
2014-03-25,13.35,13.58,13.12,13.19,1635176.0
2014-03-24,13.21,13.37,12.99,13.29,2692620.0
2014-03-21,13.37,13.45,13.09,13.14,1947690.0
2014-03-20,13.24,13.48,13.1,13.3,1357832.0
2014-03-19,13.33,13.41,13.27,13.32,1557034.0
2014-03-18,13.04,13.4,12.99,13.38,2199537.0
2014-03-17,12.88,13.1,12.88,13.04,1633323.0
2014-03-14,12.75,13.02,12.75,12.93,2066570.0
2014-03-13,12.92,13.03,12.75,12.77,2458144.0
2014-03-12,12.88,12.95,12.77,12.95,1495885.0
2014-03-11,13.26,13.31,12.91,12.94,1432402.0
2014-03-10,13.24,13.33,12.97,13.21,1955037.0
2014-03-07,13.42,13.46,13.21,13.23,2149947.0
2014-03-06,13.42,13.55,12.8,13.32,3123739.0
2014-03-05,13.32,13.55,13.18,13.43,2212927.0
2014-03-04,13.75,13.8,13.61,13.75,2119257.0
2014-03-03,13.35,13.5,13.23,13.46,2360178.0
2014-02-28,13.63,13.74,13.4,13.5,2121874.0
2014-02-27,12.82,13.75,12.82,13.68,6201135.0
2014-02-26,13.2,13.23,12.75,12.83,3262850.0
2014-02-25,13.24,13.25,13.07,13.17,1529909.0
2014-02-24,12.75,13.23,12.59,13.02,1919780.0
2014-02-21,12.98,13.02,12.64,12.72,1645436.0
2014-02-20,12.78,12.97,12.71,12.95,985866.0
2014-02-19,12.83,12.94,12.71,12.73,1091741.0
2014-02-18,12.65,12.95,12.63,12.88,1453575.0
2014-02-14,12.72,12.8,12.61,12.62,1218457.0
2014-02-13,12.27,12.72,12.26,12.71,1814020.0
2014-02-12,12.27,12.47,12.18,12.34,1850312.0
2014-02-11,12.04,12.31,12.04,12.27,965958.0
2014-02-10,12.0,12.17,11.98,12.07,1811154.0
2014-02-07,12.02,12.09,11.92,12.03,2316023.0
2014-02-06,12.02,12.07,11.91,11.95,1678584.0
2014-02-05,11.93,12.02,11.77,11.99,1490546.0
2014-02-04,12.04,12.14,11.94,11.97,2231366.0
2014-02-03,12.35,12.44,11.88,12.01,2613840.0
2014-01-31,12.27,12.51,12.27,12.39,2734516.0
2014-01-30,12.5,12.63,12.38,12.42,2614216.0
2014-01-29,12.4,12.58,12.23,12.33,3979557.0
2014-01-28,12.67,12.68,12.08,12.19,2294706.0
2014-01-27,12.22,12.29,12.2,12.22,2550747.0
2014-01-24,12.37,12.53,12.17,12.23,2455058.0
2014-01-23,12.67,12.76,12.36,12.49,1761102.0
2014-01-22,12.91,13.06,12.64,12.77,1650972.0
2014-01-21,13.16,13.17,12.9,12.94,1782098.0
2014-01-17,13.27,13.28,12.96,12.96,1739081.0
2014-01-16,13.02,13.24,12.87,13.24,2886635.0
2014-01-15,12.92,13.16,12.85,13.02,1892386.0
2014-01-14,12.85,12.98,12.59,12.97,1757670.0
2014-01-13,12.98,13.14,12.77,12.84,4955031.0
2014-01-10,13.18,13.51,13.08,13.49,2726310.0
2014-01-09,13.29,13.33,13.05,13.16,1883076.0
2014-01-08,13.43,13.44,13.23,13.27,1898201.0
