Date,Open,High,Low,Close,Volume
2014-04-07,19.31,20.0,19.01,19.09,245894.0
2014-04-04,19.77,20.35,19.01,19.44,134497.0
2014-04-03,21.1,21.54,19.49,19.83,160749.0
2014-04-02,20.99,21.4,20.72,21.16,129870.0
2014-04-01,22.05,22.64,20.84,21.03,248852.0
2014-03-31,21.25,22.19,20.65,22.09,76780.0
2014-03-28,22.59,22.88,20.77,21.21,108155.0
2014-03-27,23.04,23.3,22.34,22.62,111547.0
2014-03-26,24.54,24.81,22.86,22.95,91282.0
2014-03-25,24.72,26.06,23.93,24.39,111085.0
2014-03-24,25.13,25.35,24.29,24.59,99596.0
2014-03-21,26.36,26.76,24.55,25.06,286160.0
2014-03-20,26.05,26.51,25.86,26.14,70516.0
2014-03-19,26.14,26.52,25.82,26.04,84264.0
2014-03-18,25.37,26.74,25.37,26.5,120304.0
2014-03-17,25.04,25.81,25.04,25.3,88691.0
2014-03-14,25.13,25.29,24.57,24.79,142269.0
2014-03-13,25.56,25.73,24.62,25.07,66582.0
2014-03-12,26.09,26.15,25.3,25.43,95360.0
2014-03-11,26.34,26.86,25.82,26.14,124144.0
2014-03-10,25.72,26.75,25.72,26.43,164912.0
2014-03-07,24.44,25.88,24.09,25.83,370120.0
2014-03-06,24.83,25.14,24.03,24.75,170522.0
2014-03-05,24.8,25.14,24.57,24.83,69970.0
2014-03-04,25.28,25.91,24.38,24.89,210325.0
2014-03-03,25.19,26.9,24.7,24.89,102718.0
2014-02-28,24.41,26.32,24.03,25.75,113045.0
2014-02-27,24.58,24.72,23.75,24.34,60064.0
2014-02-26,25.09,25.09,23.92,24.58,111184.0
2014-02-25,24.72,25.22,24.5,24.8,71136.0
2014-02-24,24.98,24.98,24.2,24.75,81046.0
2014-02-21,25.2,25.2,24.79,24.87,32387.0
2014-02-20,25.0,25.19,24.22,24.81,94645.0
2014-02-19,25.02,25.51,24.74,25.15,95535.0
2014-02-18,24.55,25.48,23.51,25.25,48876.0
2014-02-14,24.37,24.5,24.01,24.46,50828.0
2014-02-13,24.26,25.33,23.09,24.43,104325.0
2014-02-12,23.6,24.83,23.6,24.47,67289.0
2014-02-11,23.85,23.94,22.93,23.3,67885.0
2014-02-10,23.53,24.21,23.0,23.85,52627.0
2014-02-07,23.78,23.78,22.68,23.49,123254.0
2014-02-06,24.51,24.88,23.34,23.8,209108.0
2014-02-05,24.74,24.91,24.11,24.45,39310.0
2014-02-04,25.2,25.48,24.54,24.98,135402.0
2014-02-03,25.72,26.42,24.8,25.21,179415.0
2014-01-31,25.31,26.52,24.84,25.85,97415.0
2014-01-30,25.06,25.98,24.91,25.63,88150.0
2014-01-29,24.54,25.29,24.38,24.75,39221.0
2014-01-28,24.26,24.87,23.3,24.72,121768.0
2014-01-27,26.08,26.49,23.75,24.35,96689.0
2014-01-24,25.97,26.0,25.0,25.41,80225.0
2014-01-23,26.6,26.6,25.74,26.18,63252.0
2014-01-22,26.98,27.53,26.54,26.64,62733.0
2014-01-21,27.79,27.79,24.25,26.85,395878.0
2014-01-17,26.06,27.73,25.21,26.97,174584.0
2014-01-16,28.86,28.99,26.1,26.22,194830.0
2014-01-15,29.43,29.5,28.39,29.0,143109.0
2014-01-14,29.35,30.25,29.16,29.51,97776.0
2014-01-13,29.77,29.77,28.5,29.34,122099.0
2014-01-10,29.85,30.24,29.53,29.98,105739.0
2014-01-09,28.6,30.1,28.55,29.73,144929.0
2014-01-08,28.46,28.8,27.76,28.38,142430.0
2014-01-07,28.4,29.46,27.76,28.46,111712.0
2014-01-06,27.02,29.23,27.02,28.41,123005.0
2014-01-03,25.71,27.21,25.51,26.8,115022.0
2014-01-02,25.94,26.91,25.11,25.59,99243.0
2013-12-31,24.77,25.83,24.43,25.77,95243.0
2013-12-30,25.21,27.0,24.65,24.79,164983.0
2013-12-27,25.01,25.19,23.83,24.99,100006.0
2013-12-26,24.83,25.92,24.52,24.9,50003.0
2013-12-24,24.33,24.76,23.77,24.63,75425.0
2013-12-23,24.36,24.4,23.63,24.38,67568.0
2013-12-20,22.75,23.81,22.55,23.7,1665845.0
2013-12-19,22.93,23.32,21.53,22.61,227421.0
2013-12-18,23.32,24.15,22.31,23.46,138925.0
2013-12-17,24.42,24.42,22.35,23.52,198817.0
2013-12-16,22.7,24.11,22.7,23.7,180123.0
2013-12-13,23.38,23.78,22.26,22.67,161646.0
2013-12-12,23.5,24.5,23.1,23.3,102652.0
2013-12-11,24.85,24.85,23.25,23.5,98376.0
2013-12-10,25.1,25.49,23.86,24.0,95574.0
2013-12-09,24.93,25.04,23.4,23.91,240508.0
2013-12-06,24.51,25.94,23.37,24.79,139829.0
2013-12-05,23.44,25.19,23.0,24.8,254767.0
2013-12-04,22.04,23.27,22.04,22.88,142206.0
2013-12-03,22.5,22.59,21.9,22.46,67866.0
2013-12-02,22.0,22.67,21.41,22.54,48689.0
2013-11-29,23.0,23.0,21.56,22.01,92347.0
2013-11-27,21.65,22.73,21.05,22.44,30491.0
2013-11-26,20.0,21.88,20.0,21.77,127940.0
2013-11-25,21.11,21.11,19.99,20.18,195242.0
2013-11-22,22.49,22.49,20.21,20.66,132050.0
2013-11-21,20.01,22.4,20.01,21.83,128211.0
2013-11-20,20.0,20.61,19.81,20.04,368833.0
2013-11-19,20.27,20.66,19.5,20.11,309356.0
2013-11-18,23.89,24.0,19.6,20.62,196645.0
2013-11-15,19.15,23.36,19.08,21.84,425964.0
2013-11-14,19.5,20.2,18.61,19.26,3997192.0

