Date,Open,High,Low,Close,Volume
2014-04-07,38.25,38.35,36.86,37.23,1515850.0
2014-04-04,39.86,39.86,38.36,38.38,1118867.0
2014-04-03,40.0,40.14,39.3,39.71,1238853.0
2014-04-02,39.34,39.98,39.17,39.81,1174710.0
2014-04-01,39.34,39.4,38.69,39.3,1316285.0
2014-03-31,38.31,38.97,38.28,38.87,1506265.0
2014-03-28,39.39,39.39,38.08,38.15,584246.0
2014-03-27,37.98,38.51,37.76,38.13,1359489.0
2014-03-26,38.75,38.91,38.09,38.16,2133953.0
2014-03-25,39.12,39.38,38.15,38.48,2293873.0
2014-03-24,38.5,38.81,37.97,38.35,1530794.0
2014-03-21,38.77,39.0,38.05,38.19,4634402.0
2014-03-20,38.3,38.88,38.14,38.54,1576596.0
2014-03-19,38.8,38.94,38.39,38.6,934895.0
2014-03-18,38.57,38.9,38.32,38.87,677987.0
2014-03-17,38.2,39.12,38.0,38.48,1160870.0
2014-03-14,37.55,38.01,37.47,38.0,1518666.0
2014-03-13,39.11,39.29,37.51,37.74,1152888.0
2014-03-12,38.87,39.1,38.5,39.07,1239465.0
2014-03-11,39.38,39.39,38.71,39.02,885122.0
2014-03-10,39.51,39.62,38.9,39.26,1204468.0
2014-03-07,40.0,40.08,39.23,39.51,1328711.0
2014-03-06,39.81,40.17,39.57,39.96,1816878.0
2014-03-05,39.96,40.06,39.38,39.81,2614964.0
2014-03-04,38.62,39.38,38.52,38.99,1619627.0
2014-03-03,37.96,38.38,37.67,38.25,1949909.0
2014-02-28,38.04,38.59,38.04,38.15,1277038.0
2014-02-27,38.2,38.29,37.93,38.17,859619.0
2014-02-26,38.14,38.45,37.84,38.2,892727.0
2014-02-25,38.39,38.54,37.85,37.97,1374997.0
2014-02-24,38.36,38.77,38.28,38.44,1312269.0
2014-02-21,38.5,38.71,38.28,38.41,1459006.0
2014-02-20,38.16,38.67,37.95,38.64,1064065.0
2014-02-19,37.3,38.46,37.25,38.16,2410308.0
2014-02-18,37.09,37.37,36.8,37.33,1462117.0
2014-02-14,36.53,37.42,36.53,37.17,1304756.0
2014-02-13,36.11,37.32,36.07,36.92,2538144.0
2014-02-12,34.61,37.42,34.36,37.19,6882603.0
2014-02-11,32.02,32.95,32.02,32.62,2267780.0
2014-02-10,31.9,32.19,31.72,32.02,1630707.0
2014-02-07,31.53,32.12,31.46,31.98,1190708.0
2014-02-06,31.21,31.76,31.01,31.29,1592744.0
2014-02-05,31.08,31.38,31.0,31.09,1818769.0
2014-02-04,30.96,31.23,30.75,31.19,2231083.0
2014-02-03,32.37,32.45,30.66,30.78,3308912.0
2014-01-31,32.55,32.86,32.1,32.33,1723075.0
2014-01-30,32.57,33.12,32.42,33.05,1534666.0
2014-01-29,32.35,32.97,32.35,32.42,1413238.0
2014-01-28,32.31,32.68,32.2,32.67,1334730.0
2014-01-27,32.67,32.8,32.19,32.34,1426969.0
2014-01-24,33.69,33.91,32.45,32.52,1761917.0
2014-01-23,34.2,34.29,33.8,33.85,1079621.0
2014-01-22,34.43,34.59,34.1,34.46,1597212.0
2014-01-21,34.0,34.43,33.87,34.32,1604580.0
2014-01-17,34.53,34.75,34.07,34.08,952982.0
2014-01-16,34.69,34.86,34.48,34.7,754054.0
2014-01-15,34.21,34.88,34.2,34.7,777015.0
2014-01-14,33.9,34.6,33.52,34.36,744408.0
2014-01-13,33.47,34.16,33.4,33.67,1159922.0
2014-01-10,33.58,33.74,33.28,33.63,862576.0
2014-01-09,33.7,33.91,33.21,33.58,685448.0
2014-01-08,34.02,34.19,33.17,33.51,1515509.0
2014-01-07,34.31,34.32,33.39,33.95,1187834.0
2014-01-06,33.7,34.05,33.56,33.97,1489958.0
2014-01-03,34.56,34.82,34.28,34.57,820774.0
2014-01-02,34.57,34.76,34.17,34.44,912458.0
2013-12-31,34.57,35.01,34.5,34.7,807137.0
2013-12-30,34.04,34.77,34.0,34.57,1163272.0
2013-12-27,34.42,34.5,34.23,34.29,526452.0
2013-12-26,34.4,34.55,33.94,34.39,629719.0
2013-12-24,34.02,34.41,34.02,34.32,424118.0
2013-12-23,33.98,34.31,33.81,34.08,1086250.0
2013-12-20,32.84,34.05,32.7,33.88,3568540.0
2013-12-19,33.09,33.32,32.7,32.71,790822.0
2013-12-18,33.18,33.32,32.51,33.28,736560.0
2013-12-17,32.83,33.34,32.43,33.12,874093.0
2013-12-16,31.77,32.96,31.65,32.74,1314977.0
2013-12-13,32.08,32.21,31.51,31.68,805633.0
2013-12-12,31.67,32.0,31.37,31.73,900911.0
2013-12-11,32.79,32.96,31.74,31.74,1112643.0
2013-12-10,32.29,32.92,32.19,32.76,870831.0
2013-12-09,32.56,32.76,32.22,32.39,650612.0
2013-12-06,32.98,33.22,32.46,32.6,844984.0
2013-12-05,31.52,32.75,31.25,32.75,1510751.0
