Date,Open,High,Low,Close,Volume
2014-04-07,81.53,82.3,79.43,79.5,1850246.0
2014-04-04,83.91,83.91,81.42,81.58,1199654.0
2014-04-03,84.21,84.73,82.97,83.5,837310.0
2014-04-02,83.7,84.08,83.17,83.95,937076.0
2014-04-01,83.02,83.47,82.54,83.19,1468576.0
2014-03-31,82.39,83.11,82.12,82.35,1130126.0
2014-03-28,81.17,82.55,80.63,81.67,917257.0
2014-03-27,81.35,81.76,80.69,81.0,1493832.0
2014-03-26,82.8,83.05,81.48,81.5,1111475.0
2014-03-25,83.04,83.77,81.59,82.4,1022716.0
2014-03-24,83.15,83.51,81.94,82.31,1165569.0
2014-03-21,83.59,84.4,82.5,82.92,3239952.0
2014-03-20,80.84,82.66,80.65,82.52,2124221.0
2014-03-19,81.71,82.0,80.58,80.93,1506347.0
2014-03-18,81.59,82.11,81.21,81.73,959296.0
2014-03-17,81.1,81.96,80.89,81.58,996755.0
2014-03-14,80.81,81.73,79.95,80.28,1470937.0
2014-03-13,82.38,83.08,80.43,80.76,1333881.0
2014-03-12,81.94,82.24,81.19,81.83,1488216.0
2014-03-11,83.9,83.95,82.44,82.7,1380787.0
2014-03-10,83.37,83.73,82.71,83.71,1296432.0
2014-03-07,82.93,83.68,82.33,83.0,1181781.0
2014-03-06,81.16,82.94,81.16,82.37,1447941.0
2014-03-05,81.72,81.86,81.31,81.54,950047.0
2014-03-04,80.98,81.85,80.68,81.68,1064226.0
2014-03-03,80.1,80.3,79.22,79.83,1226119.0
2014-02-28,80.56,81.69,80.12,81.17,1510986.0
2014-02-27,79.36,80.6,78.89,80.42,1167380.0
2014-02-26,80.1,80.6,79.3,79.52,1313667.0
2014-02-25,80.93,81.06,80.02,80.1,931891.0
2014-02-24,80.02,81.39,80.02,80.86,1007459.0
2014-02-21,80.27,80.66,79.71,80.0,875352.0
2014-02-20,80.23,80.46,79.3,80.1,851730.0
2014-02-19,80.14,81.51,79.81,79.89,1014525.0
2014-02-18,80.69,81.07,80.11,80.66,876474.0
2014-02-14,80.58,81.05,80.28,80.83,1106441.0
2014-02-13,80.2,80.89,79.6,80.62,1079697.0
2014-02-12,80.08,81.07,79.9,80.71,1518389.0
2014-02-11,79.32,80.51,79.01,80.18,1242714.0
2014-02-10,79.46,79.73,78.83,79.45,1332804.0
2014-02-07,78.1,79.54,77.53,79.34,2077562.0
2014-02-06,76.99,77.54,76.9,77.42,1019306.0
2014-02-05,77.29,77.86,76.29,76.8,1512021.0
2014-02-04,76.21,78.54,75.81,77.68,2285383.0
2014-02-03,78.48,78.62,75.57,75.67,2122024.0
2014-01-31,78.32,79.52,77.68,78.44,1833166.0
2014-01-30,79.59,80.03,78.97,79.55,1572074.0
2014-01-29,80.66,80.66,78.54,78.96,2611289.0
2014-01-28,80.16,81.4,78.61,80.7,3468677.0
2014-01-27,77.4,78.15,76.5,76.51,2278731.0
2014-01-24,79.23,79.41,77.21,77.38,3172719.0
2014-01-23,80.76,81.1,79.59,79.92,2152201.0
2014-01-22,82.11,82.38,80.94,81.52,1653186.0
2014-01-21,81.43,82.34,81.09,81.78,2032144.0
2014-01-17,83.87,83.94,82.03,82.28,3914352.0
2014-01-16,84.41,84.41,83.05,83.81,872541.0
2014-01-15,83.3,83.99,83.05,83.92,1027328.0
2014-01-14,82.76,83.33,82.27,83.19,1094456.0
2014-01-13,82.94,83.29,82.06,82.35,1216506.0
2014-01-10,83.59,83.79,82.94,83.43,761099.0
2014-01-09,84.0,84.22,82.86,83.29,1134604.0
2014-01-08,84.05,84.15,83.52,83.92,1131873.0
2014-01-07,83.81,84.34,83.09,83.87,945927.0
2014-01-06,83.67,83.97,82.87,83.17,848395.0
2014-01-03,82.66,83.67,82.46,83.3,776894.0
2014-01-02,83.58,83.76,82.19,82.56,1113643.0
2013-12-31,83.42,83.99,83.41,83.77,930319.0
2013-12-30,83.4,83.55,82.91,83.36,518253.0
2013-12-27,83.63,83.92,83.15,83.43,878312.0
2013-12-26,83.48,83.88,83.32,83.59,816630.0
2013-12-24,83.38,83.69,83.06,83.37,313986.0
2013-12-23,83.3,83.83,83.23,83.38,872267.0
2013-12-20,82.42,83.47,81.9,82.88,1819040.0
2013-12-19,82.52,83.21,82.06,82.13,1807792.0
2013-12-18,79.99,83.08,79.69,82.86,2583748.0
2013-12-17,80.04,80.36,79.46,79.81,1202868.0
2013-12-16,79.5,80.45,79.0,80.16,1342312.0
2013-12-13,78.11,78.78,77.72,78.37,1255514.0
2013-12-12,78.44,78.8,77.94,78.02,1087411.0
2013-12-11,79.66,79.96,78.54,78.61,1515456.0
2013-12-10,79.97,80.12,79.19,79.52,943856.0
2013-12-09,80.19,80.57,79.87,80.06,847624.0
2013-12-06,80.0,80.13,79.52,79.82,1582889.0
2013-12-05,79.58,79.73,78.48,78.54,1044690.0
2013-12-04,79.52,80.32,78.78,79.55,753828.0
2013-12-03,80.35,80.51,79.41,79.67,1062541.0
2013-12-02,80.65,81.46,80.47,80.69,1154443.0
2013-11-29,80.9,81.3,80.44,80.46,549615.0
2013-11-27,80.69,81.18,80.25,80.81,926445.0
2013-11-26,80.6,81.21,80.42,80.42,970738.0
2013-11-25,81.42,81.62,80.57,80.75,783511.0
2013-11-22,80.8,81.18,80.4,81.13,916812.0
2013-11-21,80.17,80.8,80.0,80.45,956773.0
2013-11-20,80.37,80.54,79.6,79.99,1779294.0
2013-11-19,80.34,80.44,79.68,80.0,922401.0
2013-11-18,79.91,80.66,79.77,80.0,1129584.0
2013-11-15,79.15,80.19,79.15,79.99,1430658.0
2013-11-14,78.79,79.21,78.36,78.96,1619563.0
2013-11-13,78.13,78.85,77.81,78.83,1295502.0
2013-11-12,78.41,78.9,78.05,78.42,1041717.0
2013-11-11,78.55,79.2,78.41,78.79,1021404.0
2013-11-08,76.79,78.87,76.79,78.8,1935978.0
2013-11-07,78.11,78.14,76.58,76.62,1306914.0
2013-11-06,77.36,77.75,77.12,77.61,837497.0
2013-11-05,77.06,77.34,76.66,76.96,940877.0
2013-11-04,77.57,78.01,77.32,77.48,1255569.0
2013-11-01,77.46,77.89,76.63,77.63,2055807.0
2013-10-31,78.1,78.27,77.4,77.41,1842396.0
2013-10-30,78.61,78.63,77.68,78.15,1831967.0
2013-10-29,77.45,78.82,77.45,78.06,2209896.0
2013-10-28,77.1,77.85,76.02,77.78,2893308.0
2013-10-25,75.45,76.29,75.44,75.75,1762447.0
2013-10-24,76.93,77.0,74.61,75.46,3398271.0
2013-10-23,76.93,77.94,76.31,77.84,2449848.0
2013-10-22,77.22,77.78,76.8,77.28,1575220.0
2013-10-21,77.07,77.15,76.56,76.84,924903.0
2013-10-18,76.78,77.36,76.34,76.83,1957195.0
2013-10-17,75.02,76.49,74.69,76.34,1184994.0
2013-10-16,74.88,75.92,74.58,75.49,1277209.0
2013-10-15,74.39,74.74,74.06,74.21,1413164.0
2013-10-14,73.87,74.73,73.62,74.48,1677010.0
2013-10-11,73.78,75.01,73.56,74.66,1084501.0
2013-10-10,72.51,74.11,72.39,73.91,1896721.0
2013-10-09,71.58,72.2,71.13,71.65,1763340.0
2013-10-08,71.92,72.23,70.96,70.98,1306347.0
2013-10-07,71.87,72.47,71.66,71.79,840491.0
2013-10-04,72.2,72.87,71.76,72.71,941209.0
2013-10-03,71.96,72.39,71.27,71.98,1125981.0
2013-10-02,71.52,72.06,71.44,71.98,1212708.0
2013-10-01,71.99,72.27,71.66,72.11,1380232.0
2013-09-30,71.55,71.96,71.3,71.93,1282358.0
2013-09-27,71.94,72.58,71.87,72.45,965246.0
2013-09-26,72.89,73.38,72.07,72.57,1238624.0
2013-09-25,73.09,73.38,72.23,72.8,1054510.0
2013-09-24,73.08,73.43,72.53,72.89,1249554.0
2013-09-23,73.64,73.72,72.57,73.17,977861.0
2013-09-20,74.59,74.99,73.81,73.96,1788990.0
2013-09-19,73.3,74.85,73.22,74.65,2465550.0
2013-09-18,72.89,73.04,72.45,72.8,3073271.0
2013-09-17,72.61,72.86,72.46,72.79,833132.0
2013-09-16,72.84,72.84,72.05,72.61,1238275.0
2013-09-13,71.88,71.89,70.97,71.56,921812.0
2013-09-12,71.49,71.85,71.18,71.61,1514474.0
2013-09-11,71.63,71.89,71.12,71.58,1233208.0
2013-09-10,71.82,72.22,71.22,72.04,1104015.0
2013-09-09,71.12,71.21,70.75,71.15,2103614.0
2013-09-06,71.23,71.26,69.9,70.72,1053481.0
2013-09-05,70.89,71.42,70.65,70.94,879473.0
2013-09-04,70.88,71.27,70.34,70.83,1355045.0
2013-09-03,70.94,71.55,69.95,70.7,1018857.0
2013-08-30,70.99,71.0,69.97,70.14,991660.0
2013-08-29,70.25,71.25,70.09,70.76,836838.0
2013-08-28,70.17,71.01,70.05,70.5,1312527.0
2013-08-27,70.87,71.21,70.22,70.3,1404541.0
2013-08-26,72.35,72.81,71.69,71.79,1336901.0
2013-08-23,72.68,72.7,71.88,72.58,725682.0
2013-08-22,72.0,72.87,72.0,72.62,878314.0
2013-08-21,72.0,72.59,71.45,71.75,1122154.0
2013-08-20,71.76,72.9,71.45,72.57,1106320.0
2013-08-19,72.66,72.73,71.73,71.74,848206.0
2013-08-16,72.75,73.1,72.16,72.75,1568088.0
2013-08-15,73.18,73.37,72.2,72.72,1901130.0
2013-08-14,74.61,74.87,73.7,73.87,1684343.0
2013-08-13,76.96,76.96,73.75,74.58,1408476.0
2013-08-12,74.23,74.44,73.64,73.99,1003190.0
2013-08-09,74.72,75.51,74.37,74.68,926463.0
2013-08-08,75.08,75.39,74.4,75.24,1427241.0
2013-08-07,75.42,75.42,74.33,74.49,1477890.0
2013-08-06,75.79,76.06,75.25,75.43,944594.0
2013-08-05,76.32,76.32,75.7,75.87,896696.0
2013-08-02,76.36,76.74,75.79,76.35,1308873.0
2013-08-01,76.03,77.03,75.64,76.75,1383995.0
2013-07-31,73.91,75.96,73.91,75.24,2398884.0
2013-07-30,75.01,75.33,74.45,74.57,1875816.0
2013-07-29,74.21,75.88,74.03,74.63,1966632.0
2013-07-26,75.6,76.3,75.07,76.25,1075892.0
2013-07-25,75.82,76.53,75.2,75.73,2267113.0
2013-07-24,74.6,76.99,74.6,75.61,3727413.0
2013-07-23,80.0,80.26,79.53,79.59,1360246.0
2013-07-22,79.85,80.1,78.81,80.01,1215964.0
2013-07-19,78.48,79.19,77.63,79.18,1372346.0
2013-07-18,78.14,78.95,78.14,78.35,1026911.0
2013-07-17,78.29,78.3,77.63,78.17,1024362.0
2013-07-16,78.15,78.29,77.44,77.58,850328.0
2013-07-15,77.49,78.36,77.45,77.95,918977.0
2013-07-12,77.42,77.71,76.71,77.45,1231895.0
2013-07-11,76.62,77.79,76.52,77.44,2332532.0
2013-07-10,76.2,76.51,74.98,75.56,1728601.0
2013-07-09,76.62,76.85,75.55,76.56,1122291.0
2013-07-08,75.74,76.19,75.33,75.89,1229844.0
2013-07-05,74.83,75.39,74.18,75.37,922681.0
2013-07-03,73.46,74.25,73.19,74.06,683911.0
