Date,Open,High,Low,Close,Volume
2014-04-07,21.18,21.77,20.75,20.83,2909041.0
2014-04-04,21.71,21.82,21.02,21.2,1271305.0
2014-04-03,21.71,21.99,21.17,21.57,2414025.0
2014-04-02,21.85,22.21,21.68,21.74,2035127.0
2014-04-01,22.02,22.12,21.55,21.92,1841072.0
2014-03-31,21.6,22.13,21.2,21.93,2385938.0
2014-03-28,20.97,21.51,20.97,21.48,1091591.0
2014-03-27,20.83,21.06,20.58,21.0,1470689.0
2014-03-26,21.33,21.49,20.55,20.86,2848359.0
2014-03-25,21.64,21.93,21.19,21.24,1700728.0
2014-03-24,21.77,21.8,21.13,21.53,1476107.0
2014-03-21,21.67,22.25,21.63,21.77,2024469.0
2014-03-20,21.65,21.82,21.19,21.68,1260720.0
2014-03-19,22.3,22.32,21.62,21.79,1354072.0
2014-03-18,21.99,22.41,21.94,22.26,1869938.0
2014-03-17,21.53,21.95,21.5,21.95,1705097.0
2014-03-14,20.99,21.59,20.93,21.5,2009421.0
2014-03-13,21.32,21.44,20.78,20.88,1743957.0
2014-03-12,20.56,21.24,20.36,21.22,1432197.0
2014-03-11,20.85,20.95,20.54,20.72,1075766.0
2014-03-10,21.2,21.21,20.69,20.81,1367015.0
2014-03-07,20.78,21.25,20.62,21.21,2929206.0
2014-03-06,20.82,21.06,20.71,20.74,1740710.0
2014-03-05,20.31,20.8,20.31,20.8,2353948.0
2014-03-04,20.2,20.53,20.09,20.43,3577136.0
2014-03-03,19.55,20.0,19.38,20.0,1824237.0
2014-02-28,20.09,20.15,19.58,19.77,2404708.0
2014-02-27,19.85,20.08,19.66,20.02,1260725.0
2014-02-26,19.59,20.0,19.4,19.78,1670091.0
2014-02-25,19.51,20.22,19.44,19.59,3675573.0
2014-02-24,19.24,19.64,19.22,19.61,2449905.0
2014-02-21,19.69,19.85,19.24,19.29,2004675.0
2014-02-20,19.5,19.74,19.35,19.59,1447249.0
2014-02-19,20.4,20.49,19.51,19.57,3752840.0
2014-02-18,19.28,20.42,19.25,20.4,6423109.0
2014-02-14,19.13,19.41,19.05,19.11,2078721.0
2014-02-13,19.11,19.35,18.87,19.21,2010421.0
2014-02-12,19.18,19.39,18.76,19.22,3626596.0
2014-02-11,18.86,19.58,18.7,19.21,5357740.0
2014-02-10,18.66,18.96,18.63,18.93,3222384.0
2014-02-07,18.3,18.85,18.28,18.65,4627966.0
2014-02-06,18.0,18.25,17.8,18.24,3010235.0
2014-02-05,17.11,18.33,17.02,18.0,8933003.0
2014-02-04,17.25,17.77,16.4,17.06,21554877.0
2014-02-03,19.49,19.67,18.61,18.9,6456671.0
2014-01-31,18.75,19.46,18.63,19.18,4745884.0
2014-01-30,18.37,19.11,18.36,19.05,4692563.0
2014-01-29,18.25,18.7,18.15,18.36,2373171.0
2014-01-28,18.47,19.02,18.44,18.62,2657237.0
2014-01-27,18.62,18.78,18.16,18.24,1844290.0
2014-01-24,18.36,18.59,18.04,18.46,2727741.0
2014-01-23,18.44,19.04,18.3,18.52,4714239.0
2014-01-22,17.37,18.68,17.33,18.65,7057924.0
2014-01-21,17.3,17.41,17.06,17.39,2300397.0
2014-01-17,16.95,17.22,16.87,17.05,3280489.0
2014-01-16,16.95,17.0,16.66,16.68,3231392.0
2014-01-15,17.16,17.39,16.92,16.96,2798109.0
2014-01-14,17.35,17.49,17.05,17.17,2375503.0
2014-01-13,17.61,17.7,17.37,17.46,1506319.0
2014-01-10,17.66,17.74,17.5,17.64,1022567.0
2014-01-09,17.91,17.98,17.64,17.67,1006894.0
2014-01-08,17.95,18.17,17.73,17.8,1451960.0
2014-01-07,17.64,18.27,17.52,18.11,2811656.0
2014-01-06,17.67,17.75,17.42,17.6,1190205.0
2014-01-03,17.5,17.75,17.5,17.63,857274.0
2014-01-02,17.27,17.54,17.15,17.53,976147.0
2013-12-31,17.41,17.59,17.34,17.37,2883295.0
2013-12-30,17.64,17.68,17.34,17.4,1336895.0
2013-12-27,17.91,17.94,17.65,17.68,980073.0
2013-12-26,17.75,17.9,17.66,17.88,1938753.0
2013-12-24,17.58,17.76,17.58,17.67,1398890.0
2013-12-23,17.61,17.76,17.52,17.73,2666378.0
2013-12-20,17.77,17.83,17.5,17.58,3902083.0
2013-12-19,17.6,17.82,17.5,17.8,3138365.0
2013-12-18,17.49,17.74,17.31,17.7,1849006.0
2013-12-17,17.36,17.55,17.17,17.48,1889950.0
2013-12-16,17.0,17.37,16.91,17.36,2837766.0
2013-12-13,16.45,16.98,16.45,16.94,1751886.0
2013-12-12,16.57,16.57,16.25,16.42,2924799.0
2013-12-11,16.98,16.99,16.42,16.49,1789781.0
2013-12-10,16.8,17.0,16.7,16.9,1262407.0
2013-12-09,16.73,17.04,16.67,16.89,2200073.0
2013-12-06,16.51,16.75,16.5,16.64,1442162.0
2013-12-05,16.61,16.71,16.36,16.41,1826286.0
2013-12-04,16.44,16.69,16.4,16.61,1319163.0
2013-12-03,16.49,16.63,16.34,16.5,2305139.0
2013-12-02,16.36,16.62,16.26,16.45,2309463.0
2013-11-29,16.23,16.44,16.15,16.36,997031.0
2013-11-27,16.03,16.26,16.0,16.15,3333059.0
2013-11-26,16.01,16.42,15.99,16.01,6734331.0
2013-11-25,16.89,17.0,16.35,16.93,3472630.0
2013-11-22,16.72,17.01,16.26,16.86,4051338.0
2013-11-21,17.05,17.23,16.99,17.12,1690175.0
2013-11-20,17.19,17.37,17.01,17.04,1793402.0
2013-11-19,17.45,17.65,17.13,17.13,2204828.0
2013-11-18,17.81,17.97,17.48,17.51,2799411.0
2013-11-15,18.03,18.03,17.7,17.99,1850370.0
2013-11-14,18.06,18.11,17.87,18.0,1478549.0
2013-11-13,17.78,18.05,17.76,18.05,1483204.0
2013-11-12,17.95,17.97,17.76,17.86,1635746.0
2013-11-11,17.88,18.0,17.7,17.95,2280968.0
2013-11-08,17.32,17.75,17.21,17.51,3037070.0
2013-11-07,17.84,17.92,17.34,17.4,3047817.0
2013-11-06,18.4,18.48,17.79,17.83,2615454.0
2013-11-05,18.15,18.46,17.87,18.24,3039913.0
2013-11-04,17.99,18.38,17.84,18.35,3657678.0
2013-11-01,17.91,18.03,17.5,17.97,3833182.0
2013-10-31,17.13,18.17,17.1,17.91,7464957.0
2013-10-30,17.86,18.23,16.84,17.14,11231978.0
2013-10-29,17.9,18.02,17.6,17.95,6491845.0
2013-10-28,17.5,17.69,17.36,17.68,3022880.0
2013-10-25,17.25,17.45,17.15,17.34,2885201.0
2013-10-24,16.99,17.2,16.99,17.06,3102399.0
2013-10-23,17.25,17.3,16.98,16.99,2393441.0
2013-10-22,17.3,17.44,17.13,17.28,2377978.0
2013-10-21,17.29,17.5,17.13,17.15,1773308.0
2013-10-18,17.22,17.35,16.96,17.22,2552541.0
2013-10-17,17.02,17.18,16.86,17.15,2158366.0
2013-10-16,17.0,17.2,16.9,17.02,1799494.0
2013-10-15,17.12,17.16,16.88,16.94,1458426.0
2013-10-14,16.7,17.15,16.58,17.12,1714358.0
2013-10-11,17.12,17.31,16.8,16.84,2499961.0
2013-10-10,17.0,17.36,16.92,17.05,3651266.0
2013-10-09,16.98,17.1,16.45,16.84,3587739.0
2013-10-08,17.41,17.43,16.7,16.8,4218906.0
2013-10-07,17.72,17.8,17.39,17.41,2780908.0
2013-10-04,17.83,18.15,17.74,17.83,2961416.0
2013-10-03,18.11,18.32,17.66,17.73,2508591.0
2013-10-02,18.25,18.6,18.0,18.2,3491758.0
2013-10-01,18.16,18.54,17.88,18.38,3650635.0
2013-09-30,17.66,18.29,17.4,18.17,3324793.0
2013-09-27,18.32,18.62,18.0,18.12,2792223.0
2013-09-26,18.61,18.88,18.33,18.42,3707791.0
2013-09-25,18.43,18.61,18.07,18.35,4920182.0
