Date,Open,High,Low,Close,Volume
2014-04-07,2.61,2.64,2.53,2.57,809290.0
2014-04-04,2.65,2.67,2.58,2.61,858201.0
2014-04-03,2.65,2.72,2.64,2.65,876688.0
2014-04-02,2.67,2.73,2.63,2.66,1744563.0
2014-04-01,2.68,2.73,2.65,2.68,949450.0
2014-03-31,2.74,2.75,2.64,2.7,953805.0
2014-03-28,2.74,2.75,2.71,2.73,935397.0
2014-03-27,2.76,2.8,2.72,2.74,550694.0
2014-03-26,2.8,2.84,2.74,2.75,630882.0
2014-03-25,2.8,2.86,2.76,2.8,418694.0
2014-03-24,2.83,2.92,2.73,2.8,1569264.0
2014-03-21,2.78,2.84,2.75,2.83,2398515.0
2014-03-20,2.77,2.8,2.72,2.8,778697.0
2014-03-19,2.76,2.79,2.71,2.76,508657.0
2014-03-18,2.79,2.82,2.72,2.76,966745.0
2014-03-17,2.73,2.8,2.72,2.78,665158.0
2014-03-14,2.68,2.77,2.67,2.75,900423.0
2014-03-13,2.75,2.75,2.66,2.7,785005.0
2014-03-12,2.67,2.73,2.65,2.73,657284.0
2014-03-11,2.7,2.77,2.68,2.68,680103.0
2014-03-10,2.68,2.75,2.63,2.73,1244006.0
2014-03-07,2.74,2.75,2.66,2.69,566467.0
2014-03-06,2.78,2.8,2.72,2.74,381589.0
2014-03-05,2.78,2.8,2.76,2.78,222719.0
2014-03-04,2.82,2.82,2.76,2.8,556987.0
2014-03-03,2.75,2.82,2.65,2.8,888224.0
2014-02-28,2.83,2.84,2.76,2.76,2537981.0
2014-02-27,2.76,2.84,2.74,2.82,2792027.0
2014-02-26,2.77,2.8,2.72,2.75,982834.0
2014-02-25,2.73,2.78,2.7,2.77,1869141.0
2014-02-24,2.76,2.77,2.72,2.73,501984.0
2014-02-21,2.76,2.79,2.67,2.76,1413482.0
2014-02-20,2.76,2.85,2.7,2.75,1854654.0
2014-02-19,2.77,2.8,2.74,2.78,2872301.0
2014-02-18,2.75,2.79,2.71,2.76,1887290.0
2014-02-14,2.77,2.78,2.72,2.75,1534750.0
2014-02-13,2.7,2.77,2.65,2.77,2578411.0
2014-02-12,2.55,2.81,2.5,2.72,5527261.0
2014-02-11,2.67,2.81,2.65,2.65,1706620.0
2014-02-10,2.69,2.7,2.62,2.68,481017.0
2014-02-07,2.7,2.75,2.61,2.7,1089993.0
2014-02-06,2.43,2.85,2.41,2.67,3194336.0
2014-02-05,2.49,2.55,2.41,2.44,509526.0
2014-02-04,2.41,2.52,2.4,2.49,1104995.0
2014-02-03,2.5,2.55,2.42,2.43,972963.0
2014-01-31,2.52,2.55,2.49,2.5,567565.0
2014-01-30,2.49,2.6,2.49,2.55,710444.0
2014-01-29,2.57,2.58,2.46,2.47,1415040.0
2014-01-28,2.54,2.6,2.53,2.59,1438580.0
2014-01-27,2.6,2.61,2.5,2.54,1164329.0
2014-01-24,2.62,2.63,2.57,2.58,1032262.0
2014-01-23,2.63,2.64,2.6,2.62,593068.0
2014-01-22,2.59,2.65,2.58,2.63,1255218.0
2014-01-21,2.66,2.67,2.6,2.61,938649.0
2014-01-17,2.56,2.66,2.56,2.62,1123306.0
2014-01-16,2.53,2.59,2.52,2.57,1339272.0
2014-01-15,2.53,2.56,2.44,2.54,1571071.0
2014-01-14,2.64,2.66,2.49,2.52,2338363.0
2014-01-13,2.77,2.77,2.52,2.56,2199888.0
2014-01-10,2.79,2.79,2.6,2.73,1885875.0
2014-01-09,2.92,2.92,2.65,2.73,3027641.0
2014-01-08,2.93,2.94,2.87,2.87,2244851.0
2014-01-07,2.89,2.96,2.89,2.93,5948646.0
2014-01-06,2.96,2.98,2.86,2.96,14619603.0
2014-01-03,3.07,3.08,2.77,2.94,4519442.0
2014-01-02,3.38,3.39,3.16,3.18,2278281.0
2013-12-31,3.26,3.4,3.2,3.38,2944199.0
2013-12-30,3.0,3.28,2.99,3.14,4003887.0
2013-12-27,2.89,3.0,2.85,2.94,1965186.0
2013-12-26,2.9,2.9,2.79,2.88,1587932.0
2013-12-24,2.9,2.99,2.84,2.88,1888410.0
2013-12-23,2.67,2.96,2.63,2.89,5195474.0
2013-12-20,2.56,2.66,2.41,2.65,6543439.0
2013-12-19,2.78,2.79,2.54,2.55,5294851.0
2013-12-18,3.38,3.48,2.7,2.74,14204301.0
2013-12-17,4.09,4.09,3.83,3.93,2214475.0
2013-12-16,3.88,4.1,3.87,4.04,2563322.0
2013-12-13,3.76,4.0,3.75,3.78,1932633.0
2013-12-12,3.79,3.8,3.67,3.74,1248250.0
2013-12-11,3.9,3.93,3.77,3.77,1524379.0
2013-12-10,3.8,3.94,3.65,3.9,4919971.0
2013-12-09,3.93,3.95,3.8,3.81,1698459.0
2013-12-06,4.18,4.18,3.89,3.9,1779002.0
2013-12-05,4.0,4.26,3.94,4.14,2362768.0
2013-12-04,3.99,4.04,3.87,3.91,1121583.0
2013-12-03,4.02,4.06,3.85,3.94,1580399.0
2013-12-02,4.25,4.28,4.0,4.02,1407064.0
2013-11-29,4.05,4.24,4.01,4.16,1049091.0
2013-11-27,3.94,4.12,3.85,3.98,2049184.0
2013-11-26,4.24,4.24,3.82,3.91,3632472.0
2013-11-25,3.94,4.35,3.94,4.14,4502086.0
2013-11-22,3.94,3.96,3.87,3.92,1400250.0
2013-11-21,4.18,4.2,3.9,3.92,2034302.0
2013-11-20,3.97,4.26,3.88,4.17,3016976.0
2013-11-19,3.95,3.98,3.9,3.95,1305231.0
2013-11-18,3.93,3.99,3.9,3.92,1324155.0
2013-11-15,4.02,4.17,3.88,3.9,2331504.0
2013-11-14,3.98,4.23,3.68,4.07,5395387.0
2013-11-13,3.8,4.31,3.8,4.23,3162800.0
2013-11-12,3.91,3.93,3.78,3.81,977722.0
2013-11-11,3.95,3.97,3.82,3.9,765205.0
2013-11-08,4.01,4.01,3.83,3.93,1396100.0
2013-11-07,3.85,4.07,3.81,3.96,3863152.0
2013-11-06,3.76,3.9,3.74,3.82,1709492.0
2013-11-05,3.53,3.89,3.53,3.73,2589437.0
2013-11-04,3.63,3.66,3.53,3.56,1237491.0
2013-11-01,3.65,3.69,3.6,3.6,824808.0
2013-10-31,3.78,3.82,3.54,3.64,1763818.0
2013-10-30,3.83,3.88,3.75,3.76,1391709.0
2013-10-29,3.97,4.04,3.82,3.82,2054176.0
2013-10-28,3.87,3.96,3.8,3.94,1228907.0
2013-10-25,4.11,4.17,3.8,3.82,4501173.0
2013-10-24,3.79,4.11,3.78,4.09,2286832.0
2013-10-23,4.01,4.04,3.75,3.77,1764012.0
2013-10-22,3.97,4.05,3.89,3.99,1608270.0
2013-10-21,4.24,4.25,3.87,3.94,2400792.0
2013-10-18,4.43,4.53,4.17,4.19,1748806.0
2013-10-17,4.29,4.4,4.21,4.38,1634760.0
2013-10-16,4.27,4.35,4.2,4.29,1388138.0
2013-10-15,4.29,4.32,4.13,4.22,2378401.0
2013-10-14,4.42,4.51,4.23,4.29,2845773.0
2013-10-11,4.3,4.54,4.07,4.49,10205152.0
2013-10-10,3.8,4.1,3.77,4.08,6952564.0
2013-10-09,4.2,4.2,3.71,3.73,10718290.0
2013-10-08,4.99,5.12,4.25,4.39,22016493.0
2013-10-07,7.3,7.43,7.16,7.41,3362542.0
2013-10-04,7.74,7.88,7.4,7.63,2610669.0
2013-10-03,7.86,7.97,7.63,7.78,2359339.0
2013-10-02,8.03,8.1,7.67,7.92,5212964.0
2013-10-01,6.96,7.45,6.8,7.4,3905478.0
2013-09-30,6.75,7.19,6.58,7.0,5349646.0
2013-09-27,8.15,8.17,6.76,6.91,7469592.0
2013-09-26,8.25,8.93,7.99,8.17,7083973.0
2013-09-25,8.79,8.82,8.17,8.22,2879097.0
2013-09-24,8.62,9.02,8.51,8.8,3335082.0
2013-09-23,9.03,9.1,8.36,8.63,6595433.0
2013-09-20,9.97,10.05,8.98,9.14,5389341.0
2013-09-19,10.02,10.4,9.93,9.95,2978159.0
2013-09-18,12.83,12.85,9.91,9.98,14679165.0
2013-09-17,13.78,13.88,13.7,13.86,492038.0
2013-09-16,13.81,13.92,13.71,13.8,475714.0
2013-09-13,13.82,13.93,13.68,13.7,616029.0
2013-09-12,13.74,13.88,13.66,13.77,479227.0
2013-09-11,13.57,13.82,13.51,13.73,551281.0
2013-09-10,13.6,13.7,13.39,13.6,698288.0
2013-09-09,13.48,13.81,13.48,13.59,841660.0
2013-09-06,13.95,13.95,13.63,13.68,797232.0
2013-09-05,13.88,13.96,13.65,13.93,785008.0
2013-09-04,14.0,14.11,13.92,14.01,588281.0
2013-09-03,14.21,14.37,13.97,14.01,477941.0
2013-08-30,14.5,14.53,14.02,14.13,574673.0
2013-08-29,13.94,14.67,13.72,14.53,1544330.0
2013-08-28,14.82,14.93,13.95,14.0,1183274.0
2013-08-27,15.18,15.24,14.92,14.92,424781.0
2013-08-26,15.29,15.41,15.24,15.26,217497.0
2013-08-23,15.44,15.75,15.03,15.29,932079.0
2013-08-22,15.41,15.52,15.37,15.46,262954.0
2013-08-21,15.47,15.6,15.37,15.41,581063.0
2013-08-20,15.7,15.83,15.54,15.55,744555.0
2013-08-19,16.0,16.17,15.65,15.71,1005771.0
2013-08-16,16.16,16.3,16.01,16.07,517777.0
2013-08-15,16.4,16.59,16.18,16.19,411252.0
2013-08-14,16.59,16.79,16.53,16.54,374042.0
2013-08-13,16.49,16.75,16.45,16.62,792808.0
2013-08-12,16.11,16.52,16.06,16.49,507414.0
2013-08-09,16.41,16.8,16.19,16.22,1447588.0
2013-08-08,19.0,19.0,16.21,16.41,3133742.0
2013-08-07,21.64,21.75,21.48,21.61,250894.0
2013-08-06,21.87,21.99,21.73,21.73,188150.0
2013-08-05,21.9,21.99,21.79,21.92,213534.0
2013-08-02,21.91,22.07,21.81,21.95,209777.0
2013-08-01,22.05,22.05,21.6,22.02,244114.0
2013-07-31,21.59,22.3,21.59,21.87,493197.0
2013-07-30,21.64,21.74,21.43,21.59,210912.0
2013-07-29,21.77,21.94,21.56,21.64,192275.0
2013-07-26,21.93,21.99,21.71,21.86,176481.0
2013-07-25,21.52,22.2,21.44,22.08,437519.0
2013-07-24,21.51,21.78,21.2,21.5,382686.0
2013-07-23,22.05,22.13,21.45,21.51,351067.0
2013-07-22,21.64,22.16,21.64,22.01,303092.0
2013-07-19,21.61,21.81,21.5,21.74,178664.0
2013-07-18,21.07,21.62,21.01,21.61,233322.0
2013-07-17,21.14,21.38,21.0,21.09,237239.0
2013-07-16,21.28,21.4,21.17,21.21,291456.0
2013-07-15,21.08,21.33,21.07,21.3,184697.0
2013-07-12,20.96,21.15,20.83,21.07,418827.0
2013-07-11,21.08,21.13,20.91,21.0,273728.0
2013-07-10,21.0,21.1,20.6,20.97,361034.0
2013-07-09,21.01,21.22,20.84,21.08,230237.0
2013-07-08,21.05,21.13,20.92,20.96,195586.0
2013-07-05,21.08,21.16,20.69,20.97,205746.0
2013-07-03,20.77,20.93,20.63,20.86,85105.0
2013-07-02,20.77,20.99,20.64,20.88,309035.0
2013-07-01,20.61,20.91,20.43,20.83,469190.0
2013-06-28,19.96,20.76,19.88,20.51,3758701.0
2013-06-27,19.95,20.11,19.83,19.94,391127.0
2013-06-26,20.04,20.04,19.7,19.9,309328.0
2013-06-25,19.89,20.02,19.59,19.97,316553.0
2013-06-24,19.73,19.97,19.59,19.79,470535.0
2013-06-21,20.39,20.47,19.87,19.9,973877.0
2013-06-20,20.41,20.75,20.24,20.33,657158.0
2013-06-19,20.48,20.85,20.47,20.63,478665.0
2013-06-18,20.25,20.62,19.7,20.54,386416.0
2013-06-17,20.01,20.57,19.87,20.3,570928.0
2013-06-14,19.75,19.88,19.64,19.86,270024.0
2013-06-13,19.51,19.94,19.49,19.88,270711.0
2013-06-12,19.82,20.0,19.53,19.56,264396.0
2013-06-11,20.06,20.22,19.78,19.86,280587.0
2013-06-10,19.8,20.08,19.68,20.04,227975.0
2013-06-07,19.59,19.84,19.44,19.75,133951.0
2013-06-06,19.29,19.62,19.29,19.5,273128.0
2013-06-05,19.59,19.72,19.4,19.41,209243.0
2013-06-04,19.82,19.94,19.62,19.66,300712.0
2013-06-03,19.49,19.83,19.42,19.8,411372.0
2013-05-31,19.59,19.72,19.31,19.33,266896.0
2013-05-30,19.72,19.84,19.61,19.7,135494.0
2013-05-29,19.78,20.04,19.59,19.69,180102.0
2013-05-28,19.78,20.17,19.78,19.88,504229.0
2013-05-24,19.6,19.76,19.51,19.64,216060.0
2013-05-23,19.62,19.85,19.3,19.71,300632.0
2013-05-22,19.51,19.9,19.28,19.89,669287.0
2013-05-21,19.3,19.51,19.28,19.45,260937.0
2013-05-20,19.18,19.43,19.13,19.33,386407.0
2013-05-17,19.19,19.43,19.18,19.29,172171.0
2013-05-16,19.19,19.42,18.99,19.18,335493.0
2013-05-15,19.2,19.4,19.15,19.24,122685.0
2013-05-14,19.35,19.39,19.15,19.29,196893.0
2013-05-13,19.43,19.43,19.14,19.39,202011.0
2013-05-10,19.42,19.5,19.11,19.28,229612.0
2013-05-09,19.49,19.73,18.98,19.5,926081.0
2013-05-08,19.28,19.4,19.0,19.17,594339.0
2013-05-07,19.21,19.45,19.03,19.31,421725.0
2013-05-06,19.0,19.25,18.8,19.16,407322.0
2013-05-03,18.71,19.19,18.59,19.05,803056.0
2013-05-02,18.52,18.78,18.46,18.66,339708.0
2013-05-01,18.85,19.08,18.49,18.5,289918.0
2013-04-30,18.74,19.05,18.72,18.92,518036.0
2013-04-29,18.54,18.87,18.43,18.8,482974.0
2013-04-26,18.56,18.8,18.54,18.54,233248.0
2013-04-25,18.61,18.78,18.5,18.62,270609.0
2013-04-24,18.29,18.62,18.23,18.59,237615.0
2013-04-23,18.12,18.35,18.03,18.33,189656.0
2013-04-22,18.01,18.16,17.71,18.03,261288.0
2013-04-19,17.51,18.07,17.51,18.03,379547.0
2013-04-18,17.94,18.04,17.47,17.5,664748.0
2013-04-17,18.02,18.16,17.91,17.97,604921.0
2013-04-16,18.28,18.47,18.03,18.07,804750.0
2013-04-15,18.43,18.57,18.19,18.2,488269.0
2013-04-12,19.16,19.16,18.36,18.46,344649.0
2013-04-11,18.33,18.52,18.16,18.42,438409.0
2013-04-10,18.57,18.62,18.27,18.35,1004156.0
2013-04-09,18.68,18.91,18.57,18.58,331401.0
2013-04-08,18.23,18.63,18.15,18.6,493151.0

