Date,Open,High,Low,Close,Volume
2014-04-07,30.71,30.98,30.03,30.58,373650.0
2014-04-04,31.39,31.49,30.46,30.72,558407.0
2014-04-03,31.13,31.22,30.78,31.1,295002.0
2014-04-02,31.33,31.33,30.95,31.19,201989.0
2014-04-01,30.8,31.34,30.22,31.2,471986.0
2014-03-31,30.02,30.63,29.8,30.62,309882.0
2014-03-28,29.93,30.36,29.74,29.94,295111.0
2014-03-27,30.71,30.71,29.91,29.96,220518.0
2014-03-26,31.38,31.38,30.62,30.68,347917.0
2014-03-25,31.56,31.65,31.04,31.11,293507.0
2014-03-24,31.58,31.88,31.36,31.4,347388.0
2014-03-21,31.73,32.08,31.35,31.6,1504865.0
2014-03-20,30.9,31.62,30.77,31.47,287929.0
2014-03-19,31.04,31.22,30.66,30.95,277965.0
2014-03-18,31.21,31.28,30.87,31.01,325015.0
2014-03-17,30.83,31.43,30.79,31.21,434097.0
2014-03-14,30.36,30.88,30.2,30.79,433265.0
2014-03-13,30.49,30.83,30.1,30.52,602605.0
2014-03-12,30.16,30.63,29.89,30.35,519068.0
2014-03-11,30.3,30.54,29.88,30.5,456852.0
2014-03-10,30.32,30.6,30.1,30.31,234405.0
2014-03-07,30.23,30.38,30.1,30.29,283600.0
2014-03-06,30.04,30.28,29.9,29.98,225892.0
2014-03-05,30.02,30.11,29.84,30.01,168950.0
2014-03-04,29.3,30.23,29.16,30.01,537775.0
2014-03-03,29.18,29.31,28.8,28.99,615362.0
2014-02-28,29.55,29.89,29.32,29.43,389325.0
2014-02-27,29.21,29.47,28.84,29.43,299397.0
2014-02-26,28.84,29.41,28.84,29.21,239516.0
2014-02-25,28.93,29.07,28.72,28.89,215619.0
2014-02-24,28.43,29.13,28.43,28.89,300801.0
2014-02-21,28.67,28.67,28.24,28.43,478978.0
2014-02-20,28.54,28.82,28.36,28.48,332254.0
2014-02-19,29.68,29.74,28.46,28.57,412002.0
2014-02-18,29.63,29.75,29.4,29.75,423671.0
2014-02-14,29.59,29.8,29.44,29.67,332268.0
2014-02-13,29.49,29.78,29.36,29.59,307583.0
2014-02-12,29.87,30.3,29.55,29.64,359817.0
2014-02-11,29.61,30.03,29.52,29.81,415211.0
2014-02-10,29.81,29.94,29.37,29.6,461329.0
2014-02-07,29.47,29.93,29.4,29.71,440289.0
2014-02-06,29.31,29.48,29.14,29.41,394094.0
2014-02-05,29.14,29.43,28.85,29.17,449884.0
2014-02-04,29.3,29.82,28.87,29.23,527045.0
2014-02-03,29.96,30.3,28.23,29.2,1307981.0
2014-01-31,29.7,30.45,29.51,29.89,2191027.0
2014-01-30,29.41,30.12,29.1,30.12,382594.0
