Date,Open,High,Low,Close,Volume
2014-04-07,29.5,29.88,29.11,29.56,84254.0
2014-04-04,30.77,30.77,29.38,29.54,43648.0
2014-04-03,30.77,31.35,30.0,30.46,31597.0
2014-04-02,31.21,31.21,30.42,30.74,38309.0
2014-04-01,30.28,31.44,30.26,31.24,66492.0
2014-03-31,29.07,30.48,28.92,30.35,76360.0
2014-03-28,28.7,29.84,28.66,29.0,23971.0
2014-03-27,28.41,29.15,28.19,28.74,46556.0
2014-03-26,30.0,30.0,28.46,28.48,44832.0
2014-03-25,30.0,30.17,29.66,29.86,39857.0
2014-03-24,29.69,30.0,29.43,29.9,31925.0
2014-03-21,29.84,29.99,28.78,29.56,74137.0
2014-03-20,29.47,30.0,29.45,29.65,14000.0
2014-03-19,30.38,30.38,29.51,29.58,14494.0
2014-03-18,29.82,30.36,29.64,30.35,43333.0
2014-03-17,29.67,29.87,29.14,29.71,37404.0
2014-03-14,28.73,30.0,28.73,29.48,22450.0
2014-03-13,29.27,29.27,28.71,28.88,28977.0
2014-03-12,28.94,29.41,28.64,29.26,41392.0
2014-03-11,29.36,29.68,29.02,29.2,29123.0
2014-03-10,29.33,29.7,29.15,29.43,40227.0
2014-03-07,29.85,30.02,29.25,29.62,21073.0
2014-03-06,29.93,30.25,29.52,29.59,29863.0
2014-03-05,30.04,30.19,29.38,29.98,43369.0
2014-03-04,29.37,30.74,28.93,30.2,99532.0
2014-03-03,28.78,29.18,28.09,28.91,42927.0
2014-02-28,28.87,29.37,28.34,28.98,50254.0
2014-02-27,28.62,28.92,28.29,28.81,43599.0
2014-02-26,28.8,29.09,28.1,28.87,41695.0
2014-02-25,29.49,29.57,28.53,28.71,48664.0
2014-02-24,29.56,30.14,29.17,29.57,48770.0
2014-02-21,30.65,30.88,29.39,29.61,105291.0
2014-02-20,30.06,30.74,29.88,30.49,49127.0
2014-02-19,31.49,32.02,29.92,29.93,110529.0
2014-02-18,30.0,31.92,30.0,31.51,205890.0
2014-02-14,27.35,27.49,26.92,27.37,40608.0
2014-02-13,26.73,27.62,26.59,27.32,43218.0
2014-02-12,26.67,27.12,26.23,26.73,41338.0
2014-02-11,25.88,27.1,25.82,26.67,78039.0
2014-02-10,24.66,25.04,24.5,24.98,52102.0
2014-02-07,24.57,24.83,24.28,24.71,52881.0
2014-02-06,24.32,25.21,24.32,24.5,61646.0
2014-02-05,24.44,24.85,24.17,24.69,64502.0
2014-02-04,24.79,24.85,24.15,24.58,54566.0
2014-02-03,25.06,25.29,24.47,24.73,89521.0
2014-01-31,25.92,26.11,25.02,25.1,77473.0
2014-01-30,26.05,26.75,25.62,26.5,49496.0
2014-01-29,26.42,26.64,25.58,25.73,49796.0
2014-01-28,26.29,26.95,26.16,26.73,65300.0
2014-01-27,26.59,27.09,26.0,26.25,68798.0
2014-01-24,26.66,26.92,26.0,26.53,55292.0
2014-01-23,26.9,27.02,25.93,26.87,119623.0
2014-01-22,27.29,27.37,26.85,27.15,115479.0
2014-01-21,27.07,27.36,27.0,27.34,70688.0
2014-01-17,27.16,27.39,26.98,27.07,49062.0
2014-01-16,27.69,28.0,26.92,27.28,48642.0
2014-01-15,27.62,28.0,27.2,27.83,45534.0
2014-01-14,27.28,27.9,27.22,27.47,36060.0
2014-01-13,27.33,27.63,26.55,27.22,108303.0
2014-01-10,27.75,27.87,27.43,27.49,75889.0
2014-01-09,27.79,27.87,27.28,27.7,91490.0
2014-01-08,28.08,28.08,27.18,27.61,86800.0
2014-01-07,28.17,28.49,27.8,28.04,57964.0
2014-01-06,28.25,28.45,27.9,28.02,43355.0
2014-01-03,27.75,28.63,27.66,28.1,62871.0
2014-01-02,28.45,28.64,27.5,27.73,70792.0
2013-12-31,28.65,28.95,28.17,28.66,83887.0
2013-12-30,28.66,28.96,28.45,28.66,68730.0
2013-12-27,29.77,29.77,28.43,28.66,34366.0
2013-12-26,29.59,29.85,29.34,29.64,46484.0
2013-12-24,29.27,30.33,29.24,29.36,65289.0
2013-12-23,29.24,29.8,29.09,29.32,77929.0
2013-12-20,27.76,29.35,27.51,29.18,177929.0
2013-12-19,28.46,28.54,27.53,27.62,53082.0
