Date,Open,High,Low,Close,Volume
2014-04-07,95.71,95.93,91.76,93.75,1486527.0
2014-04-04,100.09,100.64,95.23,96.09,1317594.0
2014-04-03,100.26,100.78,99.32,99.77,694344.0
2014-04-02,98.9,100.25,98.8,100.11,916735.0
2014-04-01,97.59,99.33,97.15,98.98,1351495.0
2014-03-31,98.47,98.9,96.8,97.44,1066547.0
2014-03-28,98.87,100.17,96.57,97.89,1568056.0
2014-03-27,101.01,101.27,98.13,98.75,1505625.0
2014-03-26,102.65,105.0,101.42,101.43,1326496.0
2014-03-25,101.41,102.22,99.8,100.34,1039624.0
2014-03-24,100.45,101.88,99.93,101.26,1110842.0
2014-03-21,104.1,105.0,100.84,100.84,1976755.0
2014-03-20,103.03,106.83,102.78,104.3,3055844.0
2014-03-19,98.85,101.35,97.85,101.27,1556142.0
2014-03-18,96.37,99.47,96.02,98.64,1452587.0
2014-03-17,95.5,96.8,94.42,96.41,1387313.0
2014-03-14,95.89,97.86,95.0,95.26,7452700.0
2014-03-13,91.38,91.6,89.05,89.51,2317618.0
2014-03-12,90.69,91.75,89.09,91.39,1505506.0
2014-03-11,89.55,92.91,89.2,91.5,2254303.0
2014-03-10,87.14,89.85,86.98,89.64,1388544.0
2014-03-07,87.95,88.17,86.52,87.3,954622.0
2014-03-06,88.74,88.94,86.9,87.3,719675.0
2014-03-05,89.62,89.82,87.98,88.5,949065.0
2014-03-04,89.36,89.94,88.39,89.06,631140.0
2014-03-03,88.94,89.86,88.18,88.42,568509.0
2014-02-28,91.83,92.47,89.06,89.69,801998.0
2014-02-27,90.17,92.04,89.42,91.62,722561.0
2014-02-26,89.0,92.67,88.35,90.22,1149502.0
2014-02-25,87.46,89.5,87.46,88.79,776161.0
2014-02-24,86.0,88.21,85.99,87.44,897091.0
2014-02-21,86.15,87.18,83.98,85.98,1323488.0
2014-02-20,87.6,88.32,85.72,86.15,791657.0
2014-02-19,87.76,88.9,87.19,87.56,535164.0
2014-02-18,85.87,88.43,85.76,87.75,645159.0
2014-02-14,85.82,86.47,85.01,85.71,714822.0
2014-02-13,86.07,87.05,85.6,86.04,748766.0
2014-02-12,86.29,87.22,85.2,86.42,749236.0
2014-02-11,87.88,87.88,86.28,86.45,1305999.0
2014-02-10,88.26,88.76,87.09,87.72,558060.0
2014-02-07,87.31,89.62,86.01,88.31,977441.0
2014-02-06,85.96,88.82,85.96,88.34,1213827.0
