Date,Open,High,Low,Close,Volume
2014-04-07,121.88,123.63,118.88,121.75,475491.0
2014-04-04,129.15,129.22,121.65,121.94,400442.0
2014-04-03,135.32,135.56,127.61,127.84,390873.0
2014-04-02,136.97,136.98,134.2,135.03,161346.0
2014-04-01,137.33,138.18,136.06,136.57,304039.0
2014-03-31,133.76,137.98,131.79,137.0,462041.0
2014-03-28,136.71,138.27,132.01,132.28,271706.0
2014-03-27,135.83,138.38,133.46,136.9,473148.0
2014-03-26,141.93,141.93,136.86,136.86,399601.0
2014-03-25,143.35,145.76,139.17,141.16,241580.0
2014-03-24,150.46,150.47,143.13,143.4,419053.0
2014-03-21,155.15,157.25,149.0,150.48,310996.0
2014-03-20,155.58,157.91,153.88,154.55,110660.0
2014-03-19,158.69,158.69,154.36,155.69,100123.0
2014-03-18,156.54,160.17,156.54,158.68,152557.0
2014-03-17,155.37,158.39,154.95,156.66,134126.0
2014-03-14,152.9,156.61,152.5,154.72,112274.0
2014-03-13,157.61,157.94,152.17,153.88,204204.0
2014-03-12,154.4,156.89,153.03,155.75,207596.0
2014-03-11,157.4,159.42,154.25,155.12,271333.0
2014-03-10,159.78,159.78,156.13,157.63,201503.0
2014-03-07,163.55,164.74,159.12,159.65,187962.0
2014-03-06,165.88,166.23,162.3,162.95,120555.0
2014-03-05,167.69,167.69,165.48,166.12,108363.0
2014-03-04,166.2,170.34,163.76,168.22,277398.0
2014-03-03,164.84,164.84,161.5,163.21,193833.0
2014-02-28,168.64,170.31,164.88,166.0,167408.0
2014-02-27,167.82,169.68,167.5,169.0,103736.0
2014-02-26,169.78,170.78,167.26,168.56,134953.0
2014-02-25,170.92,171.96,168.0,169.18,119335.0
2014-02-24,168.57,171.74,168.35,170.79,170866.0
2014-02-21,169.3,171.54,166.18,168.86,239867.0
2014-02-20,165.99,168.58,164.07,168.19,174889.0
2014-02-19,165.04,168.62,165.04,166.4,191369.0
2014-02-18,164.25,166.49,164.1,166.36,225539.0
2014-02-14,164.91,165.0,161.83,163.65,190901.0
2014-02-13,158.85,165.11,157.87,164.87,278080.0
2014-02-12,159.43,161.2,158.38,159.88,134047.0
2014-02-11,159.0,160.3,158.18,159.52,208011.0
2014-02-10,158.48,159.2,156.15,158.71,147628.0
2014-02-07,157.41,158.63,155.56,158.48,274329.0
2014-02-06,154.92,158.42,154.92,156.56,291208.0
2014-02-05,164.06,168.43,148.24,155.26,599933.0
2014-02-04,158.03,160.68,154.22,159.72,520830.0
2014-02-03,163.2,165.5,155.88,157.41,383953.0
2014-01-31,158.74,164.82,158.04,163.23,458302.0
2014-01-30,157.77,163.21,157.76,162.32,379373.0
2014-01-29,154.92,158.2,154.32,155.87,190894.0
2014-01-28,153.88,156.98,153.1,156.32,181803.0
2014-01-27,157.89,157.89,150.52,153.75,194689.0
2014-01-24,156.85,158.65,153.91,155.17,207960.0
2014-01-23,159.36,159.36,157.34,157.56,162605.0
2014-01-22,157.22,160.02,156.58,159.83,251789.0
2014-01-21,158.0,159.31,156.69,157.45,138726.0
2014-01-17,156.01,157.9,155.35,157.05,155068.0
2014-01-16,152.86,156.98,152.86,156.18,199904.0
2014-01-15,154.19,154.85,153.05,154.01,228599.0
2014-01-14,151.19,154.97,150.31,154.37,189727.0
2014-01-13,151.03,152.4,149.89,150.89,172719.0
2014-01-10,152.68,152.68,149.28,151.79,228887.0
2014-01-09,155.21,156.49,151.8,152.18,207447.0
2014-01-08,153.62,155.63,153.13,154.95,166122.0
2014-01-07,151.82,155.0,151.82,153.41,135348.0
2014-01-06,152.21,153.1,150.8,151.61,103333.0
2014-01-03,152.53,154.06,150.57,151.88,124978.0
2014-01-02,153.28,153.91,151.68,152.43,113898.0
2013-12-31,152.64,153.36,151.08,153.22,108854.0
2013-12-30,152.93,153.01,151.95,152.11,57839.0
2013-12-27,153.43,154.04,152.17,153.09,94760.0
2013-12-26,151.69,153.18,151.69,152.77,89693.0
2013-12-24,151.33,152.01,149.58,151.04,89167.0
2013-12-23,151.96,152.7,150.94,151.59,143539.0
2013-12-20,148.15,153.19,145.18,151.42,350735.0
2013-12-19,148.35,149.16,146.41,147.13,183158.0
2013-12-18,147.5,148.63,146.84,148.31,251457.0
2013-12-17,148.91,148.91,146.84,147.48,171077.0
2013-12-16,147.74,149.43,147.03,148.0,177902.0
2013-12-13,145.5,149.06,144.3,147.67,152539.0
2013-12-12,146.48,146.48,144.04,145.31,130529.0
2013-12-11,151.0,151.45,146.05,146.52,150447.0
2013-12-10,153.03,154.29,150.5,151.03,113076.0
2013-12-09,155.71,156.94,152.7,153.7,104221.0
2013-12-06,154.84,156.26,154.5,155.17,103989.0
2013-12-05,153.21,154.49,152.91,153.3,49888.0
2013-12-04,153.43,153.95,150.38,153.64,76721.0
2013-12-03,152.61,154.5,152.27,154.21,122934.0
2013-12-02,156.57,157.4,152.22,152.97,83283.0
2013-11-29,157.82,157.82,156.2,156.69,67967.0
2013-11-27,157.17,157.49,155.95,156.93,44673.0
2013-11-26,154.97,157.24,152.68,156.77,99042.0
2013-11-25,155.57,156.14,153.91,154.48,50123.0
2013-11-22,154.29,155.79,153.55,155.37,63114.0
2013-11-21,155.21,155.88,153.56,153.87,155051.0
2013-11-20,155.43,155.92,153.76,154.25,97450.0
2013-11-19,156.15,157.23,153.84,154.98,99845.0
2013-11-18,157.5,158.0,155.87,156.17,154181.0
2013-11-15,156.72,157.85,155.56,157.5,130738.0
2013-11-14,158.65,158.65,155.91,156.9,90951.0
2013-11-13,157.28,159.04,156.63,158.8,65542.0
2013-11-12,156.18,159.33,155.78,158.54,119716.0
2013-11-11,154.76,157.09,154.12,156.86,143141.0
2013-11-08,153.36,155.5,152.82,155.44,188288.0
2013-11-07,155.68,156.64,152.34,153.45,205070.0
2013-11-06,154.55,155.59,153.91,155.32,112013.0
2013-11-05,151.29,154.19,150.63,153.98,134744.0
2013-11-04,152.2,153.7,151.38,152.19,120535.0
2013-11-01,154.43,155.03,150.92,152.04,226282.0
2013-10-31,157.21,158.65,154.35,154.48,188039.0
2013-10-30,160.0,162.88,155.22,157.43,332484.0
2013-10-29,153.2,156.61,151.14,153.18,482508.0
2013-10-28,152.68,153.89,151.75,153.03,249856.0
2013-10-25,153.57,153.61,151.32,152.87,130995.0
2013-10-24,150.14,153.2,149.67,152.8,119091.0
2013-10-23,149.4,150.56,147.66,149.17,118131.0
2013-10-22,150.1,152.55,148.97,150.52,130041.0
2013-10-21,148.1,150.47,148.1,149.44,186383.0
2013-10-18,145.09,148.57,144.4,148.4,180234.0
2013-10-17,142.34,143.96,141.0,143.8,106613.0
2013-10-16,139.78,144.21,139.4,142.53,215726.0
2013-10-15,142.93,143.98,137.59,137.81,179048.0
2013-10-14,142.62,144.17,140.45,143.49,120045.0
2013-10-11,141.03,144.43,141.03,143.62,94675.0
2013-10-10,140.77,142.23,139.85,141.73,186597.0
2013-10-09,140.31,140.7,137.24,138.24,301230.0
2013-10-08,145.9,146.6,140.27,140.32,181428.0
2013-10-07,146.67,147.79,145.82,145.83,93339.0
2013-10-04,145.59,148.3,145.59,147.75,72891.0
2013-10-03,148.62,148.96,143.9,145.98,132321.0
2013-10-02,147.62,149.58,147.13,149.0,121875.0
2013-10-01,147.82,150.5,147.24,148.97,156139.0
2013-09-30,144.81,149.12,143.6,147.4,178195.0
2013-09-27,145.12,146.72,143.05,146.1,63260.0
2013-09-26,144.53,147.36,144.07,146.2,102113.0
2013-09-25,144.27,145.4,143.19,144.05,78495.0
2013-09-24,146.74,147.19,142.85,144.56,245348.0
2013-09-23,146.79,147.7,144.73,146.76,99563.0
2013-09-20,147.58,148.04,146.2,146.73,171606.0
2013-09-19,149.91,151.08,147.56,147.6,89263.0
2013-09-18,149.5,149.76,147.34,149.49,129367.0
2013-09-17,146.5,149.44,146.01,149.09,83969.0
2013-09-16,147.4,147.97,146.5,146.58,50517.0
2013-09-13,145.75,145.77,143.44,145.75,60574.0
2013-09-12,146.13,146.66,144.85,145.12,76154.0
2013-09-11,146.3,146.36,143.64,145.66,111774.0
2013-09-10,143.91,146.37,143.91,146.32,119271.0
2013-09-09,141.19,143.83,140.9,143.59,78642.0
2013-09-06,142.27,142.27,138.95,140.61,113454.0
2013-09-05,142.5,143.76,140.82,141.41,151964.0
2013-09-04,142.4,143.71,141.79,142.69,122018.0
2013-09-03,141.22,143.1,140.35,142.33,242937.0
2013-08-30,148.97,148.97,139.91,140.21,125951.0
2013-08-29,141.21,143.52,141.21,142.12,131844.0
2013-08-28,140.95,143.15,140.38,141.86,93837.0
2013-08-27,141.06,142.1,140.08,140.98,202538.0
2013-08-26,144.48,146.01,142.31,142.51,110402.0
2013-08-23,142.64,144.39,142.32,144.17,70311.0
2013-08-22,141.82,143.82,140.4,142.65,73823.0
2013-08-21,140.37,143.45,140.05,141.53,135735.0
2013-08-20,140.05,142.02,138.97,141.02,289229.0
2013-08-19,142.32,143.36,140.11,140.12,80290.0
2013-08-16,141.02,143.61,140.62,142.32,114657.0
2013-08-15,144.96,145.25,141.2,141.71,89307.0
2013-08-14,146.93,147.81,145.97,146.7,123818.0
2013-08-13,146.96,148.02,146.06,147.3,151501.0
2013-08-12,144.61,148.41,144.61,146.43,88765.0
2013-08-09,144.53,146.86,144.46,145.99,162955.0
2013-08-08,145.1,146.15,143.25,145.12,207360.0
2013-08-07,145.98,146.27,143.9,144.84,219409.0
2013-08-06,146.83,147.53,145.48,146.25,85869.0
2013-08-05,144.74,147.41,144.16,147.35,178889.0
2013-08-02,142.4,145.63,141.86,145.26,339543.0
2013-08-01,136.74,143.51,136.17,143.34,238898.0
2013-07-31,138.0,138.89,133.34,135.3,656994.0
2013-07-30,131.0,131.48,130.04,130.44,282910.0
2013-07-29,132.65,133.0,129.5,130.87,193529.0
2013-07-26,131.44,132.66,129.92,132.47,96642.0
2013-07-25,130.5,132.73,129.78,132.55,142455.0
2013-07-24,130.77,132.25,130.46,130.77,163814.0
2013-07-23,129.73,130.12,128.73,129.99,139539.0
2013-07-22,128.97,129.83,128.12,129.49,81075.0
2013-07-19,129.18,130.27,128.86,129.65,72350.0
2013-07-18,128.32,130.49,127.03,129.68,110624.0
2013-07-17,129.14,129.72,127.59,128.12,152977.0
2013-07-16,131.3,133.42,129.0,129.61,294825.0
2013-07-15,129.43,131.32,128.91,131.3,207153.0
2013-07-12,129.26,131.28,129.0,129.56,196941.0
2013-07-11,126.14,129.58,125.57,129.58,211856.0
2013-07-10,124.26,125.3,122.94,125.24,113595.0
2013-07-09,124.05,125.28,122.29,123.96,152298.0
2013-07-08,122.87,123.97,121.98,123.45,134588.0
2013-07-05,122.08,122.95,120.6,122.88,113734.0
2013-07-03,119.59,121.17,118.73,120.42,57345.0
2013-07-02,118.26,120.12,117.74,119.77,131282.0
2013-07-01,118.05,119.1,116.19,118.68,115414.0
2013-06-28,117.68,118.57,116.21,117.29,459043.0
2013-06-27,116.0,118.15,115.42,117.65,173850.0
2013-06-26,113.68,115.8,112.67,115.06,160519.0
2013-06-25,113.69,114.62,111.77,113.11,132015.0
2013-06-24,112.67,114.94,111.21,113.06,177604.0
2013-06-21,113.03,114.07,111.44,113.98,262284.0
2013-06-20,113.8,114.74,112.26,112.72,162492.0
2013-06-19,116.17,116.68,114.93,115.34,109980.0
2013-06-18,112.77,116.19,112.47,115.97,119426.0
2013-06-17,112.42,113.8,111.61,113.17,135440.0
2013-06-14,113.45,113.69,111.41,111.85,110605.0
2013-06-13,112.34,113.58,111.92,113.26,79083.0
2013-06-12,112.7,112.98,111.33,112.59,85642.0
2013-06-11,111.99,113.46,110.93,112.15,107145.0
2013-06-10,114.05,114.05,112.75,113.3,61638.0
2013-06-07,114.73,114.73,112.13,113.44,161394.0
2013-06-06,110.82,113.82,110.66,113.78,245091.0
