Date,Open,High,Low,Close,Volume
2014-04-07,64.28,64.29,62.88,64.1,188348.0
2014-04-04,66.5,66.74,63.85,64.38,172294.0
2014-04-03,66.5,66.53,65.76,66.43,116380.0
2014-04-02,66.5,66.98,65.77,66.3,142451.0
2014-04-01,64.78,66.5,64.36,66.38,237471.0
2014-03-31,63.54,64.89,62.01,64.7,200662.0
2014-03-28,62.95,64.24,62.45,63.18,217092.0
2014-03-27,65.5,66.05,62.79,63.1,283341.0
2014-03-26,66.85,66.85,65.34,65.34,134471.0
2014-03-25,67.21,67.26,66.16,66.45,174334.0
2014-03-24,66.96,67.71,66.22,66.82,148690.0
2014-03-21,67.61,68.22,66.31,66.65,1776750.0
2014-03-20,65.25,67.36,65.25,67.3,208615.0
2014-03-19,65.38,66.6,64.92,65.54,193813.0
2014-03-18,65.51,65.68,64.73,65.34,242058.0
2014-03-17,64.56,65.42,64.56,65.32,407473.0
2014-03-14,63.27,64.42,63.16,63.84,217449.0
2014-03-13,64.37,64.78,63.05,63.52,149415.0
2014-03-12,63.64,64.68,63.26,64.15,162074.0
2014-03-11,63.74,64.44,63.06,64.15,178599.0
2014-03-10,63.65,64.26,63.33,63.85,138269.0
2014-03-07,63.99,64.68,63.37,63.86,126404.0
2014-03-06,63.45,63.89,63.29,63.53,114370.0
2014-03-05,63.64,63.64,62.89,63.42,122779.0
2014-03-04,62.92,64.1,62.29,63.78,320309.0
2014-03-03,61.88,62.31,61.15,62.11,128160.0
2014-02-28,60.91,62.79,60.8,62.34,260200.0
2014-02-27,60.4,60.92,60.02,60.81,93859.0
2014-02-26,59.76,60.72,59.67,60.55,111086.0
2014-02-25,59.6,59.8,59.18,59.58,142493.0
2014-02-24,58.18,59.88,58.08,59.65,220262.0
2014-02-21,57.12,58.31,56.71,58.29,264241.0
2014-02-20,56.81,57.6,56.15,56.77,228808.0
2014-02-19,58.55,59.16,56.6,56.84,212102.0
2014-02-18,58.72,59.32,58.29,58.79,93834.0
2014-02-14,58.23,58.96,57.57,58.67,77871.0
2014-02-13,57.47,58.42,56.84,58.26,104708.0
2014-02-12,58.53,59.84,57.51,57.88,88463.0
2014-02-11,57.27,58.91,57.27,58.57,137616.0
2014-02-10,57.57,57.78,56.63,57.4,102870.0
2014-02-07,57.5,57.95,56.65,57.49,204191.0
2014-02-06,57.63,57.63,56.76,57.18,169307.0
2014-02-05,57.74,58.09,57.01,57.62,112664.0
2014-02-04,57.96,59.41,57.42,58.03,139445.0
2014-02-03,59.14,60.05,56.73,57.4,319074.0
2014-01-31,59.47,60.35,59.1,59.29,240968.0
2014-01-30,60.64,60.74,59.9,60.46,267891.0
2014-01-29,63.94,63.94,59.31,60.39,355528.0
2014-01-28,64.71,65.52,63.73,64.59,188432.0
2014-01-27,66.4,66.41,64.72,64.76,183534.0
2014-01-24,66.93,67.04,65.83,66.24,123634.0
2014-01-23,67.66,67.66,66.52,67.47,154526.0
2014-01-22,66.51,68.27,66.17,68.03,273346.0
2014-01-21,65.34,66.11,65.34,65.74,145784.0
2014-01-17,64.03,64.99,64.02,64.88,135872.0
2014-01-16,64.56,65.2,63.6,64.23,98964.0
2014-01-15,64.31,65.21,64.31,64.55,145079.0
2014-01-14,64.0,64.49,63.65,64.27,100145.0
2014-01-13,64.0,64.23,63.51,63.87,136795.0
2014-01-10,64.44,64.56,63.57,64.34,179792.0
2014-01-09,63.35,64.44,63.05,64.32,171992.0
2014-01-08,63.2,63.76,62.74,63.12,125721.0
