Date,Open,High,Low,Close,Volume
2014-04-07,18.54,18.65,18.11,18.48,951974.0
2014-04-04,19.26,19.36,18.54,18.62,979556.0
2014-04-03,19.3,19.35,19.0,19.15,927270.0
2014-04-02,19.15,19.33,18.92,19.28,1086687.0
2014-04-01,18.66,19.11,18.5,19.08,1029302.0
2014-03-31,18.23,18.76,18.23,18.64,1492911.0
2014-03-28,18.01,18.39,17.89,18.04,847024.0
2014-03-27,18.33,18.57,17.89,17.98,892981.0
2014-03-26,19.05,19.08,18.45,18.46,892821.0
2014-03-25,19.09,19.18,18.78,18.87,867794.0
2014-03-24,19.19,19.5,18.98,19.03,945308.0
2014-03-21,19.47,19.6,19.05,19.07,1465078.0
2014-03-20,18.67,19.4,18.51,19.33,1222044.0
2014-03-19,18.59,18.85,18.33,18.67,1380289.0
2014-03-18,18.29,18.6,18.17,18.53,1755485.0
2014-03-17,18.74,18.89,18.56,18.73,806828.0
2014-03-14,18.51,18.85,18.35,18.68,638852.0
2014-03-13,18.75,18.84,18.39,18.61,1046768.0
2014-03-12,18.66,18.66,18.26,18.65,1378230.0
2014-03-11,18.84,18.85,18.54,18.73,626224.0
2014-03-10,18.74,18.98,18.69,18.84,477330.0
2014-03-07,18.75,19.19,18.51,18.79,1101271.0
2014-03-06,18.37,18.67,18.27,18.6,882301.0
2014-03-05,18.41,18.43,18.25,18.33,581252.0
2014-03-04,18.17,18.57,17.98,18.4,2060669.0
2014-03-03,17.59,17.98,17.43,17.96,1676575.0
2014-02-28,17.41,18.07,17.32,17.77,1888344.0
2014-02-27,17.13,17.37,17.07,17.36,812981.0
2014-02-26,17.01,17.35,16.84,17.17,922919.0
2014-02-25,17.28,17.28,16.83,16.91,930680.0
2014-02-24,16.82,17.38,16.78,17.27,1087879.0
2014-02-21,16.79,16.86,16.6,16.78,1465339.0
2014-02-20,16.59,16.88,16.5,16.7,1104810.0
2014-02-19,17.28,17.29,16.62,16.64,1388751.0
2014-02-18,17.1,17.39,17.02,17.3,661702.0
2014-02-14,17.14,17.2,16.9,17.11,902751.0
2014-02-13,17.02,17.18,16.87,17.17,720630.0
2014-02-12,17.21,17.49,17.04,17.14,722696.0
2014-02-11,17.04,17.3,16.97,17.23,748332.0
2014-02-10,17.3,17.56,16.82,17.05,1143853.0
2014-02-07,17.32,17.88,17.06,17.33,1207881.0
2014-02-06,16.76,17.25,16.54,17.23,1709255.0
2014-02-05,16.9,17.02,16.68,16.75,912633.0
2014-02-04,16.86,17.15,16.69,16.95,1188839.0
2014-02-03,17.38,17.55,16.69,16.74,1766817.0
2014-01-31,17.77,17.81,17.5,17.56,1632232.0
2014-01-30,18.12,18.16,17.94,18.0,792208.0
2014-01-29,17.97,18.19,17.95,18.04,1675887.0
2014-01-28,18.29,18.5,18.02,18.11,1149315.0
2014-01-27,18.81,18.81,18.22,18.23,831900.0
2014-01-24,19.12,19.13,18.68,18.74,1108857.0
2014-01-23,18.95,19.2,18.76,19.2,1507998.0
2014-01-22,18.77,19.06,18.62,19.05,1493845.0
2014-01-21,18.47,18.86,18.45,18.73,1184982.0
2014-01-17,18.35,18.47,18.25,18.4,837808.0
2014-01-16,18.58,18.69,18.21,18.32,575688.0
2014-01-15,18.6,18.66,18.49,18.54,812203.0
2014-01-14,18.62,18.62,18.36,18.47,1778818.0
2014-01-13,18.64,18.64,18.28,18.46,1201943.0
2014-01-10,18.89,18.89,18.57,18.7,967360.0
2014-01-09,19.0,19.21,18.91,18.93,1326733.0
2014-01-08,18.83,19.09,18.8,18.95,1432846.0
2014-01-07,18.76,19.14,18.71,18.82,1206260.0
2014-01-06,18.75,18.91,18.66,18.7,1518995.0
2014-01-03,18.67,18.8,18.5,18.72,847244.0
2014-01-02,19.11,19.11,18.63,18.66,1483158.0
2013-12-31,19.17,19.21,19.07,19.14,776248.0
2013-12-30,19.18,19.23,19.09,19.14,1297530.0
2013-12-27,19.34,19.35,18.98,19.19,829376.0
2013-12-26,19.37,19.61,19.25,19.41,1353603.0
2013-12-24,19.42,19.65,19.26,19.44,572136.0
2013-12-23,19.0,19.45,18.91,19.43,1124282.0
2013-12-20,18.8,18.99,18.53,18.94,7225461.0
2013-12-19,18.76,18.84,18.52,18.6,1210704.0
2013-12-18,18.65,18.78,18.32,18.78,1605375.0
2013-12-17,18.62,18.73,18.45,18.6,1173115.0
2013-12-16,18.36,18.58,18.3,18.58,1087119.0
2013-12-13,18.48,18.57,18.17,18.31,1091593.0
2013-12-12,18.11,18.56,18.09,18.43,1200100.0
2013-12-11,18.28,18.38,18.04,18.16,1233221.0
2013-12-10,18.38,18.47,18.05,18.21,1523689.0
2013-12-09,18.71,18.76,18.29,18.44,1747735.0
2013-12-06,18.5,18.86,18.35,18.7,931596.0
2013-12-05,18.19,18.35,18.14,18.33,661632.0
2013-12-04,18.27,18.53,18.16,18.28,1074674.0
2013-12-03,18.19,18.34,18.14,18.29,1717071.0
2013-12-02,18.46,18.62,18.21,18.26,1520138.0
2013-11-29,18.47,18.47,18.16,18.41,553243.0
2013-11-27,18.22,18.3,18.12,18.29,1073567.0
2013-11-26,17.95,18.18,17.81,18.16,997302.0
2013-11-25,17.84,18.07,17.82,17.95,657720.0
2013-11-22,17.63,17.84,17.51,17.81,549522.0
2013-11-21,17.22,17.58,17.22,17.58,511396.0
2013-11-20,17.14,17.26,17.03,17.17,615413.0
2013-11-19,17.14,17.31,17.02,17.11,693656.0
2013-11-18,17.18,17.36,17.05,17.15,825754.0
2013-11-15,17.44,17.44,17.14,17.17,783404.0
2013-11-14,17.43,17.48,17.33,17.46,446238.0
2013-11-13,17.16,17.38,17.0,17.38,993418.0
2013-11-12,17.35,17.41,17.15,17.25,763248.0
2013-11-11,17.29,17.41,17.08,17.32,857527.0
2013-11-08,16.55,17.33,16.4,17.32,1144723.0
2013-11-07,16.76,16.8,16.57,16.58,798808.0
2013-11-06,16.8,16.8,16.63,16.74,982726.0
