Date,Open,High,Low,Close,Volume
2014-04-07,11.13,11.38,10.88,11.03,287311.0
2014-04-04,11.97,11.99,11.17,11.23,323393.0
2014-04-03,11.91,12.06,11.53,11.88,323636.0
2014-04-02,11.62,12.09,11.54,11.93,304616.0
2014-04-01,11.57,11.85,11.42,11.55,457780.0
2014-03-31,11.72,11.8,11.51,11.56,363335.0
2014-03-28,11.41,11.93,11.41,11.62,385539.0
2014-03-27,11.29,11.49,11.0,11.34,324566.0
2014-03-26,11.85,11.88,11.27,11.3,342814.0
2014-03-25,11.9,12.15,11.51,11.78,309873.0
2014-03-24,11.76,11.88,11.2,11.75,392689.0
2014-03-21,11.23,11.72,11.01,11.68,1064353.0
2014-03-20,11.46,11.65,11.12,11.2,257861.0
2014-03-19,11.61,11.79,11.38,11.51,320134.0
2014-03-18,11.0,11.77,11.0,11.62,653295.0
2014-03-17,10.97,11.32,10.75,10.95,333535.0
2014-03-14,10.54,11.12,10.54,10.94,363937.0
2014-03-13,10.59,10.76,10.33,10.54,470919.0
2014-03-12,10.45,10.63,10.11,10.59,516317.0
2014-03-11,10.62,11.02,10.5,10.54,696634.0
2014-03-10,10.99,11.14,10.57,10.58,596794.0
2014-03-07,11.29,11.36,10.93,11.07,379206.0
2014-03-06,11.21,11.43,11.1,11.23,390525.0
2014-03-05,10.93,11.28,10.93,11.13,223774.0
2014-03-04,11.02,11.13,10.82,10.92,604915.0
2014-03-03,11.05,11.2,10.85,10.93,639478.0
2014-02-28,11.42,11.49,11.12,11.21,489724.0
2014-02-27,11.24,11.62,11.2,11.43,468128.0
2014-02-26,11.6,11.83,11.24,11.24,798095.0
2014-02-25,11.5,12.24,11.39,11.56,990399.0
2014-02-24,12.3,12.67,11.5,11.55,849153.0
2014-02-21,14.41,14.42,12.48,12.55,1673583.0
2014-02-20,10.5,15.88,10.5,14.28,3681602.0
2014-02-19,11.36,11.69,10.83,11.03,976404.0
2014-02-18,10.65,11.48,9.91,11.36,1051474.0
2014-02-14,10.27,10.63,10.19,10.58,373766.0
2014-02-13,10.47,10.56,10.12,10.33,369100.0
2014-02-12,10.18,10.66,10.15,10.56,594719.0
2014-02-11,10.07,10.35,9.94,10.14,434492.0
2014-02-10,9.64,10.24,9.5,10.1,637699.0
2014-02-07,9.5,9.98,9.43,9.61,501055.0
2014-02-06,9.29,9.61,9.29,9.49,515918.0
2014-02-05,9.85,10.58,9.2,9.23,875426.0
2014-02-04,10.65,10.77,9.76,9.97,926956.0
2014-02-03,11.5,11.73,10.5,10.62,1237193.0
2014-01-31,12.18,12.3,11.94,12.11,429209.0
2014-01-30,12.66,12.82,12.35,12.35,225774.0
2014-01-29,12.49,12.61,12.29,12.48,393462.0
2014-01-28,12.38,12.8,12.33,12.6,278106.0
2014-01-27,12.55,13.25,12.02,12.33,295467.0
2014-01-24,12.88,12.88,12.26,12.55,425934.0
2014-01-23,13.08,13.13,12.83,12.97,295297.0
2014-01-22,13.4,13.4,13.09,13.18,306167.0
2014-01-21,13.31,13.49,13.2,13.36,264517.0
2014-01-17,13.63,13.63,13.18,13.24,462084.0
2014-01-16,13.57,13.65,13.38,13.6,306342.0
2014-01-15,13.66,13.72,13.45,13.64,337977.0
2014-01-14,13.44,13.68,13.27,13.57,340188.0
2014-01-13,13.25,13.62,13.08,13.36,732956.0
2014-01-10,13.4,13.4,13.14,13.34,338462.0
2014-01-09,13.03,13.36,12.73,13.35,673244.0
2014-01-08,13.66,13.72,13.0,13.03,928435.0
2014-01-07,13.52,13.74,13.28,13.66,483501.0
2014-01-06,13.42,13.55,13.0,13.42,429250.0
2014-01-03,13.61,13.63,13.23,13.4,436402.0
2014-01-02,13.69,13.69,13.09,13.6,525152.0
2013-12-31,13.74,13.82,13.49,13.76,271686.0
2013-12-30,13.76,13.8,13.4,13.73,274390.0
2013-12-27,13.97,14.0,13.62,13.76,284832.0
2013-12-26,14.15,14.37,13.81,13.92,322895.0
2013-12-24,14.12,14.54,14.09,14.12,275713.0
2013-12-23,14.45,14.45,14.02,14.16,456517.0
2013-12-20,13.84,14.36,13.41,14.28,1848477.0
2013-12-19,13.47,13.97,13.4,13.76,756706.0
2013-12-18,13.28,13.54,13.2,13.47,486119.0
2013-12-17,13.46,13.69,13.21,13.29,618610.0
2013-12-16,13.83,13.9,13.31,13.51,558761.0
2013-12-13,13.68,14.14,13.49,13.79,623775.0
2013-12-12,13.73,13.99,13.52,13.7,461819.0
2013-12-11,13.69,13.74,13.14,13.71,549982.0
2013-12-10,13.94,13.94,13.59,13.7,386334.0
2013-12-09,13.83,14.0,13.3,14.0,549692.0
2013-12-06,14.09,14.09,13.68,13.85,424327.0
2013-12-05,14.44,14.44,13.94,14.0,508955.0
2013-12-04,14.43,14.52,14.13,14.39,542049.0
2013-12-03,14.68,15.02,14.27,14.45,977744.0
2013-12-02,15.85,15.87,14.37,14.68,897339.0
2013-11-29,15.87,15.87,15.76,15.83,197197.0
2013-11-27,15.65,15.86,15.41,15.85,434692.0
2013-11-26,15.87,15.98,15.71,15.72,276265.0
2013-11-25,16.5,16.5,15.81,15.88,442417.0
2013-11-22,16.43,16.94,16.15,16.39,519986.0
2013-11-21,16.5,16.99,16.39,16.39,420237.0
2013-11-20,17.28,17.28,16.39,16.42,393338.0
2013-11-19,17.47,17.7,17.11,17.16,422786.0
2013-11-18,18.53,18.68,17.47,17.55,424637.0
2013-11-15,18.82,18.96,18.15,18.48,482374.0
2013-11-14,18.5,19.08,18.46,18.83,688049.0
2013-11-13,18.28,19.1,18.05,18.47,838108.0
2013-11-12,18.71,19.07,18.36,18.41,976353.0
2013-11-11,17.15,19.48,16.82,19.08,1272853.0
2013-11-08,16.5,17.99,16.31,17.92,904902.0
2013-11-07,16.83,16.99,16.0,16.5,992458.0
2013-11-06,17.21,17.45,15.84,16.78,1064324.0
2013-11-05,15.13,17.6,15.02,17.2,1687304.0
2013-11-04,12.83,15.66,12.8,15.17,1561396.0
2013-11-01,11.66,14.3,11.65,12.99,2486400.0
2013-10-31,60.2,61.88,58.87,60.52,2265300.0
2013-10-30,59.15,60.48,58.73,59.85,372762.0
2013-10-29,58.73,59.36,58.03,59.18,311280.0
2013-10-28,58.87,59.04,57.68,58.73,222593.0
2013-10-25,57.75,60.41,87.5,91.0,10069.0
2013-10-24,90.3,97.65,90.3,92.4,2190.0
2013-10-23,59.78,60.69,59.04,59.85,170489.0
2013-10-22,59.36,60.58,58.73,60.13,190528.0
2013-10-21,58.52,60.13,58.38,59.29,218671.0
2013-10-18,87.55,93.59,87.55,93.59,243.0
2013-10-17,56.63,57.75,56.49,57.3,260122.0
2013-10-16,56.7,57.12,56.42,56.91,128315.0
2013-10-15,79.45,90.02,79.45,87.08,5875.0
2013-10-14,56.35,58.1,55.72,57.12,294394.0
2013-10-11,89.25,104.47,87.5,94.85,8960.0
2013-10-10,59.85,84.0,59.85,80.5,4633.0
2013-10-09,54.39,54.64,53.48,53.9,135907.0
2013-10-08,55.58,56.07,54.32,54.39,235406.0
2013-10-07,55.37,56.35,55.3,55.44,104159.0
2013-10-04,55.72,56.56,55.3,56.14,93337.0
2013-10-03,57.26,57.4,55.58,55.86,154818.0
2013-10-02,57.33,57.82,56.45,57.61,92972.0
2013-10-01,55.72,58.45,55.72,57.54,197417.0
2013-09-30,55.58,56.28,54.6,55.8,165488.0
2013-09-27,56.91,57.4,56.56,56.77,81386.0
2013-09-26,56.63,58.31,56.56,57.75,137783.0
2013-09-25,56.77,57.26,56.42,56.56,152232.0
2013-09-24,56.91,57.75,56.07,57.19,100636.0
2013-09-23,57.54,57.61,56.42,56.98,146641.0
2013-09-20,56.7,57.75,55.86,57.54,206842.0
2013-09-19,56.91,57.26,56.28,56.77,83212.0
2013-09-18,55.86,57.19,55.65,56.91,89449.0
2013-09-17,54.74,56.0,54.6,56.0,143755.0
2013-09-16,56.07,56.21,54.67,54.88,120528.0
2013-09-13,55.09,56.0,54.67,55.72,49876.0
2013-09-12,55.65,55.72,54.74,55.09,102835.0
2013-09-11,54.74,56.42,54.74,55.93,116199.0
2013-09-10,57.47,57.61,56.14,56.42,100338.0
2013-09-09,54.74,57.61,54.74,57.12,171265.0
2013-09-06,56.0,56.0,54.04,54.81,100778.0
2013-09-05,54.74,55.86,54.67,55.58,120705.0
2013-09-04,54.18,55.09,53.69,54.74,256910.0
2013-09-03,55.93,56.28,54.25,54.25,189744.0
2013-08-30,56.84,57.47,54.88,54.95,176608.0
2013-08-29,56.14,57.58,56.14,57.05,78892.0
2013-08-28,56.07,57.05,56.0,56.35,80691.0
2013-08-27,56.56,57.47,56.07,56.21,133953.0
2013-08-26,56.28,57.47,55.93,57.33,98394.0
2013-08-23,55.93,56.7,55.16,56.28,120771.0
2013-08-22,56.0,56.98,54.88,55.93,163559.0
2013-08-21,55.86,56.35,54.25,55.44,119890.0
2013-08-20,55.51,57.19,55.3,56.42,106531.0
2013-08-19,55.51,56.84,55.3,55.37,91357.0
2013-08-16,55.72,56.42,55.37,55.51,160051.0
2013-08-15,56.91,58.38,56.0,56.07,135000.0
2013-08-14,56.7,59.43,56.35,57.75,266245.0
2013-08-13,56.7,57.26,56.42,56.77,128950.0
2013-08-12,56.91,57.89,55.37,56.91,140070.0
2013-08-09,58.45,58.8,57.4,57.54,148212.0
2013-08-08,60.13,60.9,58.24,58.8,272284.0
2013-08-07,59.92,62.3,59.85,61.32,185799.0
2013-08-06,59.22,60.41,58.87,59.92,258080.0
2013-08-05,56.07,60.48,56.07,59.36,465513.0
2013-08-02,55.16,57.26,55.02,56.14,224071.0
2013-08-01,57.47,57.47,52.85,54.81,192610.0
2013-07-31,55.65,57.05,54.95,56.84,116877.0
2013-07-30,55.3,55.96,55.09,55.72,52330.0
2013-07-29,56.7,56.84,54.88,54.95,60459.0
2013-07-26,56.21,56.98,55.79,56.63,34632.0
2013-07-25,55.16,56.84,54.67,56.77,51336.0
2013-07-24,55.72,56.42,55.16,55.51,52097.0
2013-07-23,56.14,56.7,55.37,55.65,93288.0
2013-07-22,56.21,57.54,56.0,56.07,80937.0
2013-07-19,56.14,56.7,55.02,56.42,68601.0
2013-07-18,55.23,56.91,54.39,56.56,131115.0
2013-07-17,54.6,55.3,54.25,55.3,128745.0
2013-07-16,54.04,55.09,53.55,54.39,129587.0
2013-07-15,54.32,54.95,52.36,54.46,182132.0
2013-07-12,55.51,56.14,54.74,55.65,84081.0
2013-07-11,55.72,56.42,54.88,55.72,80062.0
2013-07-10,55.58,56.42,55.16,55.37,94807.0
2013-07-09,56.21,56.63,55.3,55.86,92649.0
2013-07-08,54.95,56.91,54.89,56.07,117515.0
2013-07-05,54.88,54.88,53.97,54.74,66749.0
2013-07-03,54.11,54.39,53.69,54.18,36879.0
2013-07-02,54.74,55.09,53.9,54.53,88376.0
2013-07-01,53.2,54.81,53.13,54.67,109336.0
2013-06-28,52.29,53.13,51.87,53.06,154927.0
2013-06-27,51.24,52.78,51.17,52.64,96698.0
2013-06-26,49.84,51.24,49.84,50.89,90995.0
2013-06-25,50.89,51.52,49.35,49.77,198066.0
2013-06-24,52.43,52.5,50.89,50.89,143248.0
2013-06-21,53.2,54.04,52.78,52.78,220695.0
2013-06-20,53.41,54.53,52.54,52.99,159920.0
2013-06-19,52.01,54.67,51.87,53.97,216148.0
2013-06-18,51.38,52.5,51.17,52.22,138527.0
2013-06-17,50.12,52.01,49.7,51.17,115096.0
2013-06-14,50.26,50.61,49.21,49.91,165243.0
2013-06-13,48.44,50.33,48.3,50.19,119029.0
2013-06-12,48.79,49.14,48.16,48.65,110063.0
2013-06-11,48.51,49.28,47.81,48.58,122321.0
2013-06-10,47.46,49.0,47.25,49.0,137602.0
2013-06-07,47.74,47.88,47.18,47.46,116821.0
2013-06-06,47.67,48.37,47.11,47.6,128361.0
2013-06-05,47.32,47.98,47.04,47.53,113710.0
2013-06-04,48.72,48.93,47.6,47.6,151931.0
2013-06-03,47.6,48.79,47.32,48.51,152387.0
2013-05-31,47.6,48.86,47.46,47.67,135294.0
2013-05-30,46.76,47.95,46.55,47.6,87497.0
2013-05-29,45.92,46.83,45.54,46.76,72245.0
2013-05-28,45.22,46.9,45.15,46.06,120957.0
2013-05-24,44.45,45.29,44.31,44.8,66916.0
2013-05-23,43.47,44.62,43.05,44.59,101988.0
2013-05-22,44.52,45.01,43.61,43.82,89494.0
2013-05-21,44.52,44.8,44.24,44.62,52544.0
2013-05-20,43.68,44.73,43.68,44.38,130451.0
2013-05-17,43.61,43.96,43.33,43.96,70768.0
2013-05-16,43.33,43.54,43.12,43.33,50557.0
2013-05-15,43.82,44.1,42.84,43.4,137188.0
2013-05-14,43.68,43.96,43.47,43.96,139169.0
2013-05-13,43.54,44.1,43.26,43.75,75977.0
2013-05-10,43.75,44.31,42.7,44.1,98570.0
2013-05-09,44.94,45.43,44.17,44.59,100604.0
2013-05-08,45.5,45.85,43.75,45.15,140751.0
2013-05-07,45.99,46.55,45.96,46.52,65395.0
2013-05-06,46.06,46.76,45.71,45.99,65156.0
2013-05-03,46.55,46.97,45.78,46.27,98928.0
2013-05-02,44.66,45.85,44.24,45.85,103471.0
2013-05-01,44.45,45.92,41.86,44.66,290862.0
2013-04-30,46.55,47.6,45.5,47.6,122273.0
2013-04-29,45.36,46.48,45.29,46.13,77449.0
2013-04-26,45.78,45.78,44.87,45.29,51033.0
2013-04-25,45.57,46.34,45.57,45.99,45646.0
2013-04-24,45.22,45.5,44.66,45.5,43877.0
2013-04-23,44.38,45.43,44.38,45.43,45461.0
2013-04-22,44.03,44.31,42.84,44.03,50185.0
2013-04-19,44.03,44.59,43.75,44.1,43131.0
2013-04-18,44.1,44.77,43.61,44.03,61362.0
2013-04-17,44.8,45.29,43.47,44.1,82053.0
2013-04-16,45.22,45.57,44.66,45.29,49395.0
2013-04-15,45.64,46.34,44.66,44.87,127012.0
2013-04-12,45.85,46.48,45.78,46.27,62919.0
2013-04-11,46.76,47.04,45.78,46.27,60478.0
2013-04-10,45.85,46.69,44.9,46.69,92407.0
2013-04-09,44.87,45.57,44.38,44.87,115996.0
2013-04-08,44.31,44.73,43.89,44.59,62847.0

