Date,Open,High,Low,Close,Volume
2014-04-07,26.04,26.3,25.14,26.04,1922102.0
2014-04-04,27.84,27.84,26.85,27.12,890170.0
2014-04-03,28.46,28.79,27.55,27.73,544220.0
2014-04-02,28.58,28.79,28.04,28.56,915153.0
2014-04-01,28.29,28.55,27.99,28.5,1298148.0
2014-03-31,27.88,28.74,27.43,28.15,1545563.0
2014-03-28,28.05,28.37,27.34,27.6,1550675.0
2014-03-27,27.47,28.12,26.84,28.07,1228805.0
2014-03-26,27.55,27.8,27.31,27.48,1927772.0
2014-03-25,26.78,27.44,26.52,27.37,1287701.0
2014-03-24,26.4,26.75,25.95,26.72,2004090.0
2014-03-21,25.34,26.37,25.25,26.3,1363001.0
2014-03-20,25.58,25.82,25.2,25.28,584516.0
2014-03-19,24.64,25.6,24.4,25.56,899852.0
2014-03-18,24.02,24.82,23.89,24.54,621521.0
2014-03-17,24.22,24.72,24.12,24.13,425356.0
2014-03-14,23.9,24.43,23.83,24.16,536249.0
2014-03-13,24.83,24.97,23.69,23.69,631723.0
2014-03-12,24.67,25.0,24.27,24.75,449458.0
2014-03-11,25.16,25.37,24.58,24.69,396911.0
2014-03-10,25.49,25.61,25.0,25.23,523137.0
2014-03-07,25.43,25.74,25.17,25.51,543824.0
2014-03-06,25.19,25.3,25.0,25.22,415058.0
2014-03-05,25.02,25.18,24.98,25.0,767948.0
2014-03-04,25.13,25.21,24.55,25.1,814814.0
2014-03-03,23.94,25.0,23.94,24.82,728048.0
2014-02-28,25.13,25.14,24.81,24.86,818165.0
2014-02-27,24.78,25.41,24.56,25.04,549311.0
2014-02-26,25.38,25.58,24.85,24.93,549500.0
2014-02-25,24.85,25.33,24.64,25.24,470798.0
2014-02-24,24.71,25.19,24.71,24.74,530315.0
2014-02-21,25.09,25.09,24.53,24.71,628221.0
2014-02-20,25.02,25.4,24.66,24.96,651625.0
2014-02-19,24.08,25.5,24.07,25.07,1335419.0
2014-02-18,24.07,25.4,24.07,25.28,1247099.0
2014-02-14,24.5,24.7,23.85,23.97,1052209.0
2014-02-13,25.16,25.49,24.07,24.52,1529027.0
2014-02-12,25.44,26.42,24.44,25.45,3918073.0
2014-02-11,21.2,21.78,20.88,21.74,726840.0
2014-02-10,21.03,21.61,20.76,21.42,729273.0
2014-02-07,20.91,21.33,20.86,21.2,692249.0
2014-02-06,20.91,21.94,20.52,20.96,805486.0
2014-02-05,21.0,21.5,20.8,20.95,669072.0
2014-02-04,21.0,21.28,20.94,21.0,1214363.0
2014-02-03,21.5,21.66,20.79,20.95,1982810.0
2014-01-31,21.61,21.91,21.38,21.5,854139.0
2014-01-30,21.82,22.11,21.55,22.01,567514.0
2014-01-29,21.56,21.94,21.42,21.5,564682.0
2014-01-28,21.57,21.9,21.52,21.8,688418.0
2014-01-27,21.67,21.85,21.26,21.5,881758.0
2014-01-24,21.75,22.28,21.5,21.67,1414304.0
2014-01-23,23.39,23.49,21.81,21.97,1551998.0
2014-01-22,23.54,23.82,23.22,23.46,528737.0
2014-01-21,24.0,24.12,23.24,23.46,770923.0
2014-01-17,24.25,24.31,23.96,24.05,787376.0
2014-01-16,23.75,24.5,23.45,24.19,1087237.0
2014-01-15,22.83,23.79,22.76,23.67,1150318.0
2014-01-14,22.36,22.79,22.36,22.77,659709.0
2014-01-13,23.15,23.39,22.43,22.43,787271.0
2014-01-10,22.88,23.3,22.76,23.3,862884.0
2014-01-09,22.93,23.1,22.79,22.84,711397.0
2014-01-08,22.81,23.12,22.65,22.8,526272.0
2014-01-07,22.81,23.1,22.69,22.89,864065.0
2014-01-06,22.91,22.96,22.66,22.7,706200.0
2014-01-03,23.12,23.32,22.74,22.82,841318.0
2014-01-02,23.33,23.35,23.02,23.1,882073.0
2013-12-31,23.27,23.49,23.1,23.37,596000.0
2013-12-30,23.25,23.44,23.16,23.27,397192.0
2013-12-27,23.42,23.52,23.28,23.29,345414.0
2013-12-26,23.67,23.8,23.28,23.38,406632.0
2013-12-24,23.58,23.77,23.4,23.63,233420.0
2013-12-23,23.35,23.62,23.14,23.61,542342.0
2013-12-20,23.15,23.42,23.01,23.26,3217399.0
2013-12-19,22.84,22.99,22.56,22.83,909513.0
2013-12-18,22.43,22.5,22.0,22.23,965124.0
2013-12-17,22.4,22.44,21.94,22.17,1164034.0
2013-12-16,21.31,22.38,21.27,22.34,1061286.0
2013-12-13,21.21,21.31,21.01,21.17,684843.0
2013-12-12,21.12,21.43,21.12,21.18,852434.0
2013-12-11,21.46,21.54,21.07,21.17,688769.0
2013-12-10,21.1,21.6,21.06,21.46,688210.0
2013-12-09,21.0,21.46,21.0,21.14,695023.0
2013-12-06,21.27,21.46,20.99,21.01,697709.0
2013-12-05,21.19,21.19,20.94,21.13,749859.0
2013-12-04,20.91,21.26,20.88,21.18,921032.0
2013-12-03,21.82,21.93,20.99,21.0,1221337.0
2013-12-02,21.44,22.12,21.44,21.92,1561124.0
2013-11-29,21.44,21.52,21.31,21.4,342176.0
2013-11-27,21.07,21.45,21.05,21.4,668990.0
2013-11-26,20.97,21.25,20.86,20.99,833135.0
2013-11-25,20.93,21.1,20.8,21.03,1087729.0
2013-11-22,21.2,21.27,20.95,20.96,2057267.0
2013-11-21,21.12,21.3,20.92,21.2,893825.0
