Date,Open,High,Low,Close,Volume
2014-04-07,21.45,21.47,21.03,21.22,155399.0
2014-04-04,21.96,22.12,21.25,21.48,223240.0
2014-04-03,21.86,22.05,21.53,21.78,127983.0
2014-04-02,21.99,22.12,21.78,21.79,165302.0
2014-04-01,21.91,22.11,21.61,21.88,305233.0
2014-03-31,21.51,22.07,21.38,21.79,238568.0
2014-03-28,21.71,21.95,21.31,21.37,165210.0
2014-03-27,21.91,22.2,21.48,21.74,317162.0
2014-03-26,22.16,22.43,21.85,21.85,147532.0
2014-03-25,22.26,22.49,21.85,21.95,185880.0
2014-03-24,22.35,22.5,22.02,22.18,214518.0
2014-03-21,22.46,23.0,22.27,22.31,309958.0
2014-03-20,22.27,22.57,22.09,22.3,191075.0
2014-03-19,22.35,22.49,22.1,22.3,221146.0
2014-03-18,21.66,22.42,21.54,22.41,212687.0
2014-03-17,21.66,21.87,21.62,21.66,159743.0
2014-03-14,21.3,21.59,21.27,21.45,155365.0
2014-03-13,21.94,22.15,21.24,21.37,154898.0
2014-03-12,21.76,22.43,21.58,21.8,257578.0
2014-03-11,21.83,22.57,21.69,21.84,396161.0
2014-03-10,21.46,21.83,21.22,21.82,157651.0
2014-03-07,21.75,21.75,21.26,21.51,230177.0
2014-03-06,21.21,21.62,20.93,21.59,258214.0
2014-03-05,20.38,21.12,20.27,21.08,346472.0
2014-03-04,20.85,20.93,20.38,20.43,631978.0
2014-03-03,20.68,20.96,20.61,20.64,215977.0
2014-02-28,21.07,21.24,20.68,20.86,253742.0
2014-02-27,21.14,21.23,20.89,21.02,232169.0
2014-02-26,21.36,21.43,21.08,21.2,163564.0
2014-02-25,21.45,21.59,21.25,21.34,181574.0
2014-02-24,21.66,21.84,21.4,21.45,187485.0
2014-02-21,21.75,21.84,21.55,21.65,325059.0
2014-02-20,21.38,21.67,21.22,21.62,180859.0
2014-02-19,21.37,21.62,21.08,21.34,397572.0
2014-02-18,21.06,21.84,21.03,21.44,340041.0
2014-02-14,21.0,21.1,20.81,20.94,329033.0
2014-02-13,20.66,21.11,20.66,21.0,261789.0
2014-02-12,20.87,21.03,20.5,20.81,313926.0
2014-02-11,20.53,21.18,20.48,20.9,410336.0
2014-02-10,21.08,21.29,20.44,20.5,558154.0
2014-02-07,21.03,21.18,20.82,21.04,240944.0
