Date,Open,High,Low,Close,Volume
2014-04-07,19.67,19.8,19.01,19.05,657516.0
2014-04-04,20.66,20.73,19.62,19.73,523339.0
2014-04-03,20.53,20.74,20.18,20.5,695865.0
2014-04-02,20.3,20.71,20.28,20.48,566237.0
2014-04-01,19.79,20.26,19.79,20.25,703557.0
2014-03-31,19.38,19.88,19.31,19.71,535129.0
2014-03-28,19.72,19.91,19.27,19.33,528388.0
2014-03-27,20.0,20.13,19.57,19.75,672601.0
2014-03-26,20.57,20.67,19.87,19.93,1077010.0
2014-03-25,21.86,21.86,20.48,20.48,1315633.0
2014-03-24,22.61,22.64,21.71,21.71,763712.0
2014-03-21,22.92,22.92,22.43,22.59,648500.0
2014-03-20,22.75,23.1,22.6,22.88,387582.0
2014-03-19,24.62,24.62,22.67,22.78,711337.0
2014-03-18,21.87,22.58,21.83,22.58,544696.0
2014-03-17,21.7,22.04,21.58,21.81,477980.0
2014-03-14,21.5,21.9,21.49,21.55,465581.0
2014-03-13,21.98,22.09,21.63,21.66,383661.0
2014-03-12,22.0,22.16,21.78,21.94,488721.0
2014-03-11,22.11,22.37,21.9,22.14,306871.0
2014-03-10,21.77,22.09,21.77,22.08,345075.0
2014-03-07,22.38,22.46,21.82,21.83,540886.0
2014-03-06,22.02,22.28,21.94,22.26,366553.0
2014-03-05,21.61,21.94,21.59,21.89,289883.0
2014-03-04,21.46,21.74,21.43,21.61,585530.0
2014-03-03,21.13,21.54,20.95,21.2,543917.0
2014-02-28,21.65,21.89,21.31,21.46,589789.0
2014-02-27,21.27,21.61,21.16,21.59,578766.0
2014-02-26,21.19,21.51,20.98,21.25,672428.0
2014-02-25,21.07,21.6,20.88,21.23,1357770.0
2014-02-24,22.02,22.38,21.95,22.01,435626.0
2014-02-21,22.16,22.35,21.97,22.03,478292.0
2014-02-20,21.77,22.12,21.67,22.01,466852.0
2014-02-19,21.79,22.4,21.63,21.81,640172.0
2014-02-18,21.36,22.0,21.36,21.8,417840.0
2014-02-14,21.52,21.64,21.3,21.49,310952.0
2014-02-13,21.24,21.46,21.24,21.42,655012.0
2014-02-12,21.26,21.52,21.08,21.38,441426.0
2014-02-11,21.08,21.38,21.04,21.24,440686.0
2014-02-10,20.78,21.12,20.57,21.01,735159.0
2014-02-07,20.74,21.11,20.74,20.8,599090.0
2014-02-06,20.61,21.08,20.42,20.64,491001.0
2014-02-05,20.6,21.04,20.36,20.72,553229.0
2014-02-04,20.94,21.18,20.54,20.68,492390.0
2014-02-03,20.98,21.23,20.59,20.79,783131.0
2014-01-31,20.95,21.6,20.86,20.99,712046.0
2014-01-30,21.12,21.45,20.95,21.33,833083.0
2014-01-29,20.78,21.15,20.78,20.92,653017.0
2014-01-28,20.52,21.05,20.52,20.97,798060.0
2014-01-27,20.72,20.9,20.26,20.51,885866.0
2014-01-24,20.8,21.15,20.58,20.72,786512.0
2014-01-23,20.9,21.22,20.7,20.99,594083.0
2014-01-22,20.97,21.19,20.88,21.06,669420.0
2014-01-21,20.51,20.95,20.33,20.9,817781.0
2014-01-17,21.25,21.25,20.58,21.0,753100.0
2014-01-16,20.98,21.38,20.94,21.25,759817.0
2014-01-15,21.23,21.62,21.02,21.11,870505.0
2014-01-14,20.56,21.2,20.55,21.15,1288569.0
2014-01-13,21.0,21.54,20.72,21.38,1777345.0
2014-01-10,23.23,23.45,23.0,23.12,849183.0
2014-01-09,22.72,23.25,22.71,23.22,802475.0
2014-01-08,22.38,22.69,22.3,22.57,614331.0
2014-01-07,22.08,22.48,21.95,22.42,414956.0
2014-01-06,21.81,22.23,21.63,21.95,518114.0
2014-01-03,21.76,21.99,21.55,21.77,377645.0
2014-01-02,21.68,22.06,21.53,21.72,469422.0
2013-12-31,21.94,22.11,21.79,21.85,491898.0
2013-12-30,21.78,21.99,21.73,21.83,464253.0
2013-12-27,21.93,22.14,21.75,21.83,468967.0
2013-12-26,21.64,22.04,21.6,21.84,400581.0
2013-12-24,21.78,21.99,21.57,21.6,237018.0
2013-12-23,21.54,21.95,21.47,21.85,873076.0
2013-12-20,21.2,21.59,20.89,21.28,1204205.0
2013-12-19,21.43,21.5,21.19,21.22,627382.0
2013-12-18,21.33,21.73,21.21,21.52,716421.0
2013-12-17,21.48,21.72,21.08,21.24,826796.0
2013-12-16,21.35,21.69,21.23,21.41,862436.0
2013-12-13,21.43,21.77,21.23,21.29,543313.0
2013-12-12,21.83,21.83,21.31,21.36,823935.0
2013-12-11,22.69,22.82,21.74,21.86,570674.0
2013-12-10,22.89,23.18,22.59,22.7,1133734.0
2013-12-09,22.87,23.28,22.77,22.99,873050.0
2013-12-06,22.65,23.09,22.39,22.93,803847.0
2013-12-05,22.63,22.63,22.18,22.5,512486.0
2013-12-04,22.92,23.08,22.37,22.7,551300.0
2013-12-03,22.78,23.98,22.67,23.0,1126131.0
2013-12-02,22.7,22.95,22.24,22.49,894197.0
2013-11-29,22.7,22.87,22.67,22.77,300003.0
2013-11-27,22.05,22.57,21.94,22.56,308700.0
2013-11-26,21.96,22.2,21.85,22.02,492917.0
2013-11-25,21.97,22.12,21.81,22.01,501732.0
2013-11-22,21.98,22.15,21.72,21.85,832120.0
2013-11-21,21.2,22.03,21.09,21.92,684193.0
2013-11-20,21.03,21.54,20.74,21.11,513096.0
2013-11-19,21.05,21.22,20.82,20.94,245665.0
2013-11-18,21.52,21.76,21.02,21.07,571940.0
2013-11-15,20.9,21.74,20.88,21.47,849307.0
2013-11-14,21.25,21.35,20.7,20.93,531021.0
2013-11-13,20.25,21.2,20.1,21.19,910410.0
2013-11-12,19.75,20.31,19.64,20.3,473440.0
2013-11-11,19.65,19.85,19.45,19.75,619924.0
2013-11-08,19.63,19.86,19.45,19.63,568618.0
2013-11-07,19.78,20.18,19.53,19.64,863009.0
2013-11-06,19.47,19.78,19.2,19.67,1343222.0
2013-11-05,20.0,20.0,18.9,19.4,2630849.0
2013-11-04,19.4,20.63,19.26,20.29,1772263.0
2013-11-01,18.97,19.24,18.75,18.95,2085033.0
2013-10-31,20.05,20.08,19.08,19.16,2241057.0
2013-10-30,20.97,21.45,20.0,20.13,1663561.0
2013-10-29,19.72,21.25,19.55,20.95,7541664.0
2013-10-28,24.14,24.48,23.99,24.36,399523.0
2013-10-25,24.05,24.18,23.78,24.09,315226.0
2013-10-24,24.2,24.22,23.98,24.03,570092.0
2013-10-23,24.13,24.38,24.0,24.26,714976.0
2013-10-22,24.2,24.46,24.03,24.21,205859.0
2013-10-21,24.1,24.23,23.96,24.15,310427.0
2013-10-18,24.43,24.47,23.99,24.16,312914.0
2013-10-17,23.92,24.33,23.54,24.2,256413.0
2013-10-16,23.96,24.29,23.72,24.04,428268.0
2013-10-15,23.93,24.1,23.67,23.8,478547.0
2013-10-14,23.74,24.32,23.74,24.04,368688.0
2013-10-11,23.7,23.99,23.65,23.88,624449.0
2013-10-10,23.29,23.88,23.1,23.8,611235.0
2013-10-09,23.25,23.3,22.79,23.09,496562.0
2013-10-08,23.81,24.0,23.14,23.19,445532.0
2013-10-07,23.66,23.88,23.5,23.76,267705.0
2013-10-04,23.72,24.08,23.66,23.79,317330.0
2013-10-03,23.99,24.01,23.43,23.77,340789.0
2013-10-02,23.73,24.03,23.73,23.98,396828.0
2013-10-01,23.85,24.1,23.72,23.87,632021.0
2013-09-30,23.51,24.0,23.42,23.95,458604.0
2013-09-27,23.41,23.74,23.21,23.68,267142.0
2013-09-26,23.38,23.83,23.28,23.55,403611.0
2013-09-25,23.3,23.54,23.12,23.36,324588.0
2013-09-24,23.24,23.55,22.76,23.24,459181.0
2013-09-23,23.27,23.29,23.0,23.25,336692.0
2013-09-20,23.53,23.77,23.22,23.31,1184871.0
2013-09-19,23.8,23.96,23.42,23.44,1541567.0
2013-09-18,23.93,24.1,23.48,23.86,1043559.0
2013-09-17,23.68,24.57,23.3,23.99,2041035.0
2013-09-16,22.64,23.22,22.62,23.0,724812.0
2013-09-13,22.83,23.0,22.54,22.86,471631.0
2013-09-12,22.97,22.97,22.43,22.74,396028.0
2013-09-11,22.99,23.0,22.71,22.95,379384.0
2013-09-10,22.55,23.0,22.51,22.97,364654.0
2013-09-09,21.89,22.74,21.89,22.53,514777.0
2013-09-06,21.96,21.96,21.47,21.75,221321.0
2013-09-05,21.46,22.01,21.4,21.87,681727.0
2013-09-04,21.43,21.52,21.3,21.5,436501.0
2013-09-03,21.49,21.71,21.37,21.5,451230.0
2013-08-30,21.56,21.56,21.36,21.42,311354.0
2013-08-29,21.42,21.84,21.4,21.63,286776.0
2013-08-28,21.43,21.65,21.21,21.5,456526.0
2013-08-27,22.08,22.18,21.43,21.45,540886.0
2013-08-26,22.04,22.49,22.02,22.17,410126.0
2013-08-23,21.88,22.16,21.85,22.06,299736.0
2013-08-22,22.09,22.09,21.72,21.94,150217.0
2013-08-21,21.76,22.12,21.66,22.0,354610.0
2013-08-20,21.5,21.96,21.26,21.79,274929.0
2013-08-19,21.43,21.76,21.13,21.53,317649.0
2013-08-16,21.69,21.69,21.33,21.39,449712.0
2013-08-15,21.74,22.51,21.66,21.82,613588.0
2013-08-14,21.97,22.14,21.82,21.86,428951.0
2013-08-13,22.15,22.25,21.88,21.99,635219.0
2013-08-12,22.04,22.28,21.85,22.11,246759.0
2013-08-09,21.87,22.2,21.76,22.11,542851.0
2013-08-08,22.37,22.66,21.71,22.0,959020.0
2013-08-07,22.08,22.39,21.79,22.37,841817.0
2013-08-06,22.25,22.66,21.48,22.15,2585481.0
2013-08-05,20.68,20.95,20.46,20.62,748730.0
2013-08-02,20.51,20.71,20.37,20.66,598822.0
2013-08-01,20.01,20.52,19.86,20.48,622706.0
2013-07-31,20.41,20.71,19.89,19.97,1118075.0
2013-07-30,20.17,20.4,20.0,20.32,446124.0
2013-07-29,20.11,20.32,19.89,20.13,328308.0
2013-07-26,19.99,20.15,19.85,20.07,302843.0
2013-07-25,19.6,20.06,19.5,20.03,628188.0
2013-07-24,20.15,20.21,19.51,19.67,435547.0
2013-07-23,19.87,20.19,19.85,20.09,586739.0
2013-07-22,19.34,19.78,19.34,19.78,253066.0
2013-07-19,19.86,19.97,19.48,19.48,458867.0
2013-07-18,19.77,20.0,19.62,19.89,601012.0
2013-07-17,19.33,19.74,19.28,19.73,719484.0
2013-07-16,19.67,19.7,19.21,19.25,705515.0
2013-07-15,19.33,19.69,19.23,19.66,413846.0
2013-07-12,19.5,19.78,19.24,19.3,962208.0
2013-07-11,19.3,19.53,18.67,19.51,678720.0
2013-07-10,18.9,18.99,18.5,18.87,326309.0
2013-07-09,19.27,19.37,18.86,18.96,798392.0
2013-07-08,18.4,18.95,18.33,18.78,588405.0
2013-07-05,18.2,18.39,17.99,18.39,395242.0
2013-07-03,17.96,18.12,17.75,18.04,138934.0
2013-07-02,18.57,18.61,17.9,18.08,502759.0
2013-07-01,18.21,18.58,18.12,18.53,515096.0
2013-06-28,18.06,18.24,17.72,18.13,624337.0
2013-06-27,17.68,18.06,17.61,18.04,454807.0
2013-06-26,17.81,17.92,17.61,17.63,775880.0
2013-06-25,17.8,17.89,17.47,17.71,638094.0
2013-06-24,17.78,17.8,17.45,17.68,521937.0
2013-06-21,17.91,18.07,17.79,17.9,1178647.0
2013-06-20,17.44,17.93,17.17,17.89,884901.0
2013-06-19,18.56,18.63,17.65,17.7,592238.0
2013-06-18,18.66,18.73,18.44,18.57,396862.0
2013-06-17,18.71,18.93,18.44,18.6,571217.0
2013-06-14,18.92,19.16,18.51,18.61,407933.0
2013-06-13,18.65,19.02,18.45,18.99,477165.0
2013-06-12,19.27,19.61,18.7,18.7,825420.0
2013-06-11,18.52,19.21,18.24,19.21,952288.0
2013-06-10,18.59,18.66,18.37,18.65,408607.0
2013-06-07,18.63,18.63,18.38,18.61,653575.0
2013-06-06,18.7,18.75,18.26,18.54,1012814.0
2013-06-05,19.12,19.17,18.65,18.75,1086236.0
2013-06-04,19.21,19.35,19.07,19.17,964726.0
2013-06-03,19.1,19.35,19.0,19.32,1539083.0
2013-05-31,18.51,19.22,18.49,19.09,1350445.0
2013-05-30,18.6,19.25,18.45,18.63,1428270.0
2013-05-29,17.98,18.13,17.7,18.05,1634861.0
2013-05-28,17.58,18.1,17.52,18.07,1878806.0
2013-05-24,16.92,17.32,16.74,17.26,986924.0
2013-05-23,16.58,17.0,16.58,17.0,777856.0
2013-05-22,17.21,17.39,16.61,16.67,1107729.0
2013-05-21,16.7,17.0,16.66,16.74,888262.0
2013-05-20,16.55,16.79,16.44,16.66,1743359.0
2013-05-17,16.66,16.76,16.37,16.63,1548748.0
2013-05-16,16.85,16.91,16.49,16.58,935086.0
2013-05-15,16.85,17.12,16.76,16.84,742185.0
2013-05-14,17.0,17.22,16.88,16.93,1091668.0
2013-05-13,17.02,17.4,17.0,17.07,1306041.0
2013-05-10,16.89,17.22,16.85,17.09,3678285.0
2013-05-09,17.74,17.95,16.71,16.78,2706214.0
2013-05-08,18.2,18.37,17.68,17.74,1490841.0
2013-05-07,18.33,18.5,18.16,18.17,1198873.0
2013-05-06,18.44,18.98,18.15,18.43,1830013.0
2013-05-03,21.7,21.7,18.12,18.38,3999385.0
2013-05-02,19.79,20.04,19.59,19.75,1245594.0
2013-05-01,20.18,20.32,19.68,19.76,1303090.0
2013-04-30,20.46,20.52,20.16,20.29,520676.0
2013-04-29,20.46,20.68,20.44,20.46,573393.0
2013-04-26,20.51,21.41,20.33,20.47,788527.0
