Date,Open,High,Low,Close,Volume
2014-04-07,50.3,51.12,49.25,49.91,412437.0
2014-04-04,52.18,52.36,49.93,50.66,485521.0
2014-04-03,52.82,53.56,51.24,51.74,818544.0
2014-04-02,50.33,53.1,49.84,52.92,589232.0
2014-04-01,49.42,50.52,49.23,50.3,253693.0
2014-03-31,48.37,49.75,47.87,49.22,298995.0
2014-03-28,47.57,48.64,46.98,48.09,162965.0
2014-03-27,47.75,48.5,46.79,47.58,321215.0
2014-03-26,49.1,50.24,46.76,47.69,684068.0
2014-03-25,48.7,49.43,47.83,48.75,284764.0
2014-03-24,49.65,49.65,47.95,48.37,197331.0
2014-03-21,50.56,50.78,49.36,49.45,278513.0
2014-03-20,49.94,50.8,49.68,50.2,113885.0
2014-03-19,50.49,50.49,49.77,50.15,142573.0
2014-03-18,50.13,51.04,49.8,50.48,163563.0
2014-03-17,49.54,50.3,49.54,49.88,105444.0
2014-03-14,49.32,49.89,49.08,49.36,204025.0
2014-03-13,50.78,50.78,49.0,49.51,338169.0
2014-03-12,51.05,51.05,50.29,50.67,244468.0
2014-03-11,52.43,52.91,51.07,51.42,250661.0
2014-03-10,52.9,53.4,52.05,52.39,223870.0
2014-03-07,53.49,53.55,52.33,53.04,207391.0
2014-03-06,52.98,53.88,52.69,53.12,220625.0
2014-03-05,52.29,53.09,51.52,52.75,323773.0
2014-03-04,50.2,52.94,50.2,52.38,510829.0
2014-03-03,48.93,49.85,48.5,49.48,313284.0
2014-02-28,50.01,51.3,48.04,49.22,553410.0
2014-02-27,50.91,51.37,49.87,50.08,319958.0
2014-02-26,50.94,51.98,50.63,51.05,136791.0
2014-02-25,51.45,51.92,50.72,50.88,134110.0
2014-02-24,51.04,51.82,50.41,51.33,194158.0
2014-02-21,50.85,51.4,50.39,51.07,303792.0
2014-02-20,51.02,51.11,49.2,50.86,298452.0
2014-02-19,50.83,51.54,50.63,51.16,244855.0
2014-02-18,50.29,51.33,49.99,50.98,214984.0
2014-02-14,50.14,50.67,49.28,50.44,157158.0
2014-02-13,48.83,50.33,48.83,50.06,225949.0
2014-02-12,49.8,50.05,48.85,49.31,195069.0
2014-02-11,49.75,50.08,49.55,49.64,151238.0
2014-02-10,49.81,49.97,49.5,49.65,259369.0
2014-02-07,49.22,49.96,49.2,49.83,477712.0
2014-02-06,47.13,49.08,46.99,49.04,562095.0
2014-02-05,47.73,47.73,45.33,47.1,394442.0
2014-02-04,47.37,47.99,46.97,47.78,432832.0
2014-02-03,48.63,49.02,46.58,47.37,646800.0
2014-01-31,48.42,50.66,48.42,48.88,519973.0
2014-01-30,52.41,53.48,45.48,49.38,917624.0
2014-01-29,48.93,49.18,46.92,46.95,858963.0
2014-01-28,50.1,50.73,49.18,49.65,273079.0
2014-01-27,50.32,50.92,48.89,50.02,459721.0
2014-01-24,50.44,51.06,49.89,50.15,409085.0
2014-01-23,51.55,51.75,50.78,50.82,322330.0
2014-01-22,50.93,52.09,50.92,51.71,303627.0
2014-01-21,51.65,51.92,50.0,50.76,420218.0
2014-01-17,51.43,52.32,51.0,51.27,177423.0
2014-01-16,51.62,52.22,51.3,51.61,323894.0
2014-01-15,52.45,52.96,51.12,51.55,421844.0
2014-01-14,52.33,53.07,52.02,52.38,219060.0
2014-01-13,54.34,54.81,51.7,52.05,252692.0
2014-01-10,54.88,55.85,54.0,54.57,179815.0
2014-01-09,55.19,55.8,54.26,54.72,228127.0
2014-01-08,53.95,55.75,53.95,54.93,321769.0
2014-01-07,53.28,54.75,53.16,54.06,236068.0
2014-01-06,55.0,55.0,52.78,52.94,257386.0
2014-01-03,55.22,55.75,54.52,54.97,172597.0
2014-01-02,56.65,56.65,54.5,55.2,223783.0
2013-12-31,57.19,57.22,56.29,56.85,172756.0
2013-12-30,57.51,57.51,56.69,57.06,67705.0
2013-12-27,57.83,58.09,57.25,57.61,52892.0
2013-12-26,57.65,58.0,57.21,57.61,62308.0
2013-12-24,57.47,57.86,56.89,57.46,94404.0
2013-12-23,56.25,57.62,55.66,57.37,197809.0
2013-12-20,56.17,56.85,55.31,56.23,383683.0
2013-12-19,55.42,56.69,55.41,55.91,160328.0
2013-12-18,54.24,55.77,53.86,55.62,200121.0
2013-12-17,55.95,55.95,53.91,54.02,284864.0
2013-12-16,54.26,56.3,54.26,56.13,229315.0
2013-12-13,54.53,54.95,53.9,54.33,327052.0
2013-12-12,55.75,55.85,54.31,54.51,150802.0
2013-12-11,57.23,57.88,55.57,55.67,162331.0
2013-12-10,57.29,57.53,56.49,57.32,132956.0
2013-12-09,56.92,57.85,56.57,57.5,103082.0
2013-12-06,56.92,57.35,56.39,56.77,113653.0
2013-12-05,55.81,56.46,55.54,56.22,94759.0
2013-12-04,55.72,56.5,54.77,55.97,134342.0
2013-12-03,56.44,56.97,55.69,55.8,176979.0
