Date,Open,High,Low,Close,Volume
2014-04-07,52.99,53.62,52.28,52.78,126641.0
2014-04-04,54.57,54.57,52.91,53.04,158762.0
2014-04-03,54.72,54.72,53.88,54.46,172749.0
2014-04-02,54.86,55.34,54.36,54.69,152990.0
2014-04-01,54.19,55.21,53.44,54.9,276611.0
2014-03-31,53.47,54.54,53.29,54.08,187770.0
2014-03-28,52.76,53.74,52.49,53.18,157636.0
2014-03-27,53.78,54.1,52.7,52.87,141216.0
2014-03-26,54.8,54.8,53.64,53.72,206264.0
2014-03-25,54.95,54.95,54.23,54.34,173565.0
2014-03-24,54.54,55.02,54.0,54.49,204592.0
2014-03-21,54.78,55.24,54.15,54.39,581780.0
2014-03-20,53.54,54.7,53.54,54.65,206423.0
2014-03-19,53.72,54.21,53.0,53.52,213030.0
2014-03-18,53.54,53.99,53.26,53.62,239295.0
2014-03-17,53.6,54.34,53.1,53.49,268134.0
2014-03-14,52.67,53.68,52.67,53.36,205616.0
2014-03-13,52.94,53.29,52.4,52.73,209965.0
2014-03-12,52.25,52.9,51.65,52.83,135619.0
2014-03-11,52.21,52.57,51.5,52.4,205790.0
2014-03-10,52.14,52.61,51.87,52.11,110374.0
2014-03-07,51.95,52.81,51.95,52.34,165829.0
2014-03-06,51.17,51.92,50.74,51.6,158326.0
2014-03-05,50.84,51.07,50.62,51.01,94244.0
2014-03-04,50.54,51.72,49.56,50.98,374250.0
2014-03-03,49.93,50.11,49.25,49.92,157215.0
2014-02-28,49.99,51.39,49.87,50.28,250900.0
2014-02-27,49.01,49.89,48.73,49.84,123088.0
2014-02-26,49.02,49.74,48.66,49.17,241948.0
2014-02-25,49.09,49.19,48.54,48.67,143658.0
2014-02-24,48.9,49.83,48.9,49.21,192336.0
2014-02-21,48.65,49.37,48.37,48.8,247091.0
2014-02-20,49.6,49.6,48.39,48.52,177109.0
2014-02-19,50.32,50.71,48.67,48.8,286044.0
2014-02-18,50.74,50.99,50.32,50.62,175803.0
2014-02-14,50.1,50.66,49.97,50.61,96908.0
2014-02-13,49.48,50.25,49.24,50.1,107886.0
2014-02-12,50.3,50.9,49.8,50.04,198968.0
2014-02-11,49.18,50.68,48.6,50.34,267608.0
2014-02-10,49.2,49.2,48.36,49.02,182169.0
2014-02-07,49.8,49.83,48.91,49.35,214530.0
2014-02-06,49.95,50.32,49.27,49.53,250325.0
2014-02-05,49.35,50.18,49.03,50.09,243161.0
2014-02-04,49.18,49.84,48.81,49.51,269318.0
2014-02-03,49.33,49.63,48.71,49.05,635624.0
