Date,Open,High,Low,Close,Volume
2014-04-07,75.67,76.54,74.91,75.97,76779.0
2014-04-04,78.71,78.79,75.41,75.66,73640.0
2014-04-03,78.09,78.67,77.59,78.16,54125.0
2014-04-02,78.24,78.88,77.9,78.3,52962.0
2014-04-01,77.89,78.55,77.5,78.3,74790.0
2014-03-31,76.61,78.01,76.52,77.57,104760.0
2014-03-28,76.96,77.49,76.24,76.51,54015.0
2014-03-27,76.83,77.03,75.88,76.51,61622.0
2014-03-26,77.38,77.88,76.54,76.54,51737.0
2014-03-25,76.54,77.76,76.54,77.07,64335.0
2014-03-24,77.38,77.55,76.69,77.06,66796.0
2014-03-21,77.36,77.93,76.83,77.34,69277.0
2014-03-20,76.4,77.21,76.4,76.81,25023.0
2014-03-19,76.89,77.1,76.27,76.6,26907.0
2014-03-18,76.45,77.38,76.45,77.17,37223.0
2014-03-17,75.62,76.88,75.24,76.66,50341.0
2014-03-14,74.65,75.54,74.57,75.36,35729.0
2014-03-13,74.24,75.58,74.24,75.12,34309.0
2014-03-12,74.0,75.11,73.53,74.92,30265.0
2014-03-11,76.1,76.18,74.0,74.63,40269.0
2014-03-10,75.02,75.97,74.81,75.85,33772.0
2014-03-07,75.69,75.69,74.68,75.42,23297.0
2014-03-06,74.77,75.2,74.22,75.12,30032.0
2014-03-05,75.23,75.23,74.23,74.41,32401.0
2014-03-04,73.79,75.88,73.79,75.59,89239.0
2014-03-03,72.16,73.26,71.72,72.92,51419.0
2014-02-28,72.22,73.62,72.22,72.91,79950.0
2014-02-27,71.49,72.29,70.65,72.08,39921.0
2014-02-26,70.93,72.03,70.93,71.52,32272.0
2014-02-25,71.32,71.62,70.62,71.08,39546.0
2014-02-24,70.62,72.17,70.14,71.42,46296.0
2014-02-21,70.86,71.16,70.23,70.44,50339.0
2014-02-20,70.15,70.93,70.03,70.54,38905.0
2014-02-19,70.11,70.52,69.73,69.81,33962.0
2014-02-18,70.76,70.85,70.28,70.55,55233.0
2014-02-14,69.87,70.76,69.85,70.63,51322.0
2014-02-13,68.76,70.2,68.76,70.0,26186.0
2014-02-12,69.56,69.95,68.14,69.16,44325.0
2014-02-11,68.52,69.86,68.05,69.57,43343.0
2014-02-10,68.36,68.61,67.64,68.42,45239.0
2014-02-07,68.05,69.11,67.51,68.99,62909.0
2014-02-06,67.56,67.91,67.17,67.68,74044.0
2014-02-05,67.3,67.8,66.86,67.21,48088.0
2014-02-04,67.76,68.18,67.22,67.67,59177.0
2014-02-03,68.31,69.25,66.75,67.26,101700.0
2014-01-31,68.67,69.83,68.52,68.73,87554.0
2014-01-30,69.31,71.63,69.06,69.89,98420.0
2014-01-29,69.12,69.38,68.5,68.91,87609.0
2014-01-28,69.25,70.2,69.17,69.93,62873.0
2014-01-27,70.29,70.47,69.29,69.4,72410.0
2014-01-24,70.62,71.02,70.0,70.3,67464.0
2014-01-23,71.67,71.67,70.53,70.83,92622.0
2014-01-22,71.28,72.05,71.21,71.74,50220.0
2014-01-21,72.73,72.73,71.1,71.45,76822.0
