Date,Open,High,Low,Close,Volume
2014-04-07,47.38,47.7,46.11,46.24,74123.0
2014-04-04,48.76,48.83,47.0,47.73,106057.0
2014-04-03,49.29,49.29,48.0,48.26,39569.0
2014-04-02,49.7,50.22,49.33,49.4,48554.0
2014-04-01,48.71,49.7,48.62,49.65,100909.0
2014-03-31,47.36,48.95,46.7,48.51,65413.0
2014-03-28,46.57,48.47,46.18,47.01,80824.0
2014-03-27,46.89,46.89,46.03,46.46,81750.0
2014-03-26,49.37,49.4,46.86,46.89,85820.0
2014-03-25,48.85,49.17,47.83,48.85,48840.0
2014-03-24,50.31,50.43,48.59,48.89,68383.0
2014-03-21,50.31,50.61,49.02,50.08,139110.0
2014-03-20,49.68,50.21,49.1,50.06,43021.0
2014-03-19,51.75,51.92,49.13,49.9,54816.0
2014-03-18,51.18,51.97,50.88,51.92,45846.0
2014-03-17,51.1,51.69,50.67,51.01,31455.0
2014-03-14,50.06,51.51,49.2,50.77,53413.0
2014-03-13,51.65,52.45,49.91,50.17,61234.0
2014-03-12,50.65,52.61,50.65,51.64,61997.0
2014-03-11,52.51,52.77,50.74,51.1,39968.0
2014-03-10,52.02,52.8,51.9,52.59,26189.0
2014-03-07,53.05,53.05,51.83,52.1,55803.0
2014-03-06,52.48,52.96,52.2,52.52,43778.0
2014-03-05,53.4,53.42,51.99,52.31,81349.0
2014-03-04,52.22,53.89,52.22,53.37,141408.0
2014-03-03,51.84,51.98,51.14,51.54,46547.0
2014-02-28,52.69,52.87,52.02,52.29,58385.0
2014-02-27,52.49,52.94,51.8,52.55,54422.0
2014-02-26,51.18,53.58,51.18,52.56,250622.0
2014-02-25,51.49,51.91,50.67,51.03,78438.0
2014-02-24,51.85,52.29,49.68,51.63,101580.0
2014-02-21,53.07,53.07,51.29,51.78,103711.0
2014-02-20,51.12,53.94,49.63,52.8,525498.0
2014-02-19,50.68,51.58,50.5,50.61,87922.0
2014-02-18,51.7,52.31,50.42,51.24,125697.0
2014-02-14,50.2,51.74,50.0,51.39,76211.0
2014-02-13,48.85,50.41,48.85,50.18,175575.0
2014-02-12,49.23,49.75,49.01,49.38,50006.0
2014-02-11,48.35,49.29,47.58,49.07,53769.0
2014-02-10,48.68,48.92,47.46,48.2,72142.0
2014-02-07,48.96,49.0,48.0,48.6,65812.0
2014-02-06,49.14,49.45,48.59,48.69,72713.0
2014-02-05,49.05,50.01,47.89,48.85,54618.0
2014-02-04,49.17,49.63,46.63,49.17,54665.0
2014-02-03,51.02,51.56,48.94,49.04,84224.0
2014-01-31,50.75,51.83,50.75,51.09,106699.0
2014-01-30,52.17,52.67,50.0,51.81,111997.0
2014-01-29,52.57,53.26,50.88,51.54,94124.0
