Date,Open,High,Low,Close,Volume
2014-04-07,29.98,30.16,28.69,29.32,556980.0
2014-04-04,31.49,31.5,29.51,30.16,882530.0
2014-04-03,31.75,31.89,30.76,31.25,357199.0
2014-04-02,31.7,31.88,31.58,31.68,417824.0
2014-04-01,31.12,31.75,30.87,31.69,495425.0
2014-03-31,30.63,31.48,30.63,31.07,414730.0
2014-03-28,30.77,31.06,30.46,30.51,197663.0
2014-03-27,30.91,31.05,30.4,30.83,366400.0
2014-03-26,31.62,31.74,30.6,30.94,611357.0
2014-03-25,31.77,32.17,31.12,31.42,371209.0
2014-03-24,32.08,32.18,31.16,31.65,330101.0
2014-03-21,32.53,32.62,31.98,32.12,408539.0
2014-03-20,32.55,32.77,32.29,32.45,357859.0
2014-03-19,33.0,33.37,32.45,32.61,323673.0
2014-03-18,33.44,33.45,32.97,33.08,640798.0
2014-03-17,33.54,33.74,33.1,33.4,577469.0
2014-03-14,33.01,33.57,33.01,33.4,790059.0
2014-03-13,32.94,33.26,32.82,33.13,533797.0
2014-03-12,32.8,33.15,32.51,32.85,362897.0
2014-03-11,32.6,33.37,32.27,32.9,810717.0
2014-03-10,31.79,32.4,31.53,32.25,548832.0
2014-03-07,32.75,32.75,31.2,31.77,1366275.0
2014-03-06,32.73,32.77,32.25,32.57,281222.0
2014-03-05,32.7,33.04,32.54,32.73,341493.0
2014-03-04,32.32,33.2,32.18,32.83,862623.0
2014-03-03,31.6,32.18,31.4,31.95,519152.0
2014-02-28,32.16,32.25,31.47,31.82,433070.0
2014-02-27,32.15,32.59,31.76,32.18,633425.0
2014-02-26,32.45,32.92,32.12,32.43,1916738.0
2014-02-25,33.0,33.0,30.63,32.44,2020087.0
2014-02-24,31.86,33.8,31.6,33.8,282107.0
2014-02-21,31.84,32.32,31.45,31.94,496693.0
2014-02-20,31.56,32.05,31.19,32.01,519995.0
2014-02-19,31.1,31.69,31.1,31.39,364458.0
2014-02-18,31.26,31.56,31.07,31.2,340832.0
2014-02-14,31.19,31.32,30.93,31.16,246978.0
2014-02-13,30.8,31.19,30.78,31.18,380551.0
2014-02-12,30.95,31.25,30.84,30.97,141501.0
2014-02-11,31.58,31.58,30.71,30.99,280492.0
2014-02-10,31.95,31.95,30.17,30.88,350732.0
2014-02-07,30.3,30.79,30.3,30.48,220688.0
2014-02-06,29.75,30.59,29.66,30.21,260361.0
2014-02-05,29.52,29.84,29.26,29.69,259150.0
2014-02-04,29.66,29.85,29.36,29.56,279195.0
2014-02-03,30.69,30.98,29.58,29.63,489384.0
2014-01-31,29.91,30.54,29.91,30.41,378276.0
2014-01-30,30.4,30.7,30.36,30.37,264155.0
2014-01-29,30.43,30.68,30.01,30.22,243507.0
2014-01-28,30.49,30.8,30.1,30.64,610708.0
2014-01-27,30.69,30.91,30.27,30.4,325191.0
2014-01-24,31.01,31.01,30.12,30.69,650007.0
2014-01-23,31.0,31.25,30.7,30.97,1007656.0
2014-01-22,31.77,31.92,31.5,31.65,224402.0
2014-01-21,31.94,31.94,31.45,31.78,317312.0
2014-01-17,32.12,32.29,31.61,31.85,235321.0
2014-01-16,32.16,32.51,31.95,32.21,224446.0
2014-01-15,31.69,32.52,31.68,32.29,391376.0
2014-01-14,31.46,31.81,31.45,31.68,411321.0
2014-01-13,31.52,31.85,31.09,31.4,262105.0
2014-01-10,31.47,31.73,31.12,31.68,256065.0
2014-01-09,31.49,31.71,31.08,31.38,297262.0
2014-01-08,30.66,31.25,30.66,31.09,226657.0
2014-01-07,30.4,31.06,30.4,30.76,270104.0
2014-01-06,30.25,30.57,29.9,30.33,253930.0
2014-01-03,30.18,30.53,29.88,30.22,188411.0
2014-01-02,30.59,30.95,30.01,30.2,258459.0
2013-12-31,30.44,30.87,30.31,30.71,392245.0
2013-12-30,30.06,30.57,29.97,30.49,261389.0
2013-12-27,30.1,30.2,29.41,30.12,244353.0
2013-12-26,29.92,30.28,29.92,29.99,198926.0
2013-12-24,29.69,30.16,29.69,29.82,138261.0
2013-12-23,29.88,29.88,29.36,29.77,356977.0
2013-12-20,29.4,29.77,29.08,29.54,825474.0
2013-12-19,29.48,29.65,29.05,29.35,375302.0
2013-12-18,28.98,29.87,28.77,29.45,448249.0
2013-12-17,29.33,29.33,28.58,28.99,346200.0
2013-12-16,29.29,29.57,28.97,29.33,295078.0
2013-12-13,29.38,29.56,29.06,29.27,252646.0
2013-12-12,29.52,29.52,29.15,29.35,185382.0
2013-12-11,30.3,30.38,29.33,29.48,337515.0
2013-12-10,30.33,30.61,30.17,30.36,550393.0
2013-12-09,30.4,30.65,30.15,30.46,306952.0
2013-12-06,30.07,30.39,29.85,30.33,229768.0
2013-12-05,29.52,30.11,29.5,29.93,881551.0
2013-12-04,29.55,29.71,28.96,29.54,404662.0
2013-12-03,29.55,29.86,29.42,29.59,330478.0
2013-12-02,29.83,29.83,29.34,29.54,383538.0
2013-11-29,30.02,30.24,29.78,29.81,146277.0
2013-11-27,29.9,30.05,29.72,29.9,543505.0
2013-11-26,30.25,30.51,29.77,29.99,661364.0
2013-11-25,30.34,30.46,30.0,30.15,234760.0
2013-11-22,30.0,30.5,29.83,30.34,486501.0
2013-11-21,29.61,30.17,29.53,29.95,558191.0
2013-11-20,28.79,29.64,28.58,29.48,607634.0
2013-11-19,28.23,28.72,28.02,28.67,259084.0
2013-11-18,28.33,28.74,28.21,28.29,278851.0
2013-11-15,27.87,28.67,27.87,28.25,348932.0
2013-11-14,27.88,28.11,27.62,27.89,226075.0
2013-11-13,27.18,27.94,27.18,27.88,964288.0
2013-11-12,26.99,27.34,26.9,27.24,400269.0
2013-11-11,26.89,27.16,26.83,26.98,332595.0
2013-11-08,26.56,27.06,26.51,26.92,199407.0
2013-11-07,26.9,26.9,26.5,26.58,297622.0
2013-11-06,27.84,28.06,26.78,26.87,460590.0
2013-11-05,28.73,28.73,27.11,27.62,944481.0
2013-11-04,26.48,26.96,26.4,26.63,432505.0
2013-11-01,27.15,27.33,26.4,26.42,551092.0
2013-10-31,27.13,27.51,26.88,27.18,265828.0
2013-10-30,27.36,27.68,27.09,27.15,221126.0
2013-10-29,27.24,27.5,27.24,27.43,246430.0
2013-10-28,27.11,27.46,27.07,27.26,231887.0
2013-10-25,27.21,27.34,26.98,27.18,287587.0
2013-10-24,26.77,27.2,26.66,27.1,408029.0
2013-10-23,26.64,26.92,26.51,26.73,729931.0
2013-10-22,26.51,26.8,26.36,26.69,653427.0
2013-10-21,26.76,26.96,26.45,26.49,453891.0
2013-10-18,26.74,26.97,26.61,26.76,409710.0
2013-10-17,27.27,27.27,26.22,26.56,1170761.0
2013-10-16,27.18,27.45,27.05,27.42,253751.0
2013-10-15,27.16,27.3,26.95,27.09,332240.0
2013-10-14,27.36,27.45,26.99,27.28,394385.0
2013-10-11,27.1,27.49,27.1,27.47,213628.0
2013-10-10,27.24,27.24,26.98,27.2,282280.0
2013-10-09,27.08,27.11,26.68,26.99,855144.0
2013-10-08,26.95,27.34,26.8,26.93,786823.0
2013-10-07,26.59,26.92,26.43,26.9,368085.0
2013-10-04,26.25,26.83,26.25,26.8,499980.0
2013-10-03,27.0,27.33,26.54,26.55,478980.0
2013-10-02,26.37,27.06,26.19,26.99,581437.0
2013-10-01,26.15,26.55,26.06,26.42,398516.0
2013-09-30,25.86,26.16,25.65,26.08,349155.0
2013-09-27,26.15,26.15,25.79,26.01,459171.0
2013-09-26,26.33,26.58,26.04,26.23,371256.0
2013-09-25,26.5,27.33,26.22,26.35,1115997.0
2013-09-24,25.62,26.15,25.4,25.85,372376.0
2013-09-23,25.77,25.9,25.55,25.59,180997.0
2013-09-20,25.75,25.9,25.59,25.84,279168.0
2013-09-19,25.9,25.98,25.52,25.68,172662.0
2013-09-18,25.65,25.74,25.41,25.74,338228.0
2013-09-17,25.91,25.92,25.64,25.72,328104.0
2013-09-16,26.21,26.25,25.75,25.84,314335.0
2013-09-13,26.37,26.37,26.02,26.16,332643.0
2013-09-12,26.76,26.88,26.08,26.27,513161.0
2013-09-11,25.5,26.95,25.43,26.65,838675.0
2013-09-10,24.84,25.59,24.84,25.54,432511.0
2013-09-09,24.33,24.82,24.33,24.72,147789.0
2013-09-06,24.42,24.6,23.88,24.37,293887.0
2013-09-05,24.3,24.59,24.28,24.34,187605.0
2013-09-04,24.19,24.41,24.0,24.32,134254.0
2013-09-03,24.29,24.46,23.95,24.19,231338.0
2013-08-30,24.05,24.15,23.7,24.07,267083.0
2013-08-29,24.47,24.72,24.01,24.14,385005.0
2013-08-28,24.01,24.53,23.92,24.44,323678.0
