Date,Open,High,Low,Close,Volume
2014-04-07,52.83,53.12,52.45,52.93,3319796.0
2014-04-04,55.06,55.06,52.68,53.13,4478434.0
2014-04-03,54.81,55.22,54.29,54.56,3898047.0
2014-04-02,54.95,55.15,54.48,54.55,3258443.0
2014-04-01,54.96,55.0,54.25,54.98,3658040.0
2014-03-31,54.22,54.64,54.07,54.27,2856021.0
2014-03-28,53.73,54.37,53.55,53.84,2593675.0
2014-03-27,54.29,54.36,53.27,53.66,3254809.0
2014-03-26,54.95,55.35,54.23,54.27,2555993.0
2014-03-25,54.9,55.54,54.57,54.8,3718068.0
2014-03-24,54.59,54.96,54.22,54.5,3740609.0
2014-03-21,54.81,55.59,54.22,54.5,4209560.0
2014-03-20,53.53,55.19,53.34,55.06,4556304.0
2014-03-19,53.69,54.15,53.27,53.58,2527425.0
2014-03-18,52.89,53.75,52.69,53.69,2680615.0
2014-03-17,52.39,53.04,52.23,52.91,2512128.0
2014-03-14,51.94,52.43,51.89,51.9,3042425.0
2014-03-13,52.69,52.97,51.63,52.09,5176192.0
2014-03-12,52.51,53.0,51.99,52.55,6158738.0
2014-03-11,53.34,53.64,52.68,52.89,3693091.0
2014-03-10,53.13,53.64,52.82,53.12,3561388.0
2014-03-07,53.78,53.81,52.84,53.03,4862710.0
2014-03-06,53.25,53.64,53.13,53.47,3835055.0
2014-03-05,52.74,53.11,52.68,53.05,2748065.0
2014-03-04,52.4,53.01,52.32,52.9,3409664.0
2014-03-03,51.76,51.97,51.24,51.9,3815226.0
2014-02-28,52.1,52.38,51.66,52.2,4048532.0
2014-02-27,51.92,52.28,51.74,52.03,4411557.0
2014-02-26,51.57,52.39,51.57,52.18,6104461.0
2014-02-25,51.48,51.68,51.05,51.5,3897897.0
2014-02-24,51.0,51.9,51.0,51.34,3907405.0
2014-02-21,51.43,51.43,50.6,50.81,4136441.0
2014-02-20,50.87,51.09,50.27,50.74,3660420.0
2014-02-19,50.18,51.06,50.18,50.87,4766559.0
2014-02-18,49.56,50.36,49.53,50.32,4311147.0
2014-02-14,49.9,49.94,49.41,49.89,3802916.0
2014-02-13,48.71,49.99,48.59,49.98,5898547.0
2014-02-12,48.05,49.19,48.05,48.9,7500201.0
2014-02-11,46.58,47.98,46.4,47.96,7950519.0
2014-02-10,46.24,46.69,46.02,46.48,3834818.0
2014-02-07,45.67,46.16,45.33,46.1,3417764.0
2014-02-06,45.2,45.97,45.18,45.39,3268804.0
2014-02-05,44.7,45.42,44.69,45.21,3327730.0
2014-02-04,45.22,45.22,44.63,45.2,2945181.0
2014-02-03,46.18,46.4,44.93,45.02,3279168.0
2014-01-31,46.15,46.78,46.07,46.42,2460313.0
2014-01-30,46.88,46.97,46.28,46.78,6958970.0
2014-01-29,46.17,46.56,46.09,46.33,2598525.0
2014-01-28,46.54,46.99,46.24,46.41,2796231.0
2014-01-27,46.94,47.15,46.22,46.48,2727338.0
2014-01-24,47.7,47.85,46.84,46.86,3550403.0
2014-01-23,48.26,48.43,47.36,48.03,8995490.0
2014-01-22,46.45,48.91,46.1,48.62,12214021.0
2014-01-21,47.29,47.99,47.18,47.54,3769675.0
2014-01-17,47.19,47.8,47.02,47.22,3070610.0
2014-01-16,47.27,47.46,46.86,47.26,2280255.0
2014-01-15,46.6,47.78,46.49,47.37,4903764.0
2014-01-14,45.52,46.09,45.31,46.05,2276345.0
2014-01-13,45.52,45.88,45.05,45.18,1762669.0
2014-01-10,45.94,46.1,45.47,45.76,1710270.0
2014-01-09,46.0,46.04,45.43,45.78,1842228.0
2014-01-08,45.33,45.96,45.25,45.91,2318930.0
2014-01-07,45.46,45.78,45.35,45.52,1581167.0
2014-01-06,45.78,45.84,45.27,45.42,1970805.0
2014-01-03,45.91,46.0,45.46,45.62,1982702.0
2014-01-02,46.68,46.7,45.9,45.97,3437019.0
2013-12-31,45.79,46.0,45.65,45.92,1215365.0
2013-12-30,45.32,45.75,45.23,45.64,1049165.0
2013-12-27,45.2,45.45,45.17,45.29,995369.0
2013-12-26,45.3,45.35,45.03,45.2,860503.0
2013-12-24,45.1,45.4,45.08,45.23,584011.0
2013-12-23,45.3,45.3,44.83,45.14,1916552.0
2013-12-20,44.3,44.9,44.17,44.71,3464923.0
2013-12-19,45.14,45.25,44.03,44.31,3441583.0
2013-12-18,44.29,45.19,44.19,45.19,3505060.0
2013-12-17,43.62,44.48,43.55,44.26,2661277.0
2013-12-16,43.55,43.92,43.39,43.64,2309409.0
2013-12-13,43.73,43.89,43.22,43.32,1680139.0
2013-12-12,43.85,44.0,43.31,43.41,3388253.0
2013-12-11,43.65,43.76,42.88,43.06,3297797.0
2013-12-10,44.1,44.26,43.49,43.67,3111224.0
2013-12-09,44.5,44.6,44.21,44.24,1704751.0
2013-12-06,44.58,44.69,44.21,44.35,1731888.0
2013-12-05,44.31,44.51,43.92,44.2,2045442.0
2013-12-04,44.12,44.85,44.09,44.39,2011973.0
2013-12-03,44.22,44.82,44.15,44.29,1792567.0
2013-12-02,44.25,44.51,44.07,44.28,2318957.0
2013-11-29,44.04,44.67,44.04,44.43,790144.0
2013-11-27,44.46,44.57,43.99,44.53,1912188.0
2013-11-26,44.41,44.72,44.31,44.5,1655277.0
2013-11-25,44.27,44.55,43.94,44.37,2603600.0
2013-11-22,44.04,44.24,43.71,43.98,3607170.0
2013-11-21,43.3,44.14,43.3,44.11,2377444.0
2013-11-20,43.17,43.61,43.1,43.21,2667792.0
2013-11-19,43.65,43.92,42.92,43.09,3696006.0
2013-11-18,43.84,44.08,43.6,43.77,2359505.0
2013-11-15,43.05,43.8,42.84,43.66,4163871.0
2013-11-14,44.42,44.6,42.89,42.99,7272469.0
2013-11-13,44.28,44.95,44.17,44.94,2115100.0
2013-11-12,44.07,44.64,44.04,44.57,2341556.0
2013-11-11,44.55,44.75,44.04,44.08,2817562.0
2013-11-08,44.5,44.66,44.14,44.63,2701673.0
2013-11-07,45.15,45.35,44.2,44.49,3965620.0
2013-11-06,45.15,45.29,44.87,45.09,2122294.0
2013-11-05,45.13,45.29,44.63,45.02,1820927.0
2013-11-04,45.21,45.4,44.95,45.38,2376397.0
2013-11-01,45.68,45.68,45.05,45.28,2569373.0
2013-10-31,45.13,45.68,45.02,45.43,3329682.0
2013-10-30,45.4,45.54,44.82,45.06,1702434.0
2013-10-29,44.71,45.4,44.57,45.4,2873947.0
2013-10-28,44.56,44.73,44.08,44.45,4309734.0
2013-10-25,45.07,45.09,44.54,44.64,2749573.0
2013-10-24,45.13,45.16,44.67,44.83,2846588.0
2013-10-23,45.95,46.05,44.14,44.88,7764686.0
2013-10-22,46.08,46.68,46.0,46.47,3877770.0
2013-10-21,45.54,46.1,45.46,46.07,3011478.0
2013-10-18,45.18,45.5,44.9,45.5,3959820.0
2013-10-17,45.4,45.85,44.1,45.39,10804359.0
2013-10-16,46.61,47.11,46.33,46.93,4824404.0
2013-10-15,47.35,47.45,46.23,46.37,4144447.0
2013-10-14,46.97,47.51,46.9,47.45,1801080.0
2013-10-11,46.67,47.59,46.45,47.28,2257330.0
2013-10-10,46.07,46.8,45.83,46.78,2057311.0
2013-10-09,45.94,45.98,45.11,45.69,3082012.0
2013-10-08,46.51,46.83,45.14,45.62,3032116.0
2013-10-07,46.24,46.91,46.02,46.41,1553986.0
2013-10-04,46.41,46.9,46.33,46.65,1934296.0
2013-10-03,46.69,46.88,46.06,46.46,2188883.0
