Date,Open,High,Low,Close,Volume
2014-04-07,46.89,47.1,45.86,46.05,925238.0
2014-04-04,47.66,47.87,46.73,46.85,922669.0
2014-04-03,47.6,47.75,47.16,47.46,1570771.0
2014-04-02,47.07,47.71,46.76,47.65,1521944.0
2014-04-01,46.22,47.02,45.95,47.0,1286523.0
2014-03-31,45.66,46.19,45.41,46.04,783448.0
2014-03-28,45.41,45.99,45.3,45.49,626086.0
2014-03-27,45.56,45.56,45.14,45.21,602128.0
2014-03-26,45.58,45.74,45.27,45.47,1016451.0
2014-03-25,45.34,45.71,45.08,45.55,1018311.0
2014-03-24,45.78,45.78,45.01,45.13,1111539.0
2014-03-21,46.24,46.35,45.54,45.73,1115627.0
2014-03-20,45.66,45.81,45.4,45.79,429848.0
2014-03-19,45.8,46.18,45.53,45.78,472569.0
2014-03-18,45.66,45.92,45.39,45.88,602197.0
2014-03-17,45.12,45.67,45.12,45.56,816281.0
2014-03-14,45.29,45.42,44.76,44.86,936042.0
2014-03-13,45.85,46.0,45.11,45.29,570069.0
2014-03-12,46.03,46.38,45.71,45.79,714660.0
2014-03-11,46.53,46.62,46.1,46.2,420596.0
2014-03-10,46.87,47.03,46.2,46.44,731876.0
2014-03-07,46.09,46.89,45.87,46.86,1210521.0
2014-03-06,46.19,46.5,45.83,45.89,976181.0
2014-03-05,46.14,46.23,45.81,46.13,939220.0
2014-03-04,45.29,46.31,45.24,46.17,1061327.0
2014-03-03,45.29,45.62,44.91,44.94,1135843.0
2014-02-28,45.52,45.68,45.01,45.38,1372688.0
2014-02-27,45.25,45.46,45.2,45.39,1444511.0
2014-02-26,45.31,45.65,45.08,45.16,1131882.0
2014-02-25,45.04,45.51,44.96,45.29,1310433.0
2014-02-24,45.17,45.52,44.97,45.11,1180434.0
2014-02-21,45.45,45.76,44.98,45.0,2210350.0
2014-02-20,44.98,45.52,44.6,45.47,895704.0
2014-02-19,45.17,45.52,44.54,44.69,1305248.0
2014-02-18,43.0,45.92,43.0,45.69,2367294.0
2014-02-14,46.01,46.67,45.81,46.24,1679808.0
2014-02-13,45.64,46.45,45.29,45.99,1119718.0
2014-02-12,46.2,46.61,45.87,45.97,1014695.0
2014-02-11,45.71,46.44,45.42,46.28,818041.0
2014-02-10,45.68,45.9,45.38,45.83,1062059.0
2014-02-07,45.45,45.73,45.22,45.61,911293.0
2014-02-06,45.01,45.39,44.7,45.32,928144.0
2014-02-05,44.72,45.16,44.46,44.98,592069.0
2014-02-04,45.17,45.19,44.58,44.92,1164071.0
2014-02-03,46.2,46.34,44.9,44.95,1195028.0
2014-01-31,46.03,46.24,45.7,46.14,714586.0
2014-01-30,46.31,46.81,46.1,46.6,809035.0
2014-01-29,45.86,46.4,45.72,46.05,666604.0
2014-01-28,45.75,46.47,45.34,46.19,1141223.0
2014-01-27,43.8,46.1,42.99,45.86,1145080.0
2014-01-24,46.76,46.91,45.83,45.84,1526040.0
2014-01-23,47.42,48.04,46.91,47.03,1360787.0
2014-01-22,47.93,48.39,47.62,47.78,736394.0
2014-01-21,48.32,48.72,47.96,48.02,1012560.0
