Date,Open,High,Low,Close,Volume
2014-04-07,34.11,34.37,32.53,33.07,47770153.0
2014-04-04,36.01,36.05,33.83,34.26,41049936.0
2014-04-03,36.66,36.79,35.51,35.76,16827786.0
2014-04-02,36.68,36.86,36.56,36.64,14522757.0
2014-04-01,36.16,36.86,36.15,36.49,15740178.0
2014-03-31,36.46,36.58,35.73,35.9,15153177.0
2014-03-28,35.77,36.73,35.53,35.9,18292877.0
2014-03-27,35.5,36.15,35.05,35.59,21931189.0
2014-03-26,36.24,36.74,35.45,35.45,20938842.0
2014-03-25,37.0,37.07,35.86,35.93,31715098.0
2014-03-24,38.0,38.04,36.28,36.68,29588953.0
2014-03-21,38.1,38.27,37.73,37.94,16047736.0
2014-03-20,38.37,38.47,37.42,37.77,19516969.0
2014-03-19,39.66,39.94,38.51,38.61,19324633.0
2014-03-18,39.0,39.51,38.8,39.45,16934679.0
2014-03-17,39.0,39.36,38.61,39.11,29698333.0
2014-03-14,36.69,38.19,36.45,37.6,30862258.0
2014-03-13,38.05,38.42,36.81,37.23,21179684.0
2014-03-12,37.21,37.61,36.48,37.5,14796607.0
2014-03-11,38.25,38.3,37.43,37.56,12609199.0
2014-03-10,38.63,38.78,37.91,38.05,11852464.0
2014-03-07,39.71,39.91,38.45,38.7,14496345.0
2014-03-06,39.6,39.98,39.5,39.66,10627201.0
2014-03-05,39.83,40.15,39.19,39.5,12577767.0
2014-03-04,38.76,39.79,38.68,39.63,16210318.0
2014-03-03,37.65,38.66,37.43,38.25,14716892.0
2014-02-28,38.55,39.38,38.22,38.67,16959582.0
2014-02-27,37.8,38.48,37.74,38.47,15502836.0
2014-02-26,37.35,38.1,37.34,37.62,15782073.0
2014-02-25,37.48,37.58,37.02,37.26,9780179.0
2014-02-24,37.23,37.71,36.82,37.42,15751470.0
2014-02-21,37.9,37.96,37.22,37.29,12374189.0
2014-02-20,37.83,38.04,37.3,37.79,11157331.0
2014-02-19,38.06,38.33,37.68,37.81,15879229.0
2014-02-18,38.31,38.59,38.09,38.3,12108044.0
2014-02-14,38.43,38.45,38.11,38.23,9987016.0
2014-02-13,37.92,38.69,37.79,38.52,12097661.0
2014-02-12,38.6,38.91,38.03,38.11,14100624.0
2014-02-11,38.15,38.86,38.09,38.5,18352744.0
2014-02-10,38.0,38.13,37.25,37.76,17649366.0
2014-02-07,36.65,37.27,36.24,37.23,16211778.0
2014-02-06,35.65,36.75,35.61,36.24,14254993.0
2014-02-05,35.6,35.94,35.0,35.49,14045078.0
2014-02-04,35.11,35.86,34.86,35.66,21083516.0
2014-02-03,35.94,36.01,34.66,34.9,22198978.0
2014-01-31,34.69,36.33,34.55,36.01,30079743.0
2014-01-30,34.89,35.81,34.45,35.31,32259716.0
2014-01-29,35.77,36.31,34.82,34.89,67251138.0
2014-01-28,36.83,38.32,36.52,38.22,40959832.0
2014-01-27,37.6,37.94,36.62,36.65,26781826.0
2014-01-24,38.67,38.98,37.62,37.91,26397474.0
2014-01-23,39.31,39.77,39.14,39.39,15415995.0
2014-01-22,39.66,40.4,39.32,40.18,13007162.0
2014-01-21,40.01,40.05,38.86,39.52,21456541.0
2014-01-17,40.12,40.44,39.47,40.01,19715653.0
2014-01-16,40.43,40.75,40.11,40.34,16369873.0
2014-01-15,41.06,41.3,40.76,41.07,9496963.0
2014-01-14,40.21,41.14,40.04,41.14,14483650.0
2014-01-13,41.16,41.22,39.8,39.99,16077579.0
2014-01-10,40.95,41.35,40.82,41.23,8735111.0
2014-01-09,41.33,41.35,40.61,40.92,12901538.0
