Date,Open,High,Low,Close,Volume
2014-04-07,31.34,31.48,30.44,30.75,3231436.0
2014-04-04,31.73,31.87,31.3,31.37,2874056.0
2014-04-03,31.81,31.81,31.33,31.64,1575573.0
2014-04-02,31.27,31.75,31.06,31.69,4331164.0
2014-04-01,31.08,31.33,30.91,31.22,3614272.0
2014-03-31,30.44,31.09,30.44,30.98,2686199.0
2014-03-28,29.95,30.52,29.82,30.29,1917979.0
2014-03-27,30.39,30.39,29.38,29.83,6040721.0
2014-03-26,30.75,30.75,30.18,30.2,4781898.0
2014-03-25,30.4,30.9,30.16,30.6,4381383.0
2014-03-24,31.02,31.51,30.13,30.31,7469656.0
2014-03-21,32.55,32.55,30.88,31.24,15681067.0
2014-03-20,31.84,33.32,31.7,32.99,5481004.0
2014-03-19,31.38,32.33,31.21,31.97,3094825.0
2014-03-18,31.36,31.58,31.25,31.43,1163661.0
2014-03-17,31.69,31.69,31.26,31.41,1309986.0
2014-03-14,31.26,31.59,31.18,31.35,1030000.0
2014-03-13,31.56,31.82,31.23,31.38,1555396.0
2014-03-12,31.4,31.5,31.12,31.45,1481200.0
2014-03-11,31.52,31.63,31.14,31.47,1610798.0
2014-03-10,31.48,31.67,31.39,31.52,2220446.0
2014-03-07,31.71,32.02,31.54,31.57,1971076.0
2014-03-06,31.39,31.66,31.23,31.45,1091293.0
2014-03-05,31.32,31.48,31.12,31.32,1431317.0
2014-03-04,31.2,31.62,30.93,31.41,1395993.0
2014-03-03,30.89,31.06,30.69,30.92,1639985.0
2014-02-28,30.86,31.41,30.54,31.2,2727561.0
2014-02-27,30.47,30.8,30.32,30.79,1237599.0
2014-02-26,30.25,30.64,30.17,30.53,1769529.0
2014-02-25,30.33,30.34,29.96,30.26,1179649.0
2014-02-24,29.91,30.56,29.89,30.29,2027200.0
2014-02-21,29.84,30.13,29.74,29.91,2357362.0
2014-02-20,30.16,30.21,29.71,29.83,2255655.0
2014-02-19,30.84,30.86,30.06,30.12,2595595.0
2014-02-18,31.0,31.24,30.82,30.92,1872443.0
2014-02-14,30.69,31.15,30.45,30.9,2414350.0
2014-02-13,29.91,30.41,29.6,30.33,2271415.0
2014-02-12,29.94,30.48,29.87,30.1,2267752.0
2014-02-11,29.53,29.97,29.27,29.92,1566913.0
2014-02-10,29.6,29.64,29.15,29.56,2096508.0
2014-02-07,29.2,29.47,28.82,28.93,2033048.0
2014-02-06,28.75,29.13,28.61,29.04,1273986.0
2014-02-05,29.0,29.02,28.34,28.73,3457230.0
2014-02-04,28.01,28.96,27.97,28.58,3035589.0
2014-02-03,28.59,28.81,27.82,27.91,2743733.0
2014-01-31,29.0,29.19,28.72,28.75,2372995.0
2014-01-30,29.37,29.47,29.04,29.35,1624633.0
2014-01-29,29.36,29.58,29.13,29.18,3114768.0
2014-01-28,29.42,30.07,29.42,29.76,3586172.0
2014-01-27,30.38,30.54,29.8,29.93,3128180.0
2014-01-24,30.96,31.07,30.22,30.23,2516103.0
2014-01-23,31.59,31.82,30.87,31.16,2885444.0
2014-01-22,31.76,32.29,31.55,31.78,3902558.0
2014-01-21,30.4,31.81,30.36,31.47,5442892.0
2014-01-17,29.91,30.37,29.62,30.16,1489594.0
2014-01-16,30.08,30.08,29.67,29.82,1132236.0
2014-01-15,29.9,30.22,29.78,30.18,1976534.0
2014-01-14,29.72,29.8,29.33,29.67,1743090.0
2014-01-13,29.9,30.03,29.52,29.65,1582925.0
2014-01-10,30.14,30.18,29.84,30.06,1576866.0
2014-01-09,30.15,30.45,30.03,30.22,1800680.0
2014-01-08,29.7,30.0,29.59,30.0,2034692.0
2014-01-07,29.88,29.98,29.57,29.74,1343169.0
2014-01-06,29.95,30.13,29.58,29.65,1988180.0
2014-01-03,29.74,29.91,29.17,29.86,1122452.0
2014-01-02,29.9,29.98,29.62,29.65,1356738.0
2013-12-31,29.93,30.13,29.76,29.96,1077417.0
2013-12-30,29.88,29.97,29.72,29.85,895272.0
2013-12-27,29.72,29.99,29.64,29.79,808331.0
2013-12-26,29.87,29.94,29.54,29.84,893120.0
2013-12-24,29.79,29.94,29.67,29.84,672191.0
2013-12-23,29.36,29.78,29.23,29.72,1437617.0
2013-12-20,29.4,29.67,29.12,29.22,3550386.0
2013-12-19,28.47,29.29,28.47,29.22,2651457.0
2013-12-18,28.15,28.92,27.96,28.82,4911729.0
2013-12-17,28.28,28.44,27.92,28.07,2734120.0
2013-12-16,28.39,28.68,27.98,28.56,5203146.0
2013-12-13,28.82,29.06,28.43,28.47,1520562.0
2013-12-12,28.45,29.15,28.32,28.78,2391919.0
2013-12-11,29.19,29.36,28.46,28.52,2204532.0
2013-12-10,29.46,30.0,29.24,29.3,2705699.0
2013-12-09,29.76,29.96,29.61,29.67,2087365.0
2013-12-06,29.57,29.77,29.39,29.73,1294660.0
2013-12-05,29.16,29.5,28.99,29.16,1252517.0
2013-12-04,28.83,29.47,28.73,29.26,1358903.0
2013-12-03,29.06,29.24,28.63,28.88,1629891.0
2013-12-02,29.34,29.9,29.16,29.2,2019437.0
2013-11-29,29.55,29.59,29.29,29.33,425729.0
2013-11-27,29.18,29.59,29.1,29.49,1565899.0
2013-11-26,29.46,29.71,29.02,29.14,2271761.0
2013-11-25,29.57,29.73,29.36,29.45,1001890.0
2013-11-22,29.17,29.39,28.83,29.39,1391427.0
2013-11-21,28.5,29.22,28.31,29.08,1641704.0
2013-11-20,28.22,28.56,28.05,28.27,2468806.0
2013-11-19,28.16,28.62,27.61,28.21,2785491.0
2013-11-18,29.3,29.5,28.81,28.87,1293881.0
2013-11-15,29.43,29.47,28.91,29.2,1496642.0
2013-11-14,29.14,29.2,28.73,29.12,1299250.0
2013-11-13,28.74,28.99,28.52,28.99,1478199.0
2013-11-12,29.11,29.28,28.75,28.89,1071841.0
2013-11-11,29.71,29.88,29.1,29.21,1878329.0
2013-11-08,28.13,29.67,28.07,29.64,2271091.0
2013-11-07,28.88,29.14,28.22,28.24,2286192.0
2013-11-06,28.7,28.91,28.56,28.86,1533751.0
2013-11-05,28.24,28.71,28.21,28.69,2419454.0
